group,VDR,LHX2,ATF1,EPAS1,NR2F2,TP63,ZNF76,TFAP2A,ETS2,MEF2A,BCL11A,CEBPD,GATA2,RXRA,TFAP4,RELA,OTX2,MEIS1,NFE2,ASCL1,NFATC1,FOSL2,TCF12,MAFK,TP73,ZEB1,FOXP2,HOXC6,HES1,CEBPB
healthy,0.0320486698153167,-0.11795206394704,-0.316773438586695,0.101254856500491,0.0569200325491316,0.144592832246087,-0.220577586730457,0.0514124462122848,-0.115534707048062,0.201263652743777,0.20522612436169,0.162012754641815,-0.0223293998091164,-0.135571355983921,0.21367441290554,-0.204553251822799,0.217038775599994,0.125453346695415,0.155508320099204,-0.133627501982681,-0.123908231976481,-0.0408458552311851,-0.315851353996363,0.0257934473241468,0.207493954029803,-0.25120574785256,-0.034540790329727,0.10768452742767,0.0175694496265927,0.257735103600315
healthy,-0.0055131605867089,-0.117175240577827,0.0767886166078189,-0.0334476095779004,0.0715700808496982,0.0280231232426984,0.116374565014896,-0.0233018776930435,-0.0745448008446795,0.0351488463425511,-0.0083745673511553,-0.0707711261043505,0.0638645465163813,-0.0115937738078775,0.137773088096279,-0.0881478638375415,-0.0317724197339363,-0.0613156767271816,-0.0586748735622648,0.0886260686146332,0.142232247913458,0.103666822552025,-0.11472904623774,-0.138716852248527,-0.0176370505020958,-0.0682747151784357,-0.0735399476682379,0.0472003054814939,0.0409871371604543,0.0303297227746201
healthy,-0.0663779981359304,-0.0863373381366854,-0.062735824789492,0.0494130623965091,0.057385079599822,-0.0279460955683793,-0.041440685720896,0.168751755060414,0.0512258812068219,-0.0477656008443252,-0.0294023178568141,-0.0997082698179058,0.0455375915271889,-0.0386076845223882,0.0246468587964081,0.102072878609149,-0.152721447301721,-0.0210632794349153,0.0463996061032607,0.0920899733580686,0.0670056367722196,0.0940649141758077,0.0014562222884348,0.0891329542159641,0.0542623437272883,-0.0780827757053523,-0.0877745083932054,0.0411811467200938,-0.0725918363185731,-0.118618669646443
healthy,-0.0680998927239629,-0.0543387328745176,0.0286322572728679,0.0326633852561236,0.0590344460235776,-0.0688528596821109,0.0297984378056093,-0.0509469381163967,-0.0742579228008896,-0.10871993492198,0.0326874893813082,0.0302518249221771,0.0427423530297477,0.022928762127994,-0.0587245358426326,-0.0405833121024972,-0.0231238907604409,-0.057255332021856,0.0186393756606175,-0.0040253889058307,-0.0052983162786754,-0.0298443504250086,0.0180241465606673,-0.0405006693875785,-0.0460285487632502,-0.0151649381875779,-0.0178795218095596,-0.0592663047515439,-0.127755306924916,-0.0664527775030142
healthy,-0.0272765233153152,0.0388496385124175,-0.126017756830439,-0.0424970987824623,-0.0064724616806567,0.172933909066011,0.006774525543398,0.0842280822239305,-0.0261840850966963,-0.104420973193301,-0.0778503089562056,-0.0432444329506436,0.0444503407550073,-0.161333404658556,-0.0010337470535784,0.143661103590454,0.0655165562601796,0.0391102272851969,0.0526099777933591,-0.0271787047069145,-0.080121265768836,0.114797571172446,-0.0813216957311292,-0.0734453413827058,0.0205458205084806,0.0339579255435158,-0.0903593525984856,0.040599417779489,0.106785835869996,0.0669744447997834
healthy,-0.0649288463589104,0.0002958956618361,-0.0129586548784351,-0.0141821778147347,0.0502505088982833,-0.0340429084021019,0.001861723750659,0.058947084913788,0.0256726051696103,0.0107543447056122,-0.0400103250955574,0.0167825156414219,-0.0485707666050463,-0.0344051836991028,-0.063868178544477,0.0037498868475277,0.029923151977279,0.0060818934371506,0.0478557791788225,0.0152751916378289,-0.0312656519715222,-0.0445365161509441,-0.0025716483233532,0.0734600358257844,-0.0252161045430324,0.0097195536981074,0.0908261859713032,0.105119184024406,0.0886154065967481,0.0527611217096418
healthy,0.0208589804805315,0.0509090501919011,0.02865552248771,0.017275694081514,-0.0434086475565422,0.0636161214190705,0.004159412086012,-0.0400434274222283,-0.0457158424806279,-0.0079823021585926,-0.0077023158434177,0.0104644885296626,0.0238392194314799,-0.0090834021865401,0.0475815205230915,-0.0108979288829622,0.0630507644365058,0.0012141714244604,0.0054005052715469,-0.0787973024889875,-0.0765008762693317,0.0051932077112732,0.0893452484779811,-0.0250183925665435,-0.0043882470551453,0.107584741605963,0.0195048158984835,-0.0321849653645784,-0.0684754992930198,-0.0136008736948432
healthy,-0.0615391042612223,0.0843743693644432,-0.0450174029206505,-0.0180053485082953,0.0452431753157388,0.0698443030805435,-0.0634984861185962,0.0323983386951771,0.006797361752124,-0.0656917036708829,-0.0589427217177064,-0.0584024806294593,-0.0462752776932855,0.0507907255950523,-0.134640980470898,-0.0065312728579127,-0.0496215471204877,-0.0088776931068665,0.0205210980535654,-0.0420581718850283,-0.0108612648637142,-0.0184246400991736,0.0591684941127948,-0.163701113038697,-0.0775931342119684,0.0392682701457223,-0.0884382724760334,-0.0281570429874461,0.0664819070536921,-0.0726664580191478
healthy,-0.0751852787814161,-0.0399648637449354,-0.074421212694613,-0.0190593153611561,0.0798248872307006,0.0233798704653345,-0.0084976117458523,-0.0292546364291406,0.0102706011037044,-0.0546275556935678,0.0011136978408338,-0.0188964056852526,-0.0115565036684822,-0.0528371914932655,-0.0543656849584915,-0.0170377573687803,0.0070229178873057,-0.152620616082478,0.0407727446518302,0.0297656998479023,0.0704992607813146,-0.0395140046479339,0.0580740478350156,-0.0354280263391795,-0.0267446450112888,-0.0170687299140176,-0.0105036670432631,-0.0107478673336548,0.0513168763565274,-0.0469319128099202
healthy,-0.0681756363391385,-0.0535954509281721,-0.0827144762949929,-0.0233748585169342,0.0587458953653483,-0.102075890390334,-0.0736004451909177,-0.0604974582512389,0.0484780912415877,-0.120461702702066,-0.0092134950184016,0.0210584647178994,0.0265526718741518,-0.0294191363427208,0.0127735651391101,0.061463080097407,-0.0262531479533953,0.0030738626642936,-0.0803197944993107,0.0426986172180658,0.0433568737640597,0.100170057799213,0.131258737037764,-0.0113749062595314,-0.0520200045853554,0.0804780058605054,0.0749839245017838,-0.0290778476417497,-0.0710123706579363,-0.0691087185573482
