group,ASCL1,BATF,E2F1,EGR2,ETV4,FOSL2,FOXA2,FOXP2,GATA1,GFI1B,GLIS1,GMEB2,HIF1A,HNF4G,JUND,KLF5,KLF9,MAX,MEIS1,MYOD1,NFAT5,NR3C1,PRDM14,SETDB1,SOX17,STAT3,STAT4,TEAD4,TFAP4,USF2,VDR,ZKSCAN1,ZNF76
progressive,-0.0899059885493932,0.16560485495219,0.0467445275263768,0.0778724177743206,-0.0240605550308376,0.11494793495707,0.108848818078188,0.0238695459709158,0.0250682924849077,0.231766441397513,-0.185239269008288,-0.0480552448685987,0.0048740242876594,0.15359104373504,0.208344778739517,0.141294012187662,0.017375237933575,0.0894910378330113,-0.0276963136886592,-0.14267059472296,0.0607277080165132,0.189184594073569,0.0129556834781433,-0.0210307561493196,0.0831548062590541,0.0437608342800123,-0.241639633839677,0.0112102558616166,-0.239755889317689,0.0423974247833292,0.268914410292647,-0.0527843657314899,0.205894593557072
progressive,-0.272179515943246,0.17970904756262,-0.170015150855991,-0.0169726550295023,-0.0928234670279337,-0.0755104688126162,-0.132297439192521,0.186362411271822,0.103634733576358,-0.0860288851801609,-0.083832859066966,0.167202883156625,0.0460532710696312,-0.0605844961108756,0.084851553668417,0.0257335500196926,0.231090875009072,0.0290514757893127,-0.0698698689166383,-0.245105841279846,0.0321981091871476,0.0070637555748638,0.155690476022055,0.0501152072174633,-0.000204728941632,0.102461184693326,-0.0028396333836266,-0.122876405443455,-0.137058974855542,-0.10050762041064,-0.236068254004261,0.0374282705183435,-0.0462313348138016
progressive,0.456686966839357,0.128831215172507,-0.386444434221396,0.119739604688493,-0.171237738650888,-0.307695129053586,-0.533197800906491,0.226657775933755,-0.462275789367865,-0.0042070111831105,-0.200261638393146,-0.156464139478106,0.0316860367401498,0.175613674162728,0.462903170366686,-0.103583072293943,-0.494069828768156,0.229593675977043,-0.0982866939432216,-0.469332290902938,-0.302517354464451,-0.301077621524358,0.252614276595542,-0.0823581419538202,0.0016305905821567,-0.0441488857210741,-0.263822893003628,0.368937830759019,-0.508879441433004,-0.222799920409288,-0.0614744132949197,-0.0196958254508693,-0.340230237126813
progressive,-0.161399374835003,0.114018141690339,0.131356370501513,0.259031243550536,0.118791455789278,0.0319288694500844,-0.288790014624827,-0.130765345787939,0.142337699912493,-0.259495942371132,-0.0066727141326373,-0.172267913270111,0.0926329726648485,-0.138155410527128,0.226800094285113,-0.0360209260547511,0.0093796975535856,0.0063704343172981,-0.192407869921965,-0.0278277895673478,0.0144552914678636,-0.159260857932454,0.195083271869669,0.140023229087582,-0.0261765296805694,-0.04522918132501,-0.112840603902227,0.311068488179231,-0.151451210763019,0.113679768762721,-0.187291671256373,-0.336478039223865,-0.113309814361858
progressive,-0.0636629563805113,0.253879889413713,0.0141323687525448,-0.262042618928488,0.0123232672063507,-0.189124346541408,-0.182984485495135,-0.282991777314613,-0.257315994757469,-0.10117905124546,-0.213121662893769,-0.214788253158425,-0.20924614776527,-0.0473612492312174,0.481945443635453,0.0230155719684301,-0.261417152748404,0.127436754868886,-0.0990295060822579,0.129416078223584,-0.101527412155887,-0.108629224352544,-0.120873318624707,-0.0457777905474588,0.083986648586552,0.0141323687525448,0.35501143689866,-0.0813818590517692,0.147871289182789,0.418504171470668,-0.103530487390842,0.179235647061336,-0.183954353938937
stable,0.0464563660174114,0.272859927780706,-0.367819767360821,0.0537620333286328,-0.259295757454007,-0.328064579109139,-0.169405352838246,0.036176494646307,0.224325775576526,-0.0891799233716758,-0.0629720021167815,-0.263476173511721,-0.105829402563764,0.209081678935073,0.284843726991955,-0.160729252565994,0.170138211444349,0.182700272970337,-0.190804908352334,-0.304549039491934,-0.127501095674011,-0.113431389459132,0.0740742415420626,-0.140937077402696,-0.137185921708862,0.236035572411447,-0.0420323254538515,0.0413157686356705,-0.0738963655756958,-0.192210471365566,-0.258076612303396,0.109129401765291,-0.326353432765118
stable,0.1230604205763,-0.126803324458973,-0.173253418551722,0.133561513480965,-0.161027829367926,-0.229659592686394,-0.33315535054583,0.183972398505522,-0.170066451408239,-0.490630705769149,-0.0869714756737305,-0.0412959434690656,0.0878520286873428,0.0299187261493482,0.21074667205756,-0.212280148118818,0.0966349729708117,0.163561282983955,-0.16502921578653,-0.1525635965608,-0.0349497617330734,-0.0308896225735775,-0.0040657487176714,0.146794018357276,-0.456939994606587,-0.159340533316696,0.285519130138852,-0.324676798603362,0.0935441064160733,0.0941793150694804,0.0438415019211579,-0.0108081424048012,-0.240578450055187
stable,0.165631725359627,0.0990105219947758,0.093903350819244,0.13950595051916,0.140408877228271,-0.0397456168250296,0.0271452065653854,0.0278357645017422,0.236960214019398,-0.0961997678871019,-0.140288880656238,-0.0059541816386251,-0.0847118290564938,-0.0027282917650619,0.023741452709999,-0.133258118732715,-0.0533790142631722,0.198737377826277,-0.0949420374498159,-0.135256983325208,-0.0026724782118743,-0.140164416946094,0.0790943258615218,-0.0708262180274979,-0.016641116394048,0.0973341642353754,-0.155103502373204,-0.0678547496406362,0.17080728996004,-0.139152379104947,-0.081672069937581,0.159822545997176,-0.0861486557895648
stable,0.117021045401531,-0.205494676327966,-0.142418821014044,0.124022723883474,-0.0429789353738982,0.149622055390882,-0.128879869428222,-0.0771229297563636,-0.156326969924412,-0.141326032580712,0.12872628888635,0.0359247266034546,-0.0272951537898698,0.122668670292354,0.0916801569723215,-0.0397089868025007,-0.116662888844502,0.155698883930154,-0.154679271525476,0.0935807038004449,0.0608279451454463,-0.125237703412017,0.181785345982848,-0.0842619989551658,-0.0211382177983899,0.250373613918137,-0.0295588081918452,-0.0624680189784735,-0.234474017510763,-0.0704259863599199,-0.154338889118845,0.0625827835484475,-0.117395144232731
stable,-0.265539849869153,0.155271785965894,-0.0569217714599732,-0.0129438182375381,-0.142688436615666,-0.113983600436565,-0.139871664894885,0.270776438851848,-0.0256156531234761,-0.183974268237153,-0.0299821521709977,0.0560538214410196,0.0083895415416851,0.103505714655489,0.346533966874522,0.0220523716292439,-0.173034481539925,0.189944313504356,-0.147787428985396,0.0585977538437119,0.162247056877583,-0.105521408739201,-0.0365062217476365,-0.108795694547881,0.0580381657521036,0.0096104707411771,0.0506643354443837,-0.0068676331258079,-0.130962765686533,0.194168080139984,-0.016498219079456,0.0001257200779426,0.0253102870788393
