group,ATF1,BACH1,CEBPA,CTCFL,E2F1,E2F4,E2F7,ELK1,EPAS1,FOSL2,FOXA2,FOXD2,FOXO3,GLIS1,HIF1A,HNF1B,HNF4G,HSF1,JUN,JUND,KLF1,KLF9,MYOD1,NFAT5,PRDM14,RARG,REST,RFX5,SETDB1,SIX5,STAT5A,TCF12,TEAD4,TFAP4,TFDP1,VDR,ZKSCAN1
progressive,0.0473952920060017,-0.0689097820497017,0.0466092237483412,0.121444243000744,-0.0756409043568955,0.107103451510148,-0.140673190043179,-0.0274793609400651,-0.0134358221519453,0.123458955761975,0.182909496257308,0.342051987547704,0.0845783022780272,-0.362859676721071,0.0658778044844397,0.0078606825766051,0.180280461244292,0.0957616095067605,-0.0159921953932446,0.0634271210929098,0.163971196301739,-0.096481621608315,-0.0058459698153744,0.0496742293916561,0.0217522922056813,-0.093337348577673,-0.134847037074637,0.076783675857528,0.0217919258993449,-0.0897835273791742,-0.0842810495755506,0.0481417265699986,-0.120856343211402,-0.0343161730970284,-0.0908866651861431,-0.0508896626640051,0.0368989688007701
progressive,-0.124113056515948,0.0418652700165022,0.0051720395139919,-0.181802699639058,-0.191268194732033,0.0023049682487122,-0.123607275978589,0.0513290357055511,-0.116150366693943,-0.159536016464554,-0.123977134715501,0.0614632492300935,0.0336220428333263,-0.0883667447738439,0.036910060362302,0.101419771459504,-0.0160959362636225,0.100806767878738,-0.0238832084387644,0.0692803419377956,-0.207698139656589,0.187134358461347,-0.25587120015994,0.116549251372422,0.127024531395542,-0.119850169319872,-0.0017857731457658,0.219745260885775,-0.0093351821701251,0.139693630409649,0.0512259725796961,-0.0363178096286477,-0.0742605578379515,-0.13909058258662,-0.183807592936302,-0.198920339697721,0.0554510933332821
progressive,-0.0328960476776089,0.132201495905699,-0.254248635669787,-0.10379571172687,-0.326733800308599,-0.207996707503454,-0.237405830376714,-0.0441403889260728,-0.29197653366438,-0.285948031255552,-0.433777944609355,-0.238398060556732,-0.164882278246617,-0.233428931723562,0.0198711251785253,0.414296627300236,0.100109098752633,-0.292954575241898,0.166787792414449,0.395365358180934,0.309892497189634,-0.472382241274586,-0.469405487617972,-0.210379496468384,0.187275111936796,-0.0590835372680045,-0.0622556997917948,0.397822586815744,-0.0642891386017437,-0.0614635995975788,0.183256467991413,-0.179349085916527,0.264263037153103,-0.497088120131817,0.25498940947809,-0.030682209118253,-0.0324291113729021
progressive,0.236267418662432,-0.259735179546551,-0.265986022707371,-0.506905441699026,0.156018154730751,0.353303617236366,-0.453321624314657,0.432929603454035,-0.273262112542689,0.203757614419961,-0.343715076751958,0.238629550868436,0.574856262041898,0.137247559227596,0.188889279387144,0.19354579622154,-0.307298495533974,0.414127392414661,0.432527634493549,0.314258430007112,-0.274273809701666,0.0595546372244004,-0.243060242444133,0.248452949621892,0.326109739583695,-0.419872386995993,0.101309727558056,0.42844471381625,0.269748271517315,0.419312340354416,0.314497804781334,0.446966901534835,0.255552895755424,-0.232198047500656,0.0586603691999479,-0.233986583549561,-0.373501428374506
progressive,0.198289716460375,0.447930938102719,-0.40053777811186,0.0661665729192671,0.110298753838771,0.157390778459736,-0.284790851462502,-0.0175966076013213,-0.467425490995874,-0.147164062805827,-0.0908477863281009,0.502004548536232,0.0320471430487474,-0.33224344606584,-0.385952524209482,0.1498029595999,-0.0091251941692958,-0.0372021051044373,-0.0417547964203387,0.263338918665035,-0.238253549891343,-0.321715595042037,-0.117839025008624,-0.162236680530534,-0.0519458513067604,0.189346788436015,0.128184609887491,0.117537889638729,0.0062128981578184,-0.144552902164243,-0.0412238472155252,0.334149315972671,-0.272166939771935,0.0356171821049938,-0.421351779402052,-0.146054616706216,0.268628599175677
stable,0.0708585577638747,0.199068997150985,0.0045433386604203,-0.0863881759194063,-0.241086086978266,0.0918585507940346,-0.357807733378981,0.12421086802209,-0.0140559238684096,-0.282895040824498,0.0172178322240483,0.0506944210071503,-0.0989542653262374,-0.0853135293783599,-0.0711348076901121,-0.240216565191692,0.12777477512585,0.16706435614359,0.0646981904312343,0.328871712927848,-0.293691372147088,0.136538468283968,-0.235600595746218,-0.199495989079702,0.159149889104913,0.0517400393239878,0.0241493746832354,0.215022114212403,-0.150844143284731,0.217965407518502,0.407322958058307,-0.04470033360613,0.0905415005134841,-0.0988464031902245,-0.307253153734099,-0.206722451069908,0.131056891646471
stable,-0.260950430421047,-0.033824128028275,-0.0663925967666251,0.0568513015851439,-0.131881047861527,0.0273240097749891,-0.281444546861307,-0.070656751239006,-0.366154005124656,-0.253740038752438,-0.395401357818591,0.0620503610193555,-0.0257444906517188,0.145458021057618,0.135677306209385,-0.234562360776306,0.0356847693173854,0.0008152690690562,-0.0844963614506319,0.240763463238257,-0.331006488215738,0.186432205223907,0.0851485175533959,-0.0189802565708735,0.108029732363456,0.157900449668583,0.0203135534920799,0.113556200779871,0.174433272339061,0.0103303892777055,-0.171255009536203,-0.164047427610441,-0.320960178727922,0.176205628550315,0.139118649671385,-0.0496520010067177,0.0456912987617454
stable,-0.0277978916043194,0.0559751535395119,0.0084406426416243,-0.0713633400805337,0.0552019067851139,0.0065820109405927,-0.0856612548706597,0.0216552300869113,-0.0577489091665176,-0.0703333560622187,-0.0460649202561635,-0.0786334130612294,-0.0614236316514782,-0.145626818450463,0.0289070418516803,0.160460532747895,0.0243507913178827,0.0544418286822012,-0.0548896142727437,0.0356449675682563,-0.0931770569456715,-0.0435673517578743,-0.0759318847850537,0.0329294990399225,0.0248754797754971,-0.0659926907564469,-0.0613393214179458,0.112991042066715,-0.0491787919319702,0.0349603005711144,0.113150814846063,0.0401424735708189,-0.0224664910344639,0.0785299156909627,0.0663526167503613,-0.047145058318221,0.079618438480333
stable,-0.187879261467225,0.0830661365101906,-0.0997442217380228,-0.0737292624916771,-0.156035616313598,0.0588813983222563,-0.155078513227331,-0.004062321299277,-0.157213787654808,0.100209709480937,-0.100770486119568,-0.155101765304382,0.0253262218169532,0.12519458684055,-0.0840323123685263,-0.0493486416674393,0.0515121259709108,-0.208377132469962,-0.149339117279043,0.0180034040417192,-0.284187282334692,-0.050594338230275,0.0968032554040493,0.0530017958198134,0.0997807111382555,0.123747851530509,-0.0435533217470556,0.116056917183633,-0.124967321336927,-0.0100096473353041,-0.0129626611207131,0.0448294096174221,-0.13966987241928,-0.147452228578694,0.111192176125163,-0.0862738820053763,0.0055795565103119
stable,0.0953096030522112,0.0394109380978871,-0.196891247234478,-0.0027956834790504,-0.166493588386014,0.119956417196099,-0.0323287543027691,0.034772900813781,-0.0421941891719703,-0.148933888128869,-0.189485928086118,0.129878333767177,-0.093199416660836,-0.0891199801930155,-0.100471623335324,0.0171477160787485,0.0883048002604237,0.012936024544294,-0.0285684876797105,0.351749497857941,-0.0633546783056978,-0.19607810364408,0.13881841187356,0.137711284776048,-0.0115058692694445,0.100957666063999,0.0376517527950259,-0.220877857804245,-0.143216803834332,0.144958090761077,0.0555442342368536,-0.125069350914772,0.0375298937911662,-0.248645634298524,-0.024734162506373,-0.0199876632065184,0.0679744956859726
