group,ATF2,BHLHE40,CTCFL,E2F1,EGR2,ELK3,ESRRA,FOS,FOXA2,FOXH1,FOXO3,FOXP2,GATA1,GLIS1,GRHL2,HNF1B,HNF4A,HNF4G,IRF1,JUNB,JUND,KLF4,KLF9,MAX,MEIS1,MXI1,MYOD1,NFAT5,PGR,PRDM14,RFX5,TCF3,TFAP4,VDR,ZFP42,ZKSCAN1
progressive,-0.226780336303722,-0.230869256483869,-0.152830799197076,0.0614062312400125,0.0998328627558513,-0.204189216918725,-0.0844582595019988,0.119158113526754,0.10129460233716,0.0408233576761824,-0.0167309922347064,0.089837724537715,-0.0468217574895699,-0.131102237853301,-0.296252472891045,0.140557454244108,-0.144060361709225,0.189736431418851,-0.0520102745619621,0.0543740786596636,0.166249831929989,-0.0946706833335728,0.0264956760143481,-0.010528475632938,-0.11410128470493,-0.0155326291545346,0.0507065608813356,0.177403826753126,0.1924821314432,-0.151053007814403,-0.0378472032133382,-0.0996024083173567,-0.159303276712509,0.124530994149942,0.0239409239533225,-0.0102585147192729
progressive,-0.0101134447626308,0.160831870455625,-0.259676600284577,-0.158628122556632,0.0569119328523533,-0.07520953477779,-0.0870714226523107,-0.0946187778401999,-0.253603321152249,-0.0278914043414519,0.108434802531372,0.334554470280936,0.120976150980051,-0.0070204865211834,0.0123400837788125,0.157959571394739,0.184166450591034,-0.0870261066321321,0.0360064219384917,0.0011446491022883,0.0036697118274855,0.28634232749589,0.109009691260612,-0.0569463394602666,-0.0983354374375618,-0.271594946698641,-0.30370083415954,0.0857313365576473,-0.0275954515676931,0.180444662637479,0.140736453334585,0.0278088378067439,-0.0815788133052962,-0.200999720337676,0.177833536771079,0.121569734898687
progressive,0.311229356671358,-0.349376142336897,-0.149764924943797,-0.439969297071854,0.133212111504102,-0.457993045491894,-0.361429691221589,0.380445551425357,-0.559053118792931,-0.496256206982386,-0.185634096467264,0.302267321810304,-0.46150196248791,-0.270147783147309,-0.221369287723172,0.452820036109482,-0.078766749785813,0.150753256245936,0.472446658317366,0.280963476343301,0.4789987873839,0.0561453056717658,-0.57518074146817,0.17263961091797,-0.0848861775311332,-0.22514658110728,-0.558812818781449,-0.289563404076036,0.335847714169402,0.228767690195289,0.544094962894424,0.445002025384057,-0.58062615975237,-0.047598191266846,0.48524597020376,-0.0239986609557696
progressive,0.222953553771387,-0.261897346861959,-0.509801453116139,0.0617200251436574,0.0926657474419683,-0.0442938844383549,-0.066461126329594,0.1094422986413,-0.383722445460819,-0.177558976003472,0.485265916151049,-0.184451842427935,0.202153156465628,0.182724114783583,-0.205112397548382,0.155608263947556,0.0902658751004666,-0.167900843140398,-0.134361273856442,0.349871614538585,0.220955163832881,-0.188331335310814,0.133576353203394,-0.16352513605157,-0.25811709682027,-0.186553986245867,-0.17593049120031,0.20423274509238,-0.275439483646147,0.320906238025837,0.465394792721886,0.0411226245585134,-0.230202792216487,-0.344196728437816,0.162618417366153,-0.279918944614401
progressive,0.353707381258596,-0.0716076532906413,-0.137893489587359,-0.0511494517605882,-0.0796693374906352,-0.0447261607745989,-0.485501310567312,-0.109243321987283,-0.16188904128548,0.0033557451371179,-0.023521799443469,-0.231597737622058,-0.26239558210989,-0.192560551838738,-0.58855032182502,0.133077008331731,0.335704795581823,-0.207981187727659,0.180866767019746,0.169062440008001,0.384821060582863,0.320098606726496,-0.42291863772779,0.117202359865435,-0.138690972549356,-0.0127084042310384,-0.168280748787826,-0.2198921089967,-0.157648958606345,-0.077853287181136,-0.0822907666330426,0.12330981601499,0.088441650072607,-0.0647027141790892,0.29750852005051,0.35273618913656
stable,0.208606760303632,0.0839764339478821,-0.11587477935286,-0.245096951778281,0.123583675890907,0.0010221266384109,-0.301062968421881,-0.0169762582028624,-0.0998251371016442,0.367447463887145,0.0653824447043734,-0.102321217837504,0.221690221704962,-0.0088425825437545,-0.134051082150599,-0.194746109991119,-0.32551905379384,0.150115691148829,0.351344326034154,-0.482008114766288,0.332926451524579,0.369770495367375,0.244473277211968,0.205429422095279,-0.161753989905801,-0.199666563313492,-0.362399041872436,-0.16747375166908,0.169542889416839,0.213189049293885,0.163793855341129,0.183684541907216,-0.0642329504478035,-0.181796567916479,0.118933946377966,0.171807316164787
stable,-0.205356912825109,-0.189938938321549,0.159178211896956,-0.0037392998279403,0.326134291332047,-0.19453312067563,-0.170583282865538,-0.134580722400824,-0.284329267344487,-0.0137136667758917,0.0635489226912036,0.230517391728122,-0.136825305265355,0.122679182387557,-0.162795090659214,-0.24211479651556,-0.345197168697237,0.0679587359704621,0.0378450712508703,-0.117558736946299,0.124181421609219,0.210458331377845,0.103400519457193,0.186859237295697,-0.199855634622895,-0.0353065303334405,-0.0417190342510617,-0.0623956572543677,-0.0315352240341108,0.0486406918057155,0.204160431277134,0.284100944682226,0.0828972033842212,0.0069812456396367,0.259404043380949,-0.011131172271024
stable,0.159866862923811,-0.122918237512333,-0.115762129301084,0.0476788088896778,0.0689066063080503,-0.0963729660693244,-0.196966581525226,0.130922018050815,-0.0456847689654026,-0.0328350196202178,-0.0129190581479081,0.0432148085957611,0.19303004688996,-0.11255092412128,-0.0337623200608012,0.197918730455082,0.120336458940965,0.0745087598223907,-0.0057777871544264,-0.0471749082239527,-0.0439440912199714,0.213276072282794,-0.0222319022803441,0.132275747317635,-0.07723213371073,-0.224118998080091,-0.124174575076364,0.0265769994727,-0.0534828307094314,0.0644801867871658,0.13194686421375,0.0572985113286893,0.130341261623848,-0.0798575511578871,0.141699690893844,0.113205147879134
stable,0.159811241250152,-0.146150257637173,-0.154516946271653,-0.277290741096219,-0.0303952517607786,-0.0055932838161646,-0.156534737353063,0.0062585228439855,-0.0965464702277521,0.0242934740995257,0.0154283387535526,-0.0769377320064616,-0.0867338357411939,0.0968764913450432,-0.073302896842248,-0.0582741172488471,0.0112039892629961,0.118534498366789,0.0120542836233832,0.235135393702635,0.0489598799805134,0.149701152217265,-0.0790439675594671,0.0979525245050651,-0.132923329992798,-0.181518989007182,0.0644435027154718,0.0711370713934389,0.0718492795334837,0.137933880060464,0.117946171878901,0.124299523826175,-0.198702359077343,-0.169250449022559,0.253204990246434,0.0349099287669365
stable,0.115389991243454,-0.0274452759140035,0.019883286861733,-0.238587258168366,-0.0381999456578267,-0.228201854352145,-0.195011420501152,0.227215898293642,-0.140208402332973,-0.20465904061311,-0.124437808059984,0.182144186263849,0.0100756693275995,-0.0719207116456521,-0.0461337657266315,-0.0687459865766282,0.400523032548264,0.0047186948490911,0.0407290164667518,0.074765929665531,0.265273909030527,0.0615115807568031,-0.0933777874462949,0.124853352467079,0.0141132261863563,-0.0703160347608445,0.119774262622946,0.195130055864289,0.203950969188982,0.0928055588568943,-0.184422947144426,0.0279462164068165,-0.295310459160073,-0.0094625061939814,0.211188474491268,0.0237465245517726
stable,0.274569530553939,-0.467299608889638,-0.305127748589987,-0.213513376247317,-0.118309920329548,-0.284084775380945,0.01168075132516,0.06578595436683,-0.446775986275442,0.102149770123839,-0.231264037649743,0.183520879394941,0.0451974129282788,0.0601612019422889,-0.182602741736195,0.155772719041723,0.0874595675838993,-0.362223854610906,-0.098212907132548,-0.0577870277944199,0.265963149267914,0.48696537561056,0.234741831811661,-0.177511251083148,0.206576336159012,-0.119116768575113,0.116733320309479,0.102492912481148,-0.373213684162565,0.279225137672026,-0.302832404443121,0.507363797634926,0.0068025653807104,-0.120424419179994,0.369513311174285,0.0227725961722353
stable,0.0264431064747011,-0.0029483603037994,-0.393592938234439,-0.288281193633103,0.107720449670958,-0.195881687683674,-0.0325109372785026,0.462037016715497,-0.160014358095043,-0.279080730006514,-0.187576262006454,-0.14932655199377,-0.0636003436962448,-0.170649514905177,0.0488848668228173,0.0521622851962372,0.186339003664681,-0.306089816360963,-0.0184667388671009,0.0954926518038609,0.1751378669748,0.0146891522278579,0.03597262817091,-0.230156376215343,-0.0940184716519612,0.487506111304121,-0.202818231791274,0.16934644494948,0.201054480538108,-0.0756307067215692,0.208649140784949,0.289518451974876,-0.0649034136519418,0.140363010177308,-0.120566876708941,-0.353724262519222
stable,0.476378330290923,-0.398216722443812,-0.22146670876111,-0.670803345341895,-0.469260702494419,-0.242607915487529,0.293304476298316,-0.131874561106974,0.0515168078802725,0.150687324539369,-0.0334184531858162,0.515194538385612,0.004815644085367,-0.578644618147756,-0.258695341882601,0.274385874534374,0.482305276857528,0.567055320843411,0.0586344356767766,-0.0052389974115531,0.197018054173862,0.20379170739284,0.175294736623937,-0.566208614191039,-0.465159467146991,-0.170981824613416,0.0703560308955545,0.527048431518823,0.531837616021304,-0.494476684985379,-0.184105777725186,0.298517014126982,0.0585021377623434,-0.547157714512663,0.229854396536172,0.55991123346402
stable,0.26742784766005,0.103557022125619,-0.230008311514115,-0.135186813244802,0.165560915231572,0.0245368443982508,-0.270115701154298,0.0557322349527074,-0.107588802366991,0.168717106834667,0.307372337088461,0.302661805964703,-0.309686877597397,-0.293193231155419,-0.138247979724363,0.0176950355038008,0.0324714422133421,0.220458286598945,0.15787066773414,0.155406802031079,0.340108492145934,-0.124428611758986,-0.046161847511066,0.148388517907208,0.284640970037357,-0.237820734170376,0.0668773244414841,-0.0528000311408002,0.0214621029010426,-0.233632841226055,-0.0820813442069285,0.138037566950823,-0.0539403326232085,-0.186384992303172,0.206591406071801,0.0600762405999772
