group,ARNT,ASCL1,BHLHE40,DUX4,E2F1,EGR2,ELK4,ESR2,ETV1,ETV6,FOXO3,FOXP2,GATA2,GLI2,GMEB2,HINFP,HNF4A,HOXB13,KLF10,MAX,MBD2,NR2F2,NR5A2,PAX5,POU2F1,PPARG,PRDM1,RFX5,SREBF1,SRF,TCF12,TCF4,ZFX,ZNF76
progressive,0.275913548255777,0.248178049613505,-0.0594053574986759,0.0946544396295277,-0.161357513065211,0.0362657486640609,-0.371626435234947,0.367984540735849,0.161566417147377,0.0380762507095018,0.147026693028606,0.23056743548689,0.151859340796052,0.012868491461441,-0.118831605405568,0.188689130481962,0.260315376787364,0.0858247604233009,0.122988796640677,-0.291985235643767,-0.236381932440517,0.1110812639572,-0.0583886909654668,0.0870433675692707,-0.0665638040475727,-0.181091985360516,0.139318132396672,-0.0422752227610434,0.102168023118107,-0.36498328542206,0.215477597285081,0.0453600397076983,0.155981714684133,-0.0026461183741058
progressive,0.0388064920863683,-0.163717152923398,0.0563376911339764,-0.014927887540231,-0.151290677359112,-0.0398087010527605,0.0299496014123027,-0.029662264424394,0.020209138424382,0.119757055114716,-0.0634788792143158,0.165895587688846,-0.0744536064300646,0.0034040842985899,0.0157333368799879,-0.0042313903494367,-0.0536915522873016,-0.0857958119077182,-0.018267386242087,0.0354313531619243,0.0447105115560995,0.0173647139194417,0.027770182110319,-0.0093646653922902,-0.0506331387663533,-0.026437218094799,-0.0873918440855447,0.0357909059047176,-0.028652425299851,0.15584420806299,-0.0124535503190147,-0.0619475310868767,-0.0178498935241749,0.0033209401881603
progressive,0.0540359126835181,0.165282729337788,-0.164436565535852,0.102113837408279,-0.154039470480394,0.076810032010159,0.0098180394979812,0.164005497249061,0.0677407604062859,0.148218672775231,-0.0957676809612287,0.0927752693295409,0.128892274242822,-0.0207152434750128,-0.0697180165740906,0.0397720965722098,-0.067434775038387,-0.0113092333489732,0.0885468350979087,0.066445563863149,0.0153628974180055,0.0946329066028805,-0.0471306175066378,-0.0537602480650762,-0.0904249002227622,-0.0100036852967304,0.0041193896002664,0.188745669527956,-0.0452581343347958,-0.112219609549875,-0.0936966191558432,-0.0727115812852738,-0.0134003954264707,-0.107386948559511
progressive,-0.165253221513158,-0.0536434134581371,-0.0380628642997253,0.0240764730449728,0.163602799212899,0.287168791545365,0.0225010699401801,-0.0296185161100474,-0.136375519958341,-0.12502886664406,0.393128716441829,-0.16568458188709,0.0628895292993614,-0.365540407309089,-0.0516600934779962,-0.0967700734518392,-0.144200959785422,0.0509286563221996,0.22308364381826,0.0384426489767736,0.236197936925716,0.0306031430505429,0.0496392639001222,-0.0110653313312825,-0.164629624450844,0.399378753164117,-0.194829539325756,0.195199946603371,-0.0707477900244586,0.238818920067321,0.215923999350942,0.0442613253251302,0.10030535303819,-0.297760564205267
progressive,0.0786271413507982,-0.229449284048234,0.0143275156490793,0.3928308659955,0.116196587400831,-0.0044376104700339,0.0396641375476638,0.120433873943856,0.40357432529832,0.188940302112752,0.0995784111950901,0.0959987097168095,0.533867620345373,-0.173267132258333,0.171777767409706,-0.267192924817404,0.0530510017133993,-0.0233595118363712,-0.169791947611535,-0.0068806914059408,0.046126761627674,-0.0235685454993365,0.165985792998376,0.414073911994348,0.371648788148351,-0.108623471986317,-0.426785771623424,0.212966108749825,-0.392264733158302,-0.0134783163932828,0.178092325978449,0.404663042292931,-0.0364545998475509,0.090563834479712
stable,-0.113583751056568,0.0483157503551021,0.0902716642843987,0.0523873467824257,-0.117292502280799,0.0711290764508459,-0.111751730382699,-0.10581979490039,0.273352676970029,0.0454412433313381,0.0420629370002739,-0.0842240316323917,-0.0586339734639018,-0.121014073312697,-0.0976442655159542,0.0041476861315404,-0.356064545318868,-0.009177515346923,0.0274164661902455,0.191777498234394,0.115008025310438,0.0935678217981692,-0.0913883907145188,0.089601781498657,0.0335603430699669,-0.110736797052269,0.0704580456226265,0.0333453402259476,-0.212499920077546,-0.0612180257408061,0.0864020595530138,-0.0182828315780259,0.0457334201419144,-0.29018718918229
stable,0.101985968539272,-0.0244298682125283,-0.174213160843614,-0.139587191533631,-0.0044254441794801,0.225312370748097,-0.1378585682071,-0.0701355923958912,-0.0548255303021986,-0.0611435378114744,-0.0098981701685908,0.0476112342498579,-0.0060414464952044,0.0491094680570521,0.11507215563149,0.0690521221174143,-0.226870814680182,0.15226844213824,0.122186465440165,0.132547286464782,-0.131949084835361,0.0331512892044952,-0.261918878803519,-0.0469701368060716,0.0039559299931548,-0.145188137011499,0.106626359744917,0.136409781575011,-0.167310834350294,-0.0776181822689892,-0.0543422894552764,0.12511695149282,-0.0644285772679564,-0.0623511719744413
stable,0.039445606271623,-0.0411462105992239,-0.0159859369473279,-0.0026914534066811,-0.0002160658560826,-0.0648239211778411,0.111939838645827,-0.0261669793060335,0.0206955532958871,0.0652186804908817,0.003885074445584,0.0045396253216831,0.056209529790445,-0.0740095763804298,-0.127292900708549,0.0423206649362899,0.0102846706825643,0.0799545106874867,-0.0457305760215736,-0.0390129406680416,-0.119240323258281,-0.0215512744575606,-0.0085123647377855,-0.0618930174710535,0.0147582002469383,0.0370640234428276,-0.122975480994233,-0.0102506617993608,-0.0057544418498039,-0.0825972198078809,-0.0510345736836411,-0.0058052149234719,0.0825989282604123,-0.0955744650691001
stable,-0.0135552010796795,0.0808905216351778,0.0733115220381135,-0.0098468517201494,-0.0208069828193519,-0.128070832873041,-0.088670909742686,0.196567240777978,0.137221955513428,0.170714773015362,0.156269328023622,-0.098996764496591,-0.103612644555757,-0.095903917107722,-0.0409397809232776,0.023247138561026,0.0345776275423997,0.106823216506896,0.128332596899734,0.110325304225953,-0.131261245454693,0.0604790830858291,-0.117615404156482,0.0891617621768269,-0.0698039456357604,-0.0341759790358345,-0.224069596479951,0.0456842090229871,-0.0329530285830859,-0.208712773580656,0.116393582218056,0.0877236245612377,-0.183059232115417,-0.0034582808449061
stable,0.0480290284974559,-0.0912739321752244,0.0709345145398103,0.0248350129633085,-0.0769920596613511,-0.0102271673408194,-0.0676055183846956,-0.101464330558984,0.0114171547187015,-0.0639941771189448,0.0109849226974808,0.127901435571812,0.121582122462393,-0.174216603385749,-0.0291357440631135,-0.0980326736766644,-0.0062482489477609,0.0078448312758861,-0.110492627501714,0.174068852897746,-0.0185234584411596,0.0197431308485948,-0.0399893329934804,0.146474706392108,-0.111357316430743,-0.0129461586272758,0.0482910213719211,-0.0226622711979474,0.0483997540369889,-0.0692438171748064,-0.0774503785267246,-0.0539656970782027,-0.003720298817406,0.125996421288898
