group,ARID3A,ARNTL,ASCL1,ATF2,ATF3,BARX2,BATF,CEBPA,CEBPB,CTCFL,DUX4,E2F1,E2F4,E2F7,EGR1,ELK1,ELK3,ELK4,ESRRA,ETV1,FOXA2,FOXD2,FOXH1,FOXO3,FOXP2,GATA1,GFI1B,GLIS1,GMEB2,GRHL2,GTF2I,HEY1,HIF1A,HNF4A,HOXA1,HOXB13,HSF1,IRF1,JUN,JUND,KLF10,KLF4,KLF9,MAFK,MEF2A,MEIS1,MXI1,MYBL2,MYOD1,NANOG,NFIC,NR2C2,NR2F2,NR5A2,NRF1,PGR,POU2F1,PPARG,RARG,RBPJ,REST,RFX5,RUNX3,SETDB1,SP2,SPIB,STAT2,STAT5B,TCF12,TCF3,TCF4,TEAD4,TFAP2A,TFAP4,TFDP1,TP73,VDR,ZBTB33,ZBTB7B,ZFX,ZKSCAN1,ZNF143
progressive,-0.184342140588908,0.198497464085224,0.306391438852534,0.132571601470964,-0.110423633338896,-0.032744277308256,-0.280536444462638,-0.328196288401755,0.055517932267871,0.268063074803811,0.29023795419728,0.108647490086506,0.3375210404768,-0.126651123962999,-0.0825973890514605,0.130842552926025,0.0796304224821281,-0.34593080966425,-0.0837680289223536,0.026319213649044,0.123791802439266,0.328431761939004,-0.161783775720491,0.0881411088998277,-0.0517570834872433,0.231497398376778,0.0246843545190037,-0.408264018881631,0.378331968389658,-0.25820009750077,-0.193687076110002,0.304480739293146,0.330537568143541,0.154511007327184,0.0856787284817423,0.236395247951549,0.250819684061864,-0.0937050121942447,-0.128575279153088,-0.147816831053974,-0.0134354472538704,0.0427485387336467,-0.211657070909746,0.300255671253371,0.13331166115946,-0.136594835050241,-0.233858861564614,0.343293506047066,0.105310493672926,-0.28018659806444,-0.065300175786713,-0.31730395535017,-0.0460317126244272,-0.0515956159188443,0.343683719337363,-0.0474378260325689,-0.193767809894202,-0.255677166744535,-0.140153849370369,0.314370627857587,-0.342923476202818,0.124356938928663,0.34256017417392,-0.0206342096783277,0.19911642309742,-0.350270250564974,0.0338274555795995,0.355699597552392,0.0883563989910264,-0.159792342376903,-0.205776960293881,-0.343098399401917,0.316314966493726,0.133991170509806,-0.331008515218038,-0.209093773261411,-0.247274125372435,0.0703527651145331,-0.128413811584689,0.313455644969993,0.0867013564149362,0.0213137190286737
progressive,0.0317073479761503,0.122072086210391,-0.0660004358744129,-0.0893817155439392,-0.0580042731350111,-0.0693687579479269,-0.03239521698802,-0.0314913830279141,0.105267886346054,-0.187458382148469,0.0292439517936742,-0.0620144132202213,-0.137022329778052,-0.0791068353753343,0.0455646161561891,0.0705870680164341,-0.090794484268849,-0.13446089718799,-0.0428327473902274,0.137912918141201,-0.172440438863027,0.0151368213312509,0.0590883706494044,0.124424485239871,0.218160061736295,0.0241378453795929,0.0101239563237064,0.0036692677334106,0.109678860033806,0.0142477996516131,0.1184305440276,0.0504516717302699,-0.0457883195714648,0.101985257113069,-0.0144836092576561,0.0459415697040009,0.162680617767497,0.257704815189393,-0.0461240645954101,-0.0538620568822929,0.0622138093034467,0.225449792637984,-0.0443897934239282,0.0804932078568457,0.0539855400281189,-0.0460796277540055,-0.0769816529302148,0.123720142313507,-0.152015965731444,-0.0054807811495134,-0.0942398586859523,-0.168311420732008,0.18245653140076,0.118193452589593,-0.0513694159409438,-0.019101242743093,-0.100228530144596,-0.0895412324105195,-0.0616342313548716,0.0846415009425765,-0.0847196452170977,0.0365182532365422,0.095163015076028,0.0636746229893623,0.144766066571142,0.0217240133663757,0.186630081323699,-0.0717378682681921,0.0424857032548993,-0.0166055159099797,-0.1503776420562,-0.0833785166563752,-0.0519611000802862,-0.135859708187074,-0.195517212228313,-0.0836267173047329,-0.0424462038403175,-0.0760678491659475,-0.0681282769339754,-0.189653733024781,0.178976594995898,-0.0607761635433916
progressive,-0.134599817166289,0.0417489073654855,0.298877987154783,0.237756623242907,0.150115022733813,0.322945094852559,0.119935849738994,-0.287235965272065,0.144579772173334,-0.111611410789879,0.299094786214016,-0.239599129600273,-0.148514972805167,-0.10089346046092,0.0369993613770592,-0.0883479970221759,-0.336279728702974,-0.0191072372955582,-0.246596824830684,0.249104480401053,-0.357586111061291,-0.187596224685572,-0.319392660024785,-0.0606243650496112,0.168654560577959,-0.245145310885703,0.0417459112550458,-0.155723665304681,-0.100905406816529,-0.249721564893187,0.0337933708619535,-0.175036085383827,-0.0085586687695088,-0.0814965018249165,0.059839676108217,-0.0558722672891578,-0.283549251375982,0.338246624425121,0.10353623299489,0.376530136510183,0.13870707832689,0.144289835011375,-0.347960242987611,-0.101794832669481,0.0409460640260879,-0.133348230116243,-0.170352250698943,-0.096720170612195,-0.367107699257208,-0.0111367075444443,-0.0603920903182331,-0.0943206924022373,0.299171453633277,-0.0504344157087372,-0.148090236064186,0.238761259698573,-0.218675919298277,-0.0570522269870812,-0.116161182227969,0.0943626379483934,-0.0779310415339597,0.332360549644764,0.114073515325257,-0.0704791181873493,-0.19299991298975,-0.0406262292366471,0.0768633090236939,0.0075762111483262,-0.122565914194362,0.299654055930971,-0.125667294751742,0.225583401135533,-0.17702133863011,-0.381428472389938,0.252076748911093,-0.108655227330377,-0.0932733613728047,-0.0593477046177074,-0.0796703471211369,-0.0006263521218846,0.0078514724472844,0.0626884439303014
progressive,0.191225134856559,-0.120187986928968,-0.200437786325084,0.333376847950972,-0.0160800159838658,-0.307546813779212,0.103939474600893,-0.175413802232378,-0.063336409601701,-0.312178186267343,0.192809911283176,0.213070458185532,0.310470453049005,-0.416103999002489,-0.0746211107084751,0.365259088648521,-0.097805296880625,-0.0904233354221581,0.1469652437925,-0.0575027929278601,-0.304682375927653,0.088287530410424,-0.200656376177031,0.408248426198137,-0.216417615293474,0.124696402625379,-0.154629550476399,0.190287020075286,-0.0884742425756289,-0.186680287518157,-0.320999197584462,-0.0475432927985158,0.187499999462959,-0.14746162491463,-0.0100779029658157,-0.0478939473526811,0.325707987311825,-0.0250148761822076,0.452125785021288,0.263842505255518,0.331541603985666,-0.343236161064841,0.0269958467154791,0.158372901690995,-0.0784692028937956,-0.316927961591945,-0.0543241321641279,-0.0927230828228526,-0.0838610859084932,0.253773710200201,-0.283597563125246,-0.0628992298978066,0.132565637295479,0.0382623320012577,-0.24702930247658,-0.186347848784987,-0.385747333313322,0.339861680225406,-0.377131249982403,-0.180172685467479,0.108192868803366,0.29571108408732,-0.0661416460350234,0.236190888984198,-0.339470040074,-0.11558393817233,-0.20939541629967,-0.329984151290542,0.351970647232231,0.131322407512529,0.312369452387797,0.241764930208851,0.179512361956388,-0.121103331933997,0.0194089572708117,-0.322784348042031,-0.187622956254679,-0.177253600152934,0.145166431469185,0.155531233615681,-0.326586900674862,0.32593568507427
progressive,-0.030208529656973,-0.113356007114133,-0.0725444836040499,0.150098381662475,0.0893492285787898,0.158536764317648,0.0862643575369983,-0.258424968673453,-0.106546084269607,-0.0137158728031925,0.213340238584079,0.103657268585854,0.258557005955397,-0.144096687028639,-0.0584845136418508,-0.0101308605419146,0.0817950955996686,0.0354980231942601,-0.313060395490137,0.348782481950727,-0.233553946110838,0.0984117874758817,0.121910422532226,0.0368384016624834,0.0051294483470515,0.0336254944685034,0.0257632744981787,-0.147549662007972,-0.0168207494937635,-0.400869189112909,-0.0424159765421947,0.0617934479499722,-0.235550509859027,0.110435182392333,-0.0806227645811927,0.0676551030423518,-0.0853801078609465,-0.0387149315179961,-0.018009085031263,0.0918979482332921,0.1798667870463,0.0962271706291655,-0.178446385982959,0.164470439745633,-0.333702223900776,-0.22929674405057,-0.0614253440124303,0.0420758805129441,-0.160489315638522,-0.321886887731631,-0.343861092350982,-0.13338566267212,-0.216137028283447,0.301137028817584,-0.0378506874907237,-0.127720062937779,0.221106431440263,-0.216285070084415,0.173416965879804,-0.0604410660924813,-0.0086744493107705,-0.0140159575348843,-0.148333883440127,-0.0451207402571767,-0.0799425725226914,0.0078062041537422,0.322619094476959,0.199060206485306,0.188357184388299,0.15178685841946,0.39689606726531,-0.291818397616115,-0.417978019949097,0.163790247687132,-0.176693891149879,0.171116316270167,0.0478655152697176,0.220962390769051,-0.343076870918827,0.04850569603066,0.0816630583177243,0.0937864814780723
stable,0.0504491285040288,0.198804153237974,-0.0766343290250134,0.185883926379697,-0.0382855632304868,0.225899629297606,0.236251794444246,0.0288351327354616,0.0615422766070661,-0.0855868258060491,-0.11624513289125,-0.248740889526395,0.125972959195821,-0.183054757550211,-0.0731426313871566,0.078896443961883,0.0021193601107564,0.0107410195319582,-0.212434737872005,0.199986273009596,-0.148134425823166,0.157983288698253,0.252494243339123,-0.0101388869961734,0.0516974401501514,0.113732830970667,0.0414477046415645,-0.0411829371435598,-0.157034945205976,-0.118901104732986,0.002038831747308,-0.0090830503399597,-0.106820996127018,-0.308268492895187,0.218272739190336,-0.0403847302440452,0.163431398523555,0.285926081475427,-0.0966412348857608,0.173551373555585,-0.112226950574181,0.329267605803757,0.0403284824023032,-0.131164781403815,0.0638594802652947,-0.181935108266598,-0.16551360577572,-0.0828813778258615,-0.207086068374294,-0.303148902188953,-0.0807246818375062,0.113611855406487,0.243883382039384,-0.0414658845296764,0.0487272246719591,0.134601085288633,-0.0613008135293927,-0.0749274937579223,-0.0105380514522666,0.052920922217544,0.01591722411795,-0.0218275789507134,0.162404600883252,-0.155481174835773,0.0278772112484409,0.0391210450012643,0.0989862574331808,0.0434629879431975,-0.127946819195347,0.203533608425835,-0.17874423287129,0.0366801204937376,-0.108533321964344,0.0758511296841415,-0.205530772845692,0.13431417249068,-0.177186497089251,0.0808783567977537,0.011959865117819,0.0588083386679918,0.153943632150931,0.0859534738850833
stable,-0.106603316847089,0.109296724639273,-0.0625289492506946,-0.26838039841761,0.0889959362764405,-0.194152169597364,-0.0219323129095071,-0.0275442902591712,-0.125815424121335,0.0145194905633348,-0.316921023290655,0.0174530309828692,0.0069252213690647,-0.210278482784984,0.305446306651918,-0.0018544406826625,-0.222397994452398,-0.199261275690625,-0.0585368191753027,0.140603192532683,-0.207073969762267,0.036730411215672,-0.103209721836627,-0.0785932830694097,0.118502457425065,-0.205045567662534,-0.330293596112012,0.0462360103684108,-0.0057037487340567,-0.0323915559751031,-0.0003431321582838,-0.0593036267297224,0.0602991890563315,-0.314905346423668,-0.135559359397978,0.142791483439156,0.0242075845245153,-0.0758250209669544,-0.0222266400574941,0.166561319957204,0.187144159361139,0.14588221791026,0.180252323014455,0.121692448711589,0.156781903737492,-0.0993649050438492,-0.0771417082846275,0.0950077853515741,0.0691087928321673,0.0099681987902158,0.0477624394634643,-0.0211169997620315,0.129852915908752,-0.122887722338002,-0.153721410407738,0.0020502595583324,-0.0015238840485042,-0.170154925684711,0.0621094656959339,0.100277678503298,0.0347036559107647,0.116837847273251,0.20049008404804,0.162515893612899,0.102117148323906,0.143411726254064,0.0688866252392819,0.214586797466962,-0.0389294811428238,0.303561175702044,0.189064771254081,-0.0799223962025879,-0.129365764057506,0.107394227489416,0.137380265349639,-0.174160828953193,0.0606993601990421,0.0698860799900251,-0.108720945284666,-0.171096443199304,0.0914400792154208,-0.249707242177317
stable,-0.0742907253742479,0.0071010967503173,0.138674854672857,0.106278778641487,0.109177991248462,0.113278451851195,-0.0450138889369281,-0.0284643096849552,-0.0304368423096772,-0.11131813144871,0.0455224038009891,0.15362245945026,-0.0523781176790791,-0.0661358069889857,0.182451221174248,-0.126753655901826,-0.193892727995565,0.0455425332689976,-0.184545876021336,0.261991753202482,0.0493977662396169,-0.180748392372818,-0.0284763666670786,-0.101145143338861,-0.100894430556081,0.3261368127268,-0.0610478122796338,-0.217448500542,-0.0447924647888343,0.115458385267121,0.154800783655972,-0.0839498687094836,-0.0214085430476854,0.0917580841753188,-0.127353865926069,-0.0020197256191275,0.0678273032621542,-0.0554084564349841,-0.0869211644756772,-0.0138899538863328,-0.0375114447473458,0.17583669868533,0.048409404185728,0.114094238645937,0.0371664494691637,-0.0851259678069069,-0.310545271959942,0.174047556380973,0.035566130889134,-0.135009790840879,0.0413502740126727,0.0797968852017923,0.125682809601136,0.0273233983465185,0.0785100481569699,-0.0855868757029273,-0.144387897824561,-0.188991228408842,-0.0630225182659402,0.162962687846327,-0.111899453925851,0.053372948071017,0.152873270664071,-0.131740382310682,0.158745227944963,-0.0801863308990471,0.11726217188882,0.0994096106202547,0.100015564528686,-0.0308359646406534,-0.0612396890595196,-0.227081615284927,0.129491781018029,0.212082522536654,0.0217269405198099,-0.037375402661499,-0.0887614842706774,-0.0673351403566811,-0.0305493396450256,-0.182205527821795,0.146559810501306,-0.0438851380740235
stable,0.0459844220196952,0.0043984760275536,0.153832488841697,0.171787904681876,-0.160646175149248,-0.0069605504478493,-0.0389522390622996,-0.147741376103923,0.136573552942557,-0.0668939165647906,-0.0386144215469377,-0.135545953850622,0.0703410748748462,-0.0890480572056237,-0.0353327728245357,-0.0184218019630445,0.0084620338318276,-0.0751393032951713,-0.174443456277923,0.112264488467788,-0.119428239300359,-0.205004744152201,0.0238281818914922,0.0293619307203753,-0.100066316885788,0.0457189368430028,-0.0099777137494493,0.119904572994334,-0.0044771068283326,-0.0114441556894695,0.0810705050782778,-0.147614057191282,-0.0669662988912546,0.06462876964394,-0.0071872950837892,0.0169550101084627,-0.165250200987866,0.0083619582671998,-0.158776181744073,-0.078861544438467,0.0301392409251515,0.162770906355294,-0.0721721777758852,0.127129708838574,-0.101990896962578,-0.0636245148520459,-0.148781272193309,0.116342992622623,0.135456175771665,0.144841284217087,0.120586256548194,0.0865234236434231,0.17468609703252,-0.117366942605558,-0.0374285610975547,0.130311481947526,-0.0300739568655092,-0.0444407489371426,0.154925571944452,0.111031989406118,-0.0278635465796573,0.0132914046481383,0.141984231821333,-0.0014917357640469,0.158040911274488,0.148732184179091,0.145537164304591,0.117463818951336,0.10441200580233,0.0079216157852787,-0.0682549842339639,-0.125632024526979,0.0250777767788874,-0.137604751155697,0.0731480395004923,-0.0202112150434543,-0.0710474523991994,0.0372364080154223,0.0718484568185777,-0.143233676745344,0.0887288851376176,-0.084770851567574
stable,-0.0518518778671119,0.0167194848712524,-0.0582610948733405,-0.195336637328263,-0.215132693494404,-0.0690507314495132,0.155287226069771,-0.280161423008827,0.172069458368798,-0.084571740450283,0.065232225913807,-0.0517932414777093,0.125751795446129,0.101002370783335,0.0095490766549934,0.17704424753907,-0.131797942853031,-0.138394644846039,-0.184003586390523,0.121988788928436,-0.176388104177951,0.0049132317799212,-0.156598863680688,0.0328632080000685,0.205606984846996,0.0795630893060572,-0.199799710406516,0.0827060863262107,-0.0453341510849224,-0.117071446110144,-0.0493904477348479,0.146724149512592,-0.0906128031518309,0.104870533335158,-0.0200949719298304,0.0604407025067231,0.0379591646170763,-0.0438460633796969,-0.0770980890615234,0.288895648584522,-0.138055051439518,0.118463465339743,-0.185538085555258,0.056331503284071,0.13725870003289,-0.157348695442587,-0.0597923484814657,0.102337484587056,0.159123365796387,0.116181081747075,-0.142548524564675,0.0715538128915926,-0.0046112868300641,0.0428152746006792,-0.256926591430232,0.230319085608787,-0.194440322778078,-0.0126484750313661,0.0569170016963342,0.108271876661388,-0.0099048978445599,-0.0985995770404731,0.212924849518524,-0.0620807904464701,0.0969059374166778,0.123834645157194,-0.12285589346914,0.056698359366108,-0.135873388286949,0.132927504738182,-0.0833597414272629,0.154281536261863,0.0397438961963642,-0.11200578135482,-0.0553444213340544,-0.0018842619819638,-0.0543544183830898,-0.133769185752116,0.0909727353797688,0.0354930825203395,0.0659036233909883,-0.134775524671346
