group,ARID3A,ASCL2,BACH2,BATF,BCL11A,BHLHE40,CDX2,CEBPB,CTCFL,E2F1,E2F3,E2F6,E2F7,ETV5,ETV7,FOS,FOSL1,FOSL2,FOXH1,FOXM1,GATA1,HNF1B,HNF4G,HOXA1,HOXA4,HOXB13,HSF1,HSF2,IRF1,KLF1,KLF4,MITF,MNT,MYB,MYC,MYOD1,MZF1,NANOG,NR5A2,PGR,POU2F1,POU2F2,PRDM1,RBPJ,RFX2,RFX5,SIX5,SMAD3,SOX17,SP1,SP4,SPI1,SRF,STAT1,STAT2,TBX21,TCF3,TCF4,USF1,VDR,ZBTB33,ZBTB7B,ZFP42,ZNF263
progressive,-0.0143471175214571,-0.292971333951611,-0.185540969727861,0.266493049806027,-0.0787494381952337,-0.118969279707148,0.0498555679363437,-0.137781571559263,-0.289278082456059,-0.155116562813157,-0.273939443361922,0.291014908835048,0.0521646819344632,-0.0943476030701389,0.0294994304140165,0.216451155668106,0.260237813038787,0.136696886885794,0.133569268502174,-0.0824094171547891,-0.139691415125431,0.169736515129781,-0.0812182603661338,0.0775848994353752,-0.114417596782901,-0.223445042734456,-0.334595276482554,-0.260231158531588,0.15912257614707,-0.156061502835442,-0.082336217575598,-0.131686042964803,-0.123587507703387,0.047959033384574,-0.267650934058686,0.0806992088045968,-0.0351624160405285,0.325831290501219,-0.0698523620699145,0.10660520533105,0.0129962525600212,-0.2576625187527,-0.268955217469728,-0.235709299502567,0.116992891068988,0.0906809696033843,-0.0103544132019422,0.136783395479384,0.0629982196547471,0.301249540907405,0.1687583025715,-0.0324806496392543,-0.0171952466027112,-0.0226985240564426,-0.0646352284257483,0.23930273339013,0.252605093281314,0.214201932234779,0.148887944074713,0.193313434136517,0.0190718176328832,0.240380763556399,0.266373268676442,-0.158317380775968
progressive,0.171141733212359,-0.119633461826855,0.204769739481986,0.0538119473109418,0.105757496022786,0.0221963683797521,0.156841813003753,0.117655436175789,-0.211636373379576,-0.0558130025839831,0.123255250537308,0.212665806998224,-0.255865951928849,0.0227884770901962,-0.22905623638341,-0.0687331914942324,0.069311501464237,-0.093408337057413,-0.194296447906564,-0.104947367213398,0.0619142346239543,0.343270885257821,-0.229523585447536,-0.169617924031069,0.0346600568907729,-0.0184641421639202,-0.0089434870793208,0.0327818104076429,0.0450039257972457,0.0422106324955244,0.101019198883326,0.156240758902955,-0.0381750243174785,-0.0850612886381224,0.136453555440208,-0.189565240464778,-3.27363221460562e-05,0.11521396317341,0.167780360041304,0.123384625624393,-0.0591817985257575,0.0035220571243796,0.0651412841941108,-0.10630858916682,0.0015114854786215,0.0293232750711484,-0.151462492998084,-0.0604360088679782,0.0997629425209711,0.296544258089502,-0.137929402103004,0.102532682800218,0.0359231174596204,0.153359581899194,0.157839319191936,-0.124134706121938,-0.155339130169895,-0.0928744209661326,0.0554268757609958,0.119140466138257,-0.214468826555027,-0.031747190365864,0.338723296227607,-0.0662202029508867
progressive,0.0425034810521002,-0.243879297261523,-0.0703130790825339,0.0778307047636292,-0.0365794470330947,-0.152610093381644,-0.113923105825363,0.454429668914496,-0.0681307844301157,-0.397641120040623,-0.1842516844111,0.393364015696768,-0.313693244300052,-0.0337024307656671,-0.286250021149568,0.218013205452435,-0.14531770354807,-0.403797216768267,-0.489787499720033,-0.261837001444576,-0.256319317370061,0.226370421269911,0.159636690755726,0.0849350145734278,0.441817005073709,-0.371454064620349,-0.307611964913317,0.286494536558577,0.422395457516796,0.415354498449697,0.0031741237917094,-0.0350683592518382,-0.316083530654504,0.207929350035099,0.240163828667901,-0.427051617003009,0.208037353506438,0.185412478363038,-0.211246825267932,0.291288080303603,-0.0596225179892569,-0.0573519924780683,-0.134845488229521,-0.062144158208535,-0.344582983000817,0.412347822390387,0.0189615688256468,0.127449823158048,-0.113753761742653,0.30971610464828,0.127040451695397,0.412035228005238,-0.208005229332182,0.291272795720102,0.294387045411347,0.140479393293386,0.457139161595512,0.0946649351688502,0.0102410375733889,0.0579237041696165,-0.0763769879004269,-0.0057332611777897,0.461939317281952,-0.20911268527106
progressive,0.200095313898006,0.117185711480896,-0.238085006941025,0.113354666207917,-0.169781264627147,-0.027395587895453,0.0433070754561037,-0.0158708278820459,-0.448503361462565,-0.0008267467982961,-0.177285234200753,0.249230276620788,-0.203036363983748,0.414231770140845,0.128290321482055,0.298189047402949,0.0536978822106455,0.0770500909559616,-0.122869031001424,-0.0944208092043153,0.354724071631791,0.0701605343034936,-0.0193314183055151,0.125679066567218,0.386538011268958,-0.27813930810875,0.233002547115434,0.166975746803421,0.04376336740489,-0.15301140607373,-0.210495156136682,0.233002547115434,-0.174068601848912,-0.22061941610926,0.0753740086490333,-0.0673821229321704,-0.0567066984273955,0.313626172046544,-0.194949605683474,0.100013773883499,-0.230721087371501,-0.202381291384005,-0.320569941603818,-0.399571697132807,-0.0899889042363998,0.441053604793765,0.274529632197063,0.0286244137377293,-0.13037300057503,0.142625117061255,0.140601168615153,-0.0322250541652814,0.159860303047593,0.139670513749312,-0.117542613104205,0.0734133085918719,0.125028511709542,0.205037723719514,0.0893609380890601,0.0922613284961974,-0.051262819236429,-0.0753604554228317,0.309894517099043,-0.13433054262589
progressive,-0.057852133376581,-0.307941873756523,0.0738205711166088,0.0891118303135729,-0.231331489240946,0.0212277225924442,-0.184999501019118,-0.104739651301401,-0.17219798808228,-0.0066825762812508,-0.0124771160299811,-0.0889536868214802,-0.109536670561546,0.0537647323501849,-0.201620787534195,0.0940426632977968,-0.0338792019598608,-0.0606338368528784,0.110728829194245,0.0823359899216008,-0.0569600418827247,0.196698064472643,0.0286401919141229,0.133477162287581,0.155215810008325,-0.0720444980515676,0.0191069778138677,-0.143359103062707,0.0176066421196548,-0.252680860673461,0.0071772815642075,0.051060073139266,0.174180864175443,-0.0822265059655366,-0.169671747170133,-0.199747395397097,0.251184579940584,-0.279119208582293,0.258698423295656,-0.0209763149896302,0.0351443498966025,-0.0064879381371367,-0.135970963509043,-0.147543823161161,-0.011021384910461,-0.105238411545693,-0.0209965897963087,0.16611960104005,0.0508897647631662,0.160848151303627,-0.076829352427706,0.0415998483430535,0.159173452271978,0.15401959641429,0.0920354574366202,0.0739543848406873,0.151213563169979,0.0831632020340857,0.20726934867484,-0.0007947724217992,0.245154852434383,-0.0508451601884734,0.138647237990612,0.0943994998953394
stable,0.105514883006973,-0.408445614521227,-0.0831764584913658,-0.0173467230776784,-0.332457068667749,0.508960960013532,0.359918298212885,0.451976286635543,0.0448409244226323,-0.490535992776533,-0.246238464353666,0.0799805447320193,-0.255146395835819,-0.17875163981968,-0.160773268679305,-0.106829535573766,0.10579312400873,-0.220875133384168,0.283598226035823,-0.175617631066574,0.116296601270021,-0.0199476375024623,0.43893651244381,0.435184538623544,0.247587294270544,-0.179852729156572,-0.159394902780871,0.147003473523041,0.43783705059978,-0.264883022571904,0.283075137774721,0.0441473110761819,0.104130007137094,-0.0174902438370334,0.264033411020829,-0.081225034273239,0.173733114888298,-0.186408089569062,-0.202915086607859,-0.121362444049406,0.224114567508174,-0.238537891464491,0.0970011664623181,-0.229786862349663,0.0872353654097573,0.0760251343040993,0.102430181259811,-0.279265297541611,0.0616310449417704,0.380598006115333,0.0307765530584858,-0.0199734965557018,-0.0788101965322556,0.361017940889455,0.210727233174298,0.0414099886386217,0.239140787153306,-0.272958099651702,0.287173164799295,-0.200713631264237,-0.0765098257891786,0.102716439170847,0.423864180500943,0.03013315088068
stable,-0.0535460144747202,-0.345223892350904,0.040084544679744,-0.0550832861395123,-0.0499413877308097,0.249904715424862,0.223757406030157,-0.0655209589396277,-0.109479190108679,-0.160675396298107,0.0069757608216004,-0.0098782725883096,-0.080272814272398,-0.147225087720445,0.015837320920669,0.0700607468782676,-0.0393605537166062,-0.0841377206040841,-0.374015368535545,-0.188124550080383,0.0016289424630024,0.09565252528317,0.147653083200401,0.0055960855452898,0.159432185505495,-0.229318668577425,-0.395536725393942,0.165061308254036,0.06651713478901,-0.166074746786198,0.125726350929138,-0.117946536012197,-0.151818598318426,-0.272637436402467,0.11914346495701,0.0196069848646041,-0.126006869524311,0.0088422139890566,0.173208401628742,0.11239583941732,0.172652275374015,-0.0721090534798357,-0.0685639532282696,-0.202897388501704,-0.218319512138272,-0.0842246292829068,-0.0677856443408675,0.0054502456390462,0.0489160439001787,0.0818774996897701,0.0037521036286935,0.0132870571724073,-0.147218242173825,-0.142731730445834,-0.226195164707887,-0.0205472058111827,0.127879572973463,0.0611515655853235,0.16694978622366,0.174302200925569,-0.0608109252328831,0.0603226591794288,0.197759656947466,-0.361262263999466
stable,0.0059200328172354,-0.259457940424054,0.0623516092349113,0.244466747869126,0.107134050697508,-0.207666966025031,0.156036915976883,0.0092193930557895,-0.193472071551161,-0.273122688840345,-0.166536767445246,0.194843114136976,-0.305652837316275,0.0652195771203508,-0.196485446816223,0.0331782646195917,0.0931282371978473,-0.161660995964921,-0.115280100940462,-0.160459766590997,0.0079730514276927,0.362883691895581,0.171339013144567,0.0825177630834317,0.238664119950278,-0.318590908499347,-0.322420106511283,0.203153479856975,0.171939242476283,-0.0891312298213001,0.17669015885679,0.0292125994697478,-0.0530204631576801,0.061886819427113,-0.0511988118371317,-0.255678838594144,-0.24184227311868,0.0343314016587712,-0.188619678289114,0.183722172772895,0.014736806711638,0.0656700830936843,-0.253454516731509,-0.125087546102183,-0.166097770748604,0.0292053547911164,-0.37310737210406,-0.172987203223559,0.275918466842968,0.190019083021061,-0.401891764824063,0.243071093928243,-0.151456840422258,-0.0860273217636951,0.132319071274498,0.0705164134331881,0.384723315127253,0.08804257556001,0.255149925673353,0.0103671865022196,-0.252969020501806,0.102892933617573,0.335205114590506,-0.376130972128325
stable,-0.0659768438668283,-0.247930532625686,-0.0127178942134307,-0.12808855900831,0.0134944664934693,-0.28473866187988,0.142798308120146,0.514954004670192,-0.336953959413082,-0.310078257975587,-0.149389216445602,0.0124291686221342,-0.410219576566042,-0.246821794654236,-0.0613756110048796,-0.0594905484164479,0.280772635225305,0.0447611348579242,0.176833750391324,0.0863586218318026,-0.338638266327895,-0.122521935552029,0.289888418879419,0.253886432874213,0.195288957439593,-0.335775231861859,-0.191112020926082,-0.178011734953378,0.296833881636596,-0.178596715092889,0.0033198737401014,0.0715096365495887,-0.206121789064592,-0.340571028821013,0.174934026149946,-0.050261335082446,0.0465153818198995,0.313215554510418,-0.489125917961795,-0.349205751754134,0.167269399409233,0.0044907751387386,-0.0775237871490104,0.081406202755702,-0.217873252498852,-0.0392061515652991,-0.175440596165761,-0.192114461913671,-0.0494027367980863,0.0387714038358758,-0.14760851906919,0.040075349828478,-0.0002995237005608,0.382130821477689,0.0658760450028227,-0.1269756107649,0.203927147655505,0.0541263152099582,0.315128404893792,-0.284960617511137,-0.153683396650072,0.130655933317467,0.268490578458747,-0.474364209140701
stable,0.0808290208685942,-0.349496049718827,0.0580918771121922,0.03110582591481,-0.0828692318839192,-0.161996732893883,0.0266308018063606,0.0600858540966033,-0.220626430058705,-0.115689910261623,-0.131912141457258,0.186388947435997,-0.0838276740968629,-0.334100547508533,0.0972928517560036,0.419255675897633,0.119755279351976,-0.0785868854112782,-0.0380793155496417,-0.389522355574951,-0.189186643911294,0.0530876346312828,0.161402356794135,0.237180363545895,0.215685409927045,-0.251989231168594,-0.0995175688109754,-0.139116908767661,0.256259750331001,0.0329721754696986,-0.176972365590878,0.054213164481529,0.185419538080837,-0.449479614553013,0.449525633541922,0.0198905252251384,-0.204533546628627,0.0021704189488985,-0.235832910347263,-0.0081878318328333,-0.119924087325312,-0.0625040014343983,0.174680985514588,0.0251008854671217,0.337521220670143,0.211713154024533,-0.0833363031171509,0.138745208663314,0.517241285470329,-0.0783629191638515,0.0573574011466752,0.206055183850703,-0.132229650976533,-0.0346379983556237,0.136630270551512,0.112094945555569,0.324230442076449,0.178202620897194,0.0435496615747637,0.0779341254073763,-0.166621533758292,-0.0614353501942763,-0.0099169845890102,-0.133400124605668
