group,CTCFL,E2F4,ELF3,ESR1,ETS2,FOXA2,FOXH1,FOXP3,GATA4,GMEB1,HEY1,HNF4A,HOXA4,IKZF1,KLF3,KLF4,MEIS1,MYB,MYC,NR2C2,PAX5,POU2F1,RARA,SETDB1,SP2,SPIB,STAT3,TAL1,TBP,TBX21,TCF3,TP73,VDR,ZBTB7A,ZNF143,ZNF76
progressive,0.156823864549698,0.198698405498816,-0.199925646473492,-0.22865117697965,-0.0435535684364493,0.0372892449997778,-0.0347471029808056,0.381820290934434,0.0821037698222956,-0.0495818839933755,0.0712136919426137,0.116587892594242,-0.0100674218417122,0.0376466283605352,-0.302110315320985,-0.12390413686635,-0.399601798902682,-0.0845919671830403,0.136034941885265,0.0064329004936325,0.361928198213033,-0.0099595325252571,-0.0529938836262665,-0.0555292825629603,0.380552591466087,-0.0733377628603225,0.294571549333688,0.0121105757720797,0.172373412283783,-0.257619458447832,-0.17926484237235,-0.23513802213151,-0.060573108107234,-0.0430208649364525,0.0228253335125222,0.140525834682707
progressive,-0.149222359490119,-0.0296898898099767,0.154895495541378,-0.0351545621758078,0.0550608980934301,-0.0700506331788372,0.129291199686459,0.000594729047909,-0.194365806592699,-0.0921964348537176,0.0671324263692966,0.120457978196118,0.253025123944639,-0.088797176256423,0.0332201027123935,0.129071724258084,-0.0834748971183435,-0.0058545450234147,0.102995537246396,-0.0634222758914111,-0.0837529436277331,-0.10255454542005,-0.132109778700983,-0.0475166201006967,0.0705774881215179,0.0790030378008057,0.14025543075892,-0.104513591447456,0.128076205738464,-0.0963841722174818,0.0608931348444971,-0.160544045028646,-0.119047715668467,0.0013953587031468,-0.0188903602376149,-0.142675735915423
progressive,-0.0413499802198816,-0.140567133681527,0.0023407219922159,-0.127618027697293,0.096874771591187,-0.233638038914913,-0.178499692734972,0.153681423087444,-0.0641039231391021,0.100682315217708,-0.0802063508931499,-0.101905671018771,0.130992113273315,-0.0849164724662887,0.0916896822432003,-0.0045106425133132,-0.0109822268770355,-0.170105905525354,0.136010589150671,-0.0819448179859324,-0.0519387138071711,-0.12805937655359,0.0131997348305063,0.0165147032045186,-0.160649221667514,0.0328881507706291,0.171681461952815,-0.0594446066084677,0.0993594305635868,0.0189330308887027,0.116428188357045,-0.0281586724635279,0.0075606177101113,0.0929675331237825,-0.0035171543122019,-0.150298323095738
progressive,-0.29949181131002,0.202879641492702,0.116227629906916,-0.393292022339266,-0.204749730589623,-0.516572299691991,-0.0085177780764855,-0.01521551810244,-0.107555148596136,-0.213331209997877,-0.174769153802249,0.0813420505733614,0.370063786719363,0.0358456494052101,-0.0226367232534806,-0.104879692661855,-0.31457082655867,0.0584823726586907,0.130196421944743,0.0882445448800006,0.100470650484443,-0.393992736988721,-0.359716870402094,0.0782388856972058,-0.110867617848102,-0.109252334078256,-0.0127311661634651,0.0246797159652018,-0.104542985622507,0.0787029954000913,0.202779539399923,-0.0132908278640034,-0.202433732170322,0.137312770722319,0.20886756667895,-0.227950665638768
progressive,-0.0183637447812858,0.12382236840261,0.0916239261717323,0.0069802521599583,0.111306613948359,-0.0085589254682279,0.0519744705887131,0.198523241372583,0.081616192551699,-0.123473355794612,-0.145209536357831,0.132259545286653,0.435831523380469,-0.351796592289622,-0.0566699076521269,0.10441158579733,-0.149320580217155,-0.129641950726668,0.0073739059154908,-0.224013336614849,-0.0052757719813638,0.182655342567096,-0.257640295566835,0.0095816135753846,-0.0322714913813888,0.216525798687452,0.0606389114965684,-0.0010997955438073,0.0948746133694803,0.0231444058536293,0.0147315786864237,-0.189513846142869,0.0391543446739989,0.0537357667732607,0.185167421687453,-0.0314720090119052
stable,-0.154645751224109,0.147861797854053,-0.0378173393091403,-0.0946784493415714,0.23626100178363,-0.149245198509694,0.276069864936507,0.112726335685646,0.0270020288279904,0.305839429819865,-0.161540712179749,-0.114487027429189,0.254460429095339,-0.323476594220148,0.152483705523864,0.304649266858709,-0.207449114587043,-0.124017270504807,0.196693746977534,0.0579184067714594,0.233911657570258,0.0412883928263699,0.0771295154602218,-0.0737469986052945,0.0403065910421262,0.190696459608349,0.147230591455939,-0.357717015635073,0.124092030715506,-0.124153075703276,0.13616724361726,-0.1445426526765,-0.0298953898079989,0.004719016346444,0.080009161217301,-0.216275840200798
stable,0.011710747600839,0.0370230194847918,0.150941526580614,-0.177788844358798,0.391159623267361,-0.231595152365083,-0.0974930507256782,0.230666800076453,-0.0235896042660701,-0.0138888106663697,-0.0055947297019222,-0.145000222030762,0.331552952150032,-0.106041846942156,0.133859544275067,0.188253033227693,-0.181851680211446,0.11563351974738,0.136363768944994,0.0173793252131906,0.0171439725230416,0.0153066305076628,0.266797790838314,0.197842454572234,0.0456834881511868,0.129112264374536,-0.105964246597253,0.047663722871299,0.164613596631821,-0.0778338964240481,0.270830006825662,-0.170671676942474,-0.0508111148099052,-0.153951579417507,-0.0680137754081051,-0.103905060655828
stable,-0.0167733372051305,-0.0065814451877874,-0.0427136613692269,-0.0592006341565559,0.115146191879736,0.0140372085925822,-0.0642901887982542,0.0128909195240465,-0.0205085975588303,0.01175678964146,0.0117192208746172,0.0718223887950624,0.0576899852082119,0.0027416366198585,0.0908062036509411,0.146395091919614,-0.0253931607963865,-0.0769118914744275,0.0700849242626676,-0.007238820664036,-0.0997787995217207,-0.0430839449550105,0.0146400755813923,-0.0444843298324826,0.0274257713808793,-0.100512143928985,0.0349461759280702,0.0263069703865619,0.0864977987629735,-0.0137199785489099,-0.016774012715461,0.0211602571784362,-0.0163948435707146,-0.0483113556664651,-0.0369077020408604,-0.0299187162744453
stable,-0.121551350114896,0.116702565970753,0.0282689044666742,-0.174015486387159,0.0868116336703399,-0.0582297361982805,0.0585101863551404,-0.111843753213813,-0.0039252491916946,0.0847098370004063,-0.121600289745344,0.0490027104224155,0.0742371572290624,-0.20015125476891,-0.002143014268528,0.169539265208413,-0.027770081266166,-0.100215225674585,0.120113698327425,0.123885058455754,-0.0587546839351241,0.0379982133144622,0.0037611309432765,-0.145744275339542,0.0414699184924258,0.255051040231108,0.0144838741747063,-0.0179154147584191,0.0790067153321117,0.126835075196033,0.110176446193297,0.0258209702260623,-0.137006595725092,0.116287180828714,-0.0936947219202949,0.0166412795025976
stable,0.123084318782704,-0.0705246073878627,-0.003008675322389,0.105757260652321,0.0144386166596167,-0.0980230141299265,-0.158348635441572,0.218318669217375,0.0690740757353811,-0.0791550041382852,-0.0200691516098053,0.36996424022871,0.0530514188839688,-0.0112800026516737,-0.0149597025559286,0.0114313558531291,0.0496878088792307,-0.105035748733665,-0.0832147735843688,0.0852624485650942,0.0326183014518282,-0.0566568022989397,0.0044248233575738,-0.0429721226147971,0.0199335757010969,-0.0673135474826504,-0.0924027072177945,-0.0578875399421187,-0.018105477111843,-0.0498776804367718,-0.0585793470268444,0.227942491366279,0.0460580522671886,0.0678369183661878,-0.116930956993555,0.0828041287372856
