group,BARX2,BATF,BHLHE40,CEBPA,CEBPB,CTCF,CTCFL,DUX4,E2F1,E2F6,ELK1,ETV1,ETV6,FOXA1,FOXD2,FOXO3,GTF2B,HNF4A,HOXA4,HSF1,IRF3,JUN,JUND,KLF1,KLF3,KLF9,LHX2,MAF,MNT,NANOG,NFATC1,NFIC,NRF1,ONECUT1,PBX3,PGR,PPARG,RFX5,SIX5,SREBF1,STAT5A,TAL1,TCF12,TCF4,TEAD4,TFAP2A,TFAP4,TP73,USF1,USF2,VDR,VEZF1,XBP1,ZEB1,ZKSCAN1,ZNF250
progressive,0.249007871239105,0.0179328444110728,-0.188131111307665,0.0138824144024593,-0.191840663543277,0.502066172486823,0.0122448643164686,0.0531836164662342,0.243660768917502,0.068429541960702,-0.0259267623818678,0.0411192168531196,-0.0872981292780551,0.295801700431024,0.0288342492692389,-0.229484263887355,0.117295373302243,-0.0174649729579326,0.050135768142921,0.0675806894671477,-0.089697641444874,-0.015733848581314,0.255939052623481,-0.0084417377902292,0.0804204189168945,0.100258168530038,0.010667469131596,0.0988812896822255,-0.227472416638852,-0.0194567685727294,-0.367419452150981,-0.365735114919677,0.0379644264833744,-0.445828023819373,-0.210602308814198,-0.0456040989253633,-0.0208135957868359,0.205342096905322,0.267027606062903,0.196278758470206,-0.381402124721971,-0.382672061523351,-0.154517889338495,0.208236216036889,0.111540554428618,-0.367640020121748,-0.134185532760603,-0.155192961006597,0.496204411566766,-0.068402806449094,0.129633811909339,0.110223830481924,-0.369959325753742,-0.118592045615231,-0.0649606093295626,-0.0253185294927856
progressive,0.230060325584469,-0.0079614288254993,0.0191946141750842,0.0822747558561496,0.139766064905264,-0.0460071236872728,-0.0551133170416122,-0.0688963084745981,-0.21377656371068,-0.0564212812767053,-0.0931690935557731,0.0537572164662465,0.309544735650959,-0.138550066165893,0.148424405701434,0.0612508660873083,-0.0390013692437221,-0.0102279546763234,0.188719350343039,-0.0866183387572955,-0.0202086958764981,0.0884527735064996,0.0714353229300915,-0.0173984707722719,-0.0703205193682058,0.134496579262318,0.0905452606914614,-0.142285957353412,0.0476095384364615,0.0938455108997594,0.211348826085059,-0.0070165460714584,-0.172123246572044,0.0109716303679274,0.109132135821218,0.158822754502616,-0.0316341899286662,0.144061511466137,-0.0501588238711477,-0.059008952721186,-0.087599193604362,-0.138042859654231,-0.0711111007758471,0.0441840485463926,-0.0149965762555882,-0.157864808199002,-0.114358644279338,0.0296165814952394,0.157252099325032,0.0119340731831689,-0.210634164726383,0.0101769311022686,-0.0486124025246556,-0.125460862811288,0.029269876782854,-0.0364555863549357
progressive,0.156750542528709,0.0894747919799528,-0.17677368049306,-0.148561972280291,0.160294205446594,0.175343184684186,-0.0447651388927415,0.165497010976289,-0.224917335074618,0.131891476981269,-0.0024256531930669,0.134003524706766,0.243270988849925,-0.102339128927132,-0.175644387891235,-0.156859924106369,0.147917194656147,-0.0604456539563217,0.216784047107455,-0.202298054175907,0.0011439845104423,0.153536487174532,0.290575398362372,0.220666692425976,0.196073887511585,-0.319094797118463,0.106699318516908,-0.0678132327190613,-0.171609048485235,0.0815792203662397,-0.0685624946179938,-0.0656364133929777,-0.184834144930498,0.108885118351636,-0.16520239686765,0.129029709427221,0.0541456490589488,0.291790947096086,-0.0152473772451236,-0.0328694375726403,0.112197514091542,-0.0523405795418104,-0.153709800815144,-0.0403397579335614,0.208645810956351,-0.206903274272773,-0.37356100963114,0.0080566229167431,-0.0636929728092283,-0.114210331012605,0.0104629285833976,-0.118775787554201,-0.0559159159250257,-0.191848316509596,-0.0528927154599311,-0.146233272963829
progressive,-0.440156449460297,0.250820829058457,-0.407012398057881,-0.389936952856719,-0.209281917345987,-0.200002671427905,-0.425230741583265,0.355332531373354,0.218973876547816,0.485854241185905,0.424754533948173,-0.0625237948321981,-0.0950238320995368,-0.466225415998486,0.273021175475373,0.514444840534677,0.370448722304423,-0.0638798527645082,0.295235127824721,0.447612500432598,-0.298187615162292,0.384617033276118,0.361219364805255,-0.134753154798656,0.369759355061242,0.0755537427904822,0.135678358203978,0.432460027015045,-0.35698338450834,0.32537680347065,0.270064152826991,-0.394712635140072,-0.380721201289983,-0.228257657776708,-0.439108792663094,-0.351078409833197,0.380308488006236,0.521275018615142,0.408876410800956,0.180704923929646,0.37516091023643,-0.196270110630945,0.410014773814367,0.387179483883995,0.33586697737511,0.25311569632852,-0.309607527782884,-0.388848478262222,0.359260110535162,0.436990802514637,-0.416799598786728,0.305421435904883,-0.0645737553184997,0.368031401642479,-0.385238370857143,-0.0944433123158054
progressive,0.146955502271664,0.199463171469957,-0.0490803701745477,-0.366588248043333,-0.285346779635402,-0.190215095817856,-0.0137614905636528,0.134420920396089,0.0660961857501838,-0.306248476498524,0.203276645031589,0.378833199015493,0.401504862510596,0.0482476813272293,0.362706389407283,-0.0593461766400378,0.126810063878571,0.253217862613509,0.164767802831692,-0.234995251606977,-0.192499961833686,-0.0274586187043244,0.0669650784604291,-0.258463400086471,-0.117920004204302,-0.367573797645231,-0.350501664949487,-0.201402089462264,0.0714302215547449,-0.408202577152069,-0.038758246588949,-0.314213326342439,-0.0634935302708844,0.0601225483672477,-0.0811610153792045,-0.325573293998608,-0.256954905797851,-0.0636785722369551,-0.171095433541024,-0.369697757603609,-0.0338988836538737,0.108342071134423,0.210951863972089,0.337066009152176,-0.353031912702932,-0.144562024667053,0.138302779032139,0.0384203438682981,0.354484089871444,0.145539528966079,-0.0894396320351523,0.0342729902374515,0.113889307465109,0.131243025761396,0.207351590936582,0.0381105997077014
stable,0.268455399180953,0.120809395664183,0.0545700904553184,0.080510190377702,-0.0274569003689442,0.10418774491813,0.0065812387936863,0.0249751800736103,-0.172928884382301,-0.120510131730853,0.230544375105436,0.138057330318924,0.145423991738042,-0.177205760321019,0.0302425309834984,-0.0751311427964771,0.208855840545999,-0.271877768072449,0.0727211969358171,0.134935081273948,0.0193002922118167,0.0868650401325487,0.289836538631752,-0.192860657118605,0.187167000303281,0.177915434629108,0.0736252858114212,0.0881951292303065,0.0139690534959368,-0.0467257072026885,0.104379714019388,-0.12930885819069,0.0606700003527625,0.158426963788733,-0.166941343659415,0.0889460707814998,-0.0205513927494393,0.0802499927678446,0.247964103764806,-0.161368431740582,0.266643614367014,-0.126375888234088,0.0571720054172359,-0.0118084229202859,0.0788495353785111,-0.249037174358842,-0.0788931869512174,0.0358969992020372,0.074335265802792,-0.109588434875739,-0.0106606433320663,-0.0979903831903024,0.0438387731483943,0.295938649448828,0.0935524121618348,-0.124722569633671
stable,-0.30784051171635,0.0527259669269515,-0.0920656013027805,0.0375717951227351,-0.0993732900364958,0.193044777382315,0.0618557792304645,-0.111731819530471,-0.0699116018206296,0.238332443310775,-0.0093808397790986,-0.0522984404437408,-0.0146215256911458,-0.147779305041899,0.151271196198702,-0.130991655166265,0.132066544619668,-0.227604392754698,0.138549171722158,0.0160770051881794,-0.0660941547202809,-0.0806396523767063,0.133766003628517,-0.291244356515938,0.0400912172358261,0.0842747521590669,0.191579850614695,0.0059426331122959,-0.238822201814516,0.0517322040352514,-0.155113386150587,-0.0372876272217585,-0.210793499594287,0.0488398396690053,0.0265846194305699,0.090596025878205,-0.0575967097193633,0.0241173822407189,-0.0538905304725896,-0.0960896887026256,-0.0335628533471636,-0.0449078256682101,-0.0460626420299097,0.265490347113605,-0.226630874014255,-0.182413598838919,0.0518574178596922,-0.11816676041,-0.0853910296550403,0.218239448383253,0.0072396084028217,0.0771036739571666,-0.0930229247222182,0.173359814570127,-0.0020879967563049,0.0389338516106349
stable,0.0153162013100024,0.0646434072588092,-0.148674296304155,-0.0920386977357803,-0.258650904275078,-0.149870326290623,-0.167774807599074,0.117416591357733,0.0762570310139625,-0.131403772563606,-0.117929634683817,0.224536503188599,-0.107068395004304,-0.211423449544877,-0.0833688408134641,-0.0868503728297993,0.139812417407585,-0.0674609215871164,0.0869781283403355,0.0332700226776948,-0.127960023008602,-0.186394253316387,-0.117422499726172,-0.224914742424255,-0.0236044501900964,0.121760589682722,0.189702162225097,0.251556715925306,0.115073612305073,-0.221770298375679,-0.140230719527478,0.0706854914041663,0.131382004890411,0.0071022216577372,-0.0421107040067969,-0.212602790981895,-0.203293223606618,-0.0889837084584766,0.111903513498803,0.217167523878638,0.26551020906552,0.0528244417865184,0.171353672211266,-0.142313885852221,-0.0163947376890115,0.196116162615326,0.182151681982927,-0.0361040700720714,-0.138617734943743,-0.0401875819078295,-0.204798354552452,-0.0009635305056299,0.172170841028557,0.195514182795903,0.166215620264806,0.147072247384811
stable,-0.140390104217913,-0.129724046107748,0.0213151377934643,0.0055017114789434,0.147514883187964,0.261870297698027,-0.0886899429817561,-0.0100574891872651,-0.238966399854176,-0.0397249612384349,-0.0650321829514588,0.0249322438901486,0.0851508174474087,-0.0719016845122406,-0.107510954876814,0.0512629792652908,0.033441991704325,0.0043545908625235,-0.0080921987144954,-0.243175296782314,-0.153214526062126,-0.107061602529167,0.0178353616273695,-0.245338568734157,-0.148405273963318,-0.0264465292480535,0.0322990280478756,-0.0634195829860604,-0.0029923600885974,0.140102773141403,-0.0223659471565932,0.119428708692777,-0.0474927668236712,-0.0256992280466215,-0.212040868616276,0.0382597580584942,0.0492711944331915,-0.0496764729883814,0.0500177443767976,0.0493378059604286,-0.0305322198927305,-0.0289028418358851,0.0774231290300798,-0.0304756752203616,-0.0669253025890791,-0.0088404515091737,-0.0656094995487987,0.161367927247512,0.0518280253181395,-0.0767114875334544,-0.0311358305139797,-0.0774436634106567,-0.0897697008131129,0.18213910429111,-0.0420451459081985,-0.230472127951215
stable,0.0867665340841579,0.12123127466355,0.0312048350892388,-0.148202680406774,0.171926764654416,0.288989157185483,-0.0817541988672846,0.0864871911012246,-0.185893154422097,-0.0605622095962043,0.136152746226083,0.077841444417406,-0.0162427909924854,-0.114577487534147,0.122068978164214,0.034290625826923,0.0637752505548519,0.327317618029012,0.261543898957035,0.041519479811677,0.230555378395163,-0.0580285958616775,0.127155298590548,-0.105684400267382,-0.0929680567879884,-0.110644989230718,-0.0485370094738081,0.224475573293993,-0.0032769372759088,0.11999120878475,0.0003713363225555,-0.106840609009946,-0.0760115580344474,-0.0257834115660969,-0.0425434481285341,0.279149775223523,-0.0691562100264854,-0.14613326419612,0.108361319664221,0.101194951721475,0.0258117255538816,-0.168449568292489,-0.0503621226174466,-0.0359855597163791,0.0791316293090664,-0.0069452801760597,-0.158694151949477,0.0644093320054325,-0.140438138791059,0.265769951478646,-0.102915812979056,0.0662673154107521,-0.0245308701754377,0.206264146530133,0.0860074805495622,0.0670385190090716
