group,ASCL2,ATF2,BACH1,BHLHE40,CLOCK,CTCF,CTCFL,DUX4,E2F1,E2F3,E2F4,E2F6,ELF3,ELK1,ELK3,EPAS1,ETV1,FOS,FOSL2,FOXA1,FOXA2,FOXH1,FOXO3,GATA4,HINFP,HNF4A,HOXA4,IRF1,IRF2,IRF3,IRF4,JUN,JUNB,JUND,KLF1,KLF4,KLF9,MEIS1,MNT,MYC,MYOD1,NANOG,NKX2-1,NR2F2,PGR,PPARG,PRDM1,RARA,RARG,RBPJ,RELA,REST,RFX5,RUNX1,SOX17,SP4,SPI1,STAT2,STAT5A,STAT5B,TCF3,TEAD4,TFAP4,TP73,VDR,VEZF1,ZBTB7A,ZBTB7B,ZFP42,ZFX,ZKSCAN1
progressive,0.0002109050394784,-0.155595192875194,0.124045117125721,-0.106724540758557,0.111357860844598,0.157730606399913,0.0022804107393602,0.0195021253692689,0.0575836665600886,-0.224528186872214,-0.0816729765380128,0.0590665926189211,0.259769100812559,0.0488970152465717,-0.181437650993783,0.158475364820571,-0.026270858980029,-0.180066768237173,-0.0590270479240189,0.0557382474646525,0.0683530051384547,-0.0247813421387127,-0.160881000427122,0.0833997615487422,-0.0559755156340657,0.0387867549165756,-0.0311216748880323,0.191383141761686,-0.019587805541557,-0.234763672069401,0.112280570392316,-0.0182564674798495,0.0817388843628497,0.118680220183989,-0.0306273662017548,-0.0826615939105678,-0.0589215954042797,0.0163253682121254,0.0506238002573012,-0.0990067344701442,0.006241471012064,0.0651630664163438,-0.408219885475422,-0.0990067344701442,-0.0169844464604954,0.0720702064592616,0.0228106981760864,0.0210641408179058,0.0050946748599002,0.0207214201287534,-0.102677800313565,-0.111476494929305,0.0686693626976723,0.21134003112233,0.0419371489437843,0.134221285280554,-0.131321340987726,0.0254074664746642,-0.145511295675133,0.0384308526624558,0.036559070437085,-0.0315632573144402,-0.151871400771903,0.0440527901210521,0.046801146416755,0.114534618001742,-0.050518347737562,-0.0580516121164313,-0.0363218022676717,0.080018690134604,-0.0817454751453334
progressive,-0.0704143727297797,0.0562079399779788,0.102901467589499,0.13965034720945,-0.238796916300538,0.0868039915653145,-0.135738544202556,-0.0394516802763649,-0.222758823461938,0.0929436233344673,0.0365629620499539,-0.107780575426351,0.108500848076088,0.0853940503662126,-0.111631170232501,0.0240734942014471,0.100149672295334,-0.0117753253778964,-0.0775170041649238,0.0235121382563947,-0.0957017827840613,-0.0293855049932578,-0.0185312039326772,0.0281316727832101,-0.0101558350022402,0.0072858348800323,0.299614563800625,0.0451443237171466,-0.0235859343822156,-0.110351319857611,0.197807824535447,0.0395396553661197,0.0456793807257935,0.113005032285752,-0.115814479340862,0.163476107301769,0.154252667865148,0.0143378806385675,-0.032564774992162,0.0566028919766652,-0.291337137350431,0.10395108528269,-0.0200339869286267,0.136569581233915,0.0305354985202385,-0.0552828912682594,-0.0479012196947068,-0.0937468639810848,-0.0022057413992986,0.0302215023222308,-0.0378900288426965,0.0449515272438542,0.153673857287926,-0.276072102215421,-0.0486369347804115,-0.0415153980600222,0.160470400924088,0.0769213472939192,0.0429169629074932,-0.115386255911955,0.112569321615163,-0.0396421837818924,-0.0763279833906795,-0.0220510966328182,-0.059160346553941,-0.0269040927143073,-0.060068127812533,-0.0327590689137907,0.130149926625883,-0.106455193262987,-0.0266889749017526
progressive,-0.418674525928235,0.341832188547088,0.155286042899298,-0.253586448596073,-0.443636304781961,0.261526125984087,-0.178873331434966,0.38776969029672,-0.36036817442586,0.0075627536373592,-0.0624238851605832,0.293325224275556,-0.0450940905799352,-0.138484188641756,-0.437060995315702,-0.409698179017249,0.416408231066389,0.414964774832817,-0.268761357702798,-0.291679799133486,-0.46176668888818,-0.485187770954086,-0.0493432532072188,-0.314395023689009,0.0140242712338753,-0.0928720784434322,0.356476926117574,0.421824885419391,0.132291979730869,0.146337756329736,0.037999967334682,0.130906787153212,0.341306895426003,0.459044230695176,0.389444701072808,0.144899745768893,-0.459925181710678,-0.163576209834927,-0.114213669870124,0.183046922747405,-0.424349206843966,-0.0097254546601072,-0.0534678460708165,0.433880117366959,0.395184377101023,-0.0280942130054793,0.0854275412849079,0.0069453757031063,-0.151801417427201,0.129963299141388,0.32092447353168,-0.156576629519004,0.487736434031533,-0.128239277310734,0.0964877278098571,-0.0337699275905709,0.396461626864832,0.244310803982273,0.286660867975592,0.0479140162302179,0.41666745517289,0.34867085679729,-0.398722967677182,-0.0929192112451345,-0.127945135349001,-0.111087173014332,0.446175450537855,-0.147755169137709,0.393591038810152,0.0577046803001154,0.039992881862076
progressive,0.183019005051724,0.324987566566895,-0.260584804100841,-0.19861880534917,0.16143559607785,-0.0884861105098689,-0.420580904577047,0.112113693488586,0.096008490346676,-0.203970660470018,0.402219438736634,0.41239518350688,-0.139608510732537,0.328678812341645,-0.185663344934369,-0.377287735918182,0.050815548495672,0.24922677767658,0.133597826903727,-0.313128649823566,-0.201222532503242,-0.26430763755337,0.468201585091639,0.244565338941474,-0.0860042215415162,-0.0540600542561186,0.435237587066519,-0.086780375909801,-0.192436645555273,-0.245503944224051,-0.139247508700777,0.416307543026083,0.315651151520492,0.3120230811013,-0.171105938003631,-0.340627979592914,0.195392349690312,-0.43552187616653,-0.242485064733455,0.199819137104773,-0.16966192987659,0.384968054143884,-0.2094217911496,0.277831676168194,-0.0685903860344743,0.422656666259669,-0.30228956381996,-0.060016587780165,-0.269050301745622,-0.33283033570689,0.127361516805066,0.0382120650618374,0.502492265583479,-0.147099302891565,-0.169878531095646,0.139048957583309,-0.145285267681969,-0.2155994384181,0.263174993678722,-0.42756629389161,0.177739350337229,0.302497139988223,-0.257674225219773,-0.428852363629757,-0.141323270383399,0.267042227943955,0.15302876126323,0.0086189235082793,0.211010200089346,0.0612755823659294,-0.338746256502363
progressive,-0.273500940683701,0.251326684859584,0.320502613112603,0.0587174926869013,0.0038472808339633,-0.104434102144541,0.0349339426187726,0.157762238431965,-0.0031632319292606,-0.062738751276974,0.221299705771077,-0.162961800915687,-0.0178920305998807,-0.0053616781200968,-0.102370093310699,-0.401975605490624,0.282959004152191,0.0103398143687708,-0.215451680741856,-0.105070702570305,-0.328090415702917,0.154519925704473,-0.0800851243690572,0.0188251840190126,-0.120859183937227,0.327718735951229,0.282796888515816,0.258333243582896,0.265604722980284,-0.155247469048202,0.2485311786421,-0.0176824664845672,0.166014319727423,0.329047293361519,-0.256569741782334,0.0973089222238816,-0.423276018494283,-0.194993478239363,-0.0070737774018091,0.0271879784319955,-0.153009482458251,-0.34438106013861,-0.202838293423929,0.0295762185385873,-0.0952251431904811,-0.036412753545702,-0.285461911416218,-0.174740885812271,0.0899741781879084,0.0181925376331605,0.249926954730886,0.112278917329108,0.0492317509390309,-0.286138052241098,-0.0243766560548651,-0.267561972736514,-0.0157212626884256,0.254106374917422,-0.0220714507864164,0.0058203467498396,0.0819197988880284,-0.121610451520427,0.0802986425242823,-0.0618451382569578,-0.214577837921398,0.0603544652102937,0.0075798945104909,-0.138502110022679,0.352423577318755,0.0498485811652367,0.301068506947208
stable,-0.38680686293289,0.289302627926576,0.17939442555944,0.302751504516468,-0.251399652129764,0.165889803639476,-0.129877057573173,-0.233057033127786,-0.3491387752259,0.0079434990621931,0.177862541483628,-0.137207538410163,-0.221819267693721,0.0961179983840474,-0.0648789047361363,-0.0800797602325485,0.388239884740482,-0.135590983973248,-0.411811078946183,-0.338585107823021,-0.256905149927862,0.445197841114293,0.0328969008317842,0.0557462922361201,-0.164929685041909,-0.407778833404241,0.261669721931107,0.394147446483421,-0.0158908467771637,0.209323173207039,0.075814490791974,-0.147444593986899,-0.411433670433197,0.15790066196075,-0.478825805568188,0.481025310630483,0.176853653239148,-0.219420474579795,0.0299877402784531,0.406639812587724,-0.352450901752067,-0.282323757601923,-0.116867528751904,0.377715382909433,0.0459082337090429,-0.125430781181661,0.165762317016224,0.0872117949107027,-0.0615755579491181,0.0802758009833982,0.0915066508695035,0.0800641250806402,0.0834652517022848,-0.405276848287721,-0.0703192159778164,-0.123942074179195,0.0007089940038401,0.254499381130777,0.419790779398564,0.0532408794132201,0.290849906613498,0.087915136205776,0.0399166630921972,-0.063479678910746,-0.300950695827834,-0.185581014628741,0.0513091563949541,0.0388259909761965,0.262163913001807,0.0469794220203579,0.276339643749834
stable,-0.290867872968279,-0.105798109347753,0.0823970234977207,0.24224363919846,-0.284946540199551,0.310559750491796,0.0344422270799514,-0.417887116859377,-0.232031029999936,0.185374375325692,0.0751498033456561,0.254985676698744,0.406647771404634,-0.0772751488718623,-0.256711957277873,-0.263591990452005,0.311881948295371,-0.255079539607894,-0.322961018405245,-0.234695496920992,-0.374234518027501,-0.277450789954706,-0.273554003393082,-0.0154311508141516,-0.400817202298056,-0.1157450688034,0.152673187143918,-0.15960457926834,0.246071651993317,-0.256956207458129,0.0577966766417896,-0.110661418223878,0.280552398285985,0.380349775108528,-0.331168709961001,0.405324688101916,0.361816130463955,-0.23765763913726,-0.442469163399688,0.335015023071478,0.168566568510675,0.0798696613606274,0.271458322088164,0.140760714757362,-0.173957044543221,-0.131747956897499,0.107194246329762,0.141098680263578,0.12650462130587,0.118062567643621,0.328767531451774,-0.0463188367512187,0.181465929692019,-0.429371302827139,-0.216231806708709,0.356215053218584,-0.206078968702332,0.0853193182525579,0.0581287388203858,0.263280442336887,0.254109918046393,-0.344289150761694,0.412039870852274,-0.359618026424838,-0.131757549804881,0.269114996189608,0.259119039114719,-0.185960428175116,0.0734896400358655,-0.408971468738855,0.258683373536401
stable,-0.213558315296852,0.119377959442633,-0.113603612382486,-0.121670979930206,-0.167775592409944,-0.0382932572960068,-0.159969063772987,0.158104733062178,0.0644098045824388,0.106532361934925,-0.0268563952913908,-0.117205551278166,0.120548910497743,-0.148369280141628,-0.106502786499374,-0.148127182609296,0.20655966843587,0.180026497739608,-0.191249605337628,-0.178456586382011,-0.0107909776230228,-0.15093700302538,-0.0635458527098983,-0.174283317848523,-0.177011343700661,0.0104070617695232,0.0316809909081535,-0.128208691574275,0.139556724579753,-0.0776267381142884,0.102738028669436,-0.124400905593309,0.103540827167425,-0.0623139023189638,-0.173192364238879,0.20902089921314,0.0513771527141186,-0.173434667156181,0.129017754313822,-0.169452047220264,-0.0977011676871028,-0.133364316414992,-0.146490469790498,0.177844077057898,-0.115745212801587,-0.175684710838969,0.0488875274648692,-0.148196654075096,-0.112745000519142,0.153804844695237,0.0835180519143406,-0.163289009106086,-0.0965123481396804,-0.18853759951308,0.0535683536032584,-0.105624457678996,0.259133856096175,0.177243685446961,0.183881830340922,0.144592455944755,0.0557523146722372,-0.0095311975687745,0.196271267832247,-0.128564264302038,-0.1730263618376,-0.21360226768024,-0.0366721023886181,-0.163390469280824,0.0495696109472671,-0.156572099076474,0.179605612591669
stable,0.0558381427701534,0.303859811384311,0.102773141804767,-0.0783997978800302,-0.0676647238259487,0.373194731460264,-0.136710521983787,0.0663549649141211,-0.151733973875344,-0.289351849718547,0.0553244341926068,-0.108040436372866,-0.0942770057129408,-0.114211521503889,0.171320424885378,-0.172438458649863,0.270252728993976,0.0063729557753208,-0.140742738395696,-0.127823660533605,-0.151928420985284,0.228225230562261,0.0146879081385925,-0.0004667423501774,-0.185159823046895,0.0268263271276365,0.200793637933334,-0.0051901393010083,0.245456392081542,-0.282345913913667,0.104882860778971,-0.11034772034144,0.0879787801834866,0.0803837126919869,-0.239851178229485,0.176104843288628,0.049174976291679,-0.277448113395661,0.0109637684025249,0.293429844592327,0.116140205220225,0.0656878366265172,-0.216124770578899,0.247443523758387,-0.0092036978965646,-0.0240417593900971,-0.260408380082349,0.0757132702862403,0.0323273145573126,0.138188201242784,0.256821377770981,0.0480777284233952,0.0717896849270982,-0.186933156934241,-0.117494356867511,-0.0852930444333614,0.215351485749982,0.176394262148117,0.0320724398777013,0.112167970965926,0.141722199518839,-0.0723359580753602,-0.331020692460331,0.16658851561515,-0.169408815298064,-0.152443317328328,0.274748916303235,0.112466743478705,0.187398513558005,-0.136917440631448,0.139696514953563
stable,-0.0512358773261343,-0.207020100062135,0.057789043428842,0.0649821483478566,-0.20148056280024,0.322300583266283,-0.189866850429248,0.035968199924573,-0.0910373963709302,0.0814923557822173,0.321037078650206,-0.0531866205840708,-0.0269833733330787,0.0873864277094008,-0.0829359635802076,-0.0826310830304319,0.178465666233705,0.248239008675825,-0.247763014051255,-0.19935100051855,-0.222771477037226,-0.142332558998776,0.139658941710044,-0.0773693519837765,-0.144520122424018,0.0608728422364538,0.316072523204368,0.0236383553531248,0.104945257294429,0.185332059914227,0.231850689253467,-0.0992239046397406,0.104866281567601,0.222221429292106,-0.118180219342186,0.108277861745505,-0.16969251171222,-0.168537946513368,-0.0557815831855137,0.125202317199585,0.160141585398608,0.247418538624885,-0.0423252108683692,0.0328369942782281,0.195889231159233,-0.0590544742821581,0.115487874746957,-0.0393529197943011,0.0535244611932817,0.17237501109489,0.244186526562994,-0.0337856661187902,0.0598230429408064,-0.207872031987992,0.140609967840566,-0.168701248626024,-0.0633682825805112,-0.0798919736755499,0.0478857227135411,-0.0300834381440482,0.172344512338594,0.124831837570479,-0.156400939692251,-0.123347885803635,-0.12303562134444,0.0985903866142326,0.300218092536952,0.0680639139050488,0.258896451270477,-0.033181576717778,0.13618219050553
