group,ARID3A,ATF2,BHLHE40,CEBPA,CEBPB,CTCF,E2F1,E2F7,ELK1,EPAS1,FOXA1,FOXA2,FOXO3,FOXP2,FOXP3,GLIS1,GRHL2,HIF1A,HNF4A,HNF4G,HOXA1,HOXB13,KLF1,KLF10,KLF4,KLF9,MEIS1,MYOD1,NANOG,PGR,RARA,RUNX1,SETDB1,TCF12,TFAP4,VDR,ZBTB33,ZKSCAN1
progressive,-0.110467110989614,-0.0834800532925883,-0.0608630213519892,-0.0495181435940038,-0.20867038267791,0.040916927997769,-0.0284283067362105,-0.0316744226914382,-0.123173902977288,-0.0102540241274099,0.01014163314729,0.0813578471385596,0.0397070721529489,-0.0689419494523728,0.18221222371086,-0.241303434317429,-0.117501464098295,0.0014214153368105,0.157896104600213,0.102341904250358,0.131814785978271,0.228880925397118,0.0843924036017969,-0.0261738758996877,-0.104536833979758,-0.0045881964825418,-0.0471711554797353,0.011067205924748,-0.0548864657032603,0.0449035021749632,-0.131523891676784,-0.0174668805574577,-0.0543046771002867,-0.0208584436634289,0.150517967317047,-0.128575281257168,0.371425744359777,-0.0484669573681765
progressive,-0.068573737351433,0.021837043617272,0.18270492366146,-0.0329815557128934,0.203232929201288,0.152089729440031,-0.137196674329931,-0.0953876278154534,0.10418798853697,-0.0527520275662831,0.0011247503314944,-0.166834482817121,0.0827289854827086,0.230293614366024,0.15040846104125,-0.104626802353603,0.0551249490080237,-0.0117912763359821,0.100151416848616,-0.0673613648269751,0.127388892673273,0.0498062818951425,-0.133022577969733,0.0581288908094641,0.224936665257607,0.0662837524238878,-0.0558143997819617,-0.269359336532143,0.0812395956294807,0.0137256182450286,-0.231005556398049,-0.166490694565906,-0.0324193679742969,-0.0052176907354286,-0.167451258713366,-0.0825104454249644,-0.130736950723442,0.100494549104804
progressive,-0.0638217267673439,0.223406908181421,-0.234673579616414,-0.249841846670444,0.188410182579843,0.235802397864321,-0.322507050388276,-0.205935658390682,-0.0437091026539484,-0.278568046082374,-0.183512371731535,-0.422086978560067,-0.133673947797954,0.205891840532838,0.180160652966215,-0.190456081182591,-0.202579986039456,0.0195180704758225,-0.0703365668821661,0.10743704227961,0.0493979969899887,-0.0612326585125265,0.331273009266238,0.139627012407549,0.0492791367875336,-0.436958852983853,-0.0603949530261478,-0.418252783370392,0.0659669576370532,0.244485356700802,0.0866547842902363,-0.0325077474896141,-0.0650889078906701,-0.153024616120415,-0.45349368395323,-0.0347241429056179,-0.0420676950462292,-0.0267034665489587
progressive,0.302515250602167,0.121040430262885,-0.275448738505764,-0.093196975562914,0.0458983360166135,-0.0269445501760751,0.0186240369448378,-0.433407493762625,0.262001307512608,-0.14830117801018,-0.202262552092895,-0.213876037172977,0.473158045573096,-0.117399641085699,-0.030449826108453,0.136769000876983,0.0320353310727116,-0.0053798758188944,0.027296884612577,-0.195934083560341,0.26202841016157,-0.147754607922786,-0.0176528586903775,0.138643600763499,-0.287798512215972,0.0219486285508045,-0.215122759025214,-0.139754809370928,0.172390915828957,-0.19206292186698,-0.233931997404623,0.0356670860335774,0.0201734050438142,0.284916597209713,-0.191105294937001,-0.263568744044226,-0.162724304365956,-0.253676277173211
progressive,-0.122151351482523,0.151471328428551,0.0055027065737568,-0.35199853162286,-0.261775582929768,-0.229636759181888,-0.0424732719524177,-0.357723569775354,-0.0007344882511868,-0.480676903024039,-0.0413377928181504,-0.0442519245823189,-0.0350489853052854,-0.0143800888962102,0.368347843073604,-0.227012452511431,-0.457006530302005,-0.374116553500493,0.313221522166956,-0.0441764906538187,-0.0636821164812844,0.0214430867278938,-0.11408786154652,0.0132724012092851,0.13998155005593,-0.349898292245142,-0.196287022371241,-0.0704592594260195,-0.466805000593514,-0.0867093157076839,-0.0291532282619745,-0.214347492936912,-0.0870269322487377,0.283008248699214,-0.0038550707670403,0.0579014954341054,0.465050169204192,0.362102707835133
stable,-0.0107745960893554,0.170733846595182,0.156450960446426,0.0673844253053636,0.0965496242584235,0.120525906127394,-0.352697394993136,-0.359699856758902,0.201449952662571,0.013832003874281,-0.321980745912169,-0.020770752046866,-0.0728417721016358,-0.0295084438693571,0.179133301293264,-0.0724346929224731,-0.132633721221041,-0.141815115471806,-0.408808134395889,0.150136617553988,0.463116310058214,-0.0285080921885333,-0.270976626868979,-0.0518628045149313,0.43522496062489,0.155844655618887,-0.150559625131446,-0.179130405220847,-0.25241123396792,0.0969681670575716,0.133759810712651,-0.18188993989068,-0.0560869674749937,0.0489198519253328,-0.0406521081873976,-0.22664065423188,0.0960747890516634,0.129027749052397
stable,-0.202624416637611,-0.290780008847426,-0.023530885064577,-0.13916400656072,-0.174949925369484,0.101406394649951,-0.0335143399825941,-0.258922518979389,-0.0632784053583726,-0.355576058107656,-0.25094763200057,-0.259977376269878,-0.017381376572711,0.244131266513186,0.108029500448428,0.0762253235980207,-0.0797216209125171,0.101445787046311,-0.381138169143923,-0.0090124175385789,-0.113328814400816,0.21372374263296,-0.248366689580431,0.207878858800162,0.250322092593715,0.17878609317137,-0.224005009991125,-0.0027441394907712,-0.0510210021467348,-0.0055685446914183,0.237219678052647,-0.274000773190499,0.264808276125704,-0.0690394692801202,0.187692180858121,-0.108578180254866,0.0940905158057209,0.0559531967360568
stable,0.002473164846013,0.116080105307194,-0.0684161803252877,-0.0374086836848251,-0.0325666400455812,-0.0378889348558306,0.050475942288662,-0.078180052096279,-0.0058621527182349,-0.0911484808771437,-0.109653799016159,-0.0671088470732836,-0.0661200855787665,0.0102537485549634,0.0141436286185096,-0.166349174127874,-0.11953410467234,-0.0612959548449364,0.0462151415457733,0.0475763679356169,-0.0613932919257908,-0.0097593420707717,-0.0313733214070581,-0.0378145551192708,0.0984996695948264,-0.0100808993124943,-0.0225835925526026,-0.0657177658410839,-0.0898567956804436,-0.0336730707980746,-0.0745629320493629,-0.0847611403027706,-0.0208458348320082,0.0288022017937972,0.0807477744343753,-0.0459142767982356,-0.0513670578591279,0.0780029305229211
stable,-0.0632698776622964,0.144538092272026,-0.132295476649844,-0.0029634778740075,0.0808724584858886,0.227627410792064,-0.154609288549394,-0.177006780844058,0.0835787370920617,-0.0676639674900608,-0.0105253548609448,-0.0371540954310994,-0.0388223398422009,-0.0540991519631049,0.0160318228312509,0.039000725586565,0.0071993447113644,-0.0876623403736781,-0.0173766685877593,0.155532404979304,0.0933751537693274,-0.162532406601059,-0.243642795516026,-0.0950869020534976,0.0777036284256491,-0.0789752227977096,-0.0270561810216416,-0.0080596387674942,0.256698228364824,0.0648791733321506,0.149074016644864,0.0222976717639932,-0.174230975500104,0.015482611264736,-0.181490510501605,-0.0374607580066696,-0.0345342286275971,-0.0588940137722217
stable,-0.0558000201863548,-0.062456373772401,0.056895155948768,-0.212797096960518,0.199797531345846,0.308478391757221,-0.196685996069555,0.0286438556183883,0.158024619523667,-0.0415463838870236,-0.105016652853063,-0.179787205536901,-0.0401212351792301,0.320272781473997,0.229510732069893,0.0481043031331258,-0.109862502334984,-0.0772041160707093,0.085028786407708,0.109186572205892,0.165650271959381,0.0716077584772491,-0.0996881957066341,-0.113930011288286,0.0700190540212078,-0.153382838613311,-0.112669492939439,0.129919251326086,0.186971192975704,0.307722080747913,-0.0715815379762159,-0.107859535454833,-0.118922437669426,-0.0262538139647889,-0.215830185655848,0.0018444618021842,-0.171103813791066,0.0982671305194933
