group,BACH1,CEBPA,CTCF,E2F1,ELK3,EPAS1,FOS,FOSL2,GATA3,GLIS1,GRHL2,GTF2B,HIF1A,HNF4G,HOXA1,IKZF1,KLF1,KLF5,NANOG,NFAT5,NFIC,ONECUT1,PRDM14,SETDB1,SOX17,STAT3,STAT5A,TCF4,TFAP2C,USF2,ZEB1,ZKSCAN1,ZNF76
progressive,-0.197202063693327,0.0499443164139838,0.393063429457668,0.016931289192302,-0.104395236262532,0.0980302396590752,-0.190637953536061,0.0454576243348007,-0.137587465682642,-0.227699623018544,-0.129536640990262,0.0690592175797344,0.0421324279861753,0.355430967787596,-0.0027544041610369,-0.0763268622937959,-0.0250020252400634,0.029840484597644,-0.141894955563397,0.216376698925221,-0.0995368655495701,-0.437226815692704,-0.212208588532133,0.151445769027812,-0.0087344478937943,-0.130990169933074,-0.0672074615293023,0.0925214313370012,0.0009955677690495,0.11662744558492,-0.173427905368425,-0.0612937889811482,0.156755463796076
progressive,-0.048152452925745,-0.157129794866297,0.270348887446604,-0.0098414128530802,0.157087257991386,-0.272881820979008,-0.0831697273002877,-0.0307851395316763,-0.129469978797573,0.0864524087793351,-0.124107774662118,0.216174814087374,0.207008543860243,-0.121154303963282,-0.0953550735400103,-0.21538977663983,-0.177201278766936,0.126056276164847,-0.0205297263593096,-0.133323213348223,0.0597110197347125,-0.242148739382217,-0.0581192500860508,0.0840376595486043,0.027392610599491,0.0884051734432465,0.0669812253416611,-0.189427409248639,-0.127062429572395,-0.164992911456827,0.0739828517941069,0.196401230416482,-0.123051458057989
progressive,0.0938625434943382,-0.397885019595387,0.0876390410195696,-0.179368126424047,-0.461903822234387,-0.388143928350165,0.391947630644972,-0.106341268290486,-0.168697534469493,-0.111141225191196,-0.288021222974667,0.261362990253847,-0.190281810749905,-0.0036349572821517,-0.101664762289997,-0.334477046220345,0.208778735186553,0.0181905447492874,-0.163344105609526,-0.176244546909194,0.116021649933367,0.333337557078905,0.316193195853405,-0.21304116893799,0.22192520211796,-0.150170858391289,0.337981048026877,-0.272003640095387,-0.22183753445543,-0.349812030190733,-0.315099127805371,0.178568197097748,-0.39123083576053
progressive,-0.168689896505111,-0.130791023728064,-0.0301068355067062,0.0303971093049029,-0.0931824247492136,-0.320689049613916,0.135009064858109,0.0201150671094068,-0.0848551951634479,0.111084154147371,-0.0248637650267797,0.180618335399753,0.0256484113875299,-0.10853065182886,-0.0724550613467358,-0.287865432777213,-0.139023007223796,0.0392096403970285,0.241698292279659,0.11629547593062,-0.158616488602068,-0.259890295476013,0.102611787662507,0.108748357177508,-0.144651597591953,-0.204593136919556,0.227588264370445,0.197871484280065,-0.117111870988048,0.0134070210542066,0.089395258788367,-0.13270955211302,-0.0897671720923064
progressive,0.347224176186416,-0.544337677196769,-0.10127388381409,0.07732094142321,-0.144855429054431,-0.428018115235808,0.109962345229417,-0.0381870609550006,-0.0607834258080482,-0.287160810596397,-0.402819985838061,0.189216708011532,-0.263991580155525,0.122040261372701,-0.124335701957245,-0.372310915053198,-0.342215580526207,0.0207226169928741,-0.509217834076574,-0.0965437644812955,-0.402935354602275,0.096766545543227,0.148722271772241,-0.0274498094165543,-0.0079246406315617,-0.0704385979028275,0.143793240777008,0.25663184864529,-0.147596431762838,0.339092667425918,0.175010437080153,0.356437764390582,0.0056411347467643
stable,0.0162943902582668,-0.124144786650577,0.153874050404227,-0.244276332644693,0.165256272503784,-0.0062452157228844,0.0331220724627065,-0.322101529574845,-0.215725585755682,0.0552472469177753,-0.229504097122033,0.316822996655028,-0.0893463325881582,0.150703345394267,0.4073760420357,-0.183850210828035,-0.344314512469091,0.0077787946706473,-0.24014319852768,-0.140658242253642,-0.215134747379128,0.0552329058854944,0.112640058105773,-0.0765277588783358,-0.188116485630333,0.235841314213024,0.422845701403645,-0.145472757705253,0.0334386689804322,-0.0615638639666343,0.196631777382523,0.157141192779568,-0.322619204379932
stable,0.186361558548346,-0.0975551248739779,0.161652441370886,-0.0747420744480492,-0.295008092303215,-0.363750876733913,-0.168260339883833,-0.127253907095699,0.153170398539354,0.107090041015704,-0.111927143822525,0.415744922393886,0.1234538695862,0.147515454764671,-0.160150978412382,-0.0578072186955796,-0.321252227183484,-0.337479003265018,-0.160191094973351,0.0497667562991022,-0.0308985507458735,-0.164557834831114,0.204704371371856,0.424668843924867,-0.401104465490899,-0.129918004661324,-0.0901153669666595,0.297803127937728,-0.13621883998083,0.358720349467698,0.391504975107909,0.113267096611774,-0.128002252459801
stable,0.0726492777819335,-0.159568573544784,-0.145226174966166,0.23401570695701,-0.178793025381913,-0.0833556734058803,0.162019557020338,-0.0439887278669763,0.192387112791851,-0.200268343560965,0.197832166380166,0.261096058933552,0.140948961427864,-0.0451207645422182,-0.163761798763016,0.170316602199626,-0.160396281534466,-0.0076197732715009,-0.178114463727196,-0.0863994761602562,-0.0647574194981177,-0.11567281063651,0.12900017838136,-0.128489025878134,-0.186487346025958,0.171768238164077,0.162908914913265,-0.123757460291395,0.0891863613262118,-0.252673031274159,0.141679216139528,0.206749786192206,-0.29916913035246
stable,0.211155894588456,-0.333853020550308,0.451925870733488,-0.0148022945416212,0.180558372915075,-0.34756179210375,-0.237659923808792,0.0582862712042301,0.411164892049443,-0.0848983953434082,-0.176621531121427,0.365399541062906,0.224448040990332,-0.117207345350242,0.119487328107398,-0.077457489021989,-0.400304508580422,-0.0321847526724943,-0.149677816500173,0.170875950717963,0.159926109385073,-0.319337587558829,0.352227367596242,0.0285894908223888,-0.185756322095217,0.0769139331013547,0.0871254488644417,0.0128283570765255,-0.405287609790837,-0.280634189442598,0.40898584758202,0.186119123432022,0.0129937547270577
stable,0.0674162747509909,-0.319256067601466,0.143333456157212,-0.120507304526011,-0.110114985127028,-0.132809447213632,0.0847816421742921,-0.211069099713317,-0.122777974494419,0.117110883886471,-0.225362938465659,0.0838279759491857,-0.0848037348281556,-0.0351279694268534,0.138840741718359,-0.185438372312007,-0.173073308879804,0.187291122911498,0.172304289590174,-0.115427618597256,-0.151863386494968,0.0837110148404967,0.144650784792483,-0.192346008753318,0.0980489306032426,0.195066762395534,0.0459148159730151,-0.120304680234939,-0.161181396451178,0.223504448108056,0.12270227466574,0.192602890003143,0.202020316901738
