group,ARNT,ATF2,BACH1,BARX2,CDX2,CEBPA,CTCF,CTCFL,E2F6,E2F7,EHF,ELK1,ELK4,EPAS1,ETV4,ETV6,FOXA1,FOXA2,FOXD2,FOXO3,GMEB2,HES1,HOXB13,JUN,KLF10,KLF5,KLF9,KMT2A,MAFK,MEIS1,NANOG,NFE2,NR2F2,NR3C1,RFX5,RXRA,SIX5,STAT4,STAT5A,TCF12,TCF3,TCF4,TP73,USF2,VEZF1,ZNF250,ZNF263
progressive,-0.019279212702948,-0.107850942445601,-0.092480503595838,0.169312339647502,0.178324234920123,-0.175467301253125,0.360699751073494,0.212492075806903,-0.0331499310291803,0.0090593977326419,0.390022341038098,-0.0558357487222303,-0.350079558225865,-0.0492736231735676,0.0722240974295938,0.135219145483612,0.239548119821917,0.235639345968732,0.10645301290783,-0.139501152951251,0.0092629797041619,0.0290647194673448,0.166367187126179,0.0926705134359234,0.200955764087434,0.110687517915447,0.0359661483018742,0.0346903679470153,0.0265674472833656,-0.0112241526964717,-0.052361283074955,-0.349862404122911,-0.0811545599136063,0.295573878384233,-0.115607415560515,0.0152754339297205,-0.0920733396527979,-0.106344435856353,-0.209166903605409,-0.0712876203606016,-0.232551686067345,0.0310258924596545,-0.0596020151953511,-0.0267574571234509,-0.23724764354374,0.0548789134560861,-0.101784199694304
progressive,0.0371229295710229,0.0123550664112803,0.0177311012307117,0.0816781198521238,0.0754219514428618,-0.0481109532116459,0.0667704337540411,-0.122498646065578,-0.0446514881612286,-0.11608390069492,-0.0585458689277162,0.072410682857642,-0.0990273685340476,-0.14873096286668,-0.051862263747013,0.197952777453307,0.0510307630061916,-0.158847369714911,-0.0195877146813951,0.134674617776179,0.115878191002245,0.009243289938108,-0.0525093951796501,-0.0409481813932418,0.0174578862401584,0.0124928836789203,0.0852492710871314,0.0478864194609963,0.0716517684586254,-0.0181817656315305,0.0213557244041821,-0.0312084008771888,0.138421137612987,0.0436855091244902,0.135044904901172,0.0299752557117142,0.0808117292763416,0.116389440803024,-0.0170423536287731,0.015430452931761,-0.0139796939135555,-0.0582609917315796,-0.0774926946018694,-0.0315587025627388,0.103320318351962,0.108101822641118,0.0187019677477983
progressive,0.036767133463098,0.159289539048164,-0.0682826883675886,0.210927407252156,0.0128845645246974,-0.121286540219908,0.143795492007365,-0.0291636998726179,0.112445239245818,-0.130713192640792,0.0303232947928555,-0.0285666333888145,0.0013674948493532,-0.200333797649628,-0.146480134171051,0.132170352084325,-0.0813496819801854,-0.204145382458402,-0.126321229140736,-0.14654099553201,-0.059140968379377,0.0064711694511823,-0.0604487772463468,0.0805734542192471,0.0752718251993249,-0.008352730974169,-0.227110109891902,-0.0726871289632917,-0.106996210002793,-0.0482168578209465,-0.0062559330931565,-0.0111620536805831,0.167247536564722,-0.0247976334499642,0.253470363950982,-0.0360379983426639,-0.0198455310193685,-0.0996366480923348,0.102668194846987,-0.109968600341233,0.189211500180639,-0.0918432552413239,-0.0884656563680795,-0.154754889755554,-0.243020886760793,-0.0633324717092127,-0.0908880082819796
progressive,0.0129817657865566,0.356446291059286,-0.22326418837613,-0.445146551202177,0.197809020717762,-0.288441063736688,-0.191435985822902,-0.353419215021481,0.318665609213398,-0.321175078356189,0.0001478876842897,0.42259830083813,0.0313059741680791,-0.199213953718515,0.370560321928686,0.0957480325973225,-0.374165084233248,-0.350803451605607,0.211160505715043,0.428726396755885,-0.0939964878365162,-0.265476879260575,0.0767213577154239,0.408109929267872,0.216184065490759,-0.150466475784517,-0.113281966165922,-0.213341849058316,0.208179644578579,-0.212930536436386,0.308262634921643,0.0563544506946496,0.120653242929737,-0.196621297753311,0.393478291503458,0.177728646085299,0.402462468324058,-0.176356063515485,0.385959127055353,0.410591669469858,-0.025949667102711,0.371161115646113,-0.385094908400285,0.268919889410445,0.24557674274334,-0.126647315633605,-0.363013428539776
progressive,0.129602418678418,0.166353554242296,0.367201341560799,0.409714605454003,0.134649447867879,-0.375137701957002,-0.07410163167851,-0.0754946282688853,-0.145830622280238,-0.356168973905868,-0.102002898696413,-0.0835963295066764,-0.0634082127488338,-0.432882990881462,-0.0480687161705468,-0.0335187221108405,-0.227136981130927,-0.196147973896376,0.358578816672007,0.0666364926808312,-0.0321794612939812,-0.0192622080449521,-0.175823450944224,0.137782656815963,0.141482158146485,0.0472585460467677,-0.353097767773379,0.0381110639859353,0.37623308503252,-0.123658415423345,-0.36625063172167,-0.192717151433434,0.0228211696601246,-0.15166715398828,0.124625659346632,-0.182953774737688,-0.18944753629104,0.365973685812011,-0.0728533083245239,0.324394597673776,0.133690470986671,0.151906898208582,0.0173153196352585,0.429125620256384,-0.119347152978949,0.358735890471515,0.0826621537517066
stable,-0.0744706079033545,0.153101730269704,0.0625322148965669,0.258542638238754,-0.0117316864878849,-0.112386097307245,-0.005652743418405,-0.115215307020856,-0.0938090818121137,-0.203816432435173,0.0595238054760133,0.153845100303585,0.157382688392326,0.0423773313239823,-0.0805324605726595,0.0430041248690798,-0.12569577662003,-0.0787593003676608,0.144167941886351,-0.0023876037528895,-0.120124618031656,-0.0426659345415329,-0.0807745953663772,0.0257331527654103,-0.0880480576101194,-0.0165780624119103,0.14597203945809,-0.121104322102991,-0.180268044074592,-0.0831875852246359,-0.160580027820651,-0.0906548426265648,0.169006031722898,0.0036724400784407,0.141694948506311,-0.204171276546831,0.232750667052304,-0.157518164119259,0.190864466425317,-0.21826543017713,0.111144485971917,-0.0617211693729424,-0.0518054314642165,-0.0505204080174956,0.0392047542637933,-0.159600947486549,0.108459110064156
stable,0.131768201879055,-0.129419310854061,0.061851779236068,-0.198956390433152,0.211423038699172,-0.176241039503079,0.038029065489721,0.0448652138974725,0.12443648484458,-0.157543903743775,0.112141874944644,-0.131711162420782,-0.0967916673982506,-0.107047576660526,-0.129360124749508,-0.183495170607752,-0.237562290444449,-0.283771611576408,-0.163944282956864,-0.0037374645038342,-0.129901846271233,-0.160583554875017,0.172304396890918,-0.0394375721125814,0.114597484956087,-0.163954862856383,0.146764366121271,0.0980088158385147,0.094102532938015,-0.176406024602818,-0.141956951779169,0.0978734237910527,0.139652373666651,-0.0557867368381537,0.132631460347018,-0.024904470139149,0.0551752493123571,-0.215231035866463,-0.161341781007179,-0.0450041325781074,0.221626968455117,0.257097231580121,-0.242210699630018,0.282611655926295,0.114044110211703,-0.0425198495056511,0.0186002300129893
stable,-0.220704266383635,-0.119310533064491,0.0785649923069998,0.102007673314944,-0.076446641274998,-0.0483831375709205,-0.125641150737778,0.0518072565044383,-0.0688066746468657,0.0380473223988676,-0.0358843135253459,-0.0514265589379911,0.0886768336583168,-0.0555022715898174,-0.0068194314527534,0.180880952183568,-0.0557408855991648,0.135833249813713,-0.0601715438309959,-0.122198968549966,0.0503119560892075,-0.0992721698716551,0.168390185507985,-0.0057190474921896,0.166954499098179,-0.0171329703665953,0.0717143846252608,0.0804882285950969,0.024529214718131,-0.0106701170328645,-0.0643871282128656,-0.0504944844839103,0.000170942633931,-0.0437383534150094,0.113960913353271,-0.0350986409573799,0.139244993048225,-0.0444845290712538,0.0502370699445834,-0.0386180791045192,-0.0508454277101939,-0.0316468215231079,-0.0139002271360059,-0.129820977248903,0.0408330132513175,-0.0093516574570485,-0.0017288061573288
stable,-0.0762387618884433,-0.0232848513441145,-0.0036767933866789,-0.0244169615854267,0.0743758843904241,-0.0056736042497202,0.146848614772225,0.0128004134444574,0.0282980325580437,-0.095271063825443,-0.0124362487773327,0.0745373967532492,-0.0780846247193097,-0.0848283245578234,0.0576607769594534,0.0013699600510953,-0.0493983022198199,-0.0722844008719406,-0.0953035694582129,-0.129664613588549,-0.0328045830112242,0.113738072492555,0.0339096729452965,-0.0642260513480915,0.034452313852348,0.0055186438035002,-0.188487720869781,0.0861058467157295,0.0267464472838469,-0.0593741793367826,0.0875700223118061,-0.0259840886152916,0.11666733790563,0.0797027957506335,0.0549875949845434,-0.0607905107046262,0.0494531046850678,-0.0678654124670339,-0.0350038938084113,0.0938709344839332,0.0032146547107839,-0.0197715003422064,0.0531385831705025,-0.06162585467676,0.0030891524942616,-0.0283136758938142,-0.0850067500076991
stable,0.0358005643321611,0.0048933774434475,0.286261749120624,0.153565616502599,0.0450716784763802,0.0252719385315233,0.108744886143463,0.0546796439140199,-0.0406194554086529,-0.0297492120738519,-0.0640434226457019,0.135031147210719,-0.0313789338794334,-0.0451357456193868,-0.129474597247187,0.0582312691669917,0.007698476384742,-0.0785262547778582,0.0571230627729086,-0.0516467630023473,-0.0566902216077861,0.0890787117822095,0.0595842164810725,0.0436400327686409,-0.0994473914109467,-0.0773433403312033,-0.0177778562846778,0.0554165269014039,0.170075209378485,0.0737573538077608,0.14518612190569,0.238412239033709,-0.0482909969910583,-0.0399275746013047,-0.198721757198652,0.055500656592653,0.042180898044525,0.0333739935800838,0.0315583883855367,-0.0388038502141058,-0.0689713830452361,-0.0537259523942468,0.119931142323786,0.100862078169067,0.0376028683897518,0.073690404751747,0.0138629991499886
