group,ARID3A,ARNTL,BACH2,BHLHE40,CTCF,E2F3,ESR1,ETV7,FOSL1,FOXP2,GATA1,GMEB2,GRHL2,HNF1B,HOXB13,KLF4,MYOD1,MZF1,NANOG,NR5A2,POU2F2,PRDM1,RBPJ,RFX5,SP1,SRF,TBX21,TFAP4,VEZF1,ZNF263
progressive,-0.394456346204416,0.0690092730937998,-0.153394932192462,-0.031516979711765,0.195709639694273,0.05065511224995,-0.189477394124179,0.0615714239937616,-0.131964176548153,-0.36127260314251,0.0593315048670894,0.092739239841663,-0.039679508529256,-0.155226395478388,0.0493902167431233,0.0848007029368392,-0.127135174430945,0.0932399276464485,0.0144935943490558,-0.173494912355629,-0.0895835890720277,0.115105491121229,-0.0108174917823407,0.12606791884706,-0.0406874721362585,0.295432156813208,-0.085914074502744,-0.194820260041036,-0.320025151224584,0.222628197198929
progressive,-0.146561081527277,-0.0705288776215446,0.0351950787841094,0.346913448650034,0.286094927975449,-0.218484926133633,-0.159874931636873,0.136153007158648,-0.0140873606126769,0.0006161696803716,0.18473127268609,0.299587921115123,0.0131181916735045,-0.0440819111514259,0.0504883447507407,0.10717740570637,-0.374657880387887,0.122515960378438,0.086137293092123,0.185648977187266,-0.116574063510817,0.0516675821686426,0.01481675205664,0.249400081896427,-0.136625497485306,-0.164379333179556,0.0198191890015679,-0.279752637780219,0.0236393942340196,-0.226292455664466
progressive,0.0840001492297262,-0.201100984662002,-0.22606943233126,-0.124506842190725,0.473318100586484,-0.230671147216854,-0.191422111089989,-0.0725245834379056,-0.246556380552027,0.0511972989460796,-0.296457328438279,-0.07473932701372,-0.152051271941379,0.210975244543956,-0.330493807588493,-0.027751937143344,-0.55478871088555,0.329244214676353,0.247132434379606,-0.339451186939835,-0.217270546846737,-0.156104766130152,-0.16121716667566,0.510445468437176,0.391895369824259,-0.0612900281146851,0.217157614139185,-0.543976982272141,-0.141229740622796,-0.294212899549624
progressive,0.222271407901978,-0.17112376442085,-0.28202261106543,-0.331442324101707,0.0768004176571613,-0.0638973339175454,-0.0439877854759633,0.0407078757281658,0.136091440911019,-0.107325684993609,0.292958651269915,0.0448991221596704,-0.0537508180677566,0.0263791365823546,-0.270157187906273,-0.286502597832366,-0.0575811390799712,-0.151133007759928,0.210085663433201,-0.265668178003854,-0.266069707532814,-0.409839836739226,-0.304851143835519,0.441303510165828,0.0367557423869408,0.112202689721765,0.184681025482929,0.0563720389253499,0.104293911471574,0.0555554451642064
progressive,-0.0238577941799272,0.0221463255119503,-0.205842645013626,-0.244162942325487,0.130723795048497,0.129277149476951,-0.0832414091168433,-0.120806762974701,0.191332710879346,-0.22524192497305,-0.313408253166797,-0.0882770005325535,0.103415395447915,-0.0531543432955037,-0.209479021860136,0.0870082212198039,0.200514562416783,0.24024988463196,-0.0028260972231027,-0.125917453477459,0.0105771135231089,-0.152391857953461,-0.249763753185818,-0.0996169626767237,-0.0090948946998032,-0.181265480631455,0.176004591954602,-0.114288952735685,-0.161684381829705,-0.117111097375259
stable,0.0349313659651671,0.429455228866281,-0.221369147055722,0.412666369098545,0.210938895720096,0.0750906057232017,-0.0804814390391678,-0.0774845472634523,-0.183754661562636,0.227877666222549,0.0315243694117644,-0.232990325828606,-0.190869738924849,-0.170076885502115,-0.213531575719328,0.51249314804014,-0.374575031569233,-0.0186134652324525,-0.219147184938373,-0.0346257116271929,-0.0673603711944576,0.215126895331065,0.0254688296130189,-0.106488095211078,0.300641318194701,-0.0312705494313218,-0.08893627218538,-0.022073318398698,-0.108654013684321,0.11272872335377
stable,-0.278691506755987,0.21572155959327,0.199470583864762,0.217278327119539,0.354752238815246,0.217721114089502,-0.441462152529209,0.224043415136767,-0.336247759411334,0.238710899617245,-0.285796325622793,-0.0360844066217926,-0.0551238033955514,0.0127327460828837,0.170386611185546,0.417477833715446,0.133348123403401,-0.387231010027419,0.124696133926981,-0.0770100885837186,0.275170176568059,-0.099188710617676,0.113720361816271,0.20725368327175,-0.25399849255849,-0.424739894370518,-0.240257479647373,0.301436494517446,0.378302776996215,-0.220960590217524
stable,-0.13392106193372,-0.0406040724097567,0.0537651320513843,0.10548670489335,-0.0783217965808874,0.0382015046963377,-0.0712143117252641,-0.0314428061824171,-0.267968591021088,-0.042634173294945,0.104885241082599,0.0317159279760596,0.201556384031328,0.150765438899617,-0.138828008042333,0.091043149140781,0.0547407064551569,-0.415465403632749,-0.0910962632906073,0.108262099008547,0.0786488030391023,0.121156920121597,0.110611809410389,0.219671031607528,-0.085300759576873,0.0954594314591228,-0.10842457488466,0.138314280177331,-0.103236853202594,-0.0894382182924516
stable,-0.0233596731806588,0.0109638626692156,0.259004562124227,-0.120294656956836,0.379394999062213,-0.280675587213434,-0.258685543013882,0.0970691252484863,0.0475605767384015,-0.167240954849717,-0.257886980514707,0.0802914919714666,0.0260498284341894,-0.323466568384019,-0.194196460966137,0.20031024318415,0.134768571317712,-0.232955080180925,0.21163604033511,-0.141620379126918,0.143449009537074,-0.210111975415403,0.148479265249976,-0.0240235002231461,-0.143940185119999,-0.2731840087291,-0.036842079116506,-0.345785283940078,0.0231634108420217,-0.287016568456503
stable,-0.190709084419979,0.0451660472606149,0.228394738009917,0.0183626577204339,0.0970140420323359,0.125928657094757,-0.189169399640059,-0.165705005650804,-0.116295335209697,0.170079190336697,-0.127609382518105,-0.169953440680389,-0.0919010781156298,-0.0991119013070944,0.140319935363408,0.139987490056041,0.108314936953222,0.104059979194865,0.142822952331834,0.176775466465104,0.0774807148924587,-0.0384371574883529,0.12129302860812,-0.0786679584587793,0.355394298852913,-0.434090807616314,-0.11376387486663,-0.003500780610445,0.132966788368757,0.131209714939794
