group,ASCL2,ATF2,CDX2,CLOCK,CTCF,CTCFL,E2F4,EBF1,EPAS1,ESR1,ESRRA,ETV1,FOSL2,FOXA2,FOXG1,FOXM1,FOXP1,GATA3,HINFP,IKZF1,IRF2,KLF5,MAFF,MITF,MXI1,MYC,NR2F2,ONECUT1,PBX1,POU2F1,PPARG,PRDM1,RUNX1,SP4,SPI1,SPIB,STAT1,STAT2,TBX21,TCF21,TFAP2C,THAP1,ZBTB7A,ZEB1,ZFX,ZNF250
progressive,-0.163689048121218,0.105955683733228,-0.0392660852633112,-0.321955479589589,0.135955104972245,-0.0412607627653331,0.201079343945542,0.241342767959864,-0.114158960082602,-0.168081301561101,-0.215537453389005,0.305363989903897,-0.192103295186444,-0.276137341074603,-0.0012020904151257,0.0640146170516421,0.211449024999099,-0.263799402088587,-0.0634465963060332,-0.412488739590296,0.263786192303806,0.261481084859416,-0.36806423336977,0.275509876297477,-0.219625881778911,0.290839831536526,0.455242208035951,0.185841857199964,0.161819863574622,-0.32369917118076,0.00931950316342,0.108901465739525,-0.240662464043612,-0.0870789012803188,0.37243667213248,0.0461219635649625,-0.0043724387627101,-0.0166046994704734,-0.226752560668585,-0.381518399169831,-0.468729398297966,0.0490281162169149,0.204335555894207,0.47527484665725,-0.129515334891214,0.156945452990211
progressive,-0.527544795091669,-0.331153863384162,0.611881988360952,-0.603155088517652,0.448779037840026,-0.687976711753407,-0.546452118679215,0.644329342452782,-0.355893300693265,-0.445537040248739,-0.409489759826024,0.436782902627399,-0.362759747975734,-0.65888994722804,-0.606353561824444,-0.629780016551248,0.615143829281945,-0.391653086836776,-0.647099546160193,-0.616193279341666,0.60547348207181,0.620944259196402,-0.613325122593986,0.646147159934929,0.131193893547671,0.607998124574113,0.692157055478186,-0.6785845455616,0.611312428638031,-0.601666698388804,-0.613850081625376,0.595762792997981,0.0333631892781779,-0.606650462965135,0.368356736960401,0.0625175802455845,0.673673508660653,0.639722647941166,-0.600059014280192,-0.606730444687935,-0.600331017658139,-0.68038528093209,0.460831146218521,0.518198399599042,-0.28733791938165,0.615898063011987
progressive,-0.622558763412107,0.603663908203645,0.382770257360163,-0.500025802447212,0.0830270001114777,-0.434963099406276,0.126527942228726,0.534388748627956,-0.60068508074208,-0.260477831685352,-0.627391104529746,0.570978644608866,-0.0885863433203643,-0.376176592231126,-0.498501180896031,0.134332579867566,0.362097750789392,-0.221214688168747,-0.292392255197288,-0.485487891373061,0.458698705263695,-0.0196515617311729,-0.511439730236612,0.458362916586642,-0.519267617014508,-0.0532341866183539,0.555588458425212,0.460566982879548,0.357856686718565,-0.520530673143313,-0.285305352774857,0.378601474913094,-0.394417508667663,-0.316702520766771,0.439264707059395,0.223507640812167,0.507510272712301,0.455208119367046,-0.332337327230235,0.0244843945605375,-0.259756036695204,0.226580107837599,0.527658198519128,-0.222214943291864,0.291542678198283,0.0921599654587829
progressive,0.138161460027252,0.0804562115306455,0.211133267894707,0.0325632463176068,-0.0029955660231214,-0.462706677101555,0.391864247491499,0.0410356454010739,-0.391196561088755,0.0687175627472688,-0.114336785075288,0.007601699923132,0.22349900052931,-0.108729121571161,-0.148163221884572,0.254438144786188,-0.149588822582323,0.217133422730176,-0.0798967985986168,-0.235896312926204,-0.0461425441031424,0.0248081589776281,-0.155178440507997,0.35981530015979,-0.190281601992798,0.247440971741216,0.274152939245587,-0.130992853986981,0.105413246530507,-0.461398372663746,0.0889286106141126,-0.0564195010318634,-0.0678784433492258,-0.0777899773142828,0.0252908782012335,0.226106586615702,0.0802125962215362,0.0246728171392341,-0.154691209889778,0.0320760156993882,0.0202561618129751,-0.0011594284155756,0.216632657928119,-0.0131101127457696,-0.0444913736747351,-0.0047820782899228
progressive,-0.0562609445849432,-0.0694797123068085,-0.146016298214685,-0.159817198607345,0.185367674743197,-0.070430132993821,-0.187917970253348,-0.148566593724835,-0.22473885170269,0.0636227448230941,-0.234148016504113,0.2930622188403,0.107500499873504,-0.314553606625369,-0.0486456988302557,-0.0104981885052921,-0.2842074661063,-0.0929273826726457,0.108910290559239,-0.147596372606843,-0.116901744502536,-0.0285126206103745,-0.043141179017975,0.0278037651813111,-0.186124051206612,-0.196752922556368,-0.267183055550189,0.252708940504228,-0.257417482991136,-0.11812937122326,0.18376779992006,0.0084745844591946,0.001104864048652,-0.125998062494484,-0.138052564874759,-0.176306997527012,0.287819064716947,0.204637454172376,0.0536037267475041,-0.136361608069116,-0.0854032189004635,-0.0886188088915224,0.0650958968879634,-0.0377079407572203,0.046907220990262,0.160141925675408
stable,-0.442818882100214,0.406179972221875,0.221714296776998,-0.468761266843622,0.181160530770327,-0.233166061450401,0.434489854849868,0.47648817540982,-0.179404973962354,0.0654221354070504,-0.514830155569521,0.408166385382826,-0.60370671794252,-0.441285745234514,-0.282679476407739,0.0635166515288061,0.138898391595563,-0.214554495790515,-0.353734723763756,-0.366875156560243,0.238743493088704,0.217360807551997,-0.170548731302921,0.488880961437471,-0.276703544883701,0.627182055155005,0.669180857795569,-0.159419237518512,-0.185471958461948,-0.128526547752685,-0.299444492544174,0.435382848923165,-0.601368928275637,-0.201619549854811,0.244983785568242,0.28147445565845,0.335510509875456,0.432910197205129,-0.282467360938544,0.31862358760431,0.0532917217523761,0.138483199668644,0.194905251613714,0.0812928920085835,-0.0897356902833154,-0.36799641580323
stable,-0.375604199949806,0.0035374610338731,0.578172559017974,-0.37727889856246,0.421814565329319,-0.0907837040011907,0.357042464550351,0.464728569545799,-0.329129836121034,-0.379185389881822,-0.378401519836062,0.321706116997494,-0.410012638012007,-0.454600602177321,0.356505012754935,0.161418431786558,0.46125300854004,0.377902626292049,-0.38773379853766,0.274822828877982,0.530057327379503,-0.396200806440536,-0.471816344364013,0.315243842702037,-0.227331472701864,0.517769359268646,0.395721413621371,-0.295698207094371,-0.209861039230043,-0.241304923917146,-0.258807858597045,0.119219158682288,-0.543370413139725,0.37548158175569,-0.258343977718099,0.494239223283256,-0.314353309600672,0.224960657305263,-0.481505988621717,-0.334946075039538,-0.334603187294304,0.0117285041336059,0.444584616243952,0.422579377848524,-0.620789324913295,0.24267278157898
stable,-0.526078620706117,0.097538719547852,-0.428106924270506,-0.395612614478002,-0.269880817368777,-0.498622722736836,-0.141197017097343,0.500644051419938,-0.491093308036595,0.346270905040272,-0.478592152563059,0.617277328872474,-0.419856138048516,0.165394142954897,-0.458881541839055,-0.563534611590786,0.146081864808644,0.152459343369853,-0.581016181746345,0.314619966065652,0.398793424060982,0.336647331618554,-0.112004438360978,0.546484735200395,-0.467763008477924,-0.447159960328082,0.526359778528681,-0.260947717876768,0.177773504431911,-0.515211496192231,-0.504802446444023,0.356997245343261,-0.496062482564703,-0.264908204072119,0.615518886346213,-0.223582366772064,-0.137952000059812,0.48181094257479,-0.451527299035201,-0.0942685019825961,0.0781393943648941,0.277634470573359,-0.254295343131249,0.544197184241712,-0.439964773400848,0.251408573921665
stable,0.262781784183853,0.46353498708111,0.461796897960684,0.17913506994258,0.648254686522011,0.0409964261599192,0.0229504765965309,0.0732668749146102,-0.379037884950611,-0.710015047233678,-0.541665611583522,0.474145882102302,-0.159893212922777,-0.488855603200836,-0.375019821968894,-0.267537305285056,0.392819473782941,0.701519977061406,-0.571681324944305,-0.102940582298761,0.53947179492167,-0.356259772240147,-0.484542151176359,0.482091050608775,-0.66155100395992,0.404473954686815,0.60575196924406,-0.389980492612718,0.247027734894774,-0.361823221220743,-0.30157236829452,-0.582960198068895,-0.510306419962922,-0.237239465448686,0.529404863103362,0.305459587143374,0.159785528795277,0.425010050211445,-0.333147719965175,0.174783364319502,-0.614458795106392,-0.402291074694162,0.649470933213905,0.611397072089718,-0.430987558518691,-0.283204405579642
stable,0.0954812068031203,-0.227685921695604,0.523819709911102,-0.328086082482322,-0.0025369923302939,-0.524314178432731,0.632241582490602,0.503248232651971,-0.267776254369687,-0.42529932288625,-0.455084082438898,0.372721408558164,-0.531833916761014,-0.459727068951838,-0.107487078338371,0.202807893791024,0.460276645196824,-0.420448342242355,-0.263766041754113,-0.486802008061255,0.201036083993009,0.480474805154933,-0.36079755532713,0.454100077215239,-0.44882957026494,0.419738160219963,-0.132630137939714,0.373970659905525,0.0420739962879569,-0.585257102083143,-0.510874005101652,0.335664359364987,-0.570377587923166,-0.497676348638727,-0.272002609339901,0.670733040693077,0.552713203891264,-0.387532413311089,-0.421008425407358,-0.4024797935973,-0.380933745899831,0.204941656262288,0.540608695964014,0.42881613911489,0.21452246632947,0.316166839430479
