group,ATF1,ATF2,ATF3,BATF,BHLHE40,CEBPA,CEBPB,E2F1,E2F3,E2F4,ELK1,EPAS1,FOXD2,FOXP2,FOXP3,GMEB2,GRHL2,HIF1A,HNF4G,HSF2,IKZF1,KLF10,KLF9,MAX,MYOD1,NR5A2,NRF1,PBX3,PGR,PRDM14,RELA,SIX5,SPDEF,SRF,STAT4,TCF12,TCF21,USF2,YY1,ZBTB33,ZNF263
progressive,-0.0715233372541386,0.108990809379132,-0.229862038414395,0.0045287410513516,0.052679225671188,-0.146197393910325,0.0975920283577094,-0.0696034721407887,0.071088524597805,0.273577433939629,0.154907025887962,-0.124764474665819,0.233915830256521,-0.123259353932357,0.30908490439838,0.141942919303738,-0.210094786114921,0.0688810141887267,0.36925628660947,0.233434191621813,0.0532277585607165,-0.0255067793630781,-0.0337280832805244,0.0441100716286747,-0.0478494604731438,-0.0051240999192546,0.219158957643106,-0.160532832718371,0.0113854021704587,0.0159877269021129,0.0435816070155923,-0.146906473011423,-0.0214329192445062,0.0612283114372551,-0.253408816111231,-0.0770488027023166,0.0246772906033032,-0.0900597352649148,0.0688408776358343,0.131259906808895,0.1270455687552
progressive,-0.132330611689451,-0.0078920785358501,-0.0494848435310128,0.102321047846013,-0.0149169354806087,0.0212824200872931,0.114013628297515,-0.141708886224933,0.0801723589489853,-0.0151053479939446,0.0058713245559046,-0.0554412514620927,0.116097218207951,0.142350965581378,0.133630491294732,0.0139642017627311,0.0895816465176354,-0.0046076506421879,-0.0669205518068423,-0.0575661920834201,-0.092499444145145,-0.003308485622925,0.108201090351334,-0.0190379054056689,0.0561930435917904,0.161762694752445,-0.192423055901744,0.0254549831228319,-0.0484115829714816,0.124699785801675,-0.0574727718713716,0.0002499145499267,0.0634510461345934,-0.0636515589711626,-0.0268529992078779,0.002085781307557,-0.0538278591513092,-0.0197375327560739,0.0653717104329918,-0.155120665356907,-0.0839312719584063
progressive,0.0374238241718791,0.170216003641556,0.0593048214324431,0.0503616581887163,-0.183930747701083,-0.165363282031475,0.160745979597265,-0.185260987749571,-0.026456818104483,-0.09519640104348,-0.0242357879853962,-0.238049618453415,-0.190992915170473,0.0902307042266596,0.0649855436214589,-0.0778312388064039,-0.197891322751923,0.0143308253251088,0.101636943624622,0.0798429493800095,-0.10263143129897,0.111792592725041,-0.277752394043267,0.183451052297037,-0.355124034670783,-0.0754501063159394,-0.170211696183025,-0.142934434667977,0.122604211686315,0.0617680122823203,0.199213457641755,-0.0118845457103521,-0.094460411856836,-0.14300216881618,-0.18348427580115,-0.151047214212221,-0.201902955735994,-0.171872986084357,0.0030429645729894,0.0495906358556171,-0.125024353438802
progressive,0.365434118566485,0.293336413692815,-0.242956318124007,0.210116840645538,-0.304192930836366,-0.261370764606431,-0.221687060559587,0.207243729492503,-0.353200521077292,0.197764292694595,0.407684407576469,-0.020143803195556,0.126508391088693,-0.257449974386447,0.0621653413175597,-0.205688223454237,-0.0766818726687973,0.216197039248057,-0.38453481771285,0.367703327375251,-0.202677861768414,0.149781506431821,-0.19477680609757,-0.114915296085845,-0.308900624111003,0.106154137076195,-0.155825104892264,-0.360996351339665,-0.341680626358598,0.356316108171585,0.170492611829569,0.368224879399846,-0.107307041551616,-0.0556505160278773,0.107000515361723,0.426236104591681,0.206841127929658,0.247920212393182,-0.0740146373149456,-0.315333099081013,-0.354582176440694
progressive,0.220107182296114,0.192648729643098,0.171533667506046,0.327932723056332,-0.0576389578160597,-0.433016047954596,-0.395939676432812,0.115915077552985,-0.234951441984137,0.414425437478696,0.280935982386888,-0.411538045482873,0.277903414257197,-0.190132343322716,0.35968193699923,-0.0007379786804966,-0.39785116219541,-0.235725714698101,-0.102046724098187,0.230906673587754,-0.428866430128197,0.19356011315016,-0.412223599448362,-0.0866822499304696,0.131852190915405,0.281077125850371,0.145982667945243,-0.147494919339704,-0.104329215536226,0.0172436985672337,0.136792212137309,-0.139332794480003,-0.396129211940918,0.356028337630214,0.228007183580775,0.28104486448729,-0.296260129850754,0.186454547931388,0.0277931642949894,0.373921296129469,0.147188436390426
stable,0.0424237056480725,0.20749587710848,-0.118636791261447,0.321798868062936,0.0238349248097385,-0.0758894945391998,0.0901414833794792,-0.242444262613604,0.0371764626881141,0.138191888313169,0.189836413202224,0.0374909565792599,0.158863801955232,0.0856083387598123,0.13894341331921,-0.23710397195609,-0.147295543163332,-0.104703936486207,0.0925457040056761,0.0400913466623102,-0.200988216387152,0.0821906675222526,0.144419734337716,0.0978569325214335,-0.216887405904819,-0.10777188514398,0.0845598426245672,-0.12401084528953,0.168720019745069,0.160590251918332,0.212319154706351,0.241881397309299,-0.280940244225314,-0.0635521269243994,0.0180591294103219,0.0725753113904563,0.0771190795661433,-0.0158614575773198,-0.0190465095709917,0.0757976679400378,0.0630679003566111
stable,-0.174298975706898,-0.119462359986769,0.172751357383062,-0.0710087320383733,-0.0729499321794886,-0.0825015311732923,-0.0723645861370915,-0.0728267409206299,0.0488389570016839,-0.0051531758867066,0.0158462071656973,-0.198445212694486,0.118535349515114,0.14089688877692,0.142867348717643,-0.0318421644852814,-0.0877493887705225,0.0168579960310866,0.0512312082075123,0.0412242066916181,0.113160249302156,0.236514162636674,0.167146380180371,0.234944186824933,0.0308303756198922,-0.161791386701502,-0.18450629431241,0.173922049467857,0.0382325047194795,0.0715703701405759,0.180958055946719,-0.0260091108959085,-0.157520656360896,-0.141901025079336,0.0374430903311045,-0.0359451386414736,-0.0579368040261954,0.309738686781707,-0.124004981388341,0.135659984848261,-0.0067984769261539
stable,-0.0003061391489421,0.0167995025857725,0.0901990366823665,0.136487919631698,0.115244260733205,0.0554399416534363,-0.0061099622989882,0.0490112790535825,-0.0498378236123745,-0.0109232711426145,0.0739169808880156,0.0350749405225405,0.0465040835107959,-0.0596934487470894,0.0605349940203684,-0.0905183598502695,0.0248135694184663,-0.183210058511214,-0.100954445158369,0.0484593150471648,-0.0509454888274349,-0.0074535903100966,-0.0533279033403712,-0.0207935855582976,0.048328720591631,-0.0449941500006691,-0.0586603199541858,0.083758902947905,0.111027969945043,-0.107690804074759,0.0419607356223491,-0.0163896560750828,0.0947128502921174,-0.0834974026033185,0.030716947483343,-0.0780134735826266,-0.0162044050370064,-0.0153031683392982,0.0613730097137682,0.0668149471150138,-0.0059729315507333
stable,-0.191716329869856,0.0043110779108198,-0.130837093621615,-0.0572356855769616,-0.0089309279033768,-0.0284634818143505,-0.0425353470649809,-0.137307269964676,-0.156312169035532,-0.135552046819085,-0.0358132500025289,-0.106059374865754,-0.201483333760752,-0.0101654146286075,-0.0453816751930253,-0.0069304517907682,0.0602871598908265,-0.041035253181276,0.0642664544541977,0.0207159044901786,-0.0711810139329168,0.155886134752272,-0.0406465182045282,0.0856911961685493,0.0167931604882945,0.0228121355428941,-0.0860263885923997,-0.197625211810071,0.0814991852644067,0.122302871917749,0.0680855224266886,-0.0195350104513219,0.0115439348318103,-0.0997988065879211,-0.0391159933005904,0.0335055058124779,0.125984524031165,-0.0692549358994278,-0.122879657564832,-0.0011379296494998,-0.101372195614263
stable,0.110354483465322,-0.105082424703919,-0.111136461914891,0.116067137802349,0.103006339219957,-0.303923674739098,0.142676765937327,-0.100599725643415,0.0232698290044449,0.116790608980359,0.164916041998932,-0.169074400192236,0.0794701338808028,0.14068697596522,0.206327901290767,-0.0324871666009465,-0.116731993160985,-0.159915678415108,0.221843074487709,-0.0280565704909965,-0.133664040969564,-0.167891011927771,-0.173615823619928,0.223364697739523,0.219554995123679,0.0657229874726706,-0.221249317947017,-0.002045149357071,0.314982200350813,0.0368913855921785,0.13198469774451,0.155451758126366,-0.378980037421067,-0.165968195956689,-0.154445085702531,-0.144766745541437,-0.0915647483738535,0.304675476896471,-0.0032544805489997,-0.168448404950889,0.184305720856471
stable,0.295973633885764,0.13696142682553,-0.126585704857029,-0.0381928997871622,-0.233785691520623,-0.0494885897912621,-0.107228439283252,-0.186094358871071,0.129193861658983,-0.251326731539584,0.0853957957992571,-0.0777041042851304,0.0194615918458547,0.105919618778999,-0.136904521586215,0.210914527419123,-0.0588210490389819,0.377001952567567,-0.133992870174579,0.0026318673183356,-0.141750951134573,0.0221788170231634,0.113800994424177,0.101509462732058,-0.0288272458165085,0.0809239924097248,-0.0387003048377242,0.155265945471972,-0.288490594915793,0.0304016241042335,-0.0282392250102497,0.130099603384752,-0.109438259409999,-0.0159808880410649,-0.0615335321130143,-0.212839821349292,-0.0336167701255516,0.388923600204136,-0.118718555521679,-0.14636975972567,0.0919019614943138
