group,ARID3A,ATF2,BHLHE40,CDX2,CTCF,DUX4,E2F1,E2F7,EGR2,EHF,ELK1,ELK3,EPAS1,ESR1,ETV1,FOXA1,FOXO3,FOXP2,GLIS1,GRHL2,HIF1A,HNF4A,HNF4G,HOXA6,IRF1,KLF1,KMT2A,MAFK,MEIS1,MYB,NANOG,OTX2,PAX5,PBX3,PGR,POU2F1,PRDM14,RARA,RUNX1,RUNX2,RXRA,SETDB1,SPI1,SRF,TCF3,TCF7L2,TFAP2A,TFAP4,THAP1,TP63,ZBTB33,ZBTB7B,ZKSCAN1
progressive,-0.170230844824152,-0.192223225779948,-0.141528468089119,-0.090188259902491,0.104724342943283,0.159607805414137,-0.20435903978949,-0.075356345384458,0.0308135377317069,0.306662943373529,-0.0075100854563204,-0.0570416875661797,0.165121028399081,-0.0131913945078789,-0.164623493641903,0.0746907245606659,-0.0012774541062675,-0.1718915351623,-0.313668770630007,-0.202126856824854,0.0756656237470281,-0.0241909467071092,0.30828329305569,-0.0140856123822662,0.061082476607584,0.0089085615305502,0.244161820363722,-0.153469302261388,-0.0962528051859298,-0.0319497995420186,-0.0654123736835646,0.0279896918125891,0.0253070381894272,0.106613630332026,0.214343352146371,0.0288301221456599,-0.146712242383499,-0.0981420925746729,0.0166203502668077,0.0852868702000223,-0.0933415545121726,-0.170277908922804,-0.26758629460707,-0.0207888847188387,-0.103897359495542,-0.119704173199937,0.0396884820489343,-0.0796660721324449,-0.145475128933219,-0.128330350138575,0.275143444162043,0.0709121497831797,-0.192626632339822
progressive,-0.0405548908396861,0.0655012143235028,0.113787934585541,0.0820786434080593,0.1164149243142,0.0782561109201242,-0.101515067974059,-0.134087724821738,-0.0464228773251203,-0.0491581680998533,-0.0083626188338158,-0.033364899442843,-0.0869114468481806,-0.0012435128011943,0.196039393754127,-0.0723528006079854,0.0439782117894797,0.190532299823895,-0.024296041785746,-0.0155706762523922,-0.0278518152001415,0.0948488961231541,-0.0699359947795439,0.0565997526204126,0.0557734698369305,-0.0539885944318518,-0.154154463377577,0.0448421479656268,-0.0904494870359801,-0.0696783162590334,0.0811645502505213,-0.238093146349558,-0.0801664500919239,-0.0023869493504192,-0.0799469003857029,-0.11005473382086,0.0933738054486374,-0.183891230234767,-0.0858328578085455,0.0389456837248816,0.0076536701072747,0.0381345193490604,0.303659065556163,0.0214261591491005,-0.0023946036385746,-0.0264068187144594,-0.0244836907009591,-0.195458666239729,-0.0504989046232699,0.204233808417174,-0.123915318489717,-0.0593759296548577,0.0890327781369592
progressive,-0.0546062422476938,0.151691925531062,-0.172926078996942,-0.0030568605687897,0.158173187014048,0.191988903440843,-0.138956745134136,-0.102664150251088,0.091975474335002,0.0484990074917528,-0.0126454563737487,-0.259800192931758,-0.156284258194235,-0.140454894997161,0.0931732204562738,-0.0932329896540103,-0.154681649496199,0.0401621045844889,-0.173598351594683,-0.194743879125616,0.0276416004365572,-0.0832110192837075,0.0544565958051661,0.112408253225291,0.255651143164937,0.176269834268561,-0.130714073519181,-0.083428351374003,-0.0274212039139916,-0.209585090600231,0.0496192873189278,0.0648408586806122,-0.0984965223636289,-0.134915678299436,0.0757178950335728,-0.135684454976752,0.0978192189895778,0.0948248856075677,-0.0189543180046004,-0.124334653335308,-0.0546773115394266,0.0590461960162307,0.0998139601019872,-0.130129711822191,0.164561468514569,-0.0214906847522983,-0.198726057786857,-0.367801000907512,-0.0450769687440986,-0.0210131823622636,0.0479274781048944,-0.0147781735491235,-0.0305225370561025
progressive,0.108972122869874,0.0138520017134389,-0.0589999427181629,0.214283848581863,-0.148953518260228,0.253416323933107,0.13654376779603,-0.425550836164523,-0.026357597988504,-0.0356546416426308,0.234178700466173,0.0322772178311169,-0.185890668133988,-0.2624212660684,-0.378883054444618,-0.151783251723929,0.368723398492685,-0.0168962472300332,0.138223351529323,0.0647643836288955,0.0310220941173786,0.103120964320737,-0.14155513447852,0.1655394076265,-0.0068461293476633,-0.0785570522213213,0.129277742515043,0.0259148816240217,-0.148049829186336,0.0237697610950872,0.0829385750038258,0.023915811854504,0.0782512584437923,-0.187981019628141,-0.0817656048422595,-0.37762793073088,0.229012154851803,-0.261166142354662,-0.0139250270931473,0.0113554465446576,0.196561501743879,0.0556453393378079,0.0236647871117564,0.092961308368805,0.0244817585472442,0.411402168846019,0.327733340045109,-0.214174310512301,0.0214283848581863,0.248884186304954,-0.0346094658955542,0.119328034529773,-0.0471196262568511
progressive,-0.175287905225328,0.119484367181848,-0.0944467004094803,-0.0203355299341883,-0.0815723790149117,-0.0760946319766202,-0.0379119881669364,-0.0767652116288004,-0.109934666592968,-0.169967704008934,-0.122756472713571,0.0492189306154451,-0.355980844032687,-0.0888962399149282,0.0876722300678764,0.203924888082591,-0.0206142648498536,-0.18594850584041,-0.0451712148836103,-0.367833137403149,-0.432237061467664,0.323223431987329,0.0078086172750866,0.441835237694051,0.0208768412196832,-0.0163080123846481,0.116636423478312,0.278573330206919,-0.0262414784371251,-0.364419644595365,-0.203209872429362,-0.0986236845080005,0.0486331833289022,-0.009590096953469,0.0113634973589336,0.139799698933742,-0.153405194527374,0.0605541505191663,-0.299066405963005,0.360586029595852,-0.277102902535873,-0.18986695320556,0.176867403080765,0.0498410346301184,0.162841785295405,-0.100934356562501,-0.230416823980169,0.132588947854575,0.044407723592875,0.104703337378671,0.316881202746829,-0.0806715400845732,0.35995988594472
stable,0.0373771273819797,0.194606470176321,0.0946027346087846,-0.0042827767421416,0.0109169909701731,0.0904507189424865,-0.278551596351072,-0.23854060223103,0.176989303687403,0.0195815169564622,0.193320255573354,0.0946975501434425,-0.0495287376545065,-0.0129856324126541,0.18288883506855,-0.161803351778333,0.038465641508426,0.0046053696347203,-0.151277665925726,-0.0122256409704447,-0.0963722577978284,-0.238806709273175,0.0914235104337894,0.0653445923805428,0.286628706171966,-0.144875630550454,-0.257657516954482,-0.31186993417272,-0.151761769226149,-0.147194301352543,-0.169905709062679,-0.0573122922223851,0.188608271952532,-0.157902526977225,0.170755258698489,0.152336653357627,0.0387667159817916,0.15049297720692,-0.0775706612740968,-0.0066411832615267,-0.16784330307122,-0.0085046050071369,-0.371776968734598,-0.039505922587261,0.110549411542537,-0.0846735735706145,-0.314241911967859,-0.0964046576903936,-0.444473952584411,0.0486699571059096,0.0548041126147268,0.0579601066780714,-0.0647146284317037
stable,-0.157105528289628,-0.136424466180909,-0.109004193865819,0.176342667066715,0.12406789548109,-0.123858637761473,-0.0668549121101222,-0.184393005325363,0.267651439295743,0.0183987559104797,0.0049972486007121,-0.139220227429867,-0.236225676789786,-0.0822427904367604,0.132550869943971,-0.157849572428368,-0.104877325184319,0.119872976729966,0.0645397075338529,-0.0901164689120121,0.0837908168550354,-0.226610637592492,0.031698263226263,0.133430713780152,-0.0092339287632168,-0.236047514797348,0.135135120159749,0.0381795441400406,-0.153294123507049,0.0428778531412993,0.0073035901436308,-0.0462785539716642,0.0667359371539578,-0.0318666608599249,-0.125414776108577,0.0819594738113487,0.0480115023230685,0.164360597081186,-0.107955651954168,0.0386371170143798,-0.0429179621227335,0.182119712381378,-0.0354297504877819,-0.187842978612321,0.123245586251237,0.0389847281868095,0.0086650421988299,0.146959007533105,-0.0422365601010648,0.0451134406383172,0.0811322072916553,-0.0422431698208517,0.0331653205771484
stable,0.0120313875382525,0.099743549948275,-0.0341695944033158,-0.0266859893384203,-0.0610034833376725,0.0061730127270838,0.0552339939979532,-0.05042096020845,-0.0253459419790393,0.0949527375266341,0.0071026152894381,-0.0614047689760486,-0.0859775426592307,-0.008751315887207,0.0651633025852359,-0.106229483249027,0.0047829022391699,-0.0254403958026229,-0.117890028943282,-0.140989114815864,-0.016386983801971,0.101996911139001,0.0982425407837459,0.0519357601516291,-0.0267921002730136,-0.0414623142754265,-0.0125505973442543,-0.0057081854255696,-0.0716544399534031,0.00133213717691,-0.0669288865371472,-0.0449860403628457,-0.093959645341816,-0.0219417533201443,-0.0273563773028298,-0.0370941241685637,0.0092822348448926,-0.0669277936829901,-0.0855484673008581,-0.0649846989915506,0.0066328961645537,-0.0429456296107444,0.0883851524081395,-0.0152241349380732,0.0263435096618344,0.0706857028040875,0.0299313498598073,0.0692330914665185,0.0215940695761434,-0.0957004579328316,0.0462737868447052,-0.0186367541861806,0.0312973655155895
stable,0.0639374611108558,0.0261675879426134,-0.0966018627560207,0.047556774730117,0.120967073518114,-0.123824331728809,0.0547100894184571,-0.156762321484628,0.089064429958578,0.0235435927227381,-0.0001480931237734,-0.0543002094332963,0.0086270145222691,-0.0580282994036918,-0.0423303278475378,0.0219297342219891,-0.0733819255716753,-0.0358623895421277,0.0798647786474349,0.0627117883838502,-0.15294132806256,-0.0514005169433238,0.105503871495239,0.042658804321801,0.0977180098462172,-0.130302112778288,0.0030118796851267,-0.0611838028032954,-0.0102604078569103,-0.0701899136264687,0.198745190422912,-0.0972044797398395,-0.0303415642629529,-0.278922727284949,0.111855856249346,0.105209191790152,-0.0016172231122419,0.0448036186033764,-0.0097040417265994,-0.0449370480472103,-0.139648702197319,-0.0605610985866826,0.0856763666213023,-0.0665477467943493,0.0019212935986605,-0.110133476473428,-0.149591530903757,-0.0822719321892995,0.134816768566813,-0.115085682410287,-0.117637464028268,0.0741500111356345,-0.0692745886461298
stable,-0.021441472310915,0.0070120698910507,0.004709431342276,0.0050382705300296,0.139998807955415,0.0130670998352731,-0.148960549232556,0.0307702645008135,-0.0062680330170334,-0.0571188865368139,0.108700675767753,-0.0625389467878176,0.0252600245787991,0.0208991933449217,0.0068712323903196,-0.0495440125246245,-0.0215889695694326,0.15901962207547,0.0485756182366519,-0.0683018208002908,-0.004832691449505,0.21077871371043,0.0172917881517771,0.062892241479574,-0.0491228101387172,-0.0811087533764614,0.0538830084870707,0.0936010396913088,-0.027082396332445,-0.0650721658029055,0.0343788706338869,-0.0375290452432627,0.0290631829803242,-0.0499615029143886,0.101209976726931,-0.104729058247136,-0.0640686167279287,-0.0500998293589051,-0.0462957975465228,-0.0377114789360701,-0.0129130519953262,-0.0756030988614475,0.0232098017677688,-0.0726992261138154,0.0674779760091925,-0.0053228932931349,0.001432284629528,-0.14180971619156,-0.0023261114655632,-0.114174559962835,-0.0024421659332199,0.0933984083724275,0.0253788084553847
