group,ARID3A,ATF2,BARX2,BHLHE40,CDX2,E2F1,E2F3,E2F4,E2F7,ELK1,FOXA1,FOXO3,FOXP1,FOXP3,GRHL2,HNF4A,IRF4,MAFF,MXI1,NANOG,PBX1,PGR,RARA,RARG,RBPJ,REST,RUNX1,SP4,SREBF1,STAT2,TCF4,TFAP4,VDR,ZKSCAN1
progressive,-0.193903395784074,-0.0797486670485266,0.162147011546959,-0.120884909458307,-0.0210516873394981,0.108689768995118,-0.199129884554013,-0.030630271320906,0.0208132163690066,0.001119488722585,-0.116890520702575,-0.0514567360771621,0.142035959702177,0.15299900015116,-0.0875320945576236,-0.0082471210628304,-0.008790304940061,0.0506618328421905,0.0672686862594724,0.170996934229642,0.0826103186944244,0.0212901583099896,-0.029788998730561,-0.0487474408846339,0.0334455536114304,-0.0682623153031869,0.0504631070334476,0.0819081541701995,0.144162325855726,0.0822592364323119,0.156304472769917,-0.0420636295172476,0.0211907954056181,-0.106623020584192
progressive,-0.0129434470892812,-0.0585057305075915,0.0194622868611986,0.102360238401175,0.139242201656993,-0.0763701953505463,0.131459201595853,-0.149013891323018,-0.187982812490411,0.0698582071415597,-0.0039258047737365,0.227508775109771,0.208634643304806,0.0573405424527579,0.036475327688734,0.166321596285085,0.179579511341479,-0.15696447310488,-0.16195386570232,-0.0285252151920042,0.125828014651564,-0.0645972861666062,-0.20661652952213,-0.0941975397395411,0.124714119461684,-0.135146187165794,-0.170487534260988,-0.169433613711008,0.10175969421745,0.202566035688758,-0.139904456835607,-0.0882916332788398,-0.115694928505203,0.136345163750148
progressive,-0.0704751845840637,0.220170318281408,0.165308084219102,-0.292657313691352,-0.0012875867177509,-0.282010000367045,-0.0798600856677725,-0.125328576632317,-0.26592489892634,-0.0343293090299535,-0.161770419659657,-0.194960270970133,0.0219344979426865,0.210332946075743,-0.168184631387854,-0.0701432174821928,0.0634351603641391,-0.148002810102071,-0.156837864226211,0.0630141920751071,-0.0263804394484858,0.201296079296583,-0.0923461084457138,-0.0604713804110368,0.0485163711027333,-0.0780435949323077,-0.0301095588750617,0.0021194181368981,-0.110365450986163,0.19319209552574,-0.0403110957451963,-0.393136900340498,-0.0094974346596978,-0.0221434726290893
progressive,0.309299675909327,0.205405548548993,-0.374790186149739,-0.236055197766788,0.468556681964438,0.100489615505931,-0.204632412390822,0.443486272624909,-0.56324099438796,0.467810673390764,-0.38774360774717,0.545779872499905,-0.13626185692962,0.0334030990442641,-0.219068808607435,-0.0075866811310605,-0.222550181951247,-0.48322818391336,-0.19251090338464,0.30566910085078,0.0841090757336824,-0.353865775974204,-0.250053031367362,-0.461028777266455,-0.206110865745922,-0.0201060613765353,-0.0875949703415773,-0.0098880045492427,0.259163378494351,-0.295134555537687,0.31015419482099,-0.242556775517959,-0.342481233013531,-0.297227900808057
progressive,-0.293121696354793,0.315113277343939,0.469094097668162,-0.0562590119592192,0.179828481132507,0.0888806521611238,0.0068296341538961,0.471908638402131,-0.335145015703359,-0.0394512743558007,-0.0698029954064394,0.0289205986435359,0.27814659050047,0.176457392795776,-0.387214019281783,0.132756479958884,0.37811844131664,-0.0072549955360072,0.2588502900447,-0.326486725140387,-0.0159212367790187,-0.192613174635959,-0.146777504208472,0.0891469999424457,0.050033629488322,0.0112661136159149,-0.369484002793787,-0.0805125614195921,-0.258945698205174,0.236282284752693,0.494794670895716,0.144602993217679,-0.147783265233463,0.157757393342966
stable,0.0177077913280461,0.218962725120184,0.332780754405327,0.0289394622463523,0.0689362594803293,-0.253605644161169,0.0959166186831818,0.111655695520787,-0.313457272801535,0.17163825745722,-0.215816699053477,0.0338154883131183,0.158046885640828,0.130642655582935,-0.211989952835798,-0.339885306276705,0.140388239635821,0.022415828646073,-0.135907008285865,-0.162700155846096,-0.259976582698722,0.126265941162295,0.0617829249820237,0.0133628128171178,0.0928366033086748,0.0261832136002535,-0.16022820050166,0.015787134072311,-0.164486736439469,0.108231662885008,0.0058416440129188,-0.0752009885067152,-0.118041625497595,0.104819901467651
stable,-0.198500807537165,-0.224771958948847,-0.0893836483047887,-0.0922818005286456,0.190353379137338,-0.0066161052226385,0.0387566860652145,-0.0086259298110647,-0.254969610471586,0.0343276556437822,-0.270734793204431,-0.0078783640600929,0.160432949913918,0.120650437512647,-0.156537746702356,-0.336892730573521,-0.0122974566034865,-0.192348222745437,-0.0278714464289904,-0.0659041506627578,-0.137192109671354,-0.0609021348254516,0.159299290184815,0.122101367706299,0.168967362251104,-0.011438942602172,-0.260404443146458,0.32558105214086,-0.202171592696897,0.0787480422318356,0.269744268584394,0.102703223080884,0.025481312597411,0.0642784918074698
stable,0.133333729428391,0.0372599224383743,-0.0223695308106989,-0.0914893129702435,-0.0424358094341065,0.0318377978198619,0.091645911232334,0.0488958227975804,-0.0858434765487446,-0.065704981281101,-0.195097053071065,-0.0091382663265087,-0.0013576316744372,-0.06275069681922,-0.107801820941834,0.118427616118708,0.109539041030371,-0.0926664288073401,-0.134638629034981,-0.157032799071908,0.119069730849077,-0.0757231978815227,-0.153519183556062,-0.125359176849399,0.106101714332134,-0.111086260725865,-0.160008526877116,-0.0250782993007771,0.132065324742656,0.175384383426572,-0.0633910074221458,0.0982509764422604,-0.114569669993658,0.114463484206987
stable,-0.0234666355670885,0.119223704543332,-0.139564364176236,-0.0185290082844341,0.104253617998528,-0.131994563398354,-0.221476995774162,0.0283328828831949,-0.0735739325712064,0.0378986918911602,-0.102759304707179,0.0056098796379803,0.115527780920759,-0.031937819385683,-0.0208650393037058,0.0756389877647582,0.0980548784557084,-0.0810238567015134,-0.14490009113324,0.146773194775581,0.0585296863115047,0.0493294142115082,0.0409055853915832,0.183039231256638,0.142934560858275,-0.0152513871501082,-0.019020080613404,-0.0175015438007235,0.0729705286258957,0.17942153769476,-0.0866464933988838,-0.0816384789169492,-0.112782531233739,0.0149904879121555
stable,-0.0315419203224589,0.0615389359707074,0.0531897370276478,-0.0106045295218462,0.069769138843729,-0.280368727889524,-0.0854742530783189,0.0282995463923801,0.0516005047034776,0.0719968184369823,-0.090160395782214,-0.0851979584057531,0.121571915347995,0.169279763800137,-0.03923255240774,0.210783570311406,0.0890312242134531,-0.182876194511511,-0.0871342805327649,0.110749620866151,-0.191787020475908,0.0871668807219345,-0.0971005779682948,0.141446303280636,0.0795242343936488,0.0182684789440446,-0.0681373003317332,-0.108853107550996,0.0795105702879573,-0.122871188893907,0.0043906967650844,-0.261195405411104,-0.0200395407061573,0.0825847788857852
