group,ARID3A,ARNT,ATF2,BACH1,BHLHE40,CTCF,CTCFL,E2F1,E2F7,EGR1,EGR2,ELK3,EPAS1,ETS2,ETV5,ETV6,FOXA2,FOXP2,FOXP3,GATA2,GLIS1,HIF1A,HINFP,HNF4A,HOXA4,HSF1,KLF10,MAFK,MEF2A,MYC,NFAT5,NFATC1,NFIC,NFYB,NR5A2,OTX2,PBX3,POU2F1,PRDM14,REST,RFX5,RUNX2,RXRA,SIX5,SMAD3,SREBF1,STAT3,STAT5A,STAT5B,TAL1,TCF12,TCF3,TCF4,TFDP1,ZNF76
progressive,-0.0484653824070817,-0.0763175675644198,-0.21522012761311,-0.0639181130296295,-0.0593525335275132,0.171062301376785,0.131677906770616,-0.0413697407946873,-0.137340085431012,0.128961494476578,0.186644043665013,-0.175434363380382,0.0408966980205277,0.300769196588403,0.0060922175459951,-0.0805247813285364,0.160985056824233,-0.251995619646641,0.0598829148197527,-0.229511753244539,-0.239983200108891,0.0750489528519008,-0.188464541614051,0.0453404331717242,0.0926948817910068,0.0196886136457045,-0.112075300902032,-0.16482673753559,-0.112068133587272,-0.170295398697466,0.176588301056741,-0.347163225029846,-0.17779957725118,0.126001393480701,0.060778829164752,-0.0242971970363808,0.0141052754476689,0.011424699727431,-0.121916024067504,-0.0807111315122963,0.0725833965744627,0.162784052828992,-0.031701033183455,0.0487377403679615,-0.0423301609725266,-0.0272501307174985,-0.108835674630514,-0.415431898118792,0.0180257966213858,-0.229483083985499,-0.211206431347513,0.0397785969179686,0.272042599030345,0.112433666640031,0.125005136729061
progressive,-0.0402741312328859,-0.0483262616773403,0.171020433968823,0.0392620028485606,0.201627258444549,0.0812797368038271,-0.0625876060928051,-0.0722275038581227,0.109591371386785,0.0901387538947884,-0.0881429082749032,0.0193089582970929,-0.0453329191642049,-0.0091716399430729,-0.107679556624889,0.0496518146393157,0.0074403637508445,-0.0133620087928166,-0.0179199186940491,-0.156719354031364,-0.0349281752352979,-0.0052988045143635,-0.0133050361717473,0.0586301886197994,0.0713323772945509,-0.0795315742674471,-0.124286599642037,-0.0091797574141488,-0.0224538269369772,-0.0151939015401084,-0.110796865949392,-0.007642899664971,0.0918100509951788,0.11120499435626,0.12246973924859,0.0117061950168856,-0.0171198467146184,-0.0254015212022727,0.0167445890548227,0.0176827081503887,0.165281732673134,-0.0590027905637492,0.0447406945305923,-0.14191554207351,0.0158396413534061,-0.0326855484731382,0.0349638019139085,-0.111522126914525,-0.0529422465722574,-0.0792485651524083,-0.0783219207536099,0.143948116744621,-0.152123261951367,-0.0451148999256188,-0.12472809987444
progressive,0.0600459514281507,0.140339134803323,-0.0005428720593899,0.0635388598170169,0.0349828088716113,0.167987561718222,0.143111469443032,-0.0929197572638357,-0.0363401851443851,0.0334014717244326,0.071261319461465,-0.0715569572296458,0.0013445105187651,0.184659748419993,-0.0025551465910925,0.114348651186759,-0.155486991154133,-0.06501780700521,-0.0219631626630678,0.146994717486547,0.0648061627367768,0.104047941508807,0.126071745805098,0.0643693546982388,0.11479344802174,-0.228802621122035,0.123852612437856,-0.103697663510949,-0.0943195486849877,0.189679628300379,-0.0539855013925007,-0.179770134298944,-0.149744184033002,-0.0548797628207756,-0.107316196050745,0.0159060075156395,-0.136843219175207,0.0285112169306742,-0.0510342360174178,0.128758844824499,0.227276917900981,-0.0676356349222349,-0.104898937916742,0.105699974928267,0.245063012170856,0.0863259668097229,-0.108921813386129,-0.0570395228252604,-0.0990527340652236,0.0859036065945381,-0.138712780592068,0.139355375319978,-0.0314972355315244,0.228096639020716,0.0081356020175839
progressive,0.322279475061947,-0.0553885403678626,0.116152180631695,-0.045695427824999,-0.0827217963796765,-0.100446884359713,-0.116827017580881,0.0420239372902629,-0.193248762721647,0.0661670549968306,0.158279938991063,-0.185197910726455,-0.159039720451337,-0.114245648271755,0.16073389153356,0.0431470924924059,-0.361084959209935,-0.022680184460079,0.0055591463366569,0.0552894384382617,0.155778795053518,0.114306997085317,-0.0705983269918398,-0.0888755542939385,0.147808168429907,0.114094635807601,0.0298485573678735,0.15000256829964,-0.0719149669136796,0.183900147362634,0.0735619466008556,0.0340108384111089,-0.03815896203583,-0.0344025269900075,-0.0912068092093107,-0.0121848182013991,-0.0137940447725366,-0.111088543943042,0.192479542982364,0.0959448252721321,0.079253228843647,0.0560492198985349,-0.0331330784632157,0.147449513827543,-0.0067436503523622,-0.0652421036538894,-0.146869059668452,0.135359078416239,0.0246763804706103,0.0490979274079613,0.11888928154448,0.254304989634777,0.275508083429853,0.153759003345463,-0.102334540161634
progressive,0.015805494000466,-0.0934181278302934,0.151525925373753,0.305769028473291,0.113909455392901,-0.2054065212642,0.113641198993222,-0.0148709233177119,-0.250456289545846,-0.352679284688198,-0.0883212562363845,-0.0201062498275843,-0.272942233241554,0.0897490725572588,0.0154290696976901,0.218144373532848,0.0562083691650846,-0.0555593617465054,0.197860728344186,0.110326934442344,-0.250720219229402,-0.183643139161177,-0.203584973776055,0.0968189267036485,0.129961572212428,-0.410272203012918,-0.0792005386472845,0.223444600784579,-0.0953002493441731,0.11345947691602,-0.0153814758203276,0.124349821399779,-0.254536382850648,-0.351190894341589,0.283815270860818,-0.149812545788704,0.0013802224435118,0.358779954422842,0.129922631767313,-0.0875770610630804,0.317792972581502,0.0837522440095868,0.0829950686879111,-0.0834407204486688,-0.0094971418918759,-0.343835476931025,0.0827224855721078,-0.287813156559266,0.3061151657632,-0.12413781230971,0.304289291558931,-0.0113792634057557,0.299772199925619,-0.342524481945495,-0.13382965642716
stable,0.0856036863538285,-0.0855650867534685,-0.06591756025914,0.152065863880269,-0.016868025357298,-0.0175751568394477,0.0961555634300048,-0.160997811403562,-0.253653413805373,-0.141956991448224,-0.0622304736469793,0.0946576350071474,0.0038833837251022,0.0695079829148437,-0.0632634913277236,0.185256241611999,0.0299218163590274,0.0100006615865917,0.0764369740816803,-0.0728660161817136,-0.0597662355706664,-0.0549867472772078,0.110682803449919,-0.165862680693372,0.123118011112547,0.081859261190022,-0.0163216925522033,-0.126888895147711,0.166446623365484,0.0778931357574815,-0.272927348953996,0.0566564934083341,-0.268417991880834,-0.166552392868693,-0.0578689827351964,0.0325935685261643,-0.106155961087705,0.125010513227972,0.000893795190557,0.228054620722214,0.0357652679957411,-0.0464800551801033,-0.164749692558549,0.212460580123463,0.0203191595405917,-0.201862317544632,0.32750243314292,0.123960274187068,-0.0976852293020471,-0.18138526254479,-0.10090219257649,0.10722526899101,-0.115509535014929,-0.103365045026124,-0.151936670687953
stable,0.0842722246287986,0.103967634928308,-0.24569037431599,-0.136081899249867,-0.236330075455503,0.0989099070166932,0.0447771442738629,0.024785093987706,0.0047443030726222,0.029323459833472,0.111624109882901,-0.0097090687250922,-0.348381230716352,0.270115885120753,0.0137927910222266,-0.0476287938517021,-0.130774173873988,0.0750736413649495,-0.0780941078231114,-0.0784099535542694,-0.0572720143098999,0.0986565203033983,-0.0410258911674212,-0.0444004534529518,0.320562920238414,0.0398001127677557,0.11551642030617,-0.077001478492534,0.069116471317543,0.129336325320648,-0.212681186857349,-0.347110100936791,-0.2454487692779,-0.0997360768162834,-0.0816181198516427,0.0702772084143691,-0.0412900911990541,-0.0379863803575594,-0.0816350660967994,0.179423938648176,0.0274062746314146,0.175000645876665,-0.149169726473576,0.0550372080557633,-0.323273512499426,-0.053487998462822,-0.20266918382598,-0.16091589525931,0.0457061212940702,0.0792635601317323,-0.0940074389892754,0.286144289361171,0.184805420538689,0.178767392692964,-0.0920516809053852
stable,-0.007313537881485,-0.120744162459223,-0.037069463274078,0.0030101531332001,0.0664498342056504,-0.0382275998307617,0.035775414881131,0.0856932295418271,0.0781794721803982,0.0810417340686901,-0.002675165306,-0.155273119870842,0.0498325430518867,0.0239555501785434,-0.0386259696200653,0.0646561900203496,0.0129274699355325,0.0168676063425866,0.0046480105542584,0.13005248968753,-0.210444231933514,-0.125405949333423,-0.044896536623431,0.109450574959153,-0.0142804352382698,0.0906602735290448,0.0259557847111129,0.0826523111091523,0.182822057028025,-0.05829915346731,-0.0156550723802831,-0.0772366382681795,0.0696727851978716,0.0057437452822732,0.0023762246084499,-0.0055020879387891,-0.0309564799462515,-0.0506567263666624,0.0203495303689697,-0.0497364899752968,0.0404854461010561,0.0414230526349569,-0.0228358566332386,0.027855119951777,-0.0079204582849265,0.0290801778413003,0.0825377988528777,0.0964061968856171,0.04839408833291,0.0290630255061949,0.0549151338806711,-0.0602423224532433,-0.020932927569981,0.0097296757014657,-0.0437022984852399
stable,-0.0083005871126932,-0.0673601063822793,-0.0297235600695442,-0.18687861722732,-0.0821064530855352,0.148906906472397,-0.0564665562367319,-0.110857821926422,-0.194149610123129,0.0015835487371497,-0.0910342384220511,-0.113769847288191,0.0033782024528604,-0.0377759236958068,0.0095415477060813,0.0929990099189002,-0.0490203221601067,-0.0213230143835453,0.0768927665583073,0.0085327607654394,-0.0577898571820846,-0.113212390035493,0.0891311045601011,0.0019634122275469,-0.0351474105427392,-0.0599688181532191,-0.045037140308557,-0.0292292042802247,0.0385442768087117,-0.066629133175187,-0.005202655534044,-0.0044943716683819,0.0800329400445041,0.0006144420042166,-0.0641714697174976,-0.151479219067775,-0.0146918190923993,0.0353741471182763,-0.0319699094303185,-0.0346511726882319,0.0038347078200704,0.065859734470511,-0.0606279592056452,-0.0508376129376591,0.001429219391753,0.0996203243678105,0.0726942973611127,-0.0292424310161276,0.0124024959098378,0.0122291890737978,0.0557427453332707,-0.0220427474790996,0.0180320665639731,0.0636045498592721,0.0578226887636934
stable,0.0496336703916319,0.185642437699588,0.0635664157200797,0.0223434846716672,0.008303395158791,0.182662599996229,0.0019317346150561,0.0114928534798102,-0.0658449457635841,-0.163902936829576,-0.0575394774338492,-0.090328979434823,-0.0145916681601158,0.0357152069074642,0.0030513621009231,0.101667496855477,-0.0642389293390466,0.113745560422283,0.103688838525774,0.1515539789261,0.0397305934972986,-0.0193357743367294,0.0502573493172537,-0.0438337443237579,0.0274268998260982,-0.024741106868282,0.0031489163114497,0.158988024402418,0.100716141744556,-0.0823868919010876,0.0644555757026836,-0.0173558960853095,-0.120388691183505,-0.206981586225101,0.0410188388866024,0.0893287896305571,0.0515713941671926,-0.0480691173859723,-0.0606847081080653,0.0527906490345301,-0.22065057813902,-0.0741871552894913,-0.0345293531275562,0.13136094840407,0.122627485450584,0.0302427266725621,0.0524731083516235,0.120616855163497,-0.0477135685690942,-0.0081004547586163,-0.132713922797289,-0.0306859245499015,0.0341854371031966,0.0432727212311071,-0.011332528260149
