group,ARID3A,CEBPA,E2F6,EGR2,ELF3,ELK1,ETV5,ETV6,GATA4,GLIS1,HNF4G,HOXA4,JUND,KLF10,KLF5,KLF9,LHX2,MEIS1,MNT,NANOG,NRF1,ONECUT1,OTX2,PAX5,RARA,RUNX3,SIX5,SPI1,STAT4,TCF4,TFAP2C,VDR,VEZF1,ZBTB7B,ZEB1,ZFX,ZNF143
progressive,-0.157636772915288,0.154920081664969,0.148357288195097,0.117657150835451,0.220296188242172,-0.226858981712044,-0.0354009289613217,-0.0408800983931451,0.0147586541520147,0.0402085567357629,0.0619039309623284,0.0982969100993285,0.326552393212519,0.075891838439393,0.0600800848701198,0.107194837059643,0.0504037800796572,0.107522976733137,-0.275850998080159,0.0541506772816423,-0.0637659328305247,-0.319417263102833,-0.137666039763364,-0.147800213865678,-0.159468250162694,-0.190397322178266,0.0546238089038889,-0.185177612023158,-0.237496812057395,0.182781429291135,0.0140794813394349,0.0643459006255366,-0.100258116985093,0.140314050616905,-0.144495923665149,-0.176584931270745,0.0396743758719361
progressive,0.0156728466223227,-0.021847969798871,-0.0637085174086341,0.0779321447645922,0.0973044873076602,0.110915123449744,-0.0171444952606892,0.0049561866248211,-0.0657421920909858,-0.0142945558412416,0.0219026927693049,-0.0232176880974591,0.0316895907101302,-0.0318076678491246,0.0181234023026157,0.0835791795333258,0.04203064680005,-0.09102954755414,0.0309981554098827,0.127574157852549,0.0021376013536694,0.0098339878789026,-0.100611821512173,-0.0576794200126324,-0.0045125312979979,-0.0363112743708286,0.0152574922308527,0.066749341352632,-0.0031234368403505,-0.137078222586743,-0.0118838093604703,-0.0430946327949366,-0.0460868989100194,0.0050645169686523,0.0120116920102613,-0.16941327425608,-0.0949340784671122
progressive,-0.131621786824896,-0.156715664164847,-0.0829681210155707,0.116758306676362,-0.0682920008897649,-0.0988597592222273,-0.201431552175314,0.316098781674024,0.0050479635688879,-0.127799944509714,-0.116721908977457,0.0168604436758269,0.101988254748808,0.246908280785764,0.0037546002941833,-0.179607494709384,-0.0179740845694651,-0.0975010003893436,-0.0077843655134879,-0.0531914321175783,0.0222425051081482,0.181064535722325,0.109534258698366,0.0156768190436711,-0.0219219339837008,0.104749262209309,-0.0917140879955633,-0.0390110313053024,-0.0135199266571985,-0.113447640806644,-0.217055816970412,-0.0957198352098639,-0.161738071009715,-0.117350028068135,-0.314723376699058,0.0798804295196225,0.0750627282572986
progressive,0.0032349957252405,-0.0899674536350861,0.201399474326501,0.0948273556101039,-0.0649221661195217,0.189644833370665,0.147950430450848,-0.0679793605529932,-0.0508956197688605,0.057963221116676,-0.0018027075415462,0.115778274490211,0.105006479563876,0.108769940239652,-0.0537848907601058,0.0899625147103147,0.047922387056502,-0.0776497752553153,-0.0405090609746913,0.240950383895548,-0.207805259754954,-0.199349820546387,0.064240594501074,0.111283852948274,-0.323860114032362,0.243810021338166,0.142028659649987,0.0337229783388432,-0.198085455804919,0.049241079970455,-0.0893994772863797,-0.114943596203851,0.0740986883447078,-0.0327203766102572,0.0949310730303025,0.0717230655296838,0.218853634468486
progressive,-0.104891076317424,-0.317827225548826,-0.199883384890858,-0.15505617378825,-0.145879239084578,0.0186435221560075,0.0653787632696491,-0.0601604161310379,-0.181888133172334,-0.0330158156849051,-0.0284733249598409,0.0802292137169745,0.229754399304564,0.216421177540712,0.319859392452144,-0.288149312967561,-0.0430249273331488,-0.119690952475301,0.02384347864391,-0.281781550159652,0.110996772352733,0.198945461704711,-0.0307905469491449,0.260407016373394,-0.0326112213693123,-0.0622247666730964,-0.177258286856403,0.16661010009603,0.125456421472498,0.123792067583355,-0.0179354821037202,-0.230729103792129,-0.140035609821869,-0.0969968895006883,-0.0276963199673957,0.0572730839697623,0.0174343368719064
stable,-0.0542357678386695,0.0914756675734261,-0.0495258795509477,0.0177365899450716,0.0410878186949767,0.0120763042250083,-0.0912362430210471,0.214294185640099,0.0995587878419149,-0.124525535294207,0.0682252850727134,0.0481560627046781,0.184415993864825,-0.0179315957503435,-0.169482629428428,-0.0616436003343185,0.094042675413153,-0.0014437116283233,-0.135586485639491,-0.0387842529175853,0.102925537824256,0.21439039214305,0.0369511437627795,0.289781014738727,0.11300484068163,0.198992302535307,0.0540555000508709,-0.218617064506022,0.0069316444218237,0.0028050677608583,-0.0122795660493277,0.0312793951402369,-0.130267494194435,0.0518499830286144,-0.0423734377932738,-0.0126401016249249,0.0581281737775589
stable,-0.215221366370706,-0.0320145448024896,0.0341305736616063,0.135844041197104,0.230176465516631,-0.0999338564506697,0.167311547333902,-0.159461009156632,-0.0766722689180324,0.0855308752523822,0.0667959437909038,0.002079965957293,0.131030236386541,0.310136722948349,-0.0201584848818219,0.218600951268835,0.027325351709027,-0.117715068071901,-0.231126629859515,0.0216343549062194,-0.0258096939760447,-0.12057351864227,-0.206026680880863,-0.267814452672033,-0.0419337052073712,0.305609220330199,-0.0822813199720952,-0.152509334574581,-0.0210798666270062,0.246996169065297,-0.219515222019294,-0.0524870986180338,0.061269007794984,-0.163745891407114,0.164412801126754,-0.175256052227192,-0.129398093787575
stable,0.0497016275836961,-0.0011391091008473,-0.0153688860151548,-0.0881605265565819,0.0147517096592053,-0.0474923460121443,-0.0088081269063992,0.0289225342559537,-0.0714693922238047,-0.0988227627464413,-0.0750953243493747,-0.0309942230254384,-0.0470917955842759,0.056129449496814,0.0261277681071592,0.101468493397848,0.0342353103833841,-0.035210407517968,0.0573317738801439,-0.0948142295189963,0.0051481471530859,-0.043666391085037,-0.0064901397293008,-0.0100102830147979,-0.0452868225807223,0.0354215925566074,-0.0248941445866286,0.0896425238755442,-0.0538995822920137,-0.103477639984575,0.0354079622871813,-0.0645559288592816,-0.0012243123076715,-0.0131398040933667,0.053824195122842,-0.04007585278666,-0.0410458455816646
stable,0.0657653167712359,0.0480277020089269,-0.0641526796241668,0.126836181993075,0.0626786238748296,0.0021759155787786,-0.0750987337011114,-0.0296089744194674,0.0760008262270823,0.138385024942785,0.0225061550899128,-0.104198307563036,-0.024038538328895,0.0510462032078806,0.153111536661996,-0.198053349921892,-0.0464016624055974,-0.0269934582753496,0.0217224866674582,0.0611070518537422,0.0854795793926448,-0.0569285948703686,0.12065979405006,-0.0252439552449499,-0.0151636462325983,-0.0155105554104409,-0.041952475805765,0.104240766544469,-0.185029379026344,-0.0176567175363216,-0.0627535168004124,-0.0397258989423223,-0.118035325065161,-0.0674562778726904,0.0742973740363931,-0.146436952614872,0.140863621593747
stable,-0.0368224120851996,-0.0263211426238508,-0.0664091143673353,0.0002429096664581,-0.134690615065351,0.111205112480907,-0.108363882470096,0.0110617911393894,0.0192228952993996,-0.0480087071331293,-0.122866046918945,-0.0171660399123925,0.208955926061577,-0.0362011629905446,0.0785840720849184,-0.0714550799177461,-0.0157619407315893,0.0546297741713791,-0.0903880589729733,0.16643911174312,-0.0672895348634415,-0.0044087088103719,-0.0518540992797588,0.0085836551802193,0.0006779110775213,0.0697354014422347,0.136950233960552,-0.0983934062025036,0.0512488578304875,-0.18009642824116,-0.0337804512830687,0.0783307447444803,0.0495596701080881,0.171326017198131,-0.117649333151108,0.0371181723903851,-0.125779946558006
