group,BATF,BCL11A,BCL6,CEBPB,E2F1,E2F7,EPAS1,ESRRA,ETV6,FOXD2,FOXK1,FOXO3,FOXP2,GLIS1,GMEB1,GMEB2,GTF2I,HIF1A,HNF4G,HOXA6,HOXB13,KLF9,MAX,NR3C1,NR5A2,PGR,POU2F1,PRDM14,RARG,REST,STAT1,STAT4,TBX21,TCF7L2,TEAD4,USF2,VEZF1,YY1,ZFX,ZNF76
progressive,-0.17077501153241,0.0301482542046767,-0.0567409403459026,-0.234741566522409,0.2867484834808,0.251159132694176,-0.126956675568633,-0.384533339256121,0.114020603125661,-0.018740806667772,0.425523382442153,0.2771996283407,-0.045037195470377,-0.216586620501456,0.0638924806553434,-0.0828083721141187,-0.372863264532711,0.178498944427823,0.21636439749749,0.0676433356010671,0.122188982029006,-0.10314514399219,0.201785221631257,0.048599497564251,0.128303481653273,-0.252768565965322,-0.214714560043805,-0.128323683744543,-0.232579942756561,-0.190970368771594,0.070734255565317,-0.238303868616283,-0.157953417606633,0.0122559353702282,-0.150559452201957,-0.154956774068308,-0.0505456323565565,0.189731307173725,-0.0026801441084345,0.282277087279794
progressive,0.18793166907401,0.0983475220938244,-0.0371200192685699,0.01551443172567,-0.0651227785518597,-0.0068973494906581,-0.0691949007845294,-0.0087993487723171,0.140133324893019,-0.0302721695322536,0.199434030594565,0.152981964615964,0.127563600937029,0.0001564134679348,-0.146554239248136,0.144553528247063,0.0855289563495344,-0.0221406837245257,-0.0210640640675903,-0.0743819186469686,0.0525872535540535,0.191964843825551,0.030640683691758,0.0926845967095054,0.100575826442138,-0.0806603773137188,-0.117809271438988,0.0513977245737453,-0.0304907454823853,-0.0831109988726667,0.128938418241971,0.01874827178137,-0.079752594028182,0.0109170940762917,-0.147019354672413,-0.154728845481401,0.0426329584786379,0.0324914564834585,-0.182980494517869,-0.0565200378154411
progressive,0.145870355481426,0.0883902541473276,-0.107919639821854,0.0739398276795179,-0.206296785840093,-0.123991930086228,-0.220592467921649,-0.209070695264814,0.352196510548445,-0.124107464381879,0.0203329880464197,-0.065209332932779,0.168151808975445,-0.127737222218385,0.0988627095685325,-0.0968837885649009,0.0758371717573599,-0.0509031070687109,0.0043290853944376,0.17467990565066,0.0597831957237009,-0.325810803444179,0.109321745630176,-0.126675801998465,-0.0092250939991367,0.183009225448232,-0.203271908830893,0.201857700038281,-0.0992564846994273,-0.111217326020762,0.119315947856963,-0.112609527063693,-0.0525823418224852,-0.0205259328762247,0.166355582966982,-0.227533548582445,-0.138035289867006,-0.0898698855128861,0.0686055427915505,-0.233564809445335
progressive,0.0134362700862241,0.0260913085557382,-0.242337133782276,0.0342188585330904,0.0205221779079629,-0.45913576032824,-0.205925344395262,-0.0239532009731633,0.136016536214575,0.194659162133233,-0.170655706494667,0.36059549868602,0.0148479693234371,0.137208942366396,-0.356913202293808,-0.363656464669621,-0.393914341847813,0.0736230848145196,-0.0767160310397402,0.364606734706321,-0.161212398004961,0.0019462261328566,-0.196568839418524,-0.0344655632541567,0.101793109075539,-0.236736022892881,-0.50112581757492,0.177522321231014,-0.428105788745229,-0.231290244605639,0.105169308869391,-0.0330127465634327,-0.18041881740057,0.377599850015815,0.301971147191145,-0.0148251262937087,-0.0776388894407661,0.124398571294729,0.0744500024906864,-0.240898022909389
progressive,0.26532026781669,-0.127295412805056,0.0061428104236129,-0.170127182285435,-0.0331302242180191,-0.13954417678974,-0.352097703067595,0.0201156565338578,0.148815725322447,0.416179501406725,0.121357362728897,-0.0745286712662212,-0.128573117373168,-0.122237832222948,-0.102781504007892,-0.1793618739556,-0.0059380500761591,-0.39645288953303,0.0213524090324786,0.246515077506536,-0.1930890076489,-0.0929980546065508,0.0288056856797956,-0.230736245131749,0.0980269687400152,-0.0593272630712537,0.256380431046859,-0.05792670229467,0.140916071117681,0.107454135136787,-0.029534632516731,0.109976782617417,0.140707215563278,0.109190502883194,-0.282233472516371,0.217320347166578,0.0893287491801793,0.0762609438056801,0.12781140888064,-0.0938744288936529
stable,0.173278182838707,-0.206038204494226,-0.0774432817833105,-0.0577513666181691,-0.180409463216426,-0.178346601241624,-0.0167938058973025,-0.176666596964354,0.1838407327037,0.139632092618366,0.186754279781923,-0.135927697389772,0.109220347176035,-0.178087493032132,0.202174429311223,-0.176131584207673,-0.0598208977270576,-0.102465687620454,0.150551688161929,0.0352815101012208,0.0122392813264612,0.0656564518035948,0.128784622524919,0.0942062120598443,-0.01433332767824,0.135059968943686,0.0674535981860612,-0.0284483647176449,0.131743989024363,0.0248059059843127,0.103405171009206,-0.0189183573624009,-0.0188604964490803,5.68111422145188e-05,-0.0665853757300437,-0.0457644626158718,-0.0465130111657896,-0.0472432195969708,0.0299498461556297,-0.205518938304137
stable,-0.0159789187718273,-0.0676055058581843,-0.0089677128655597,-0.167219031561298,-0.0598412640375994,-0.173640256357989,-0.213236955317843,-0.0415970589211613,-0.0329111505702651,0.142290935728886,0.0227069638850185,-0.114963432686595,0.262302285970392,0.0428731662100226,0.125823756728444,0.0302466662794812,-0.0924440873153502,0.0815174563288754,0.0249999785882913,0.0533984894839044,0.0685675593456773,0.0841947499157803,0.17379698186347,-0.132857416577323,-0.13741707390362,-0.100642338228037,-0.124216868204456,0.0631918745076682,0.1754823838378,-0.119807004293975,-0.0506711642933267,0.0629979266946351,-0.127645992124867,0.0562374815971376,-0.0147929286486178,0.0608782142330003,0.0697506862144599,-0.134864557930694,-0.166952146109175,0.0044318657602884
stable,-0.0380594229239877,-0.0240468605991555,-0.0051198983111409,-0.125145410386244,0.106097145538307,-0.054787312478775,-0.0786876797235746,-0.147378847364477,0.0529217825880379,-0.0918689980951311,-0.0972948966166731,-0.0444274676099874,0.0528386843242398,-0.0963181523071624,-0.001176911825452,-0.0420865006715955,0.145031190754534,0.0058102933204318,-0.0464885658674745,0.0312019869535823,0.101259310956549,0.0561919344522574,0.12837835095246,-0.0764021116277147,0.112418728364863,-0.0857148661095877,-0.0659502315120414,0.0265054194202805,-0.0401363568883495,-0.0897123107027468,-0.0199314582818504,-0.0872568354021023,-0.0760690914158146,0.0538519082489273,-0.0972256480635081,-0.133568124973474,-0.0779106325624742,-0.0116557074165066,-0.0586346575665077,-0.103046603047974
stable,-0.111913168559149,-0.0021766056581484,-0.0283913750048187,0.0212775512832307,-0.121215604988455,-0.0862585432098459,-0.163015978724815,-0.1645229643454,-0.0462933309657169,-0.150797443643267,-0.0845594952459315,0.0250354046500604,-0.0907790964732983,-0.0095978199386808,-0.0247842656048568,-0.0441282783090453,-0.0111229674829856,-0.16788771296329,0.0528964010324956,0.113206701126248,0.0123862301772197,-0.103793729211196,0.121391523399589,0.0819022544564744,-0.111849097328251,0.102072886938819,0.0271457697364225,0.126744548616618,0.141505803468616,-0.0184363705663304,0.159817966656624,-0.164087279975296,0.061526846284198,0.132143785839554,-0.107236422751713,-0.0862113222081764,-0.0446588082807931,0.0806922162886947,-0.150433397972277,0.0509042397996714
stable,0.14278085736056,-0.0005351422549587,-0.0926530567131071,0.0577038562896518,-0.0668103596734816,0.0035436071511624,-0.0904021535977521,-0.0353250806655352,0.151974270736297,0.0471036831960313,0.0239255326715336,-0.0542066595120019,0.126870089711032,-0.0576902834445679,-0.0396803220610254,0.0601209172988557,0.0299397260032386,-0.0287951192206443,-0.0272220921504845,0.0039325129461855,0.0615634699227258,-0.103511551697033,0.130367286488682,-0.120607644664406,0.0255935696572803,0.029145605107406,-0.0603856972364186,0.105373767934221,0.012714034257,-0.0025053939606769,0.103564420117803,-0.0006292765031207,0.0185327348361265,-0.066580278057625,0.01813999799612,0.0695677269356343,0.0908751234655526,0.153734581176929,0.0425484612524107,-0.0259174571460147
