group,ASCL2,ATF2,BATF,BHLHE40,CTCFL,DUX4,E2F1,E2F4,ELK3,EPAS1,ESRRA,ETV5,ETV7,FOS,FOSL1,FOXA1,FOXO3,FOXP2,HEY1,HNF4A,HSF1,IKZF1,IRF3,JUNB,KLF9,MAF,MXI1,NANOG,ONECUT1,PGR,POU2F1,PRDM14,RARA,RELA,RFX5,RUNX3,SRF,STAT1,STAT2,STAT5A,ZKSCAN1,ZNF384,ZNF76
progressive,-0.11738461511069,0.0047591026033213,-0.0823002210917379,-0.0251844074139798,-0.030048829023737,0.279075619741375,-0.0781993622786409,0.0490259974959021,-0.0835311369794573,0.0382966237152468,-0.0871448953877884,-0.173466986037797,-0.0764747635482533,0.0014876309659068,-0.104548861201318,-0.0883231517722898,0.0435296618475296,-0.118095518404133,0.0181280339827758,0.0524620300808727,0.0851240869518,-0.209321525291311,0.0369538063831894,-0.083794434495547,-0.0677069562624663,-0.0091561711220193,-0.104601520704536,0.049348536953112,-0.111506498063988,0.0189245089689472,-0.220320779025959,0.0009742008095318,-0.245459109374623,0.155345534492923,0.122769049314725,-0.0016390270376583,0.0098736568533637,-0.0556676773392648,-0.131457867345685,-0.0576292438341331,0.0012704105151328,0.23001012761806,0.236711049402542
progressive,-0.497941313216156,-0.230271370239332,-0.122428591941694,0.142116805522563,-0.524711133553123,0.309201808021442,0.0801980050061373,-0.441873020263483,0.115475182908229,-0.171884792387618,-0.151334963265336,0.319097842117861,-0.276597289152361,-0.337098779670161,-0.188817664300982,0.149386768263276,0.442943557520934,0.598120441914421,0.339803243303693,0.419753293674969,0.127291851128542,-0.508060725665215,0.184405731981952,0.292208871114716,-0.160211524675523,0.139249215067,-0.049659759216126,-0.121511994546887,-0.400338636966038,-0.206182789648713,-0.389348328747556,0.0861584762766803,-0.579326254721538,0.0510530991785812,-0.106785531818998,0.401435429340929,-0.194352923918213,0.534497110674128,0.555286033912064,0.324639210829913,0.422132995962409,-0.297460081139896,0.227694078373577
progressive,-0.704240528651808,0.661559086762158,0.593646265498747,-0.585065427875678,-0.539030662044985,0.584131286915152,-0.37750452900992,-0.0691923996354172,-0.716437733064131,-0.61189821694646,-0.666880848437208,-0.590146984394491,-0.554459129044114,0.656685374654584,0.119340116642023,-0.585516513231222,0.148613540755887,0.631531615720949,-0.632211518878321,-0.397738799678986,-0.281107437370543,-0.497811185147361,0.509542427582948,0.640176053733857,-0.589048029114167,0.335668132109845,-0.609736307557165,-0.255997124217172,0.559031920234105,0.626624270608647,-0.586987472217771,0.566879344211381,-0.182394228385363,0.630224249180991,0.525464430584037,0.572802254906891,-0.684996202018529,0.596814532334,0.494270725656418,0.619379872549847,0.354526346810196,-0.641513853734272,-0.654213361403721
progressive,0.320749958135798,0.42470714154768,0.437328098232558,-0.381171830081979,-0.721879042339703,0.417348298636025,0.149034605340686,0.595137402290204,-0.204974436935039,-0.556332131397007,-0.112393700009741,0.171043497651829,0.122669927335513,0.383796123326209,0.560146825700475,-0.571865963401082,0.686419519878152,-0.471705437912982,0.291873714259429,-0.114905265880936,0.619576696763959,-0.556783040889143,-0.552508418903697,0.474437949435324,0.0398423627251091,0.580938262382852,-0.215814301125981,0.573895056115692,-0.296536118408112,-0.396385516346637,-0.363978651146846,0.494201312475632,-0.210132841525072,-0.0196371083825091,0.646577157153043,-0.0688674067338831,0.274130425743889,-0.0654134400241237,-0.467805070806009,0.572231200089712,-0.407297526056321,0.0638848568457838,-0.210867823997253
progressive,-0.285286758177342,0.292469128620287,0.261862032120714,-0.0339630857709322,-0.052047480254407,0.113957378921113,0.043363018029228,0.150315905797398,-0.176800155642049,-0.466715728232538,-0.442741552813462,0.0906314746922642,-0.184476635223887,-0.104430954723261,-0.146366985559367,-0.036184600459394,-0.0183018025045876,-0.141892333197554,-0.0977743164040979,0.371198502374902,-0.133441090485932,-0.285935029367569,-0.163119261804387,0.181796587254533,-0.305272484627276,-0.283709561805996,0.0445370213432371,-0.486238968528469,0.0887499070913606,-0.130338085093686,0.167099805027307,-0.154256920289206,-0.0872003808317929,0.180128474801631,-0.030144610345569,0.051881459583739,0.133417373247265,0.179998029988963,0.142789635393783,-0.0318562044026935,0.296663126991209,0.221542726387066,-0.0437227294823419
stable,-0.439867860381149,0.249453088318499,0.272586878514197,0.193588635212103,-0.148120127768304,-0.185581129353219,-0.412325729828217,0.206801810594083,0.0003981835396941,-0.0499707714931187,-0.337452432286168,-0.0574474461396169,-0.015973221086526,-0.0807082317499685,-0.108301773798889,-0.406438061255406,-0.0200817512460975,0.161260004186998,-0.0267132329246191,-0.355847405420592,0.0662987018367658,-0.265410374847788,0.159724935086295,-0.410335293172984,0.163871708183234,0.179590277006002,-0.30322307916959,-0.248457268686835,0.102343692522215,0.10495461482319,0.0919702356309618,0.0522232564518839,0.0946117041775074,0.151282987053704,0.0948175906830816,0.184237755982589,-0.150352889954339,0.348376803944965,0.230518985975845,0.471259900223186,0.191877384025731,-0.14987846106153,-0.33645294469982
stable,-0.265313684970501,-0.0439899683344756,-0.135611536847785,0.129770318054324,-0.017596990700749,-0.448079632475862,-0.156244893030431,0.0917332668644513,-0.372503672280336,-0.211184103302127,-0.311713947315414,0.202605906020781,0.262348145391574,-0.259657941510442,-0.29643871824639,-0.409919521279579,-0.238067992975812,0.329115429013174,-0.0568581495802815,-0.169586722502346,-0.113332363744881,0.0689451801379174,-0.278340339174201,0.244029615804321,0.285012877003769,0.105542104634073,-0.100338466521304,-0.073246378203681,-0.194089828958498,-0.182760930670567,-0.0934209891106332,0.29053582189576,0.10835094190268,0.430399273785159,0.252406254370133,0.367606208643946,-0.449581436726748,-0.31669256563229,0.150090269616329,0.0680591185809737,0.261613769310157,-0.263496705451399,0.0590993467473786
stable,-0.481898935844893,0.382157445086652,0.228207090708287,-0.415106596587243,-0.428046875926479,0.363341733124992,-0.198196168684019,0.208722365391354,-0.066423784074895,-0.298126247620569,-0.403490591133577,-0.17902329380507,-0.0993660078464872,0.319483871643291,0.105647046172684,-0.367534907880382,0.187156242384014,0.279898468926636,-0.458006789338708,0.245255615977033,-0.262939183070701,-0.051882275639659,-0.149589374631664,0.299989806721337,-0.108084580450158,0.392859657427077,-0.147972442683265,-0.282319992452646,-0.204002170066919,-0.0820979505432346,-0.277049581496146,0.303451259344885,-0.347883403902359,0.151009507759976,-0.154109025030701,0.390785495364735,-0.20557738169179,-0.215490500040957,0.418275596414005,0.309635309465093,0.203256797743123,0.069087367583786,-0.149725466019113
stable,0.0058449265591421,0.480179486852623,-0.123500541564561,-0.208490188696281,-0.187740709305907,0.111005467489846,-0.246272000969198,0.0780958950456459,0.236381576250233,-0.173073675878203,-0.352678071686035,-0.0818053732536334,0.236828415503027,0.0092049281858916,0.117926874928257,-0.318002069268293,0.0767855557576123,-0.0436660203164172,-0.317021071090297,0.20836413174144,-0.186196956865229,-0.304124722305726,-0.248130302122151,0.404316848085808,0.0572718599916358,0.362355713452579,-0.465459369000844,0.152843563015269,-0.362869192704656,-0.0171139136982939,-0.247033537352974,0.266574987417093,-0.0971645820562097,0.157469081480647,0.121698045845305,0.419292097694304,-0.179320569767832,0.25223625616848,0.392511822051171,0.337852428133834,0.274796146942464,-0.107611972708298,-0.206192617644572
stable,-0.0399646327861568,-0.0270616247712868,0.359718697087554,0.191179665001665,-0.165152385494687,0.247754137435389,-0.286863767079678,0.267270239169684,-0.347720099525564,-0.24075786970004,-0.281161179520336,-0.022126775492803,-0.301495068499892,0.0850104118236646,-0.270055442650209,-0.290670161930021,0.106163050528566,0.29807366568341,0.30654648481085,0.149229221916404,0.156666198588293,-0.284820421859958,0.24576404944702,0.284401422196439,-0.320493890659801,0.351358595072251,-0.164428600471027,0.325151545673905,0.146503799143359,0.307502869188301,-0.338128236886367,0.26177640284648,-0.286109931288931,0.284676905385113,-0.0605320835995889,0.33867492557445,-0.389571621046569,0.329969293208756,-0.254363809003402,0.190199967217719,0.287491517979336,-0.289637527741419,0.16043013737268
