group,ATF3,CEBPA,CEBPB,CTCFL,E2F1,E2F7,ELK1,EPAS1,FOXA2,FOXO3,FOXP2,GLIS1,GRHL2,HNF4G,JUND,KLF9,MAX,MYOD1,NANOG,NR2C2,ONECUT1,PBX3,PGR,POU2F1,PRDM14,RFX5,SPDEF,TCF12,TFAP4,TFDP1,VDR,VEZF1,YY1,ZBTB33,ZKSCAN1
progressive,-0.081580170070585,0.106850528138622,-0.155851497038856,-0.0525959152362727,0.0074476186042567,0.0005947521511828,-0.232633999756566,0.087620208583709,0.178306694924627,0.125453053756175,0.0816991205008216,-0.21126918081463,-0.29773292688215,0.195851883384522,0.139198436805735,-0.0744563609708612,-0.0516310950799094,-0.0126351790340185,-0.0689185576076251,0.0130977640404941,-0.446401139606164,0.0838600533167861,0.136237892764292,-0.0486507259667596,-0.190386771950875,0.05905888861246,-0.135676182399286,0.0828225412308337,-0.0370596673759288,-0.0497014547671827,0.035579395355207,-0.0066810491649543,0.262906884251774,0.281800177587684,0.09360738023895
progressive,-0.120578106951637,-0.0031636200466929,0.193326477977991,-0.139387280611226,-0.137355772421276,-0.0806127978243889,0.0438704816379671,-0.0424238526440861,-0.120436042786968,0.0721214438342822,0.189725849081973,-0.0387774766521945,0.0506272855568866,-0.0265170208377649,0.0610576702401672,0.153159778615991,-0.0006764670359151,-0.261496768085435,0.119282906932224,-0.0722465576932125,-0.0905621122282349,0.0343686178463732,0.0283314995605966,-0.0457261655239195,0.205547039702672,0.147644701652525,0.033189494644434,-0.0254116923370511,-0.0059869229052476,-0.0689600245178923,-0.204170787254439,-0.0125293195037924,0.0869483257744479,-0.151937296344677,0.0206709914959608
progressive,0.067333058168069,-0.255808851191053,0.172860270635159,-0.0796564522813586,-0.301946111012318,-0.20883118341839,-0.0497686961753656,-0.281971291287058,-0.415813153590792,-0.168996995862726,0.189403727681673,-0.22325348818072,-0.223130862379696,0.0902212037140265,0.405101577053901,-0.447215702718289,0.17027594671897,-0.446476259918131,0.040879178134004,-0.169285909777488,0.185275523585697,-0.177333289541492,0.21576164409063,-0.202831309729303,0.169194278282336,0.414892872782696,-0.141494475146654,-0.162122777099226,-0.472927121354354,0.238188045207745,-0.0349505888223995,-0.204917426070337,-0.036336643066498,0.00791294480406,-0.0262464303706789
progressive,-0.259374518822033,-0.295778911883705,-0.109104671307035,-0.470268621995743,0.110668993214554,-0.495198306961225,0.436712560730999,-0.249812262075208,-0.321364165278637,0.570502774278065,-0.234996415569608,0.19604208737545,-0.158665644573558,-0.285077322418109,0.282143088551116,-0.0368158187656717,-0.125407979973253,-0.192764245228193,0.269235172233298,-0.202511869599898,-0.135187252476034,-0.408179509984326,-0.246864464723469,-0.318637904844436,0.386731119437311,0.37887334060706,0.0382038153714756,0.461117790952919,-0.200088526991719,0.134635670762979,-0.349196435980034,0.137872822455994,-0.015439766803975,-0.218340456299961,-0.322168932040308
progressive,0.17119990757521,-0.445520065070361,-0.313811669917408,-0.0758558868175009,0.136040412723962,-0.322697656554371,0.0196942317569446,-0.494305796343501,-0.296356770207691,0.0370658996560567,-0.137197731233325,-0.300787873267515,-0.445313967253625,-0.101237625632448,0.34874921327371,-0.424062111612503,0.098253170709329,-0.0248228966580285,-0.411700206027896,-0.423574611007531,0.0080061074962825,-0.134455044902916,-0.225542353061116,0.428370348666196,-0.110726052041409,0.0464671308348598,-0.378871201873585,0.473513697370482,0.0998266482717172,-0.4032184881853,-0.0959900581447858,-0.0638189816362088,0.105747997083324,0.287954320756147,0.224920096191356
stable,-0.224268488373917,0.100803609633722,0.0193955310489261,-0.0513008519472936,-0.341224982137091,-0.313939215237383,0.174824272450073,-0.0036341110435281,-0.05744363728651,-0.0595049584633805,0.0006593936739231,-0.166627340465137,-0.130556872637723,0.111973028251686,0.323768865525649,0.0962660502767861,0.127472185983923,-0.243806485112839,-0.18841349764174,-0.0168737134944909,0.266751298925215,-0.229259369577267,0.108209835937621,0.11836378709194,0.0575726582668698,0.153479981986113,-0.407596810974325,-0.0823089344205605,-0.116710268677291,-0.305853518630375,-0.164614311720634,-0.0193049149117855,-0.0017584836140913,0.117008403606207,0.0957403199269086
stable,0.165717198903693,-0.0226950051487102,-0.154348235681454,0.0678767731594197,-0.0524869725504906,-0.23233223397199,-0.0618743039484435,-0.381153094785284,-0.308118661919185,-0.0873395087278332,0.271208123611982,0.120370553915446,-0.0712123498584968,-0.0207232896237909,0.183585038323141,0.132620587736683,0.200774277256043,0.0415094811465528,0.0131855700645196,0.0380275280284586,0.0374852396570952,-0.0395056486520413,-0.0885537373846744,-0.0225847418199258,0.141803080950693,0.169123225729618,-0.0479017941266805,-0.0772738728522715,0.135753250309903,0.0931707367691403,-0.0463621036443404,0.101343543501316,-0.074990607921861,0.0426269148812127,0.03260819642206
stable,0.052879014321349,-0.0064731538346044,-0.0378390128899694,-0.0376184641705376,0.0601496554353931,-0.0182120306438469,0.0040324936303298,-0.028644402174214,-0.0157655516197507,-0.086608241115925,0.0465044714598269,-0.214708375126268,-0.0816443758562786,-0.0127134003944039,0.0126837913554888,-0.0095249446020862,0.105027792502081,-0.0239084492732426,-0.0957849834203699,0.0111412376689844,-0.0948826543961806,0.0447397727404883,-0.0371019280499165,-0.072304088669061,0.0024181058407184,0.0657981331687367,-0.0495194955250733,0.0405882765207102,0.113658750104855,0.0053116556054419,-0.0519788995383306,-0.126089809002961,0.020861447445968,-0.0346314013368232,0.0924726331104355
stable,-0.208440361880478,-0.0629940937397607,0.023182440332407,-0.14246096365086,-0.193702685376062,-0.140480686857089,0.0240231894273061,-0.0844757790554026,-0.0505586999398418,-0.0078485466569745,-0.0643633136943106,0.157142706021276,-0.0017206570466975,0.0789141791247477,0.0785797654646869,0.0238218364711074,0.064116101696572,0.0296876247844445,0.205502752779062,0.0623178714010358,-0.0992884479967955,-0.219473630374612,0.0469967328919191,0.07390124986966,0.0910125288217469,0.0719790413427745,-0.0773193862872983,0.0222501220474201,-0.150170940563268,0.107651419941174,-0.054381229723787,-0.0045669947440092,-0.0005837101596875,-0.067069344562149,-0.0034874212899216
stable,-0.242960698002403,-0.171163560289172,0.0767863527082463,0.124065482284585,-0.167733555423629,-0.0354942596743186,0.0886060814733109,0.0840786123410852,-0.147328035061672,-0.106490287085765,0.243791089749144,-0.111066880400374,0.0034324718004664,0.0175295032737212,0.316501207900021,-0.183025548722051,0.142665313540834,0.0929825312850236,0.105134759974513,0.044047552085049,-0.121939735187108,0.0079618715774145,0.248884130527012,-0.0493792420022224,-0.0344537494269489,-0.253474560128799,-0.284245497489601,-0.0577728271911887,-0.211786899442845,0.0111146144092035,0.0255554079010976,0.0612783417169884,0.115663316452408,-0.046798935330645,0.0048210343880808
