group,ARID3A,ASCL2,ATF2,ATF3,BARX2,BHLHE40,CEBPA,CTCFL,DUX4,E2F1,ELK3,EPAS1,ESRRA,ETV7,FOS,FOXA1,FOXA2,FOXH1,FOXO3,FOXP2,GLIS1,GRHL2,HEY1,HNF4A,HNF4G,IRF4,JUNB,JUND,KLF4,KLF9,KMT2A,MAF,MEF2A,MYOD1,NANOG,PGR,RARA,RELA,RFX2,RFX5,RUNX1,SETDB1,SRF,STAT1,STAT5A,TFAP4,USF2,VDR,ZBTB7B,ZKSCAN1,ZNF384,ZNF76
progressive,-0.108790460525475,0.07158566335176,0.0029884957390068,-0.0704534579175988,0.130730232107214,-0.112832170621841,0.0383172548386754,-0.0490205457453386,0.241297991860733,0.0486716684894633,-0.162083107007852,0.116301195411393,-0.114971512285227,-0.0415493063978215,0.0634693302103605,0.154394642199129,0.087258809507212,-0.0452487218280458,-0.0650557343361328,-0.0052529066073291,-0.258748437244228,-0.310092637165491,0.143671603523266,-0.0209326353525147,0.260505988703071,0.11089030665046,-0.0640222677479741,0.181198947593922,0.0084191322691403,-0.0442086726501536,0.160055669369935,-0.0440441079068162,0.0043379266343733,-0.104880402223779,-0.0918995352693261,0.110508516445917,-0.0856987357403737,0.0655625937456119,0.0787870165202037,0.0646607789521231,-0.0958688368786237,0.0744820028344979,-0.043682065471474,0.102964868611332,-0.0864886465083931,-0.222649515145741,-0.151557546023993,-0.027291417035071,-0.0674978751272595,-0.0346310045879181,0.185675108612698,0.267450620871909
progressive,-0.0238916686201694,-0.293354124899078,-0.0354557151922294,-0.0376890429020692,-0.0220810677829397,0.208898368847065,-0.166229579139236,-0.408141256790466,0.182150752626259,-0.0563103807908108,-0.0117611885550068,-0.154624453549443,-0.137912986905143,-0.237825411138097,-0.182685432644814,0.0433995392718645,-0.392273891687624,-0.0202631463943092,0.313495806093393,0.427523745514028,0.064528375840107,-0.0327911743654803,0.188457710738215,0.257651888972733,-0.251765885880182,0.370779120804773,0.179626840990751,-0.151266185565106,0.370424283886555,-0.0580296845602519,-0.121188184734088,-0.0065750208508304,0.291515407549143,-0.243618578448234,-0.0548797492106845,-0.0723101686068897,-0.428200640066166,-0.0196004266678137,-0.222852458882201,0.0030325733885747,-0.261513689661385,0.114630369510435,-0.0312058320239025,0.376427369173803,0.233016927932944,-0.113842081344944,-0.190888786591309,-0.0859334349975115,-0.198084049319423,0.223838961468106,-0.28106473757803,0.147766449090641
progressive,-0.231737701785631,-0.548805885503382,0.49341095776178,0.206814037589921,0.321980977939473,-0.491194261545394,-0.460869203638521,-0.390670854149659,0.485517264408872,-0.409067578086056,-0.600505517377128,-0.507461352430316,-0.517491419615196,-0.412746595284003,0.54549146263293,-0.448194910959148,-0.509391722970497,-0.457684758135538,0.0332911777193273,0.457197506802197,-0.204902301842924,-0.281850528731463,-0.469421767336238,-0.253974049890034,-0.0140131628809364,0.189303342001249,0.477086904131771,0.456936985085722,0.197279335874156,-0.585892941615234,-0.0420020804609543,0.174432172260107,0.327745239834341,-0.455690129687826,-0.109362901549963,0.500090504251685,-0.0516633072566068,0.46066932374733,-0.390747421856339,0.509448862109841,-0.253208347624058,-0.354096639137853,-0.542573233860971,0.45049097199113,0.45108370708954,-0.474415778513244,-0.287668893264554,-0.260280434331439,-0.332474143044217,0.199206871506653,-0.529565921425921,-0.541877547515025
progressive,0.256432244349058,0.258502283043328,0.346413534170591,-0.0655376956538956,-0.481601943537587,-0.310356977829214,-0.406327399210641,-0.591187717463681,0.341813448183324,0.0754910189616405,-0.0542043465499705,-0.368236883280776,-0.0760953439834972,0.104128809176493,0.225724415439935,-0.430441771538014,-0.330764222037436,-0.309134798120832,0.594065026149835,-0.306888873785872,0.260225060344442,-0.286846930523698,0.128310829827208,-0.071914677600951,-0.291501135169639,-0.214621070635373,0.368020408646081,0.382393422412181,-0.28166957884391,-0.0002931427344827,-0.193541853081952,0.466584015755625,0.0585608985732064,-0.250993319152347,0.427415636540507,-0.309626375937118,-0.364886036331227,0.147468834997711,-0.0924797678969711,0.55684040875875,-0.1415157825436,0.276140455882744,0.208099772265188,-0.0044422398994692,0.412970464562842,-0.309698534148683,0.394385215196636,-0.336789432703112,0.0245428117085398,-0.332157777498284,0.0371208899619608,-0.225679316557707
progressive,-0.370794398547017,-0.374755320243213,0.253830710812278,0.152244719074537,0.18922385243763,-0.0111640335345434,-0.477040298162636,-0.0384323927690754,0.170051095872293,0.178628485627167,-0.199688899790492,-0.418234630188499,-0.531604660153009,-0.179185305127829,-0.119360775939715,-0.199455904396598,-0.296350395660679,-0.0888541756375048,-0.0552712463210008,-0.0481629122700004,-0.474931492394173,-0.474990728511264,-0.0401502401647339,0.304983072458172,0.0802017534676483,0.153366256224806,0.116742539564263,0.467692838885571,0.114894372711003,-0.353153882877118,-0.151766881063331,-0.332673982661291,-0.103671103059368,-0.126074202543437,-0.527489724552375,-0.175978656655933,-0.118642044385669,0.0726195304799145,-0.0321573134318312,-0.0838151566102401,-0.368172213097092,0.137107916620379,0.202702043613222,0.134126365393432,0.0522186117535434,0.113938696688591,0.451936031739186,-0.0736304935449457,-0.235380634875459,0.319472226698794,0.166054632505842,0.0838506982804951
stable,0.059063961293455,-0.32337108721942,0.231479723645833,-0.130735187756349,0.411129118376617,0.203487971539196,0.0408439265418881,-0.0881939732581405,-0.110689186966252,-0.356920590008549,0.0935985729708253,-0.0594083254882275,-0.339265957129419,0.0267291435224159,0.0308703529615952,-0.396220620083704,-0.125308580483809,0.459315332107451,-0.0094532090366293,-0.0045573086582863,-0.0022970841572727,-0.185670145989451,0.0152883992851559,-0.37364314861089,0.241624066269805,0.191753913430432,-0.395788466169293,0.274677917922648,0.46299492395919,0.138692183372596,-0.151626795962385,0.0954293494049513,0.266144216004312,-0.321244110676432,-0.244782030849037,0.177098021036286,0.122407791679162,0.201603739584002,0.0061276021708557,0.146394528671948,-0.286031894649334,-0.159484877819177,-0.133190353538915,0.240965042073069,0.45871349148837,-0.0378370685143352,-0.0844193760933681,-0.297051548882056,-0.0320568971654448,0.175106577389233,-0.157910014430791,-0.387532564596661
stable,-0.225908524854347,-0.214284024973939,-0.105125790089127,0.230200032799384,-0.170206111956838,0.0486770215694254,-0.135503157304593,-0.0277412963996279,-0.372959023709559,-0.175473090029159,-0.287311654809994,-0.280605666510581,-0.235912994869706,0.101443582147975,-0.173386126868154,-0.275445205291239,-0.357664265839649,-0.17722781502824,-0.201089212928555,0.333677909802944,0.18675030366038,-0.0925837994764764,-0.0030968078405672,-0.312834095989664,0.0198507875841879,0.0479389276422015,0.134806666912743,0.233207879888779,0.310081328732404,0.165727830693419,0.145255793153697,0.0750237143524137,0.113475413096356,0.0698895135206486,-0.0514508856549071,-0.0180014956837777,0.13636930750382,0.337356134426879,-0.169609647086207,0.187575735505836,-0.392844628436826,0.232427444774844,-0.327203691553434,-0.213576027221241,-0.0334471770171201,0.251355430537168,0.319714317534741,-0.0116665460065847,-0.182035383848237,0.139378629895887,-0.187500495069521,-0.0617185496671009
stable,0.131082845634055,-0.312245738766318,0.260821659123735,-0.0323848649827126,-0.175100809648884,-0.254170550819225,0.084557791138067,-0.249014414515634,0.203272193670183,-0.135875545459934,-0.0547834155722547,-0.175868600653855,-0.290852529765498,-0.133070015051534,0.152921635252203,-0.215822380681022,-0.17193692543141,-0.158975761022057,0.150727359922719,0.20136172634307,-0.0818313244640467,-0.0974091904408592,-0.265513424338062,0.270093062801813,0.202727834724967,0.251382013979708,0.0036714323201246,-0.161782831633075,0.228558829528439,-0.119620914452863,0.0091499330316206,0.217418235953406,0.0335449455944356,-0.308822176387484,-0.202540032685771,0.0111948600472667,-0.221852273929688,0.159727636599977,-0.165443328514613,0.0142959039979347,-0.207086300092803,-0.1073670110856,-0.169289111771072,-0.0387702883356534,0.155809104439871,0.178234043834264,0.0264763910404156,-0.148617949757474,-0.0225714640034332,0.0941508404628271,0.115708953823926,-0.0503820812315572
stable,-0.0367702271468735,0.0309642793898804,0.222963487749083,-0.238539432200019,-0.233049020778677,-0.170559019130666,-0.229477165295309,-0.205273905140108,-0.0454229302633388,-0.380190898745958,0.0642144651285783,-0.139210959269804,-0.261325451203968,0.0217531521812748,-0.0317582669948344,-0.160326407369963,-0.17555930008333,0.0182476602841847,0.0979059860368711,-0.0720654604913503,0.0184112680516977,-0.167882206019723,-0.256423701123995,0.0789378280251543,0.0474979676776818,0.259558823834132,0.285236384957868,-0.0326007034819405,0.242507093770673,-0.115999490786935,0.135754411136196,0.131305972353991,-0.130802628553817,0.107013138678161,0.20114649587631,0.0956501684728835,-0.0566079411425498,0.11659042858242,-0.185899202116256,0.0129336740567882,-0.144684742678477,-0.142970275800764,-0.254991465068462,0.364073108727418,0.129144330706995,-0.148168459797072,-0.108452352560439,-0.233225990342084,0.0267410611007031,0.143139376751034,-0.0198118317021466,-0.0682113741858026
stable,-0.210266639732159,-0.0359204983793323,-0.124073868380561,-0.227699446716245,0.0807925972362471,0.155707889668588,-0.34832892769003,-0.148953635340515,0.1942011725317,-0.227621279407116,-0.265031020076789,-0.212292039187989,-0.235221793768633,-0.262290352316221,0.142942558575295,-0.287659119419331,-0.327143876003707,-0.33224346420119,0.123957847135137,0.29936721359695,0.141187804070772,-0.237800245649654,0.2361055869423,0.150001355306104,0.137567727349497,0.346599516075061,0.238055492389587,0.335863540922465,0.253853629531465,-0.324015472726173,-0.0655316865800925,0.311220521462389,0.291960460061893,0.301471635818096,0.251284480736482,0.307799872964816,-0.231220611315845,0.216631233766845,-0.117408581495983,-0.0962904692563274,-0.277276447672155,-0.334208981723898,-0.40476818431768,0.315543997033801,0.127797455300518,-0.177437866946323,0.34658422479571,-0.228246083220031,0.191693081922097,0.252751053437855,-0.141840517141803,0.186080220012139
