group,ARNT,ASCL1,ATF2,BACH1,BCL11A,E2F8,FOXA2,HNF4A,IRF4,JUN,JUND,KLF10,KLF4,MAX,MXI1,MYC,MZF1,NFE2,NFYB,PAX5,POU2F2,PRDM1,RUNX2,SRF,STAT4,STAT5B,TCF4,TFDP1,TP73,ZKSCAN1,ZNF143,ZNF263
progressive,0.0975459486235217,0.104774434722138,-0.0797759202977579,-0.0144106357478815,-0.106326705775366,-0.114034001850599,-0.0083714518492516,-0.123664260573862,0.0942483379781062,-0.0112520344505163,-0.138955288859396,-0.0597662969200724,-0.0380422249164332,0.0363741127398296,0.0096302587232627,-0.0460584306540008,-0.123656537832304,0.0232840657984259,-0.0287208758555045,0.12629771544526,0.101229696346855,0.0681531942524408,0.0838612505821251,0.110512431699992,-0.0993221791819423,-0.0179553741231643,0.0384206392527924,0.017376168506288,0.172626442053803,0.115678945802528,-0.199401187036603,-0.0013823707389446
progressive,-0.0226961794403725,-0.272973644694778,0.147466559560116,-0.0598456821262378,-0.0091181987421404,0.149355212689239,-0.0449464218849969,0.0392485326053367,-0.0425604864333263,0.044225115318136,0.0600469949471617,-0.0262508519496142,0.156729833312884,0.215737561765739,-0.135359104901449,0.0178172918980241,0.040936748410582,-0.0938321169818855,0.0923028296405365,-0.128650531531067,-0.132227091466477,0.0913578593281468,-0.181785631793699,0.0816154826915073,0.119686265769674,-0.0418964991731138,-0.0177280941989092,-0.0911577825030537,-0.0737702051554999,-0.0229713430121801,-0.108765985106386,0.0943207988334451
progressive,0.236120732101429,0.2251632797732,0.124039597564171,0.0572455623486706,-0.0493307364405784,0.206686996892607,-0.280140252817078,-0.0209682237805446,-0.170720146095828,0.165781799722927,0.36176247314437,0.0344184117615272,0.0769875998125446,0.302382634714641,-0.0258874048850285,0.260892733999054,0.318861821059496,0.0100050257804114,-0.0596024604157562,-0.0978535740849052,-0.0568419321545395,-0.0229018052357028,-0.182785509889135,-0.0841619115391058,-0.247748291330068,-0.0573289853355337,-0.0970499747710314,0.310456645700587,-0.0459707170198215,-0.0661326315097209,0.105366828338914,-0.110873292678732
progressive,0.384547327362999,-0.370389696747494,0.397671078374346,-0.186629239896634,-0.510093842538261,0.403264273890537,0.0297543098692317,-0.438155381973224,-0.274672005286808,0.425073544999883,0.324009485135711,0.493146599837661,-0.473181546400598,0.39576631820272,-0.105166978473469,-0.013431120623394,0.0826451687180131,-0.0094865439354554,0.307323040893818,-0.109120869392075,-0.447576726294003,-0.352362003289394,-0.263685870213789,0.360488669547308,-0.375004898043535,-0.371311805583635,0.250804289199813,-0.107076395760428,-0.387560480984128,-0.388957615584342,0.408051788453939,-0.215838667271782
progressive,0.0665688848586376,-0.307551543536255,0.0800326933191684,-0.133632093119691,-0.143032910105981,0.121750986780929,-0.183051424850664,-0.0983963741018893,-0.359117279514559,-0.0893424507313294,0.0344638807228017,-0.0043491787072181,-0.154354650489377,0.118208335730284,-0.0875299315891388,-0.380689726242785,-0.0412543232507216,0.222354471512902,-0.194091314171279,-0.0434354168596256,-0.0747642465302651,-0.141467552664998,0.111309488947448,-0.0249503233113992,-0.203279658817934,-0.245743773553515,0.0661526125197613,0.0500914381114501,-0.0681342422996204,0.0159744510043786,-0.114852139998094,-0.0044966084939035
stable,-0.0715234236671011,0.172461396996683,0.0893215068319616,0.0619995092886477,-0.202449466696277,0.105584119854577,-0.121053628831285,-0.211633035568617,0.0685678086710494,-0.154853128125306,0.0858154756865465,0.142208506264378,0.266813920999173,0.192883939433163,-0.0902334308720177,0.233538239261054,-0.0170297656427863,-0.1384002477918,0.0624931688286058,0.20315306744594,0.0398285138119148,0.13608811166384,-0.0679320310988748,-0.0577018625830903,0.0986364507522969,0.131584018454288,-0.117647261515384,-0.0883252568374527,0.0002181602398005,0.119149014219202,-0.0308645936651416,0.169870784597034
stable,0.240672503510103,0.199130920544051,0.0981077594143498,-0.0104064678804263,-0.128889401252492,0.12494811909005,-0.144636468068904,0.0868717146967091,0.105452746541244,0.0442994981695263,0.0829445334392546,-0.0578518937962719,0.126849206269144,-0.0048502360041333,0.0915617707576753,0.107144538265418,0.0270219286320505,0.1640134880781,0.0259331486424904,0.030654733693259,0.0606850666387216,-0.0331295217370497,0.0519966910468271,-0.104807432091669,0.11446544294784,-0.115444426003063,0.10697215866288,0.175989434214723,-0.0659515169956744,-0.072512557180144,-0.291122214373859,-0.278687275858052
stable,-0.23981850818884,0.218558922756092,-0.0560433610878898,0.211247202111824,-0.309095551705161,0.0698769191869956,0.190225503800172,-0.0562206041859994,-0.230610724032079,0.132212827055185,0.281637667806188,-0.255977691629926,0.1414313958449,0.0859607664964334,-0.37117637955914,0.217039592001514,-0.407169440796357,-0.0146668924184071,-0.388462531094055,-0.16450238281647,-0.0967204437053375,0.181346572798986,-0.116394375495826,0.137181521065653,0.101272027708908,-0.030769651910271,0.158786996248063,0.068288087464494,-0.0223783738774293,0.0327415204514974,-0.165845981363545,-0.0158877441285782
stable,0.118500716192315,-0.149846421071904,0.0606853676402423,0.429454215963286,-0.0090813769459658,0.272721108801048,-0.0203231495554412,-0.108533858536974,-0.0485070995936095,-0.0624725953542283,0.221343990119268,-0.284000802526041,0.0134305713395881,-0.002096287323463,-0.108304770682401,0.120187777772481,0.038977770028074,0.0251524262787269,0.0695988441889462,-0.101248119432871,0.0298585726866841,-0.0335847629367768,-0.376127357695306,-0.101834713262297,0.0682863606396238,0.0680371791262308,0.182016469563605,0.416234703581384,0.269295014072036,-0.018113703205989,0.101561207846122,-0.37226121687413
stable,-0.209981235212693,-0.248405611175762,0.0035371510251636,0.107552586393427,-0.172238522370329,0.0866221681911944,0.138522462366982,0.170564875028587,-0.177026784227283,0.155764936296314,-0.0297260439791454,0.302766395014147,-0.158781286506887,-0.113174881700256,-0.0616026204624262,0.0358475462163356,-0.206944504257454,-0.0929105984323159,0.0589937638312178,-0.177645000148819,-0.201150064446571,0.0953150410470823,-0.17846022993546,0.135948180213332,0.0856659715872797,-0.200740508529949,0.0410356588734042,0.182106199579466,0.0737513639927263,-0.170529208725422,0.211449983282167,-0.190817148214849
