group,ASCL1,BHLHE40,E2F7,EPAS1,FOSL2,FOXA2,FOXH1,GRHL2,HNF4A,IRF1,IRF3,JUNB,JUND,KLF1,KLF4,KLF9,LHX2,MEIS1,MYOD1,PGR,RARA,RFX5,RXRG,SETDB1,TCF3,TFAP4,USF2,VDR,VEZF1,ZBTB7A,ZFP42
progressive,-0.14285165574237,-0.32050920465156,0.152682378121875,0.233105983710135,0.282569069118601,0.0004675025378063,0.116980987136158,-0.093158111336393,-0.354544706312417,0.0780334165569405,-0.213885703317787,0.191919668583676,0.319192296094359,-0.0121616505257505,-0.047224340861225,0.282608576375317,0.451297978009969,0.0289983264295642,-0.102521331178092,0.108875414966586,0.212022277709348,-0.0708957721769115,0.497429284768717,0.0432933688179802,-0.0427534363095278,-0.373264561453029,0.030032099646967,0.325572718053997,0.0927827923975908,0.0648445773565733,0.199379955560219
progressive,-0.103491153225618,0.261126450110147,-0.114913798647524,-0.190064264873833,-0.155061441145938,-0.233679376187031,-0.0397400041416712,-0.0333805285118825,0.180996609271842,-0.017344715810254,-0.0243854238592714,-0.0485924330365944,0.0277206679856027,-0.337068584831044,0.297117926325095,0.165420456990338,0.0620228501656889,-0.192652444176064,-0.348614590195175,-0.0287160856737229,-0.236594011433193,0.129371453238036,0.172137601802087,0.0537874542646908,0.0747840722677992,-0.116601879611849,-0.185372947857639,-0.230480695809147,0.0113766420546457,0.0621957593736652,0.103050248742247
progressive,0.482900956297161,-0.226165329085612,-0.15772500436316,-0.38921183413013,-0.356431431773807,-0.56498940055577,-0.471440394822943,-0.310323861961725,-0.0262989145411806,0.504589223500323,-0.0064193314692627,0.253404339454227,0.526257880956082,0.484087774505636,0.112318167954081,-0.50870045241285,0.134680564333532,-0.128505837997518,-0.51964455665792,0.359421565378055,0.206960228064615,0.476250996050607,0.0897905128229018,-0.0999698999326026,0.476746936140442,-0.548669200882716,-0.274283074443765,-0.0847190112155935,0.0396085768946631,0.465094221826476,0.468990461869505
progressive,-0.137198583354157,-0.108256741802282,-0.133035036011205,-0.293397016555025,0.0761031497540025,-0.178910741837665,-0.0372824688943649,-0.12649425199465,0.0063197506256509,0.107810164134945,-0.187427293715773,0.24541923807221,0.13063073402443,-0.258757926580454,-0.0465388059991728,0.266318170726487,-0.0663370825844563,-0.279936534137508,0.0501610470786858,-0.0090533472560182,-0.16248209674229,0.391427580863838,0.0265646048782716,0.117391284997817,0.225323243042036,-0.063815497573936,0.0896989587373802,-0.085404595714097,0.0770775010281928,0.0425286287641951,0.290713039665473
progressive,-0.113990445715263,-0.113658250411347,-0.305125341353077,-0.501421128319591,-0.102786763620087,-0.125118988396457,-0.0544998033722605,-0.520340441818821,0.205004049576318,0.145026978395438,-0.087893340827842,0.129101377337453,0.344763359581085,-0.272902396873201,0.22046695003242,-0.360182758271197,-0.311599195073445,-0.187607297886704,-0.0884272261377074,-0.153521686881297,-0.14256319655806,0.0549506398561469,0.140633300030546,-0.0214265971025983,0.174188980432087,0.163760420712716,0.353313433950929,-0.0208927117927329,0.0887356932056296,0.216559700505405,0.297615354660971
stable,0.0611519460318602,0.228077470316505,-0.451316100513936,-0.0035606638775837,-0.356573834368198,-0.235125146164441,0.437833111818184,-0.0685140103066631,-0.417431293019146,0.44701422789158,0.27302707898963,-0.455049320288461,0.288564685339102,-0.302524637773682,0.479030261034895,0.304642806501642,0.164903914710164,-0.153845546800461,-0.437838522978715,0.0927183718590324,0.305820756025293,0.0383659097787413,-0.0488264646977521,-0.1972562815425,0.258462038559643,-0.0643846334572435,-0.186951988914831,-0.314360168583687,-0.112059543069937,0.005900750311332,0.228496053645601
stable,0.0707743080557041,-0.218947893553718,-0.102850675153996,-0.297268392365886,-0.0916365765555221,-0.313162708891806,-0.133383110667996,-0.0410624091400498,-0.268796156245537,0.112404065549018,-0.0044973023381426,-0.0837409417313568,0.107379865924172,-0.155086584194329,0.205064615088729,0.0719339545076659,-0.0778145652168947,-0.132115545494661,-0.135688969093609,0.0032560155949097,0.255382493994895,0.111484763390346,0.0938238867824177,0.283440475762067,0.236988035818564,0.0556488570577043,0.284909262846799,0.0166053104549654,-0.0020322970156213,-0.161059464672174,0.124998962780872
stable,0.265318797471425,-0.166788649091446,-0.213025424204834,-0.153433717228689,-0.0792915877694206,0.0488063716451582,-0.0019351016387186,0.0929591477177287,0.132805447531877,-0.0285187541571459,-0.1216218719586,0.0138929334376618,-0.0264759700814734,-0.194725825701822,0.299555447969831,-0.0167314794306515,0.0952028226695866,-0.176772371314547,-0.185697489980846,-0.128995295947116,-0.0969188126193846,0.0387180465590868,0.191566028816128,-0.117972884745639,0.075334797136816,0.240550143206363,-0.182353123961079,-0.148885853696199,-0.30710789785925,-0.154560841306623,0.126078580101181
stable,0.0688662107959323,-0.0642464834437205,-0.27506162557941,-0.129863391954122,0.214286100256249,-0.0922903519721648,0.149130224002983,0.0708667066808529,-0.0591360740252655,0.0101480555324232,-0.469242185330182,0.0896261260533236,0.119924518547387,-0.400512393355451,0.142916683289431,-0.190469928215026,-0.019062401812446,-0.157243876940572,0.112415741515123,-0.084265499965358,0.325503078704664,-0.0230060244190898,0.118335902564938,-0.220229030775495,0.196057556013452,-0.224734465290931,-0.072856164322984,-0.211466596455656,-0.0119680291238313,0.168138870068033,0.134190482125296
stable,-0.280152487746784,-0.200586695868475,-0.139460572303269,-0.0843753450350169,0.0246002339668354,0.053851424436132,-0.0354741039648524,0.0345904329236972,0.412213023578581,0.208221579442255,0.172722878558673,-0.131844082946973,0.0936282780887293,0.0640975382909104,-0.13842204761724,0.0828973910487208,0.13001856380471,-0.0246371293449303,0.0110956700390863,0.0360436830481384,0.12699955938842,-0.161917772989975,0.217542956095912,0.0037791561481714,0.160511577840495,-0.149202021551583,0.0426191880265319,0.11840058354355,-0.151271264075523,-0.0312930555532583,0.0089022665471231
stable,-0.0290610204519394,-0.402025471915264,-0.162231465169374,-0.0649454664561218,0.028666736854427,-0.514785942173236,0.10507889805232,-0.0829155212415668,0.220154044959217,-0.180883398646987,-0.078276890682598,-0.0052694843149885,0.356863764793145,-0.0823449696828136,0.437956304225037,0.300569344329499,0.242053019828108,0.172274100329541,0.0480422966992396,-0.315691279951738,0.0755772076972782,-0.159211716675485,0.0146116862607516,0.0625565717182529,0.471526073580294,-0.0123805049618877,0.534078006667987,-0.0258742812579278,-0.210899976994074,0.154967369714029,0.218948001013885
