group,BHLHE40,CEBPA,CEBPB,CTCF,E2F1,E2F7,ELK1,FOSL2,FOXA2,FOXD2,FOXO3,GLIS1,GRHL2,HIF1A,HNF4G,HOXB13,KLF1,KLF5,KLF9,MBD2,MEIS1,MYOD1,PGR,POU2F1,RARA,RFX5,RXRA,SETDB1,TEAD4,TFAP4,TFDP1,VDR,VEZF1,ZEB1
progressive,-0.0479960786475442,0.0256819964034534,-0.105521373240108,0.154098582173974,0.0994987502727777,0.00193489970332,-0.0992147888828706,0.0837355912563099,0.104880809174504,0.395908215062957,0.0182791890061093,-0.331264074462955,-0.272167086596022,0.0247442634414348,0.191139034173709,0.40115819889961,0.0495215456491378,0.0809025811104931,-0.141690129810362,0.202154094600801,0.132299592683668,-0.0154329713537852,-0.0448262770857911,-0.0460545751909704,-0.0097075172828687,0.1775617174842,0.100502520767333,-0.0005283002602921,-0.164182513392301,0.0775941007304133,-0.214886130873843,-0.129770355187519,0.0400583672366542,-0.0881336909232422
progressive,0.130978949276234,-0.0374871753036032,0.145783064103712,0.143105147843275,-0.114187023623646,-0.231058846768618,-0.0298750847829192,-0.0840519669736528,-0.143186857300776,0.0981815690588402,0.107086401529483,-0.106891469454082,0.0191681022315729,-0.0215512557212553,-0.0663535111793954,-0.0161645655886377,-0.137740512240447,-0.0012498503378839,0.158744197534188,0.023488776599457,-0.0740304541921358,-0.181328082863616,-0.0476360049991284,-0.117731715682246,-0.183610000910825,0.143872795319645,-0.012055118362751,-0.0460215291337043,-0.0681040133909738,-0.0526044550891122,-0.114869028350578,-0.193131095943167,0.0451859855465171,0.0061976038202944
progressive,-0.25254213747962,-0.216857401691879,0.22676622972667,0.250709020647782,-0.334265231647404,-0.25738104004272,-0.0273735309983626,-0.302225373827803,-0.419329563932497,-0.250385363778961,-0.196838059958373,-0.22464580238423,-0.167557696460024,0.0149567916173407,0.122439843068848,-0.100525855852619,0.31370116181483,-0.122170213205053,-0.458644704816064,0.0049267880067604,-0.0349717763343124,-0.454609236101907,0.226419032339529,-0.172421149864118,0.0027639523700529,0.404655549002755,-0.102216517187332,-0.0340877818811006,0.245269809609477,-0.464800108340357,0.262956366803367,-0.0046141562841257,-0.206049626428293,-0.25878291326992
progressive,-0.300866617667516,-0.146075344707056,0.046636990193216,-0.132391788951711,0.0389823278152262,-0.433190666244201,0.307581946845139,0.125879680899168,-0.344821089009684,0.241133154969185,0.431957791418719,0.0057398677772419,-0.0266445475104071,0.0097139697787941,-0.206292022080576,-0.135345269302865,-0.0845490200830241,-0.0527878162456185,0.0240523491593946,0.162116265513321,-0.239516418018553,-0.0930797913113562,-0.238265479093064,-0.348799707036238,-0.353627337763124,0.296495105465808,0.116084422670342,0.0342946938633952,0.248887169897213,-0.0814148987318,0.234625562941643,-0.227192185788739,0.0175402411068511,0.194721966026057
progressive,0.182758598809056,-0.268501062787833,-0.0452966353601454,-0.215573811435118,0.100401799943744,-0.280903288677157,0.127118855523331,-0.290624701371375,-0.179269977797404,0.434917392680784,-0.0048626862682278,-0.276313831523349,-0.45947237439844,-0.503228631128015,-0.0027283313019617,-0.0922841233559043,-0.103541954838455,0.200680844778111,-0.201575769123892,0.000534578702126,0.0353099132359836,-0.326211803564016,-0.11246743924284,0.46460432993885,-0.126968381518289,0.297621742605869,0.0875164733013877,0.0352069573377964,-0.322592507758511,0.0726868641201879,-0.407329171808843,-0.0145563800667798,0.047918050921682,0.402074461159056
stable,0.0984956589036265,0.0508661399314984,0.0573594023104056,0.146014100503386,-0.305088536135801,-0.391472419664667,0.117371998013586,-0.227369954006124,-0.0447413866853529,0.178010172794375,0.0038809541427376,-0.0617714413708706,-0.167598025943077,-0.179499405578318,0.187314802261889,0.0250817169200881,-0.301550281616936,-0.127728545876108,0.150049549883913,0.0991691785409713,-0.121903978927276,-0.191223616201605,0.190496547863574,0.0690119131531567,0.107313767068061,0.158601964833007,-0.118423916408593,-0.0933743407694352,0.005949815430053,-0.0997161230400954,-0.291453155500305,-0.104364668861924,-0.0197738828723586,0.235688455205262
stable,-0.131720316870571,-0.0651759555686258,-0.106037511258317,0.0886568908203447,-0.0592037064560906,-0.162994435423932,-0.0028579106308644,-0.0780701261868266,-0.219722946110882,0.152249367354194,0.0742776620303358,0.0269545691729009,-0.0213997193828342,0.0827314805522343,0.0283323130302675,0.0984325726795207,-0.279355168703782,-0.0779276827390666,0.0305512291727933,-0.0094535906916604,-0.108934997748236,-0.0333412531240802,0.0971167865340831,0.0796930328564669,0.284931659225767,0.0956717488939037,-0.106155497714526,0.24116209312858,-0.255008900623736,0.0657564015014334,0.135419399786595,0.0505918809463543,0.0272118863688545,0.300509725274343
stable,-0.0230763883444891,-0.0357953531892401,-0.0644518401760413,-0.056386791538408,0.0746962505831702,-0.0205329762029001,-0.0193005365208401,-0.103784513456579,0.0048243107196992,-0.0995543963467457,-0.065268869255396,-0.131982257862543,-0.0002985892364837,-0.0118231456721429,0.0094185811279398,0.0760667144521053,0.0076923009920194,0.0231180220384421,0.0422070964474738,-0.018170817300004,-0.0384027854980448,-0.0129278023355561,-0.0251544191579976,-0.0802624027099554,-0.070948291790575,0.0479214110030486,-0.0546344195819261,-0.0349969023095357,-0.0345999669801667,0.100119050104536,0.0277130643940366,-0.0499247687758577,-0.0564573989897103,0.0753725279283327
stable,-0.125740984115251,-0.101800008397582,0.0340358863453528,0.273322087055942,-0.179201038594731,-0.170872737326892,0.0143554253809459,0.10090712685101,-0.0893408026132067,-0.16937983779315,0.023257643952756,0.1073427316183,-0.0507403235932076,-0.0230004083221332,0.0818176032178318,-0.0813527034062374,-0.244986669315133,-0.0745747132509655,-0.0876876766421032,-0.0174791710250374,-0.105370343678172,0.0573469225702057,0.012922468100636,0.0414203948480597,0.0693758144292799,0.0729125066239198,-0.100902512091433,-0.116639040733785,-0.0721284937065122,-0.175857471607341,0.146921291563301,-0.120281128082638,-0.0501242283791233,0.21731488377416
stable,0.0675502233850585,-0.297068505713689,0.207191189968585,0.194460547012621,-0.123345048376047,0.0703886249394536,-0.0218262737005393,-0.211577430169232,-0.247422442118374,0.170755130462625,-0.0280298590754346,-0.0585257243395512,-0.112553951205552,-0.1276365535989,0.0118007810618015,0.128612441886577,-0.113993643920189,-0.0475343211627798,-0.254737312770727,0.121493478447647,-0.0773562055316473,0.150136379044166,0.205556448341569,-0.130081316836729,-0.114734357721653,-0.124980219153585,0.0907672666406939,-0.171935938124693,0.0961445226849289,-0.0826881861957812,-0.0957007810448859,-0.0780359799589473,0.171854828675981,0.0373545489112805
