group,ARID3A,ATF2,BARX2,BHLHE40,CTCF,CTCFL,E2F1,EGR2,ELK1,FOXO3,GLIS1,GRHL2,HIF1A,HNF4A,HNF4G,MEIS1,MXI1,NANOG,NFAT5,NKX2-1,PGR,POU2F1,SETDB1,STAT1,STAT2,STAT5A,TCF4,TFAP4,VDR,ZKSCAN1
progressive,-0.0627575957214664,-0.223991736716522,0.282791646221319,-0.192124048205494,0.233117695522017,-0.0292735748564042,0.190288213926837,0.037235508304056,-0.0151722390928103,-0.130630251443972,-0.114526792064887,-0.201635798272446,-0.163229613037073,-0.123612841429542,0.248881924653959,0.169854580216573,0.142862495061543,-0.00813487435796,0.112079013026678,-0.264380090846966,-0.0523944442499195,-0.0949778176265838,0.0574030790753847,0.140042227908824,-0.0349074575883684,-0.226858564883554,0.174617106823523,-0.0619993163454995,-0.0212251709535982,-0.0402154132201363
progressive,-0.105609181722615,-0.0019623958198224,0.0773734458219349,0.123141729765149,0.110408382888093,-0.0922189187630373,-0.0606547640013136,0.0502604744030765,0.0622247372838004,0.0906768812840743,-0.0941795685951396,-0.0697229051427512,0.0023975242730178,0.112321136030033,-0.036570467821907,-0.0799105075459991,-0.0962178912863633,-0.0177431991015371,-0.0359123248290954,0.0123404052622899,-0.027378172796904,-0.0748010868326077,-0.0047118545906096,0.157401736755764,0.167394449178348,0.0525832987149829,-0.127433367581472,-0.0439291454186687,-0.0935722951905011,0.130854606924831
progressive,-0.0031886657294539,0.143162924305406,0.169678270685818,-0.213769674660682,0.173623261761585,-0.012357746749541,-0.265563906875414,0.0635595895214459,0.013354114293109,-0.170226713570494,-0.164921386000181,-0.0929391591800349,0.0303781599326994,-0.0080134643591483,0.120478358754836,0.0137123930538994,-0.0781680859194777,0.0838421581361067,-0.134272815020359,-0.0923923420639846,0.132237276493636,-0.0968219392032509,-0.0182330078335452,0.188795302910663,0.0637290377966765,0.0883485855442337,-0.0326170719533876,-0.401686554461012,0.0424244195746956,-0.0699128773865444
progressive,0.0977369227284432,0.229030340245955,-0.49055491611152,-0.101613714740059,-0.354349684827535,-0.42985633767204,0.219569878241028,0.216287769781546,0.406473017236637,0.522563417837403,0.140127418986604,-0.111609845898816,0.289860566189343,0.0480785763407776,-0.28298765857156,-0.129595618674018,-0.0986266782720927,0.240724270248207,0.102616959511215,-0.424000293532714,-0.253766452273233,-0.382522250663704,0.144031448412821,-0.0935196630343083,-0.247846854166503,0.417558644979455,0.142819383463054,-0.253839085378837,-0.418743472514621,-0.213582186597795
progressive,-0.178453132885755,0.11154416367523,0.179090550871684,0.17114672922204,-0.300689983274951,0.0146247589146673,0.125937858569998,-0.0054180528803997,0.0180110419649171,-0.0301339352848116,-0.34152058913614,-0.539371148106208,-0.517292582618579,0.194512082268763,-0.0628533972750493,-0.0141148245259238,-0.0505751333210845,-0.318135316777355,-0.14308838625391,-0.338249838095839,0.0547701404409823,0.477609329132063,0.033488347435765,0.0606742245356532,0.41858043977259,-0.117707198826685,0.363507525788291,0.074111792451527,-0.213881621316193,0.342867134631415
stable,0.0050472155065436,0.226331407974403,0.411761629783539,0.0982009101522264,0.16069486298853,-0.0848848006038399,-0.306623133298964,0.179084812984669,0.234305062349268,0.009736540858027,-0.0179287744768914,-0.221963280091348,-0.251917369985098,-0.222357195793283,0.130621658323634,-0.272150627129643,-0.167409867238338,-0.244814939483718,-0.0074037350752381,-0.0882771456187764,0.24067473080126,0.0082018161717366,-0.0708129430089857,0.164451890854234,0.119607726778286,0.417342314499354,-0.0833791268215105,0.0481629417704156,-0.0050842720875878,0.0801134170622537
stable,-0.0685981109102127,-0.248601441179457,-0.138772294014855,-0.324743309496699,0.0403839495096479,0.127188252631108,0.119353704252003,0.240398607149785,-0.0590305673312869,0.0107204442564478,0.0593740130369247,-0.204517678555026,0.172193919319438,-0.325737651004793,-0.0226683090252054,-0.180920325841031,-0.0107342772796719,-0.113148775254001,0.0111819912571382,0.130739621045057,0.0119621440185372,-0.0568104414749207,0.203497902133262,-0.204318512769036,0.158515885452379,-0.0760948657867178,0.273256648314627,0.0229678757862078,-0.0406860448877987,-0.0419427676105937
stable,-0.0667813814535078,-0.0267478063601798,0.131218371060654,0.070644621009212,0.055457181096687,0.0792882791901177,0.157250004009675,0.0268143415148877,0.043892510348299,-0.0941811078681175,-0.0499135529065309,-0.0110980430616677,-0.0383390807986419,0.0890096201847301,-0.0972166770659583,0.0320135219282938,-0.0834286016231443,-0.0184006781984636,-0.0459057821924704,0.047815491523819,-0.0344698774527651,0.0564038679627771,0.0688583880639583,0.116816491961469,0.0344909840840715,-0.0002105995816593,0.0117399024613717,-0.040525354416863,0.0429215015901138,-0.0135008800517208
stable,-0.0444336137016217,0.0868532816753682,-0.0354036082582978,-0.0751626112934876,0.174525970669319,-0.0410037652769625,-0.13652230555659,-0.0874446847763203,0.0362878173010939,-0.0125870110263592,0.0937687938772835,0.0952388145009147,-0.0644873010557202,0.0075682722512947,0.0810073973172735,-0.0286684725044443,-0.105070454216735,0.141752923004662,-0.0537451421979819,0.103654052277083,0.0314626849100824,0.0283689767081745,-0.0705362274880654,0.0858472074485923,0.0341817113398609,-0.0715798447784844,0.111278139880975,-0.177460420396464,0.0097137684747809,0.0249468665479631
stable,-0.0465152941651506,-0.0303352088779154,0.0900414623335459,0.0321329961320526,0.292323024182471,0.0447092735978881,-0.139065858673633,-0.0749507743724694,0.242733129230356,-0.0624880299613092,0.0454260051720594,-0.102332715498951,-0.105847040206647,0.348140987181609,0.0603986100896282,-0.0694210212781529,-0.092705914127189,0.097351777724277,0.170123540778294,-0.264723116924303,0.341036287952875,-0.0974704024331218,-0.0979857428349255,0.183515566241939,-0.127708978214882,-0.0092009440836628,-0.109999880013824,-0.214966930713671,-0.0444719158471309,0.0517054230930483
