group,ATF2,CEBPB,CTCFL,E2F1,E2F4,E2F7,FOXA1,FOXA2,FOXH1,FOXO3,FOXP2,GMEB2,JUND,KLF3,KLF9,MAX,MEIS1,MYOD1,PAX5,PGR,RARA,REST,SRF,TCF21,TCF4,TEAD4,TFAP4,VDR,YY1,ZEB1
progressive,0.0078538027392692,-0.0433381701282339,0.141229502501855,-0.0041684041497385,0.135268022916277,-0.0977391525395833,-0.0037978793364284,-0.0246068175125041,-0.0606932877230976,-0.0325201688824839,-0.209425917694482,0.221381959438256,-0.0872453605054797,-0.0985794498840544,-0.159371985325003,-0.0400497624101068,-0.13311103918165,0.174689216446661,0.0791467467288448,-0.0579408176813655,0.0731654175996962,-0.201717678274728,-0.115180284823251,-0.0507023507927719,0.147971730801194,-0.13092758938893,-0.0408702102110077,0.0878276137835384,-0.0445556088005385,-0.0380912741111821
progressive,0.126051403137446,0.19437674150275,-0.118699010607288,-0.155320090270497,-0.0075422864604366,-0.0714636348397448,-0.044605450460218,-0.0898316592492547,0.0570653559526764,0.120781881781229,0.118251198938332,0.095694663687444,0.0651473261269526,0.0268906705599354,0.121930352760298,0.0247089324843456,-0.0352550639442376,-0.210955772613112,-0.0698357110275654,0.0648518990556937,-0.161603255568017,-0.0018217611516404,0.112147364867923,-0.10113501916289,-0.113203869911413,-0.0035601943116259,-0.0273779163207166,-0.107230825578892,0.076375244867298,-0.0452483669930149
progressive,0.221487719785382,0.171634494261871,-0.0461918956051411,-0.292774303777537,-0.194528910717457,-0.150230941684846,-0.17063470648475,-0.412152668595476,-0.362468562409473,-0.126710234624584,0.170590541642796,-0.0938966932311179,0.410951298867139,0.248549141581204,-0.429540509829665,0.211918573703935,-0.0676766806227808,-0.434491602415567,-0.112927008617707,0.219250506765868,0.134787605951326,-0.0399317221868077,-0.220385116863443,-0.2001018027826,-0.0890963253450266,0.254548146567198,-0.449941402839502,-0.031408476987301,-0.0140577539560027,-0.273052646048279
progressive,0.242176502040082,-0.138177519656535,-0.50280597098272,0.0327604722986461,0.421002197255109,-0.450111038980845,-0.449431455127326,-0.38755761054392,-0.215332939826075,0.493749383494821,-0.176678210237907,-0.329199479762719,0.230691534915608,0.0934835548900932,0.0307987402414875,-0.253620694133344,-0.365108690582671,-0.178780389624792,-0.0824108686367546,-0.321615323957446,-0.352164883452643,0.0448253509781226,0.0597807263145672,0.188797455625665,0.311892744293099,0.369525985630545,-0.190709351533565,-0.266374217784386,0.0215563998336272,0.315766372258158
progressive,0.232287664621099,-0.0764482972176283,0.0693864395933627,0.119126480251233,0.199083775046136,-0.211165891704253,-0.0031222103443252,-0.183456773335523,0.0345117886719473,-0.132173571243101,-0.244437568732414,-0.125087788635354,0.241961332942087,-0.0423113332868899,-0.227247468101014,-0.0737447740842279,-0.178420564312684,0.0325698775127054,-0.0235740837236918,-0.255957448278717,-0.123169802459593,0.101350217524539,0.188540832325324,0.106011601806169,0.248504815924255,-0.184585235056396,0.0869792774466997,-0.212728990625039,-0.111964935195795,0.086472865296343
stable,0.233459007171223,0.0849467103199587,-0.0803312668276449,-0.218472229115496,0.0599668314289478,-0.276650601142622,-0.274952450865395,-0.0441571092070292,0.415996431114881,-0.113933761734138,0.0179530668441044,-0.180082261814914,0.294777088120829,0.0797139226041864,0.169638462193721,0.166305311489287,-0.173520907714266,-0.208225379601258,0.226626362766615,0.126890187428057,0.112913504530819,0.106920982987236,-0.118049026960355,0.136430532873121,-0.0267890858010289,0.0362446265624469,-0.0821218433221402,-0.117699162274045,0.0264136345375557,0.248194274617393
stable,-0.227271837229927,-0.134522528197299,0.0101963176755501,-0.0228011312493052,0.0923349888892209,-0.204659438614096,-0.127676289070107,-0.21432581883219,-0.15233903740566,-0.095630379556383,0.165912926178538,0.0180510132206618,0.151504155567188,0.0657265111284076,0.115486984506741,0.229847368939176,-0.172966176769061,0.0106703783848284,0.0393494166040665,-0.0781232729802224,0.117856990836387,-0.0387429458346104,-0.228008488933969,0.0208672904938698,0.1820277209098,-0.125553715681197,0.126020940405326,-0.0438231230592749,-0.0587420662144978,0.234169049028995
stable,0.0930345986491912,-0.0976160348930579,-0.0847466365578186,0.103668883200829,0.0033005496714902,-0.0547834583227476,-0.173111348071356,0.0855901195369691,-0.0275652508204373,-0.0731239107102095,0.0355616449196289,-0.0675314818053127,-0.0139654875660229,0.0236181426756662,-0.0009399326388649,0.177173535264368,-0.0980341898383046,-0.0845349014300453,-0.135933745610637,-0.0600945370164283,-0.0949621469047574,-0.122078383017236,-0.0396765207710515,-0.0493340783513598,-0.0813134621536017,-0.0579676388221372,0.172258214965738,-0.0976391539126149,0.0006022814224328,0.136823982678445
stable,0.13630032507718,0.0530753914675295,-0.0501490838707091,-0.131773606808427,0.0407745611833015,-0.114621791066288,-0.126115631454262,-0.147732532829569,0.0401349237741553,0.011651401238622,-0.142077142069799,-0.0268489653953374,0.0184899894904052,-0.034282656506683,-0.1077417498967,0.182548560152752,-0.135957916023515,0.141184015594941,-0.0293543320318611,0.0568617725531888,0.132034302916203,0.0001182948973321,-0.202173236286517,0.0529136555028577,-0.0209227389651632,-0.111220415138081,-0.264665547730288,-0.127669469723337,-0.0452095760547528,0.29003224823981
stable,-0.117673174474498,0.253608319621862,-0.0182026027860613,-0.0761585663690521,0.162362889018759,0.11565316061589,-0.161006784517472,-0.255452918583047,-0.135768441842026,0.0183914614984304,0.232865588664541,-0.0802573166699543,0.308959194519771,-0.0923165262275235,-0.209799981585496,0.257627159886722,-0.144879369006559,0.22776801668837,0.140981523076218,0.248336408253464,-0.138553354995833,-0.0485668032243247,-0.242766581945852,-0.140600041383295,-0.158561300803436,0.174767765946234,-0.16381396062883,-0.0855378320799175,-0.0363163688429559,0.162074761176825
stable,0.251224520555017,-0.132306945026746,-0.368438673334268,-0.164886655193649,-0.367430620419778,0.052824772866234,-0.0666855004404645,-0.166781421319958,-0.0339191138079149,-0.258873588734871,-0.0944816261751839,0.341081237293817,0.424838300517626,0.416120509571949,0.123948506277437,-0.0893293557233488,0.105462869266822,-0.152351330525507,-0.415630483849627,0.0094924982781093,0.255172727803435,0.400472354839156,0.0280714735215476,-0.0838037323402212,0.519604608302921,0.204466732822285,-0.188314551632247,0.0613838888161123,-0.191768066246702,-0.0188963252350368
