group,ARNTL,CDX2,CTCF,CTCFL,E2F1,E2F2,E2F4,E2F6,E2F7,EHF,ELK3,ESR2,FOS,FOXA2,FOXH1,FOXM1,GATA3,GLI2,GMEB2,HNF1B,HOXB13,IRF2,JUNB,KLF1,KLF4,MAF,MAFF,MAX,MEF2A,MYBL2,NFE2,NKX2-1,NR2F2,NR3C1,PAX5,PAX6,POU2F2,RARA,RBPJ,RUNX1,RXRG,SPDEF,STAT5A,TBP,TCF12,TCF21,TCF3,TCF7L2,TP63,YY1,ZNF263,ZNF76
progressive,-0.162900540297702,-0.335170602831173,0.121049368304972,-0.187203437874446,-0.117764760970529,-0.102108931850884,-0.231266724977087,0.213155831689216,-0.162289970953781,0.112515782631691,-0.0547034968473562,0.321057180562009,0.284776255070756,-0.365678291489332,-0.0178839277202358,0.0978797002173382,-0.318207324174022,0.324362566434334,-0.022185085061835,0.138763871024015,-0.0404110594825919,0.0679969660447108,0.104768584699796,-0.161303789578914,-0.0908405709225023,0.0941875138705919,-0.0265166110357236,-0.109544451714548,-0.156422431525683,-0.402007167452621,0.280542228390006,-0.0018205195882874,0.369527116044728,-0.146464716832943,-0.367273443859052,0.108970644399188,-0.169298731616328,-0.0775534951214192,0.122249728454932,-0.18892965486773,-0.11292655834213,-0.424187457467252,0.23227847993704,0.241315545566695,-0.414905844430215,0.317492862140691,0.190379357472275,0.182394005529268,0.302559486799716,0.0905624581846955,0.269673454728588,-0.404562927612122
progressive,-0.349773791499962,0.104111649601671,0.12708946823576,0.0654518782113624,0.119541098856417,-0.150905004368856,-0.171892501285448,-0.316618596441776,-0.136871750945787,0.334400784204369,-0.315222400610099,-0.133814973263243,-0.315263989422106,0.175302783870055,-0.337879391265845,0.112681915504625,-0.007153275665273,-0.233607327675002,0.103713585258172,-0.414007711645393,0.410796461232536,0.244821453769855,0.224237962455621,-0.0821854337854833,0.213870465748061,-0.411613384325538,-0.293088240733874,-0.0269139026276469,-0.0891990898675886,-0.160907113656636,-0.155301535923924,-0.0931054675668552,0.0380626748750595,0.0603810137758886,0.0085643246440955,0.183124451156875,-0.0970564047075583,0.387768141898152,0.260672732403533,-0.315516492923579,0.114761356104995,0.169652646695907,0.258278405083679,0.0706178027885675,-0.298673024060582,-0.0682056516921382,-0.0302320956999517,-0.0740102615965998,0.092713344482214,0.0946769305348492,-0.517127171017745,0.108445797938728
progressive,-0.0464373763144703,-0.103069901637811,-0.0721268221141888,-0.304692087508336,0.0476174246981619,0.0059177532594463,-0.0289993206739207,0.0573639902363404,-0.151360857253016,0.0081067480254549,-0.056458569050527,-0.1696997055311,0.132913238090379,0.146843008420506,0.0582066945929755,-0.074381310838343,-0.0531307199805085,0.0185998212585398,0.178745663144804,-0.0684445033884821,0.0023851680705602,0.069533755083437,-0.0102253117151537,0.0400866995060093,-0.147611810289622,-0.0847890644981545,0.0155174395322428,-0.0977231569510311,0.104577188384817,-0.0818112108204881,0.114485367400398,-0.0375522607534563,0.110912513841486,-0.0129824607823905,0.151726203997159,0.132109259254343,0.0671078557880229,0.0132564708404982,0.2377085082416,-0.230082897809731,0.0927208533986691,0.129445761147282,0.123009147625777,-0.0986072096722906,0.0405378286782541,0.0605423371969522,-0.0169282981901061,0.0081853562037239,0.0058631363897559,0.127322568909304,0.0783154225904189,-0.0580210126645225
progressive,0.234471863245621,-0.136712824127333,-0.311489064150564,-0.0907511308443767,-0.225034932069643,-0.250516500044529,0.363853454613987,0.313191288505279,-0.401716769184394,-0.221612490597976,-0.22150507925977,-0.175488317219662,-0.253962386630627,-0.0187533653684863,-0.109307121063469,-0.0103556525205309,0.0568053313247782,-0.0804887135463494,-0.0387744026218899,-0.0085089408326965,-0.154426971167797,0.148419024286118,0.339218636934704,0.323491872268659,-0.0500493217221932,-0.139596027967094,-0.0153483714238375,-0.12217794365072,-0.0640809500913746,-0.188771337632718,-0.361573826162013,-0.330754950625211,0.0856711743059791,0.0166176790144127,0.256640582027923,-0.170405089269948,-0.108609219982741,0.112928573390188,-0.0514652975867653,-0.10943470610479,0.141178300573558,0.213347815143534,-0.162452833596177,0.165728061558628,0.114653697624114,0.138078093116509,0.0648579102789045,0.0087090421581867,0.0763830923448753,0.214515163748097,0.0957013214005764,-0.123564476813449
progressive,-0.241554843215331,-0.128691074817528,-0.0001884203145205,-0.194261344270675,-0.150233797444376,0.0885575478246532,-0.0721649804613664,0.0429598317106828,0.0410756285654774,0.0616134428482162,0.177617549821361,-0.154127817277801,-0.0876782530235574,-0.242999398959988,-0.248023940680536,0.525567063969289,-0.166061103864101,-0.0371188019605461,-0.397818090724364,0.334885705674504,0.311458779902451,-0.211972853835606,-0.104070820386844,-0.0436507061972581,0.124294600812049,0.180443854539169,-0.370999599290941,-0.309009315813684,-0.221959130505195,0.0492405088613675,-0.0153248522476705,-0.279741360291493,0.269817890393412,-0.328856255609847,-0.0295191826082177,0.279929780606014,0.332247821271217,0.259706000180809,0.334508865045463,-0.157833416796705,0.415655213832308,0.0653190423671201,0.3146619252493,0.112047280368214,0.190367324437251,-0.0490520885468469,0.300593208431766,0.0383121306191762,0.170457577869581,0.301786537090396,-0.119960933578076,0.293998497423547
stable,0.0661784590161687,-0.05152672923836,0.130607024986197,-0.0488339353787792,-0.306676209140715,-0.0039869574578154,0.142694531339074,-0.132966340873387,0.177129597224122,0.154190552541348,-0.0805085843496373,0.0154537279944182,0.0201159987300651,0.016504102072494,-0.0317613817809147,-0.120699916250176,-0.0287325110222018,0.0886761957464815,-0.0520123208641112,-0.208925223686798,-0.0455492996531605,0.235037456001423,-0.157941007665748,-0.0435631590703445,0.0179722918436682,0.117029416342567,-0.200304430809441,-0.0107434535530879,-0.0311511435902996,-0.192720609701673,-0.145328314273834,-0.117730515050415,0.0556359381716899,-0.144238395741819,0.186701087695142,0.0805769717944645,-0.0608154972474565,0.146585175629435,0.0859263783766461,-0.264090195565573,0.131022751346033,-0.0156777962469556,0.0223022057125767,0.327018467375276,0.119793196573715,-0.112749238797169,0.256035204327498,0.0417930861224519,0.171612585346831,0.219562121243512,-0.0669813235416919,-0.210872737083937
stable,0.0764863093575786,-0.0832575627239395,0.0859107226608276,0.0440995982482139,-0.0566348897583348,-0.0182890275653053,-0.105517986677974,0.0134896252894631,-0.233551560066565,0.137392100330684,-0.0936853132772837,-0.0498854548837481,0.105009854765417,-0.0502241311492405,-0.0696425104853546,-0.134455064972095,-0.105476699980793,0.0626433576842684,-0.173528614995804,-0.0925179260387681,-0.0450370491371528,0.0689714645561213,-0.0568157442942796,-0.153014022926657,0.064424248007464,0.172120950147697,-0.050459864871856,-0.0235241337621598,0.0751172675487697,0.0313203078417534,-0.0798290041431208,0.0466808785937097,0.117747623446059,-0.119056419580993,0.0137152527807002,0.194457170837069,-0.0894222071789638,0.156048320969402,0.124815757152019,-0.0851547530508647,-0.0532281104978509,-0.131672051713427,0.124704862806933,0.0323610929879637,0.0327538650113379,-0.0565294010718936,0.227551514000114,0.236513782660721,0.177183623668088,0.184595525926669,-0.200826681920421,-0.185578729056886
stable,0.064721128465306,-0.0820768663487215,0.0723669690379851,0.021436359622118,0.0124001161490383,-0.12438690254767,0.0249492905234192,0.0611086294907672,-0.0659168857746006,0.0698539978275789,-0.0776722663221291,0.0905675190998294,0.0097995203320307,-0.0749683407101088,0.0552894339906074,0.028014929194887,0.0044610728747427,-0.0201921231234454,-0.172035926951411,0.0645056758506309,0.0432740714468897,0.353060347020117,-0.0492754518347751,-0.0271511203214935,0.13299226430216,-0.0555721508927755,-0.0664473120556662,0.0085236383489241,-0.0076595238356364,-0.0292140955645404,-0.0506104633820357,-0.0966064226624224,0.111579532994943,-0.0833480461796091,-0.0279732916369877,-0.0952692011036189,0.134002451174131,0.0499757903862747,0.0297476017553095,-0.0788625926456108,-0.0082942908744419,-0.101360909835631,-0.140172850423529,0.0385232754631726,0.075879312170259,-0.0309343074215825,0.092380621973958,0.0107960474518058,0.0667591352800699,0.158616290158246,-0.001047216320696,-0.0377440347974381
stable,-0.203380901498872,-0.188574486620722,0.198001193201821,-0.18842390166654,-0.296311498201091,-0.172012905701722,-0.131442754015061,-0.0804936283388065,-0.0711558133165634,0.0364276281453339,0.194713642825464,-0.0040666782560343,0.0241042065865797,0.0025188152908752,-0.235261903307332,-0.0928565204031722,-0.0633668563142427,-0.0943539672603232,-0.114246770403626,-0.0215434884340048,-0.112902119733465,-0.0098446295816923,-0.0547235895167946,0.0745450804020599,0.0649872477154835,-0.0992119351764749,-0.129100063417293,0.149432017396139,0.134343117526848,0.0534394160639144,0.0778488833395515,0.0184775035849458,0.0053343780244995,0.0330705344971846,0.203282501638944,0.338177542874511,0.0457499645379253,0.0092962438454645,0.193457220344316,-0.244920347086643,-0.104421710232279,0.0978521375615827,0.006602741162807,0.0607686577655829,0.145234213034628,-0.0480378165620708,-0.0559561306836227,-0.117523927985789,-0.0331142063451302,0.102789599297159,0.0011827884286622,-0.187309440331625
stable,0.147865095910945,0.0788156445527903,0.193046104913134,-0.207711044937082,-0.226051412796697,-0.300284095430485,-0.126578986676973,0.133910021710655,-0.168272998430418,0.101424086282531,-0.0214187550398078,0.0019484314616501,-0.0888021069151968,-0.205047545855467,0.217119480106377,-0.0101856552865181,-0.229003611573366,-0.106976465723695,-0.0286273684879823,0.160418734437138,0.165477571032113,0.0029497772508019,-0.136863296721043,-0.163533534191481,-0.300393333152938,-0.116956739742219,-0.174537575534964,-0.0151624290604388,-0.0900811210037857,-0.146497471912845,0.0957562807750306,-0.111881221524603,0.158392006972449,0.194868527343547,-0.0753969881451871,0.162929677389121,-0.160145460758719,0.184171033237621,0.231417155373802,-0.1419349584345,0.127054502608373,-0.214914905019665,-0.0605487296444795,0.0308241408802335,0.215185398427644,-0.030389611516289,0.142698905002524,0.303641585888406,0.15394133211471,-0.0514738372418526,-0.139130293363442,-0.054163345305004
