group,ARID3A,ASCL1,BACH1,BACH2,CLOCK,DUX4,EBF1,EHF,ETV6,FOS,FOXM1,FOXP1,GATA1,GATA4,GLIS1,GMEB2,HEY1,HOXA4,HOXB13,IRF2,IRF3,JUN,MAF,MAFF,MEF2A,MNT,MYC,NANOG,NKX2-1,RBPJ,REST,RXRG,SPDEF,STAT2,STAT4,STAT5A,TCF3,TFAP4,ZNF384
progressive,-0.331382691666261,0.270796126662737,0.0947463509155528,-0.131209417262356,-0.394020838417874,-0.16666727187302,0.279483688879948,-0.0946260421093377,0.223294727345705,0.475072564562818,0.0847939632224752,-0.439554555549047,-0.147549252759086,0.201001188951938,-0.242073982189506,-0.251804748397451,-0.247916874343976,0.0932535719121215,0.0499835599505209,0.0001503860077687,0.222859399428479,0.168885069734957,-0.0498331739427521,-0.127199651392057,-0.321480960312643,-0.218672336370075,0.23261865982737,0.305460892958747,0.0269048482951403,-0.125602393688492,0.318172468141729,-0.35371580532523,-0.520493887940817,-0.152619635736807,0.066207835672861,0.28464430346233,0.262083236275796,-0.0567113550349141,0.0721077162092218
progressive,-0.309091507526501,0.0972281297382127,0.55672558925179,-0.525021338370619,-0.552180902539322,-0.139092645361332,0.540128240812517,0.555719244808681,0.482361722618979,-0.596592085732759,0.05191622425896,0.521268817837858,0.0137514180899545,-0.0706406855881876,-0.502996184625945,0.173032565238566,-0.35095602314962,0.534999698286116,0.543182481527611,0.405580282163654,-0.0710983816031295,-0.256368447343765,-0.474604361955476,-0.54351988564119,-0.378699443132255,0.365969039229479,0.0684108844897524,-0.517484023868146,-0.0715648794645127,0.553850319414335,0.586493433915899,0.490485826884198,0.156432282850479,0.475499216343663,0.26591258283483,0.304367849936395,-0.0897729658025237,0.147912095495406,-0.053667791700757
progressive,-0.0838644496839637,-0.0196466126386296,0.365642835069433,0.0077910096124029,-0.199805369615611,0.119277500348243,0.292427277768052,0.0565336442631232,0.315720422223707,0.41043058419033,0.0305079213957826,0.0116455451429217,-0.145630977421045,0.161755982199327,0.0357272625650583,0.0183386390313211,-0.434662636410515,0.234677945378406,0.0097897929192438,-0.0431202957965962,-0.0115339352498365,0.0217969480293328,-0.270956181935096,-0.143767541080665,-0.0096253071736063,-0.0631903717378246,0.104945177172394,-0.0748591213915787,0.0129347269004743,0.145733001188344,0.106684526440093,0.23331854144545,0.132556490893033,-0.160860212000836,0.120141468954839,0.312643351926616,0.0686403124885192,-0.0839824503275732,0.0269546641042669
progressive,-0.190008847323928,-0.228058571348437,0.319286979368054,-0.108793524573918,-0.30220844463307,0.124538965848413,0.169059307948499,-0.313430136357112,0.211804898340528,-0.270465340584856,-0.0076797657778628,0.153392888860456,-0.165585579231723,0.0496881765949077,0.157625988314164,-0.112216917240419,0.0761373353986871,0.245805547181148,0.0144193840360875,0.287228327821884,-0.271285872329112,-0.105384745599432,-0.274676790124468,-0.0387030101823695,-0.144341601024583,-0.189061122334356,-0.068175579489718,0.271276129867768,-0.37771576753155,-0.062450259706912,0.108527230630532,0.298201586781669,0.217110209789862,-0.141723043914617,0.0865282116692778,-0.139115853009552,0.0621823420199685,-0.191837182569373,-0.0679201105033798
progressive,-0.657651534808474,0.573052229391797,-0.465049174520434,-0.360689447400591,0.313079181359527,0.610967538534746,0.110967118126838,0.0396443460419756,0.632271743183471,-0.161911955330312,0.687045162091932,0.148944178587609,-0.68438985542557,-0.660059836203547,-0.562678007997635,-0.556564627533218,-0.536063190016184,0.364394526469935,0.55557660644806,-0.509386620716911,0.553538812959921,-0.579474366445326,0.533469634667644,-0.400951306620791,-0.513400456375366,0.521366376374455,0.511918424747629,0.257255990048085,-0.54112679807762,0.342719813914275,-0.0192664111605863,0.724281206738835,0.168766351608597,0.599790550008893,0.589169323343441,0.672039591861091,0.535877936062717,0.598740777605912,-0.580524138848306
stable,-0.0180634904645468,-0.0205570147793078,0.0656976057623269,0.0410812708547118,-0.252684488311153,-0.106215406843306,0.176005743601934,0.145159686474596,0.298760031766845,0.178434352506509,-0.238172081482954,0.179610956857749,-0.117906953150048,0.0105578342860343,-0.222805189197491,-0.149819599563296,0.329937037086608,0.365631984389332,-0.0576501015579873,0.406908101807539,0.307789143259524,0.3118970245293,0.144211189055439,-0.127464869386755,-0.0621175259072096,-0.0497883136198835,0.239583163907772,-0.0450302749188775,-0.0111489959503567,0.12059577552652,0.0761894711423375,0.154595848692352,0.035734980144554,0.0043003700092534,-0.0186961899647534,0.151619973783357,0.327782638098631,-0.0902324201586959,0.0168821704652713
stable,0.0724372524245616,0.314884520371437,0.084789166825538,0.0730736203618919,-0.0674128907595995,-0.049185370774823,0.148413724940442,0.0872832258198085,0.360999214173232,0.32635029811291,-0.329704555800172,-0.002867959413323,-0.269757090420012,-0.126517102040964,-0.105909310450723,-0.198044595729377,0.0699017775998334,0.402517599953844,-0.269498984494317,0.272010605653413,0.0405010153619701,0.0996862827886846,0.0300307228798945,0.0540453042592169,0.217062606122143,-0.0115188502175955,0.0818208907828026,-0.100447554386184,0.016645921598166,0.154352863102931,-0.0702677267970087,-0.0776663387537803,-0.063138414233623,-0.0994752280254577,-0.0212753854426133,0.117386281659887,0.141966171755783,-0.0621211982076386,-0.16732937300108
stable,0.233831071620774,0.1946544134243,0.0241230642792117,0.0090251877365858,0.0632720053465406,0.0393731536704596,0.152967874325397,0.0710185727640656,0.355988696241463,0.231562038226198,-0.0549154991346357,0.0766526923713701,-0.0294479227301805,-0.0338287329861081,0.0771308938257203,-0.134640142471426,0.0772208703826882,0.412610927346004,0.0291872243902696,0.285737665847521,0.147473312082873,0.04393879877175,0.116425477069987,-0.040996387210409,0.0899850710776219,0.0631455199166246,0.0485482869112132,0.0254723424550428,-0.223308811867804,0.0814700589794258,0.161715381774833,-0.116703041676298,-0.148874993679,-0.0673245827884536,0.13166471559849,-0.192789939061644,0.0649750818019171,-0.170723101704653,0.105837741961857
stable,0.249153313026428,0.331956943875618,0.245473163731354,-0.0751707527595574,-0.272847622939554,-0.0010994474548586,0.0850989284766272,0.10067965091965,0.348244003705862,-0.0137555918469929,0.038586736514747,-0.250390245755149,-0.0183137992666024,0.0561157285382164,-0.0798404699744105,-0.215288788103827,-0.0069342572671895,0.354228036665239,-0.101051350237129,0.030974399703186,0.177287097620071,0.0978601703073586,-0.1739223493248,-0.194987375644811,0.151186523704319,0.150537680158895,0.0258870098342183,-0.114372749460342,-0.0999360349166705,0.401828264260827,0.24243457615297,-0.184640331749507,0.0036705851021095,0.188528284873534,0.069136942523161,-0.0532123438694646,-0.106375453881965,0.10869542277989,-0.186983124289733
stable,0.0461335348056513,0.195251598917258,0.366554606898216,-0.0534688550572496,-0.407473731820046,0.250514414823745,-0.0403371003018878,0.118815001479326,0.318268793550072,-0.0419493541894646,-0.0506730456698821,0.232773471437906,-0.0908798406409465,-0.0663991329929366,0.196723091415773,0.0655487655002139,0.0501123724965959,0.32125052746881,0.163391989463983,0.0151276317544521,0.136135945214904,0.413217095238295,-0.0935241689829066,-0.201961488727319,0.0636352189764988,0.092781085919675,0.176850693737884,0.0631049474515369,-0.0783853782419308,0.226012531461151,-0.122958324388949,0.167893102870648,-0.177925734683685,0.0856380165540115,-0.305760448317429,-0.172570475544765,0.150729878669006,-0.0889326414255893,0.0384435872342939
