group,AHR,BACH2,BATF,CLOCK,CTCF,EGR2,ELK1,ETS2,FOS,FOSL2,FOXA2,GMEB1,GTF2I,HNF4G,IRF2,KLF5,MYBL2,NFE2,NFYA,NKX2-1,PAX5,RFX5,SPDEF,SRF,STAT1,STAT3,STAT5A,TCF4,TEAD4,XBP1,ZNF76
progressive,0.166182722193573,-0.251895955690286,0.136062044459708,-0.269332910335547,-0.084596129142852,0.0685025478636371,0.461463783094241,0.0394910629797116,0.428338316170599,-0.256134939491979,-0.579685386208639,-0.165698538153514,-0.219590120573018,0.222134460234505,0.309380943191405,-0.0254054213960353,-0.457390940874921,0.41307544280325,-0.330420796722987,-0.0453598165894459,-0.41440615776302,-0.340911450924265,-0.512078420589033,-0.109675596577279,0.153161969037869,0.216643876512267,0.407290551135094,0.223846509683341,0.16292001797592,-0.0968921885392515,-0.419510660093837
progressive,-0.145589815719832,-0.164028004443695,0.409767841906604,0.157779262680477,0.114035136656369,0.163634891112113,0.0592515668505744,0.447142945222756,0.021709243684421,0.134752795967096,-0.0693962377506727,0.0010179875079046,-0.34467238135071,-0.462890947938698,0.0236102693475973,-0.149585490030397,-0.114888837995851,-0.289968020947548,-0.241465463402341,0.0651335984164209,0.106768407385246,0.389519571648513,-0.216265138638939,-0.0457977031293913,0.291417259647562,-0.116417286098497,-0.0888729497534931,-0.185311864299165,0.137504589288175,-0.412191062890838,0.0534106068268336
progressive,-0.0365251435619775,0.0922267743690497,0.137070745822423,-0.0341506815559086,0.1540283974615,-0.0781219439490977,0.0282295798026855,-0.0117006420228619,0.210547313955216,0.165990418850937,-0.0406169698820543,-0.0985757536891963,-0.241697454655799,0.103299436878268,0.094193505850703,0.110934481749601,-0.118117700682728,-0.0061733579307376,-0.0319655257228388,-0.0782396330879743,0.0927553111219375,0.252314946057488,0.0388895700600803,-0.0122329801045248,0.0306189430175528,0.0153404903515811,-0.0410732813882154,-0.0018272227156077,-0.116687260664663,-0.182995587099703,-0.346710986705328
progressive,-0.007139067023259,0.0352488389981699,0.0067591394172907,-0.147095304777393,-0.143830741644628,0.173278919559083,0.0781600925907831,0.0384960834936255,-0.0489462574874173,-0.010735390301976,-0.0314977303985029,-0.134387213444428,0.0581267588834861,-0.144951040995561,0.403502601005306,0.201306969214191,-0.237855788425375,-0.0545753558202895,-0.125051385519993,-0.294933687336829,0.0873308522533655,0.0596269858403865,0.138293107365045,-0.004633817895015,0.116242693618654,0.219916386210231,0.0168856713763688,0.0079243589837433,-0.186077392530505,-0.030346041017448,0.0879927489230225
progressive,0.440170662760676,0.0185621589581393,-0.146331686453331,-0.340306247565887,0.140577417176308,0.397972688062506,0.257085901570229,0.297551408098973,-0.0767854642235028,-0.0928726686538902,0.105804306061394,0.269955665114539,-0.463249613731962,-0.375821845039127,0.0373718133690537,0.361095865599003,-0.0349587327044956,-0.222250916592121,-0.416411099294258,-0.182961013464059,-0.36202397354691,-0.0082910976679688,0.262468927668089,0.275214943486012,0.111620449201611,0.455267885379963,-0.169101268108649,-0.408120001626289,-0.509531263400923,0.512748704287001,0.201337550832617
stable,-0.224183567552035,0.0896626696278535,-0.106442847937179,-0.0951807506120238,0.47348976196817,-0.162970890793721,0.240163062667036,-0.126824394691109,0.265447050425543,-0.0028602924463492,0.0433197304402329,0.0070107194318424,-0.246341037458184,-0.0325254592902803,0.290473894345793,0.0498523881177502,-0.342614586664793,-0.0058635317795658,-0.285206384352502,0.0553036869655848,0.0090968207710089,0.153023814513813,0.0739324409691379,-0.159591594276555,0.302170050469926,-0.0965453439718456,0.154922715138728,-0.13934928150334,0.0457751154183408,0.0393552498088045,0.102354135472867
stable,0.0961585703905909,-0.169581398275321,0.109977972693557,-0.0488074619716993,0.167513535023978,0.228724514999805,-0.280158624264783,0.144845549611904,0.252495152685003,-0.12387923851598,0.12430516777846,0.434562780411133,-0.0346334719196767,-0.153592959586091,0.309002795964627,-0.0222319966493213,0.0507598914938659,0.0039435939017027,0.291912514387352,-0.128001937773103,0.0966119416614764,0.292022359505266,-0.12342775581028,0.0355477687221884,-0.230973333629606,0.19942886059426,-0.142220135667318,-0.181198502319477,0.14748083034603,0.0255058051267745,-0.179841009372791
stable,-0.21772258232678,0.0889949802378627,0.316234496185404,0.078216751500764,0.0990845323201399,-0.44742707538953,-0.100159422540578,0.0757563270466625,0.311475601840858,0.0374240529103365,-0.0731916535861885,-0.0926479014726838,-0.280801365886238,0.216366906154795,0.099612571678731,-0.110237026776193,0.135727607415945,0.0634626167997239,-0.343682929090922,-0.435441051081595,0.174676016058788,0.30458525324964,-0.0880631406380066,-0.184571721839701,0.454500662812831,0.203897698910652,-0.0502117615523578,-0.106168634772902,-0.0585878260315565,-0.158161642315988,0.0478262595719117
stable,-0.0333033351694763,-0.114211154241973,0.144243153781877,-0.0423036904720374,0.126001498020801,-0.0059205373961386,0.129525293768694,0.198307857468221,0.0112263278862619,-0.140232796558096,0.14578854863697,-0.188289514313341,-0.0945265433381853,0.0555394879231471,0.133975066301687,-0.0988951679760033,-0.203650365479856,0.149758386229024,-0.0450959602144338,-0.0701122159578109,0.0111098746819416,0.14122058479213,-0.139152779993402,-0.276015494688039,-0.130500046196275,-0.248090081471063,0.0741990499127866,0.115656716545975,-0.0399688689044476,0.0476665126153958,-0.145178472894934
stable,-0.142865098735279,0.0705576261903069,0.0705187817280115,-0.226065542801929,0.224263405824943,-0.0217690694307736,-0.208146293541538,0.152855068333689,-0.0316690464287519,0.129852467516541,-0.139766681625134,0.0482470192557689,-0.257510838097188,0.148133884263627,0.114197446144333,0.0706109714134138,-0.0179071213513485,0.246765071268599,0.0126107404357597,-0.0467631080660481,0.0524227110691178,-0.0009453617215177,-0.190044510461719,-0.0975877474103283,0.119503494233796,0.0200078861176551,-0.178664225493373,0.0174699893254278,-0.113937838584106,0.0673204411933647,0.0902185486492698
