group,ARID3A,ASCL1,ATF3,BACH1,BCL11A,CEBPA,CLOCK,DUX4,E2F7,ESR2,ETV6,FOSL2,FOXM1,FOXP1,GATA1,GATA4,GLIS1,HEY1,IRF3,JUN,JUND,KLF5,MAF,MYC,RELA,RXRG,SPDEF,STAT2,STAT4,STAT5A,TCF4,TCF7L2,ZNF384,ZNF76
progressive,-0.233323573416869,0.182266706583205,0.167591859311432,0.114770967743619,0.282743209747051,-0.10931564596919,-0.385031285481546,-0.110119204406039,-0.127195217421061,0.462304444433408,0.0612162545658236,-0.17582397473746,0.106101412221792,-0.227361074719774,-0.137546381427103,0.155511538984674,-0.0806918483962099,-0.241420969972814,0.156601969368407,0.11916121798045,0.148704273725762,-0.209871395527202,0.0215756232758015,0.304607289897619,0.0085776297045939,-0.255715434552587,-0.46959669762462,-0.0423571976820536,-0.0038371104055473,0.27099413934791,0.106177488760192,0.289347604236897,0.0060750285768124,-0.464589910441173
progressive,-0.184432801219667,0.0965404204130511,0.018975196203666,0.275457381028341,0.162093499995982,-0.0618455188147949,-0.483694307559816,-0.0677899452245139,-0.174839524426105,-0.256693542208132,0.322058748561323,-0.181388667794047,0.189549411210847,0.44831542998454,0.0149594059179891,0.146432504985685,-0.402767913849627,-0.254535935585345,-0.0138086823858361,-0.0739574710945483,0.021176835614673,0.16555154163087,-0.381112588602961,0.214275289556063,-0.28915451368402,0.197002694496909,0.0522610485788776,0.213617733251976,0.208571575721948,0.130836091398111,0.110167100607577,0.120253544629204,-0.187876165258482,0.156979825524016
progressive,-0.0996251734958784,-0.0668001826010248,-0.275604375090136,0.296270306895412,0.109607156484983,-0.120501443830618,-0.319104940845953,0.183653474781636,-0.350030338065196,-0.118741010065199,0.323078763226704,-0.20493413102608,0.17202745600451,0.12509965876246,-0.281139863990403,0.162366804514815,0.0141147582650856,-0.425388855143017,0.0249674042152751,-0.0043338263278503,0.127359332512035,-0.0978382475812544,-0.246455322151208,0.199500043110701,0.109680542783355,0.271806329641897,-0.0090810976624029,-0.192912176421324,0.156018509071267,0.29314202561012,0.0452700586182339,0.195324560663156,0.159719416639087,-0.12971561125397
progressive,-0.246366812892845,-0.247972459314984,0.0332907635079287,0.361231996112532,-0.31969747021532,0.314142420974745,-0.22807598201454,0.0722670857969838,-0.483235130593675,-0.19439098221814,0.12122116030456,-0.237044316043898,0.0056211163108954,0.255732632410854,-0.093749714318489,0.0041665576971127,0.185128054039154,0.017589003639488,-0.207528040078064,-0.0643125022236944,0.2936589215085,0.0680696606981639,-0.286768992527428,-0.032024658504569,0.203730266601348,0.309119699030279,0.237710943614101,-0.0969837515640255,0.0405483936426707,-0.103703639069026,0.125624368081428,0.181250133624672,-0.0594787754230149,0.0198970188338075
progressive,-0.578201343739963,0.47649333934145,-0.512313859138736,-0.544422407972573,-0.457067357966065,-0.547144520012436,0.267818705012872,0.612908272248214,0.330056084833373,-0.282852187414841,0.575046168421031,-0.522954842567291,0.53186357287957,0.223336919634203,-0.589646587543931,-0.493815870504214,-0.609196301284765,-0.528522799012465,0.581975180886136,-0.556671912151956,0.0522150582191877,-0.148045775258905,0.472286438916207,0.480885838314865,0.460593730381342,0.579129336480825,0.002783978222587,0.499816890228457,0.546835189098815,0.696984414570342,0.481380767776658,0.478844254284968,-0.492392948301558,-0.122495041793829
stable,0.0052645934787102,-0.149022131737342,-0.0943444665418882,0.123863379315002,-0.176697373020209,0.200475283094959,-0.266955443504246,0.0539948388054603,0.209230107251394,0.148115133483751,0.346957789544298,-0.244907886721698,-0.0425509079209033,0.294275339439051,-0.223276936523439,0.0510812584342522,-0.306436248092417,0.145842935119407,0.265900975673795,0.242838132097758,0.242298047405968,-0.266065747274681,0.198290248706298,0.281664175788394,0.149810731838159,0.245171440808584,-0.111564456842091,0.154652984922293,-0.129620376326272,0.217935791647737,0.113727310438326,0.0402290165340705,0.0945620495533135,-0.256505574255799
stable,-0.0136160619259484,0.312583115908421,-0.0222218065110015,0.0728031519628601,-0.0186532684760109,-0.0030464778575825,-0.100698813411662,0.0176474729710423,-0.163512624168918,-0.226729657161917,0.262493155300524,-0.186590094767038,-0.178353999540191,0.0692153356011822,-0.146393779141891,-0.0529509570097158,-0.158678207071324,0.102668641152764,0.0319066351495722,0.110904118236871,0.0952887895218539,-0.0442832436150303,-0.0347028038315885,0.0892641772133221,0.0561152683270108,-0.172538860352499,-0.0532533447110828,-0.0824574984375905,0.0229993914433401,0.0875484061381449,-0.0713124621126944,0.154211044028822,-0.0990657961957325,-0.258478279573711
stable,0.289239741445775,0.048709042887043,0.0505573983930897,-0.0767012438995888,0.159270305838601,-0.189206585893308,0.17222252208514,-0.0742097003095281,-0.299500748927166,0.0048334714089227,0.375300409069197,-0.145389119874836,-0.1669461528061,-0.0221185955767433,-0.123080743996021,-0.123389953009777,0.130233294582901,0.0379040432955793,0.232920133422392,0.147030934778897,-0.111493056918216,0.0066320784556927,0.161901279382232,-0.0663346511586526,-0.0507602582109782,-0.231736981256186,-0.118816659792483,-0.181983267023502,0.207033919653115,-0.214689580182043,-0.222525390785467,-0.206014643402787,-0.021505501953902,0.105791429753222
stable,0.203298850571368,0.270685631899574,-0.0492582449917065,0.224100530231187,-0.146678923746829,-0.242114050499992,-0.229448450628789,-0.0744295549733393,-0.0941676627571764,0.0638375118225609,0.299466006672044,0.0335290353173688,0.0830859299848502,-0.158226820126857,-0.0072101786603295,0.0175456139934108,-0.12897385565957,-0.024846411373742,0.113673451154278,0.0931132398865795,0.139455892912269,-0.23207367059057,-0.136474079573943,0.004582453613741,0.0855233775027812,-0.181111532262677,0.0141473030766154,0.145846146423352,0.0786204529399575,-0.0119475118652273,0.217574239723371,-0.118575466456102,-0.142605220182521,-0.237021430919318
stable,0.0270561770569915,0.168516757844914,-0.198750299666015,0.312588768848727,-0.125872696426293,-0.278838530337233,-0.324606627902917,0.262231506183515,-0.222502918498759,0.0156201807353188,0.329371443034826,0.0570252758183198,0.0158297111597177,0.207336207010365,-0.0131150557494466,-0.0704129587222341,0.0157366060824334,-0.000525366078816,0.12663381723294,0.344773997252069,0.274679514214799,0.0504368155856896,0.0036011776678913,0.218830196003049,0.0908966037308945,0.164508311464667,-0.233110913239932,0.086065699834297,-0.241980711869083,-0.0688761089399152,0.0205709420187418,0.218672058173295,0.0787734074578861,-0.029037255979321
stable,0.208756537116553,0.162957525857905,-0.315453893377211,0.157444329135828,-0.10304178824851,0.145452835982475,-0.409737667101407,-0.0639223664237414,-0.386264762161825,0.0478904990766063,0.264568310448873,-0.442778203531615,0.025090868884807,0.452817453913876,-0.372231673552584,-0.0570647973273518,-0.0996749609426673,0.102130300150191,-0.0047866732169584,-0.0108201112053436,0.451853805618848,-0.477807721654074,0.304234461848539,0.239757201645198,0.313218896983264,0.284837762890044,-0.113690451155105,0.0813656433371329,-0.0351126115836512,0.230439848385391,0.0319062562569013,0.121623518150945,0.0296084862001318,0.124221277373831
stable,0.204425498421067,-0.0655082980958368,0.139464975545157,0.164458975644115,0.169079951217342,0.0065452116021998,-0.0294534522098992,0.0232031964953522,-0.282666059000582,-0.0798909089985248,0.136360915965573,-0.0774399660273148,0.0123108969298887,0.16018913803238,-0.283115515591291,-0.348750223353265,-0.0320799641618549,-0.0270446457940681,0.219496339728278,-0.0919700548738292,0.0601429100442481,0.0079919000035444,0.165400025380912,0.0369467363081258,-0.199017973814099,0.0037852672248773,-0.016222573820903,0.0852633198093434,-0.132062987316918,0.180014387338185,-0.0788655861509699,-0.088423561462766,-0.139078723787516,0.0979604684968726
