group,ARNTL,ASCL2,ATF2,BACH2,CLOCK,E2F7,E2F8,EBF1,EHF,ESR2,ETV6,FOS,FOXA2,FOXK1,FOXO3,FOXP1,FOXP2,GLIS1,HES1,HNF1B,HOXA4,IRF2,MAF,MXI1,MYOD1,NANOG,NFATC1,NKX2-1,POU2F2,PPARG,RBPJ,REST,RFX2,RFX5,RXRA,STAT2,STAT3,TBP,TEAD4,ZBTB33,ZNF76
progressive,-0.109168828989497,0.0449126898999249,0.140496806481425,-0.0771844068644316,-0.260290729532942,-0.173580652992062,-0.351101578782049,0.14123671106792,0.101431128313818,0.418245111257962,0.102973532451824,0.450590658181207,-0.414553613321006,0.189096179320997,-0.227656282771152,-0.193842161668639,0.438615759873544,-0.100387878896852,0.308419837635328,0.353205732606114,-0.121333117191317,0.0745425783408539,-0.113470226585602,0.112468707145315,-0.388607197821518,0.170747829575225,-0.322752479625333,-0.027175844812405,-0.220382426836247,-0.255955626955674,-0.0657231082697361,0.238992391435812,-0.261995238580354,-0.354362936959394,-0.170136324916973,-0.0572711829932109,0.126507634299467,-0.0009934944447719,0.247075166918642,0.158477611432605,-0.401273850742584
progressive,-0.180281711765043,0.113170655014034,-0.167945120450519,-0.413166648895214,-0.450017916332198,-0.435758312117011,-0.188754333145417,0.371162424649763,0.402567647775536,-0.370519426557006,0.358933498132166,-0.450382780366228,0.267259914237841,0.1883147018913,0.188658631103705,0.441422676710879,0.0697757604749458,-0.352437722050919,0.127857927728125,-0.0911980643745659,0.376784919600382,0.274297004992525,-0.409395390313974,0.136665506254494,0.0284803294759294,-0.393060248069143,0.270139947555631,0.0734244008152413,-0.428054297759141,-0.454704325687316,0.492772803467333,0.362567185028444,-0.214713511959979,0.132756675988292,0.39928387146927,0.419165970635077,0.198868842678925,0.30577998602719,-0.438446941351376,-0.350006292053656,0.210723933096082
progressive,-0.048893377740067,-0.252508680391893,0.0334018262084122,0.0194111016436115,-0.123241271369844,-0.298040449449584,0.0732306224728907,0.228253499480064,0.0109918472265394,-0.171126436451978,0.236217006605541,0.187247889511887,0.109644206337333,0.126174744459794,0.0282764623958646,-0.0029063241566884,-0.093042633648015,-0.073296258104156,0.175885598176102,-0.0768477550640582,0.116493913050233,0.0211319737996551,-0.149694667471678,-0.283371310063855,-0.20308003675173,0.0065310923853357,0.0819715763235796,-0.0558703450776297,0.0767194917799286,-0.176212773672962,0.14620402422866,0.0730140480280103,-0.272609611748827,0.216204926302917,-0.107970767686845,-0.0674047853311396,0.0357202062791594,-0.0630262485662332,0.05774755498288,0.0069540604251234,-0.119196157441554
progressive,0.312148124317395,0.0900853723575652,0.405269947481209,-0.121444946450116,-0.203891483146782,-0.356843764179392,0.12296126350743,0.174846459902233,-0.272452895722072,-0.117856711083636,0.0477081000351928,-0.187972062390801,-0.0322570418654161,0.0407944357825014,0.0761228239204262,0.0235795208416319,0.17103740166333,0.122211010982847,-0.384477702007066,0.174327389841621,0.103652075349321,0.0805812649767557,-0.0058002807823447,-0.0111572800948599,-0.31135752390995,0.24663406738156,-0.135985996288841,-0.238361115669723,-0.108434389951873,0.0800262089665633,-0.0896251883962661,0.0737232153734156,-0.239929775926426,0.217277165907316,-0.247821603717708,0.0096638631872793,0.22641705185904,0.155246657939182,0.0641825768013656,0.0117346910131249,-0.0808887812731688
progressive,0.0513289980202846,0.144203991962928,0.315088898738381,-0.034875767219228,-0.0637165656118137,-0.220308125166271,0.103992041781195,-0.133531626037919,-0.0459928150577798,-0.213129688561949,0.0437058795024206,0.0658129232042263,0.0316994678367847,0.409234412434002,-0.372579917560606,0.121080532458741,0.240128233312718,-0.0804874263511146,-0.219037605413294,0.0663211311054172,0.059269746476393,-0.230281705227143,-0.0002541039505954,0.0388143784534578,-0.157862079307435,0.160720748751634,0.0475809647490015,-0.391701239842914,0.0707044242531891,-0.159767858936901,0.0769934970304269,0.17101195875075,-0.09084216233788,-0.0510748940696892,0.0734995677097392,0.0729278338208994,0.176792823626797,0.207602927636498,-0.190196807020708,0.0344946112933348,0.296729888307858
stable,-0.0158476719612243,-0.398777451633335,-0.0965357363383942,0.0163359025070805,-0.213104474777786,0.149827698868522,-0.0708996685251253,0.0765810454962449,0.134510558832035,0.0358386284353288,0.238623919684344,0.0271093015672499,-0.141590694578114,-0.0064737477815813,-0.117659264917931,0.165486216659125,0.0936575034609372,-0.110425882580403,0.190580397159372,-0.233713686108649,0.21614526361907,0.370124073011317,0.152764498951323,-0.361803898174281,-0.210632938712283,0.0175330775647823,-0.368583678785182,-0.0259936602434501,-0.0962646903810875,-0.0184647820585245,0.0905998349884187,0.0438668879528048,-0.217004641450493,0.202955928975676,-0.279168998511011,-0.0348158250833183,-0.0297680992386594,0.361641751413635,-0.206289093490099,-0.162262513995737,-0.12197277795429
stable,0.0425396345569529,-0.0951236320322917,0.0119634450624185,-0.0002049974173133,-0.0173498503811655,-0.135002070231616,0.0861050416311901,0.0676036712748405,0.0696349914684288,-0.218852690073862,0.191010152920662,0.185661330461755,-0.0364597331860342,0.0012262537079709,-0.0472983629176696,0.0176986994344211,-0.0815892077199146,-0.103861234594145,0.254956780230933,-0.15131401319091,0.215481817791278,0.148785358266889,0.0879906251551137,-0.26193199407693,-0.159791324012925,0.0043321216664111,-0.256717244641531,-0.187630837257863,-0.0996190840164436,0.115843137278429,0.175209839530862,-0.0339220850802964,0.0019483394382659,0.202837639925851,0.111424696776145,-0.194554762477996,0.174314762684999,0.0307737645915657,0.180468690901059,-0.31020397691223,-0.150025985356993
stable,0.0237080416836016,-0.123141913125333,-0.0137401137123082,-0.020263160970003,0.0188497663064512,-0.0903371980577051,0.0151849980898705,0.0734036278483639,0.0489194822133372,0.0199369369327692,0.238456023842755,0.0648290727224605,-0.19902474495757,0.0375799891985955,-0.0736711964183066,-0.0080804721131646,0.0777759511389305,0.0246941867274338,0.0544561964289072,0.0643365876952088,0.306589096058298,0.363349282062375,0.130903916130833,-0.226844896794994,-0.118945932233225,0.0863756980360423,-0.215769447382208,-0.218296120934963,0.0896209480626865,0.0715026831127411,0.0560448760005217,0.0983721275844874,-0.17761176293024,0.252666955779093,-0.0449402163530237,-0.0293993844948349,0.073403181352419,0.0712434099674594,-0.0694687765846771,0.0282571303687851,-0.0131693743957618
stable,-0.160548878963966,-0.276104119590997,-0.0193970010663311,-0.0427860143092674,-0.131764410898682,-0.0891642749677538,0.117268665082987,0.0361300405972437,0.07388560366569,0.037587287228616,0.181305150268084,0.0681015645026817,-0.0150676622555397,-0.0247838206811085,-0.0646870041553887,-0.124985883663835,0.089467392895027,-0.10792359916736,0.211302643581408,-0.0421923991427082,0.259375619079448,0.0779914234497595,-0.110854145059562,-0.237975914103558,0.174441488743217,-0.076920989834418,-0.0866440121429272,-0.0748425617969354,0.0910718808862508,0.157766017262773,0.159313490742475,0.149170553788916,-0.3690445265461,0.0009980307210986,-0.29549912791712,0.163738481083276,-0.0954400781311082,0.0232888226935637,-0.159533799243306,-0.278785019418188,-0.05675124839834
stable,0.0062304082918241,0.0777386591720251,0.116536094577393,0.0099652997076459,-0.241765840822084,-0.161698351093822,0.023324365339502,-0.107296948631621,0.0162363653981796,-0.0181295938467355,0.169080598816492,0.0458247647716756,-0.0597785462777817,-0.0925009008812953,-0.0661829429942386,0.098791438851477,-0.183070890846938,0.127104403908028,-0.0376174693483633,0.143557127968963,0.165352468608881,-0.0366750470731762,-0.0965075027177612,-0.23272709708769,-0.21368717416741,0.0676982649785144,-0.11031470122985,-0.103617228674802,-0.279288112358835,-0.201603182254728,0.116258073695752,-0.211785020924015,-0.028931390234261,-0.0051084984759925,0.0925805929887437,-0.0829213506394544,0.111445175242749,0.116722163027363,-0.116405558184197,-0.0765787964407685,0.0594786190815364
