group,ARID3A,BACH1,BACH2,CEBPA,E2F1,E2F7,EPAS1,ESR2,FOS,FOXM1,GATA3,GTF2B,HEY1,HNF1B,HOXA4,HOXB13,IRF3,JUND,KLF1,KLF5,MYC,MYOD1,NFE2,PBX1,PPARG,RBPJ,RUNX1,SMAD3,TCF3,TCF7L2,TEAD4,ZNF143,ZNF263,ZNF76
progressive,-0.472773172396952,-0.0485696585099343,-0.196233115488642,-0.17767189776128,-0.0327796730158161,-0.312076661073597,-0.37378424854251,0.453693937635165,0.422147335842397,0.107348701824106,-0.539007847384506,0.400619437736901,-0.363954636962897,0.424546739897557,-0.0747835450648773,-0.0303135305697185,0.0202439785845895,0.387993169775116,-0.446314578408569,-0.121548089000864,0.117216449627113,-0.470060733508106,0.221771673087663,-0.420267537830971,-0.418138265358181,0.0363851351357873,-0.475431584969324,-0.16498365843648,0.205595558331688,0.402707395967683,0.509280661249459,-0.135483700632485,0.319675303584704,-0.476874405421035
progressive,-0.0836231278254514,0.257272000285325,-0.405198389193137,-0.113911750160706,0.278357597907133,-0.1850421109344,-0.427103474601728,-0.173362936073838,-0.393816941909787,0.189283991960233,0.100861849325848,0.29843504868333,-0.10302553290678,-0.116172711068847,0.461955287922382,0.269988799969441,-0.283784493646228,0.190834533599974,-0.181221764993136,0.106439082752446,0.0880625113034946,0.0418115639127257,-0.209841933776882,-0.19912079319943,-0.175948154739338,0.422516701233976,-0.184576358882919,-0.0285169958609496,0.0228424851071427,0.006488102945002,-0.177784632765116,0.179753761691631,-0.307511318091627,0.333378243735604
progressive,-0.135619741069357,0.226912496404201,-0.084675514960605,-0.171684648305947,0.0646988249450098,-0.384422952885761,-0.0705853486754388,-0.132917556114854,0.312803708143631,0.115609135290658,-0.087990933577716,0.151104502145035,-0.432701659729851,-0.0433149363080193,0.100960504717085,-0.0789322165811214,0.0658638772397401,0.123662295743335,-0.168373660126359,-0.0633904709124803,0.218509713321509,-0.305325587926642,0.0096503331795664,-0.0855311241104394,-0.252335187164144,0.120313419684243,-0.0824773304677219,-0.192503579771955,0.184423913080996,0.10850622729972,0.244928717816056,-0.194698556016977,-0.0959408953908587,-0.202803735917118
progressive,-0.376706368254172,0.443029185516272,-0.232228700553126,0.254320013977086,-0.38365776241875,-0.512756013608338,0.0391542707096524,-0.204593650282915,-0.254449809540002,0.230178582352244,0.184000688148023,0.210295422730876,-0.0897653079267992,0.162445392383472,0.0427380402480936,-0.118521270506048,-0.0159072880058314,0.422959207176731,0.438989773813449,-0.0433359687617811,0.0118553855166194,-0.19201760069939,-0.413163172181367,0.106671858843789,0.0027838161318456,-0.165012520525344,-0.0247284985851465,-0.0623789872290399,0.0040676517416161,0.173923881997731,0.19276596172742,-0.494820873586059,0.0759868843838696,0.176558351770572
progressive,-0.260295749219292,-0.132422424489106,-0.103632231494298,-0.109365343519238,-0.0790172396480877,-0.039695569129205,0.360687526090798,-0.277993616774542,-0.11360286110289,0.42325322688471,-0.0476097563810245,0.115160771979232,-0.158096795731229,0.243532628189848,-0.0138342485819207,0.543648579408452,0.325042525240083,0.0277931300339488,-0.12457055367234,-0.196608352594414,0.525701446112987,-0.161835781834451,-0.137407739293402,-0.0835663394070076,0.037639126772433,0.0297249395206134,-0.243096413144472,-0.341992595574689,0.33881445738695,0.208323842384509,-0.13416728467061,0.323858512974063,-0.0724740139674496,0.0372652281621108
stable,-0.0884313924132624,0.0067337635212193,0.0144700058313972,-0.0147681847056714,-0.418243127421909,0.0764799529792862,0.0397396304334297,0.0077361918227287,0.150287251866555,-0.192576397503693,0.0013398864111688,0.128847403202034,0.30444507352948,-0.19731923895784,0.352767216894588,-0.0678269595686899,0.419274182107047,0.128597692278878,0.038268779579344,-0.130030728033602,0.18092702447757,-0.332977853427984,0.0036544330268522,-0.0134444542782086,-0.341237852534932,0.185645934880853,-0.316561253509808,0.059646680143842,0.275781278700609,-0.0638257282540982,-0.137361808564902,-0.0547059783767453,-0.0289433438344338,-0.172482847156374
stable,0.0479472629353526,0.115496170165333,-0.0316384200005747,-0.0686025943576275,-0.022076238403131,-0.213740104202398,0.0255873395363166,-0.232517530148704,0.24002348998704,-0.326110542722489,-0.157345117048593,0.0419189858583251,0.227753134687062,-0.219628807485814,0.285485222495524,-0.110643857562786,-0.0079432962291515,0.121599954376609,-0.161383682245934,-0.0461620834778683,0.0344628599529683,-0.209956409516756,-0.0299686536049924,-0.051525416885752,0.070885337519481,0.198457064661561,-0.139358751464072,0.0517225033039597,0.184998606349342,0.131277587817225,0.133626181576898,-0.0474853392188489,-0.134059019340301,-0.268965564572675
stable,0.0816014068517771,0.103254952457869,-0.0898786815473813,0.0241390818127231,-0.0409223822201036,-0.0697557558571261,0.0226912402259719,0.002407502687642,0.100502613718802,0.0915511805886527,-0.175569300641789,0.112112629070866,-0.0107282947346705,-0.0798801339537784,0.291708831434459,0.0977346915348097,0.0594555871981729,0.0971888523027276,-0.124201242253106,-0.202024128888082,0.117028089518733,-0.15952363213343,-0.0514255078050474,-0.0758758398565518,-0.0473525069969136,0.147440298715367,-0.15641154840533,-0.0667273575541598,0.112073391352078,0.0682772823346048,-0.0731627853540188,0.0141370919059129,0.0273316412414792,-0.0857279961033538
stable,0.166031429790573,0.220129277447041,-0.0847933637420534,-0.235648479141097,-0.318791328955596,-0.103529128063412,-0.279575751799294,0.0233841928544324,-0.026440675845597,-0.0041985665112437,0.0251868097536618,0.10718648335432,0.0262997183502945,-0.0489549751960733,0.353377381180908,-0.150448851858319,0.103250600423469,0.110958243682113,0.103668337248695,-0.215780356274141,0.0871248444221077,0.116591844911037,0.103660032776104,-0.196606968101087,0.221332005470913,0.354081950118668,-0.266537074214434,-0.0211089859031229,-0.166167142355818,-0.153727151683177,-0.0379483802004698,-0.0426253280407325,-0.0150691211334738,-0.213210449815211
stable,-0.0183522370050664,0.252024795607301,-0.0733914713805629,-0.404337859112359,-0.273754349102003,-0.240334865494994,-0.131874221638508,-0.0244546735663365,-0.11693187122434,-0.0354598371593804,-0.231995507317624,0.259577704998046,-0.0282167409270038,0.21787508856463,0.327546651714462,-0.0047762420585713,0.273691768609329,0.286097623088452,-0.188777630915635,0.116023792086652,0.200891060610235,-0.224386902171059,0.222624144739219,-0.185931939683221,-0.188512215483381,0.2833536141234,-0.215694127501923,-0.0282916786396688,0.103482537782762,0.253553118922724,0.100093217136564,0.0281937918041617,-0.239422637862023,0.045142336884009
