group,ATF2,BACH1,BARX2,CLOCK,CTCFL,E2F6,E2F7,EBF1,ESR1,FOS,FOXA1,FOXP1,GLIS1,HEY1,HNF4G,IRF3,JUN,JUND,KLF4,KLF5,MAFF,MXI1,NFYA,NR3C1,RBPJ,REST,RFX2,SPDEF,STAT2,YY1,ZFX,ZNF263,ZNF76
progressive,0.251711370896636,0.10830464124962,0.155346323360648,-0.34109817780398,-0.18876132972467,0.185000278424705,-0.247634784517121,0.150430952774691,-0.0991239974777838,0.410937665813361,0.161136947031589,-0.335201318704246,-0.24483778009337,-0.326164964843158,0.255795885293226,0.174297455374636,0.21938250287177,0.219815372604017,0.175408963368429,-0.176694887737852,-0.190107507023856,0.018645110554927,-0.269419389833402,-0.057148318277122,-0.0643263449360347,0.268953222429443,-0.172285324641223,-0.440856416647694,-0.100053161078871,0.197220523942761,-0.408698793791628,0.327324040939395,-0.4637668003885
progressive,-0.331634439052399,0.414027248783118,-0.244533300820979,-0.441736437986986,-0.0755007808080352,-0.188580018675961,-0.100082840470864,0.531203496594849,-0.0829864940984733,-0.396684023762751,-0.0335314106519862,0.384099090778983,-0.400448923144397,-0.221170939240417,0.0757799888027708,-0.194484533006739,-0.0782664094716796,0.0363440638200071,0.459470554199983,0.173605653063561,-0.409986080438261,0.0966588687459481,0.060364768461841,-0.0259722215734597,0.419085322035118,0.504261394618624,-0.158375591708614,0.0405997814660827,0.430762094278114,0.0545719373289578,-0.149423301687933,-0.171066329827229,0.350517716591097
progressive,0.067781425292514,0.335134383517787,-0.0170282479999926,-0.16183259657322,-0.155380343500286,-0.0615144258775499,-0.343543040194611,0.227802102398211,0.0817079890528166,0.376153323146077,-0.0405767236771598,-0.026878469237827,-0.0375386703730538,-0.438985328516139,0.209750425098945,0.0375872889801228,0.0621156048605708,0.0155404271780254,-0.0563219891244665,0.0477305935452101,-0.150011950064252,-0.346904963530133,0.135688664566644,-0.0880119477537187,0.204942060100764,0.114213109499964,-0.252931292442827,0.123569143172214,-0.0546966949997525,0.0391132121587271,-0.0804816266020935,0.0258636510711533,-0.178791574488846
progressive,0.414432540686828,0.275142487023414,0.199200308123047,-0.131191933456619,-0.0298724269464484,0.409759567953824,-0.490263548714471,0.24748046240489,-0.0094939925306611,-0.151455943218041,0.125664300745987,0.101735990560182,0.080420467031869,0.0879432101851981,0.153109948885403,-0.195430802092281,-0.149257471422799,0.27580680077506,-0.113599278422222,0.0419200957681293,0.111570545569237,-0.0565599439635785,-0.413100117104956,-0.0322894444085582,-0.0460323334650508,0.112155141670686,-0.234794510084689,0.198385778118988,-0.0214310327765579,0.189444386170308,-0.0054159195409672,0.122870929207435,0.016522703171542
progressive,0.490449425392431,-0.109835396137524,0.0744625753848304,-0.0802238228979662,0.0613913579087911,0.0421871995316718,-0.154500551588824,-0.0558779059876181,-0.426022571482095,0.0035310871854703,-0.104941433196258,0.191050401403342,-0.234476578894828,-0.210935997658359,-0.448695868146694,0.424226053440365,-0.114171818996874,0.209139479616628,-0.129473196800579,-0.223016032766547,-0.179713753071042,0.228653382483701,0.0560018037835995,-0.0301691133214745,0.224378908522342,0.134676904231798,0.0429305863075603,0.0282486974837626,0.241414855469787,0.0048320140432751,0.245875176125118,-0.0620108468886982,0.243273322409508
stable,-0.0599346244778727,0.0606100546759914,-0.077440244533002,-0.231883554463922,-0.212036456464689,-0.10852778430608,0.131719699941426,0.0906895782376721,0.145470980060451,0.134459738021793,0.0771063511057009,0.164235690104465,-0.294367686570951,0.293623767992111,0.0701956120081977,0.302150923387897,0.276882432003481,0.154729885027635,0.14256992891469,-0.18794654853646,-0.115409508869313,-0.348272417006446,-0.34646225200705,-0.152881603880967,0.153229577151588,0.0932451703705483,-0.167511667363775,0.0120116149065391,-0.0648506520581799,0.300555224573357,-0.0695097727830531,-0.0768729777026731,-0.201137048610115
stable,0.0591742734513824,0.113532065069969,0.0442569555191524,-0.205325571872514,0.0184648442838428,0.0347666250345333,-0.136695484701956,-0.0166196290818111,0.103325124743126,0.214694281063645,0.0512078659003149,0.136068842886255,-0.190062467151034,0.137095561874522,0.0077817505951254,-0.0304352353223763,0.222261888407684,0.177835406039415,0.1036858868555,-0.122062659213164,-0.0281600309974554,-0.264761042820252,0.129217767992589,-0.188024430152804,0.194569575060369,0.032802148990462,-0.159681251340497,-0.116293561089216,-0.153246080252879,0.24038319026595,0.172666636501905,-0.178677119808412,-0.200021173116526
stable,0.0450138216637941,0.0953978799255302,0.0195530859040575,-0.0680506552691679,0.0667264628798502,0.093162329824302,-0.0893389130116507,0.0351248750671528,0.0209110434484311,0.119972257174696,0.0754585818701672,0.167949829237733,-0.0515055437689497,0.0459767315320845,0.107842241172635,0.120165108156457,-0.0458793320463464,0.155835721818343,0.223389222283878,-0.236320511388612,-0.156190441469259,-0.306633919043954,-0.0683519675354051,-0.0856634506559063,0.113746482046313,0.17761811961847,-0.252957016072948,-0.197788347216448,0.026228637943367,0.261667637605342,0.104713723310017,0.0262241622050938,-0.104564261480117
stable,-0.0079881020164107,0.268492408210034,0.1075863328253,-0.291348828402211,-0.321803004586471,-0.110142364323518,-0.0984451584525048,0.0735571968037249,-0.0803188392335148,-0.0711951950447968,0.0789193643518708,-0.210988831345211,-0.115122678731547,0.0452823164847188,-0.0404714242283929,0.102199666572698,0.136933929750076,0.17358595151225,-0.0294186976092628,-0.26512726616599,-0.201524165190468,-0.392014767192848,0.0782473376678666,0.0174639831336371,0.377904166725115,0.208013164260448,-0.413048048240993,0.037089187532796,0.134562346275627,0.22842929572257,-0.168487934439703,0.0154223155458595,-0.241512366083863
stable,0.274645071519018,0.351558028742164,0.17531733769747,-0.398481631141107,-0.428195476339303,0.176570422373455,-0.308509869734219,-0.127279549724727,0.224550027642431,-0.0841987344639871,0.186008959653672,0.256993354627478,0.0744498307488501,-0.0343971567513323,0.312594982112166,0.202184279434345,0.415596852451013,0.299139989804892,-0.426876110913037,0.0292464470786769,-0.296146001172626,-0.21295300887693,-0.143824122822045,0.446952048446701,0.289454550128206,-0.115062766334078,-0.101298287814331,-0.302497686352385,0.0859318924627326,-0.105961090184445,0.231613636737572,-0.276752588124602,-0.02304739247128
