group,ARID3A,ATF2,BACH2,BATF,BCL11A,CEBPA,DUX4,E2F7,ETV5,ETV6,FOXM1,GATA1,GATA4,GLIS1,HOXA1,HSF2,IRF2,IRF3,JUN,KLF1,KLF10,KMT2A,MAF,MAFF,NFE2,NKX2-1,RBPJ,RELA,REST,RXRG,SIX5,SP4,SPI1,STAT2,TCF3,TCF7L2,TFAP2C,TFAP4,VDR,ZBTB33,ZNF384,ZNF76
progressive,-0.252390979611657,0.025054607289569,-0.0786391487681034,0.0281170879308468,0.276440886827758,-0.0882426623114468,-0.300244053897405,-0.11600979853131,0.256746830170947,0.230156950859,-0.132636536504756,-0.0421151563701786,0.167657510494218,0.146212082601795,0.182352256994125,-0.0338985482252022,-0.115343761403955,0.161139055121893,0.0649281374926196,-0.198404880639875,-0.0833965568206412,0.0849947233901548,-0.110110612546163,-0.102645513605418,0.296660677391392,-0.227694387436551,0.041336231594119,-0.049886664643121,0.150101868440006,-0.210222604778518,0.0983557829546553,0.19677284777575,0.271543175554688,-0.0978252110057451,0.110383155583749,0.24562900945427,0.211253107743119,0.0889925588349824,-0.143707589481255,-0.025572277792913,-0.0880088236105593,-0.370084416789357
progressive,-0.207321592604971,-0.192956025477321,-0.127609885891671,-0.044158049214441,0.139813891097721,-0.0171609480359439,-0.015471760642162,-0.281986665122333,0.231119701727987,0.25465172646508,-0.0747188873369879,0.0308119739474631,-0.0348361265705259,-0.18962847579718,0.0006607263965058,-0.0475453931386091,0.228467827005359,-0.1749818757226,-0.0314248649487468,-0.150032727402051,0.291541785317957,0.139198010384236,-0.26489149075482,-0.410484495537816,0.0589541348990903,-0.0110679145695234,0.42151055413652,-0.0136928818823385,0.380778715104865,0.0702522573081202,0.037577692659195,-0.204520232272274,0.25601204551671,0.356143486565461,-0.0443314525221213,0.096241825474751,-0.150050665675259,0.194603356900283,0.150086542221676,-0.0860678348534414,-0.0938799528356576,0.0682431707087902
progressive,0.0503292649568823,0.147987878095986,-0.0213985426535636,0.119040089213308,0.155547364272717,-0.196950963375111,0.117559253152396,-0.253332425249806,-0.0946557485007356,0.214537452802567,0.0506169919698175,-0.138443316013621,0.11162403987856,-0.0092345709409017,-0.0613346486570915,-0.0163911306940184,-0.0938887609092312,0.177797839537781,0.0897347554930399,-0.153749322561795,-0.0662481168547968,-0.134973913155842,-0.072173943509985,-0.156927429940045,-0.002341379537452,-0.0047528096256403,0.0584948474269707,0.0430959055966463,0.126950603897327,0.143122584197292,0.195964980540276,-0.0167413058723385,0.0689475066820024,-0.146290994655451,0.0715646666268378,0.0786630448594094,-0.0951509896036147,0.0813071234544169,-0.0584261156573668,0.0510813580791273,0.114486570689374,-0.136862407737372
progressive,-0.231705273052993,0.437340026760285,-0.194973573972337,0.243536241657001,-0.302059639655495,0.141226813855811,0.0492384726773654,-0.451080664739943,-0.150120714245992,0.0260228734507538,0.127574895818469,-0.0779782574480508,-0.06002342220839,0.15935087417063,0.2726878622093,0.0842056306830724,0.178663891243274,-0.114308526172425,-0.0708231583964672,0.322771364954526,0.0419360547092203,-0.162585318487404,-0.272726197986844,0.0718845117804679,-0.285088390936817,-0.387395628122147,-0.137964439186827,0.076390608603769,0.199808810828551,0.290695272229593,0.177224656623484,0.18429870288826,0.0231586432142607,0.0038166004814761,-0.0455867160393279,0.0801124649493153,-0.0260349218379819,-0.119955933858604,-0.1261603056271,0.0350816176843737,-0.198256211838024,0.126554616481837
progressive,-0.425162558091049,0.343301685193082,-0.387616874426514,0.374015182681599,-0.448291702118116,-0.492168127101712,0.480697575998858,0.105867545424706,-0.0347250563441605,0.53366268901477,0.365741342541835,-0.405104763812833,-0.413065200917,-0.459198127756896,0.382226342214244,0.375958281502301,-0.18365417885991,0.366806912862865,-0.413378603952597,-0.447288812404205,0.354521513867459,-0.534289495085965,0.445972519654697,-0.410996740882059,-0.399087425529368,-0.386300581677006,0.115144275278381,0.259121629831696,0.287954709106631,0.401720011028384,0.381787577964408,0.547076338938327,-0.190361003821689,0.588132136601549,0.47718746200017,0.38153685553593,-0.420273470735734,0.429048755732453,0.369063414719165,0.36743371893406,-0.360413490936684,-0.150621498907974
stable,0.0878531924554348,-0.121675819993074,0.120960223556169,-0.0251191010265413,-0.0083097324960203,0.0616532919239438,-0.164934899883664,0.0874876294294244,-0.061907627938383,0.185215908730969,-0.127491969389179,-0.0875976737219638,0.132762576776149,-0.0840666403407486,-0.0533885027511382,-0.0083312271288621,0.229846737008371,0.19629376941002,0.222736744413863,0.0371325953050103,-0.288571873722003,0.0008386506387964,0.142252765711203,-0.0349015244076246,0.142560169814381,0.0041055777179171,-0.133777195437875,0.0763756241661458,0.0106502820377127,0.0996328169009744,0.0182916240129729,-0.101776880815661,-0.137910284228927,-0.0804874754371891,0.170095771513494,-0.107748686320886,0.0085968761079548,-0.0074401768946929,0.0385424992362459,-0.254623723699275,0.0626542836055192,-0.0373671850538723
stable,-0.0563872925998154,-0.0188943482008866,0.0229945607387232,0.145873848553108,-0.0357151646214476,-0.0136925066971835,0.0551032596098304,-0.136702189963302,0.0248815545811526,0.203226350964124,-0.14568612949699,-0.103395600991217,-0.0449310364033724,-0.0739113468098874,0.103927379785469,-0.038966113786899,0.12600747942594,0.104239549331602,0.140106330162176,-0.0716008433435766,-0.0066446561533621,-0.0194205363688866,0.0610525914657704,-0.0482891917327942,-0.0380925587497436,-0.0365581680672549,0.168226550279269,0.0197882184714643,-0.0805778536503607,-0.140220071846976,-0.0618835475057111,-0.155292163998322,-0.112421863927868,0.0425664377224838,0.120573390709141,0.121877581450119,0.0449917458799946,0.0309664394383963,-0.0349633435023958,-0.193105467029725,-0.0186053285719089,-0.222116722733662
stable,0.0442559225540485,-0.0005619941446029,-0.0554340231831844,0.0099185693791705,-0.0360713911049713,-0.0496194026371624,0.0326382110009362,-0.0446081405179674,-0.0455716366802011,0.106114592298038,0.0564603175308283,0.013919035875187,0.0517043354693301,-0.0771850181519641,0.0302364284830884,-0.0334957677111834,0.179524560615761,0.0855869806395405,-0.020921718705461,-0.0659504747594929,-0.176617037707811,-0.048271604261278,-0.0560829377657574,-0.0409170106064419,-0.0803758653034961,-0.0650276627489811,0.113832838951307,0.0934142617644683,0.0677419950015138,0.0066541505386364,0.0627963189480445,0.0084109404072362,0.0211520495969452,0.0498360303881131,0.0840742956812714,0.031109602048323,0.0033281620701191,-0.0122044894811973,-0.0791616961739174,0.0148102125319501,0.115026004474103,-0.0909162973757382
stable,0.152054493866746,-0.194794805055427,-0.0034578577120624,0.24263739770299,-0.0467927684628553,-0.148213828567009,0.007941252049428,-0.123714142955856,-0.118618100503059,0.31268394454389,0.0033477838189826,0.0982069692727178,0.0101553193340179,-0.0374511937797027,-0.0083649474091268,-0.0088416743205524,-0.0028408645745361,0.0746298766864568,0.0446272762970739,0.127031957263464,-0.192461082546983,0.120151002016101,-0.0799023938828144,-0.0850402153942192,0.103329750323024,-0.0133789914962284,0.229211947893589,0.0343540843123694,0.137577660121117,-0.109960476862029,0.0603705168672359,0.077107096334867,-0.182538946065411,0.100671488087311,-0.23246882048104,-0.204920489110539,-0.00216393241426,0.0155268807519828,0.0541980230430456,-0.0314044827746288,-0.100112539988545,-0.230068919943761
stable,-0.0709333015779666,0.163544290359861,-0.0282098957437787,-0.070416310279457,-0.0574676833543128,-0.231619327326955,0.126436526381863,-0.183417836895073,-0.043640785397249,0.0356570452084903,-0.0198272124094021,-0.17005301571704,-0.0454029272969558,0.145852331494845,0.0862240146948739,0.0501067894259527,-0.0545513430262947,0.21061416234677,0.255451957820739,-0.170173231548332,-0.171283534489034,-0.131190064474204,0.059287088091765,-0.0948018794052252,0.100208972535304,-0.203713809758574,0.111066602683406,0.125186227544465,-0.0935661220770966,0.006672114116614,-0.032288382654243,0.041103698469378,0.0264431475274709,-0.0485189649976162,0.0849102209443288,0.1676619761214,-0.0238329014535844,0.0277619991942837,0.0070041301916177,-0.183635688574319,0.0377322359971968,-0.0356054725265461
