group,ARNT,ARNTL,ATF1,BACH1,BACH2,BHLHE40,E2F2,E2F4,E2F6,E2F8,EBF1,EGR1,ESR2,ESRRA,ETS2,ETV7,FOXO3,FOXP2,GATA3,GRHL2,GTF2B,HIF1A,HINFP,HSF2,JUND,KLF1,NFE2,NKX2-1,PAX6,PBX1,PBX3,PGR,PRDM1,RELA,RXRA,SP4,SPI1,STAT5B,TBX21,TFAP2A,TFDP1,VDR,ZBTB7B
progressive,0.146964688544779,-0.168178602666838,-0.0226881240382001,-0.0313328107573375,-0.0801906679667547,0.0486205127557981,-0.0582998207199367,0.0355197674919546,0.0999236864134167,-0.0673991390685415,0.0038760689291724,0.144591244008588,0.0609741244226861,-0.105579838744732,0.0820944379151494,-0.0469942018165637,-0.030769535539946,0.188250923395786,-0.115078631208935,0.0993620826358394,0.103838198458316,0.132189160587088,0.0685992328551503,-0.0013789378467301,0.0697174260908624,-0.238141730410391,0.176945304492413,-0.173166179072466,-0.0888537405238485,-0.090809325106484,-0.0457790650716269,-0.104324587444254,-0.227930904585331,-0.0353058231957346,-0.108058583989218,0.22607226351192,0.287751735536206,-0.0373667084866659,-0.146277726781135,0.0990612234692801,-0.0196310606179947,-0.113607764172423,0.166936722884874
progressive,0.020577420196727,0.0078863642230553,-0.21359880922695,0.321580859689066,-0.117396899528716,-0.298076159428339,-0.243078495694259,-0.05726723213813,-0.237804451021989,-0.234021837015238,0.281355461594414,0.0799567404823002,-0.148022177666642,-0.107911029954234,-0.294318248206938,0.16158091897574,0.169844000675386,0.24108374577723,0.31372228609953,-0.135871495122506,0.101803266276394,0.0459379172068888,0.185147376199842,-0.081133210634604,-0.185045477210273,-0.147892488043553,0.195951756942392,0.0022356020741942,-0.166567793768314,-0.219320591883693,0.130974167926826,-0.0448942245258424,0.107271845383298,-0.250751798393669,0.0130523342094185,-0.110896979133441,0.45341962510315,-0.126465909600413,-0.15501924161709,0.0324594599501792,0.372771206631044,-0.0424795272578591,-0.226280601656115
progressive,0.123556434997366,-0.398708556195859,-0.488199866915788,0.493236334482479,0.335274585077955,-0.142983366413212,0.48421290855743,0.415635618848216,0.0797809853508994,-0.354626545871616,0.471412569219741,-0.146596584692153,-0.396050318949452,0.476928753365712,-0.405428642920558,-0.551559741936263,0.481799379237942,-0.413896268612635,-0.111073866154769,0.0811861081255433,-0.332002987969243,0.0356816435360558,0.482938089971292,-0.370256926818957,-0.383818500204808,0.360742176986061,0.358612152691716,0.470256049982288,0.472190657745001,0.41174907183219,0.139386207588863,-0.158414037707396,0.194741080512692,-0.32224893636246,-0.503535056007169,-0.453859187838254,-0.232636305208327,0.413348895618212,-0.12932169969403,0.322578791199621,0.46811338483012,-0.477453627223254,-0.0123110824883533
progressive,0.0858817173679104,0.0013871375933862,-0.326932758021876,-0.0326573088705812,0.106516982365808,0.229441314148233,-0.179962675924055,0.146191999324703,0.159702043372474,0.0405290237632932,0.22548606005155,-0.0864641710677302,-0.124791952113912,0.141086246768623,0.0022533365779898,0.0209921633639143,0.170638429016854,0.0190984961019883,-0.153276210214138,0.0686098315367175,-0.148744044317729,0.0757882547277411,0.169099443360908,-0.281101244249186,-0.100792199569292,0.0436529928459613,-0.0884720014715809,-0.255070385320322,-0.107022957844338,0.0284687407799646,0.127184390384247,0.016686106991317,-0.0048003938609315,0.0166334589404294,-0.246350759713315,0.0121616997550384,0.136172243955776,0.105373688376532,-0.0897050742423698,-0.0410322282917769,0.100445830813452,-0.141888159712143,0.010950240394614
progressive,0.477826674837634,-0.54323235503706,-0.527229543942581,0.190572895606449,0.454519676106671,0.523378245006981,0.39728140571895,0.454519676106671,0.486990110236132,-0.450402770347926,0.449871556701636,0.328356435112855,0.0035856921124558,0.447414693587546,-0.478225085072352,0.0258302635508393,0.513882801079551,-0.0672649279614402,0.450402770347926,0.484267640298897,-0.521651800656539,-0.486525298295629,0.0347280921261927,-0.507375433912502,-0.503457733271115,0.443961804886662,0.451133189111574,-0.0620855949101151,0.19495540818834,0.468264829204419,-0.400203080773544,-0.466737589971336,-0.119921480649912,-0.454851684635602,-0.209962193696025,-0.188713647844435,0.361158877771247,-0.108433985548896,-0.458105368219127,0.504852169092625,0.509035476557157,-0.412288191226636,-0.499473630923942
stable,-0.122184239138758,-0.252080678855772,-0.257501045721236,-0.239394546651256,0.109085540340929,0.312501402327221,-0.0241418142902239,0.242572111863173,0.197969429545315,-0.181371358058693,0.229750062347701,0.210453567374836,-0.163106196557724,0.213867216971337,-0.216170506255533,-0.194729827156859,0.154356076937539,-0.210107354550186,0.190176099171514,-0.185607097090963,-0.133517894485599,-0.248061599543532,0.112902735960024,-0.228898144153541,-0.178616376147452,0.202226806879126,0.198569767895987,0.0499665460992465,0.0496654361281915,0.243960062253553,0.0255675625321447,0.1017958123815,0.191401457925254,-0.282533627534728,0.0858227612979464,-0.192328363072323,0.313205670934398,-0.240399648524864,-0.100741512425873,0.202643911428261,0.254105105220625,-0.202032449551733,-0.0024295219333371
stable,-0.192218875632701,-0.276092705797685,-0.30343844121032,0.0168395899612538,0.267200916909019,-0.334452155557096,0.305040719787153,0.136985881420259,0.280419826625814,-0.269778594171256,0.344177001230428,0.100826256074885,-0.178626277896318,0.158632955594475,-0.234588409578652,-0.109443047868876,-0.0877276398550692,-0.263070691568869,-0.0177793221111652,0.270690319984775,-0.295634968016014,0.212714042300981,0.0314310533421882,-0.154792926156739,-0.19343198367113,0.268178990584585,0.222201340741905,0.0886689121508314,0.121757202958634,0.213378169403908,0.296033257839061,0.088130590645823,0.157067599987907,-0.225759807200023,-0.0606716139830002,-0.142105528879086,0.125360657887656,0.314400348243076,0.12156383359405,0.312174796958517,-0.0520733039392194,-0.351680632345676,0.0022478833993955
stable,-0.0040526437522236,-0.108379783686713,-0.320913559764927,-0.0282975902396981,0.161830666923237,0.244102750207974,0.153067458208016,0.337654525495797,0.16721900268005,0.0581984350002175,0.230683051232371,0.0717787799801749,0.0284612445038429,0.289431282695996,-0.215457582673205,0.0373370903561163,-0.0994443644274527,-0.220915996088402,0.103127115514853,0.142968680777541,-0.169878748175942,0.105483273350635,0.311517531547669,-0.375058586619039,-0.231104947338973,0.191528010306329,0.245881026269687,-0.0612456295623302,0.0564974860098254,0.196611796746213,-0.190714621243297,0.0584087172911059,0.15523781901497,-0.225442021573796,0.0028833676928981,-0.137444184278434,0.259818885665169,0.202641434311354,-0.24363610007253,0.0682879903883856,0.0871100307893307,-0.115578105522369,0.191237096789924
stable,-0.2673146308925,-0.154627537757098,-0.282941639775699,0.135095318620458,0.286401933139922,-0.191327191167578,0.262884440060097,0.311468510350166,0.212129991407209,-0.145036026338853,0.363967635762193,0.0315099843478252,-0.195325156688247,0.26829959219564,-0.29994111822039,-0.236971678608933,0.311216220767823,-0.29681626206297,0.220912681639747,-0.205149386564676,-0.277775456062036,-0.0335216586856448,0.37477065907233,-0.319199223005928,-0.275792723265397,-0.135186887758948,0.278418337837448,0.287837979201713,-0.072875749596482,0.183661952818093,0.210798680512888,-0.226154540366826,-0.139713629470537,-0.290576394616644,-0.254947103778363,-0.135838428274139,0.170168433693996,-0.32525393575642,-0.245525564608119,0.246271758196516,0.363032847704625,-0.292685212898018,0.23061141909581
stable,0.0893467867025502,-0.249148206794404,-0.281362584625183,-0.0964977458196915,0.233258662933997,0.319427579660376,0.032752574091966,0.220016745950122,0.184843501055003,-0.0373847087537077,0.137786293015056,-0.316448635712623,-0.487248211334706,0.207104497211294,-0.0140626444594859,0.171468223130574,0.207794482470274,-0.489660638006988,0.0874191149254587,-0.259003337826871,-0.128280810121277,-0.304536836502385,0.256079581061063,-0.245812728433942,-0.160712057088841,0.296587069598771,0.0049455086245986,0.291061853089309,-0.0836923798128566,0.0160015670504714,0.198358056296258,-0.253425455869611,-0.006384836884827,-0.32719898236786,-0.250408491930078,0.0209597813355882,-0.266066133238584,0.319752689386002,0.285227918126186,-0.0093945265912384,0.380491857018764,-0.196198190997941,0.0020231097156403
