group,ATF1,ATF2,CLOCK,E2F6,E2F7,FOXH1,FOXM1,GATA4,GLIS1,GTF2B,HNF4G,KLF1,MAFF,MITF,MYOD1,MZF1,NFAT5,NFE2,NFYA,NFYB,NKX2-1,NR2F2,PPARG,RBPJ,RELA,RUNX1,RXRG,SP1,SPI1,STAT2,TCF4,TFAP4,ZBTB33
progressive,-0.234667756376645,0.225725880698522,-0.303509721616624,0.228649752899388,-0.0817685581280168,0.004714866706883,-0.0427792298324866,0.261180696070385,-0.0180785670292047,0.356100130676316,0.170771489859407,-0.208521528537885,-0.257705118980555,-0.265646722589961,-0.322884876990222,-0.238606634604687,-0.183814317308622,0.314928539422357,-0.116823919514991,-0.189968200625001,0.0265309478651899,0.379420712703937,-0.225131611040675,0.062054521709862,0.131237005100894,-0.20901593469951,-0.343689226334344,-0.232925875065491,0.386930120198546,-0.156196330730456,0.137204258276793,-0.154238351361903,0.342097958820771
progressive,-0.231533437367472,-0.118673653594695,-0.365364248460474,-0.132105385069969,-0.214989291174644,-0.180885686803454,0.105991319061124,-0.141061887228059,-0.446643599016584,0.225755828687894,-0.0990563755885138,-0.0357202469672012,-0.15970313615291,-0.0654997101142926,-0.100234862714578,0.0326773327724654,0.0755984382561068,0.0055872376822904,0.0437702205667802,0.172681603348928,-0.0813881339831314,0.16986532129382,-0.368827187553986,0.386969845771656,-0.223812835810819,-0.117247381995971,0.304034569715333,-0.0664757391956229,0.205446567215383,0.432299295459076,0.0930007648176593,0.232192181453324,-0.157705751562324
progressive,-0.171281507541954,-0.0162521078532631,0.0228816450077596,0.0736454509080813,-0.11811113770786,0.0679988775913936,-0.0256592999397252,-0.0673135392404096,0.138312663638662,0.0036377580906767,0.112706600713045,-0.0178089964970669,-0.0134073382172085,-0.116888489699023,0.0058762216441139,-0.0554623840217517,0.06573242344291,-0.0148705328523834,-0.0470480348066442,0.048990205758735,0.0135548964801706,0.0835237788086451,-0.0831898517937908,0.0169591643970423,-0.0747639770395466,-0.0254525458805163,0.129330818829867,0.120444941775517,-0.0101324385967701,0.0416559642113035,-0.0159041463383715,0.0461593922176895,0.0244375927912258
progressive,0.109455494633593,0.231311805107787,0.075502585461063,0.364929163061804,-0.313499170917336,-0.0998231510105172,0.091446648984523,-0.118704307869846,0.147744611584727,0.11795102333136,0.0232520807505329,0.373701869610967,0.113928913714379,0.198960245510123,-0.0819168005510289,-0.369681964191612,0.137751881649895,-0.367983629921227,-0.399326218055856,0.0860066892449917,-0.211989808723374,-0.0344890802449131,0.112367790746176,-0.102003102462055,0.174101855740067,-0.237534806053748,0.0525866448484063,0.372897888527096,-0.136856426364569,0.0868200381687709,0.39982601986742,0.0537339297124363,0.0229203490079075
progressive,0.105317626845361,0.350843778345843,-0.0199284425567768,-0.0233465896619844,-0.049788859721138,-0.356196725699282,0.420883547331796,-0.371933101051558,-0.370449754194581,0.197736585369183,-0.321241334547913,-0.185482850463721,-0.375673714864804,-0.120086602073522,-0.358969939388412,-0.143949138468368,-0.393989823881389,-0.133694697152745,0.169617488428229,0.405018185296304,-0.393280397123704,0.0772630232460147,0.0208958426808921,0.296862851420205,0.126535936234291,-0.151301379411645,0.431976402088319,0.111637974322914,0.0885493580273608,0.387862956428658,0.0633324614587533,0.461385365861427,0.47944350151158
stable,-0.139950359640811,-0.0996068265273389,-0.262424021381781,-0.101950469581244,0.0687019188307484,-0.0630912997839848,-0.164219586887661,0.167082486491916,-0.204192567765446,0.11037039162415,-0.0186411630296031,0.0299192030185895,-0.124145192820019,-0.111837730135435,-0.200011874695678,0.0784971193286538,0.0970780124469787,-0.0059351938000027,-0.235266094594811,-0.0598332040134505,0.0375153136674079,-0.0314537474727897,-0.108248964311131,0.052552367529993,0.003712300751431,-0.367569269172015,0.0856772782619726,-0.139504036514049,-0.0292409957432038,-0.0916950213476057,-0.100017418582027,0.0352817538429082,-0.0719262277198949
stable,0.0318146029325117,0.0120012476869255,-0.109959921274649,-0.0916282639813195,0.0140176910562896,-0.204594567900835,-0.0319786830394796,0.158803735445913,-0.0780938626921532,0.110372007981654,0.0611571271301262,-0.156749763969891,-0.0718382684769895,-0.0755712113215467,-0.16339320213653,-0.002924503139433,-0.0825349027106653,-0.0742396257959187,-0.0392287118755428,-0.0394405951643597,-0.0778892040655805,0.001863762173937,-0.100635611634255,0.163370444450461,0.0539745284750087,-0.130293773297916,0.0392832179384739,-0.0859302932803693,-0.0660067619355593,0.105604533640742,0.0559956277378191,0.108379365860684,-0.14413538328051
stable,0.0491040761894216,0.020819472571389,0.0295702695925718,-0.030964562852765,-0.0419707808175098,0.0501504178183497,0.0303565561128111,0.0483873704310694,-0.0352235988967847,0.0427527633730963,0.0032979129152172,-0.0362922494091632,-0.0657544894889494,0.0154580477142957,-0.0688372280824408,-0.0431060232274332,0.0469356431536759,-0.0649840080833518,-0.0661533713686061,-0.169136987727977,-0.0766043539822234,0.031514824733627,-0.015226805257866,-0.0379393288599649,0.1265507160542,0.0126812731857898,-0.0301498940767319,-0.0222875549144632,-0.0155516350345796,0.007230780171298,-0.0587988761244545,-0.0837201943863766,0.0338588356162927
stable,-0.0175460210569078,0.0609759792061391,-0.0677991218213473,-0.08471399677685,0.0309881119603991,0.0541058024263909,0.122691977785596,0.0222161833316138,-0.0641314819448133,0.0789462188173114,-0.0402416567679723,0.0358246590157173,0.0112057473464195,0.109742208173403,-0.0414853858501529,0.0203275281627754,0.157031928803476,-0.0305835953685206,0.0547952572257244,-0.0375567234430486,-0.0578447337968765,-0.0847421261682335,0.133012047898052,0.176506008953994,0.121890916494134,-0.198167120813531,0.0449073775598282,0.0092379426755102,0.185115083211612,0.0439891294516309,0.0653731611118324,0.0497974501776979,-0.101519429039561
stable,-0.404499202902603,0.0803084270550787,-0.231242706806705,0.147295454464167,-0.036286360993234,0.103301661104538,0.023528120529367,-0.0947186011198418,0.0955610909280784,0.111423729171936,0.366060077583507,-0.0965312668687247,-0.274134782724794,-0.0332367645224088,-0.0368821990129838,0.0201342029351276,0.0580790149378854,0.319731583223368,-0.0492130443420557,0.0190196342653076,-0.0458735608790305,0.193360865822519,-0.248757370445946,0.250511746695131,-0.0444916866609881,-0.0114101466173033,0.169293360883346,0.171773556146883,0.106629670256599,0.0323071617453319,0.0266592305052821,0.0658681443983455,-0.241349188109498
