group,ASCL1,ATF2,BACH1,BARX2,BHLHE40,CLOCK,E2F1,E2F4,EHF,ELK4,ETV1,FOSL1,GATA1,GTF2B,HOXA4,JUND,MECOM,MXI1,NFE2,NR2C2,NR2F2,OTX2,PGR,POU2F2,RBPJ,RFX2,SP2,SPIB,STAT1,STAT2,TBX21,TCF4,TEAD4,THAP1,TP63,ZNF143,ZNF263
progressive,0.211450262671893,0.428147697801529,0.01661899788549,0.101531740520915,-0.070916525950813,-0.121805565494185,0.186259326717972,0.0023361912354045,0.108936387999637,0.244984508744262,0.155236767983461,-0.289434934400395,-0.115592359444959,0.46107817287922,-0.0674388050214719,0.356105742716637,-0.0391340207910017,-0.0213493423717881,0.306622282048874,-0.16988666739831,0.233688355947846,0.0321045163569725,-0.131905446693146,-0.136402333061502,0.11948869493061,0.0374418519499195,-0.187159348014038,-0.306266459676011,-0.171937878724227,-0.134964553066177,-0.0542830375614507,0.365812770255062,0.382087216159589,0.192656079149579,0.248510531353177,-0.106110739744547,0.0531463380354717
progressive,0.240059731362404,-0.247764133878937,0.38194216574976,-0.35143859382968,-0.134865924952655,-0.361143867962503,0.0146939943958574,-0.156908411966185,0.379995129244223,0.0584649302768613,0.417458384648763,-0.177395662446873,0.124768850847136,0.225210213313263,0.299326206621576,0.0398050827222605,-0.372841041193156,0.175747709889959,-0.0067742514363152,0.0363536539551488,0.155401028865124,0.0602833606844903,-0.368193276631551,-0.4169290060597,0.511780489526059,-0.0391171896404271,-0.405306603816203,-0.000116642739963,-0.296123017531821,0.415894175597464,-0.367083675182159,0.127029925498728,-0.332267312722934,-0.278213870688265,0.116538060581026,0.0320558176134336,-0.170247556074779
progressive,-0.0704320779842337,0.0526872028262184,0.200946173518361,0.03804839153301,-0.0078138056819458,-0.140150112956203,-0.0195569394003573,-0.0886424986514388,0.0731880919062738,0.153466805988038,0.269467500907722,0.149851663073915,-0.0780574190698637,0.0675901589091668,0.135596442689443,0.0261262435597338,0.0677802502036013,-0.216332336404358,0.11277038230334,-0.0969425321472255,0.0161805338005966,-0.0574717093021938,-0.0460735130467478,0.0509150314186905,0.0724042557985383,-0.136589270774515,0.0222273580166312,-0.0919391960433864,0.140037328553311,-0.0266113869081623,-0.0773102224007049,0.0035822991044904,0.107761546410623,-0.206519086349167,-0.123703342896857,-0.0269244875650915,-0.05130435450175
progressive,-0.285855926138013,0.47665369026949,0.272705116276731,0.260851011488272,0.0420037282615009,-0.162694648622376,-0.231633309332856,0.434544956789102,-0.230642322579606,0.173030552954422,0.0371166103657837,0.0082379875630247,-0.128633033843597,0.054381218437852,0.100232403547649,0.259490865762371,0.0572458920656236,-0.104031733003954,-0.419554914890745,-0.0155117865797033,-0.0441317246505157,-0.360270718393907,-0.0345757028295815,-0.0958900002249097,-0.115214788815461,-0.41001147181999,-0.0979742444393881,-0.0452900634713672,-0.148628324508919,-0.121043672268075,0.0590616073088847,0.209755034455923,0.135390557200746,-0.136705310045565,-0.0531200620068399,-0.375277167357714,0.0933589369279783
progressive,0.0258810557889069,-0.0654601337880402,-0.0032193508420347,-0.0297947764204002,0.207048446311255,0.0895105783138293,-0.403933843885891,0.0303628971572298,-0.0774537937877775,-0.201114740837701,0.0511308663146698,0.230909517258101,-0.0061230790524974,-0.208942182100688,-0.0609782924197173,-0.216264627153159,0.0677326167353589,-0.0191267314732654,0.280841017572797,0.355769830307999,0.35507546051854,-0.0421040590517096,-0.0418515609464519,0.0900155745243446,0.320925091782446,-0.199221005048269,0.34074619304517,0.456642823358421,-0.0147080146312569,0.0250604369468196,-0.411066915359419,0.0368015988412994,0.114507890734335,-0.432908001464204,0.402986975991175,-0.139820825786412,-0.103776721260885
stable,-0.061026849782447,-0.0242858680236396,-0.0771679856357612,-0.129846067914556,0.185402165619285,-0.141821598220518,-0.309549196654717,0.15021469436964,0.0828663017239015,-0.0021850263806203,-0.0650106615468117,0.199273685121589,-0.10276198632384,0.0861357066537354,0.27052763222494,0.128625202444159,0.0179266895740091,-0.266042098451171,-0.0346634562048303,-0.178159142968992,-0.0055504509664357,0.0296630717287467,0.237601230804647,-0.152396013825203,0.07233945832411,-0.128359024631062,-0.171542075802573,-0.259736001108949,0.0378332890088366,0.0522075602219499,-0.072766218071258,-0.0860659958686421,-0.163365577343915,-0.287828572255357,0.175962172052078,-0.0849655024924461,-0.0913001225635762
stable,0.267849495792844,0.0454958456149968,0.013493052919637,0.069488434872509,0.128670162937416,-0.156036321409453,-0.109674914411945,-0.104404161620702,0.138296675816363,0.148898154383388,0.070755369106117,-0.233251716671041,-0.0767412572949524,0.0839538081938744,0.256092658801497,0.163896651608783,-0.0521929210128441,-0.176689493283662,-0.106400286803249,-0.190789856570757,0.13313915707361,0.0953079694318923,0.0792621757036243,-0.0216865312713931,0.175861321247009,-0.115997188267842,-0.126190187244324,-0.0927052050739459,0.0168660299058742,-0.0494555234243015,-0.0055910298488961,-0.0323062899515455,0.224714706430893,0.164697739071774,0.115612595218212,-0.033926468617454,-0.136998550892969
stable,0.218138943628279,-0.0300517395563152,0.0612777746294207,-0.014063354587687,0.145385643598112,-0.04920440238595,-0.0406744153809685,-0.069674378138391,0.10234064725139,-0.041914183612926,0.0605566042704194,-0.0214210817423655,0.0405623117009137,0.0720135719673726,0.260845451245106,0.0720210518581871,0.0129602600568773,-0.201415470022805,-0.0256482142152432,0.148631135083753,0.115808403697705,0.0095470391208841,0.101183583888121,0.14602737562302,0.0894951419751092,-0.159908490718997,-0.0818844950946313,0.149037226877465,0.293361814824788,-0.0341684252869766,-0.11464120934308,-0.0249560165978777,0.0876124818617563,-0.0667290291069509,0.126602572588658,0.0242230346391409,0.0358682778156456
stable,0.353546439512023,0.0484263423223932,0.251990117510147,0.0328358578194167,0.402906616715049,-0.222932955832718,-0.230198747058133,-0.168727287307401,0.0530188088603603,0.0308076573953384,0.136439168113803,0.078963854627263,-0.117464421535087,0.0689207939985192,0.36585660665514,0.0804821145040245,0.142293645790453,-0.357988047248441,0.173376784475578,-0.0014986938125958,-0.103796302836384,0.134097910663075,0.0925871714858599,-0.047537865135963,0.307136068823605,-0.219294223752006,-0.0256879076622715,0.0589290942882102,0.156290496601303,0.154392921889694,-0.0771929034786352,0.241060803111355,-0.0041843584609668,-0.0045652296872819,-0.003717774533108,-0.0026757704454691,0.0758306162611032
stable,0.204011317162766,0.138718702626027,0.204880776657894,0.117285159674876,0.0217773893705954,-0.214904551519745,-0.23674711439468,-0.0818803950721628,0.0562412283596286,0.18036070643573,0.133239723431589,0.154325824183746,0.126321893050321,0.169922428086282,0.227085794111443,0.169328135621198,0.218259054261703,-0.223384208748446,0.256255297185919,-0.0709145259682787,0.325393328267645,0.0778475485181448,0.131986953836458,-0.273889539464808,0.321682843350262,-0.186493128668845,0.0677816131410734,0.155455618118276,0.166825562949063,0.0911883401201476,-0.0960761731566067,-0.0107987552493097,0.0860739729720546,0.0608127226901987,0.260482046152157,0.0889901501868989,-0.206626168051341
