group,AHR,ATF2,BACH1,BCL11A,CEBPB,CLOCK,E2F1,E2F7,ESR2,ETV6,FOXA1,FOXM1,FOXP1,GMEB2,HIF1A,HNF1B,IRF2,IRF3,JUNB,KLF5,KLF9,MAFK,MAX,MNT,MYBL2,MYC,MYOD1,MZF1,NKX2-1,NR2C2,PBX1,PBX3,REST,RFX5,SOX17,SP2,SPDEF,STAT2,STAT5A,TBP,TFDP1,ZBTB7A,ZNF76
progressive,0.36088947266657,0.194292511688824,0.0653317309480129,0.264588919382695,0.146182506597388,-0.302772792706454,0.0555296355558819,-0.0888744793713482,0.491353187672107,0.310066775933335,0.1528208689821,0.228689248403396,-0.371836890954971,-0.351672120187724,0.363526453793426,0.439940915439526,-0.0956529867518063,0.0136133949316186,0.121357512006077,-0.180018663328976,0.409216944130715,-0.472394952557893,-0.0022036592434569,-0.351847704147912,-0.345190011418959,0.139903366443152,-0.39567764885202,-0.358097848785787,-0.198177910881235,0.173462454907288,-0.36793699400438,-0.0933091825126032,0.360253182168642,-0.356164814361702,-0.48868721102889,-0.429934240570846,-0.493961173282601,-0.197298380218276,0.360720332154462,0.1873722484506,0.0097167197050672,0.0223410453563624,-0.395196001108018
progressive,-0.0941318510834078,-0.192438809244143,0.287424727135244,0.106169134139566,0.0414356314645097,-0.351119660765405,0.220810491977742,-0.183020267619238,-0.22807749944947,0.358696155860826,0.0310945786535954,0.101488133831201,0.275905240680265,0.0299816135453128,-0.209790947068731,0.051377921375665,0.196747829235569,-0.159897971118287,-0.0147006621254437,0.140721641819429,-0.0477087075293751,-0.152333379393009,-0.0278152001794579,0.266936051278223,-0.0421260269327491,0.0611059506242633,0.11128163161558,-0.255824255250611,0.0524135145780242,0.121253679952091,-0.22623247707745,-0.012564007184944,0.326060090773834,0.203038760355647,0.121929196207653,-0.20481533834935,-0.0529491662344169,0.233261417146337,0.173304141740782,0.19132584413586,0.326702872761505,-0.0502828113225955,0.195887810742805
progressive,0.070534494341463,0.100228359292955,0.20182176598273,0.232239769570853,-0.0113152371930287,-0.18024842716222,-0.098126553287542,-0.229364274118647,-0.110502332664317,0.250452556961556,0.0528047499266973,0.072337137330524,0.0140018201814931,-0.0804818969046012,-0.183446467419324,0.106522163838064,-0.125038837056713,-0.0539195657321987,0.0308394951670632,-0.0306166713676165,-0.0802407238207664,0.187092400546407,0.0620688932715877,-0.165093311874209,-0.354646452107139,0.113379066886777,-0.172449361912162,0.0757790604813935,0.0228636728863817,-0.192864760237702,-0.0181719853954605,-0.0032781732079127,-0.0756892496379751,0.0610061058167562,0.0620047094877999,0.0645836743104439,0.0245577686319318,-0.31122910316561,0.190861204198063,0.135526807989461,0.17885775270577,0.176125799756751,-0.106107872611226
progressive,0.0627468979297816,0.387521170983419,0.364810509407572,-0.41213386687252,-0.0124704107087758,-0.158144473443949,-0.233002484628853,-0.411619803544614,-0.0901847546188444,0.0425031934520044,0.0413410822054075,0.173982545826392,0.100346802234968,0.0961446079672739,-0.129173176785259,0.0205439393363098,0.0808791146319774,-0.0975539071119705,0.193254998739955,0.0421170990801938,-0.0415609263094696,-0.0753748088922138,0.036151230097076,-0.258040649953178,-0.0799188005853778,-0.0726683201583748,-0.188847726016979,-0.257593305482723,-0.400026034872683,-0.189800930677129,0.0791389555794262,-0.0464237466411117,0.133169745721791,0.0587557977520573,-0.304971350535746,0.0109850958166548,0.163560732166912,0.017275809072939,-0.0565885286366393,0.154352982962699,-0.143341090227887,-0.379074126129332,0.204506969986417
progressive,0.274801550891464,0.120398846311751,-0.0141053041704143,0.0837502435118349,-0.452755075827137,0.296022477254989,-0.414091429574305,0.25446220603859,-0.176001451590661,0.336701166960738,-0.39009981846302,0.404708883496664,-0.125121604404523,-0.162966639254608,-0.160384864830559,0.124995664188716,-0.356725661274094,0.398789693353722,-0.0194577633422233,-0.368878892099495,0.0763827408871096,-0.307671947217162,-0.361070598719444,0.388777446197044,0.277068474775995,0.373034919221135,0.0524540998837282,-0.380150541414246,-0.373223829544846,0.402693840043747,0.138030476524768,-0.331348707788929,-0.120650726743365,0.18777686176864,-0.244827779529334,0.104089588364709,0.230407624819401,0.392555652671262,0.213909456548649,0.389721997815599,0.0516354884809809,0.2217177499287,0.327759411638421
stable,-0.0339983251015153,-0.130654596908575,0.0812216741789094,0.0017410339510027,-0.0107128657249766,-0.200102220404954,-0.176099597906299,-0.0300593137398848,0.0238400689602319,0.216512654652159,0.0836446186774305,-0.10706108981512,0.0838068629827429,-0.0931642569066664,0.0744648791754929,-0.179170231154776,0.274402329871398,0.0650344031597863,-0.0328049429892193,-0.163199732546117,0.0507487611537223,0.230357278703789,0.150215704241027,-0.0278153121346434,-0.135394728181824,0.138897927013048,-0.0875197218628897,0.149384897950799,0.0076301208463383,-0.165351531145576,-0.0069006399386537,0.193777269440359,0.047534128353453,0.135240627015089,-0.0803737569899008,-0.126946582680493,0.0481717154884655,-0.0398608694881991,0.0456879551448781,0.212078354925201,0.0226053526888316,0.181673112412363,-0.12170539069052
stable,0.118139965799606,-0.0476692316406694,0.11648894350965,-0.0070266888705967,0.0404590739949576,-0.0602339317820663,0.0007867836558907,-0.10482754385774,-0.0688675065863405,0.272773106158161,0.078921115548607,-0.136381891618992,0.082464965994862,-0.122558911951523,0.195540383254646,-0.076403179693904,0.0677074914256704,0.0509857523160433,-0.0296545175805161,-0.153170543332923,-0.0106219923952931,-0.0491803314535482,-0.129788030135314,-0.0755866177655514,0.109594585033455,0.103257595569824,-0.0479558425959626,-0.0240406248201797,0.0628935996257786,-0.195862279692632,-0.0484165600689786,0.095083597459304,-0.0876188100148532,0.273812238054266,-0.121820552408446,-0.0313648997293152,0.0927579025788693,-0.0474451668587108,0.0614826523646671,0.0950921336351617,0.133318977974743,0.0342110259765534,-0.139295009144966
stable,-0.129368481126866,-0.104758603103532,0.0133759253195065,0.0605670822762298,-0.013401001265057,0.108269589994432,0.0839927895400356,-0.118086810860299,0.160631331294036,0.279005629243568,-0.0461336658090242,-0.0486612076760796,0.100336279303655,-0.089600253103934,0.117109699817046,0.117989981313721,0.233270838772013,0.0727006729323446,-0.0317599967408305,-0.0338949499824963,-0.266162018270557,0.0443770261021613,-0.0862921190317516,0.0944768036686875,-0.119787248306541,0.0010819998711069,-0.0048445734164691,-0.129574619107159,-0.0195856369932223,0.0616013409503416,0.125193773426453,0.0813900198363289,0.0322589631521978,0.193445132238639,0.0472727896767338,0.0037662841235444,-0.0350479471584416,-0.0047855823136473,-0.216917162644084,-0.125490761486573,-0.0273837833742888,-0.0192447364855696,-0.0077580154144834
stable,-0.210051176437315,-0.099283579835107,0.129718530965064,0.0046866527552801,0.0788601389517826,-0.206677840308399,-0.241435930957796,-0.0988857162659724,-0.0145373056159004,0.270747214874338,0.0299640514152728,-0.0126714933375109,-0.169001527654712,-0.170973503584547,-0.113091635656785,0.114480322917369,-0.0563029754235936,0.178156169393132,-0.0278388885622001,-0.156151279184715,0.079782261976642,-0.0383483118924185,0.132767262002649,0.139038365568456,-0.0034976198590901,-0.0345790020185295,0.122453824554628,0.0045639253508865,-0.0201116198966179,-0.0367810918316025,-0.114758127069162,0.0095808526699832,0.113913153336557,0.0494732620687667,-0.206983547158111,0.0439168455345232,-0.0096322114207348,0.0620584904915951,-0.0215817919284161,0.0938503353697658,0.133804664301382,-0.0374864409084841,-0.0471770145459823
stable,-0.225119815316309,0.0640385141756834,0.121629979694443,0.0097200080283445,0.172493066220897,-0.134230432853119,-0.1823327070532,-0.127476886929854,-0.0129830803911732,0.250120554650629,0.0723837786003075,0.0209974895555624,0.0793655346582473,-0.120282739950986,0.0510302668535496,0.331325162788819,0.117835615442657,0.0783082539122151,-0.041213096495318,0.0135008001137904,0.0689487621698805,0.0865224705320517,-0.178924834955452,0.0151202022392059,-0.160444128377842,0.0596448174394517,-0.135387752149719,-0.0764222620824102,-0.0600953055036456,0.13574026894696,0.0365313282814843,0.136192734412872,-0.114445360196581,-0.0229093673714981,-0.0343105263880078,0.044283821600091,-0.0446291478456284,0.0038224972853233,-0.122677193668091,0.0996370481374939,0.0207513929235266,-0.0459169756556386,0.0202791534404311
