group,AHR,ARNT,BACH2,CEBPA,CEBPB,CTCF,E2F1,E2F2,E2F6,EHF,ESR2,ETV6,ETV7,FOXA1,FOXG1,FOXK1,FOXP1,FOXP2,FOXP3,IRF1,JUN,JUND,KLF1,KLF5,KLF9,MAFF,MYB,MYC,NFYA,NR3C1,ONECUT1,PBX3,RUNX3,SIX5,SMAD3,SP1,SP4,STAT4,TBP,TCF21,TCF3,TFAP2A,ZBTB7A,ZNF263
progressive,0.563435532921273,0.402851788376877,-0.430218761217,-0.0177292868735043,0.249073352660981,-0.121244117112605,0.223833830881537,-0.562342501475355,-0.029171266777661,0.157828988479973,0.32259001407203,0.148804350585195,-0.436748436028704,0.101777068650445,0.250804777835458,0.143009699818283,-0.474496039397962,-0.0566713043155483,0.268933258802254,-0.0723650181339728,-0.111497128001394,0.442017164418739,-0.332378189875406,-0.126916791906566,0.0564606185440887,-0.367901711867752,0.132711442673478,-0.0756504488859071,0.0689797888587156,-0.243319888586234,-0.511421493027464,0.0433109750186277,0.143860363421845,0.190296774734382,-0.477962057954004,-0.520865918361616,0.318217888288357,-0.0335465607684239,-0.144525686910665,-0.192992918967647,0.0870369851659954,-0.0176976048026081,0.0403249398366624,0.214699889842167
progressive,-0.0787903024846654,0.0565312640526387,-0.233129812963234,-0.0751381996345677,0.120396091545426,0.0416468898966936,0.313220663327798,-0.200448776848051,-0.26784534045713,0.242817867147577,-0.0588475897348953,0.154906114859653,0.0011566949541306,0.0839161638803814,0.0843418511096935,0.122956086469288,0.0207441790504749,-0.0219449106145344,0.223691299568488,0.0823044239569862,0.0153071256112619,0.285897414753956,-0.175776532191924,0.0857627657233971,0.156215470061537,-0.216965441345358,0.0014209146137036,0.165724442032169,0.0812622241886705,-0.0924416515626032,0.153637860493703,-0.131924876024794,0.0796769062312326,-0.0484226562777432,0.023894264547384,0.0877414773961993,0.106289697498223,0.0413268905312108,0.0267390295487865,0.0075214529758444,0.0374957054674025,-0.120760127520837,-0.0307992049842248,-0.12935900955294
progressive,0.495192989397793,0.493213752901358,-0.500105993724459,0.164265985286393,-0.321701388444365,0.469601361902231,-0.0481249533237932,-0.20252531937741,-0.421013626242411,0.350325924260742,0.283603537790464,0.281779854548426,-0.142281809583531,0.612101371798626,0.343351041019493,0.369382262316091,0.44239011027255,-0.0926704331528431,0.502010038545137,0.0941498616852492,0.0359204092042833,0.422370193553358,-0.270758685993277,-0.438937603510378,0.0080239933866145,-0.401528490359693,0.659229218117819,0.46327743025636,0.25367960770679,-0.35754485732927,-0.320028012525857,0.0353840317801544,-0.249647083457917,0.249839662340315,-0.365871594146484,-0.173101881509616,0.328019009767599,-0.0613188495935779,0.383049584839604,0.32522604576295,0.535478621307077,-0.364394446453585,0.424803393139725,-0.507331237115624
progressive,0.0030285408274765,-0.158660355239347,-0.312538376571498,0.291453345141168,0.136372568184593,0.0185106364034346,-0.456178360153714,-0.168186049874187,0.219171629431234,0.0228648066297477,-0.0835942223682786,-0.047109913368533,-0.175956868840989,-0.122501364030006,-0.16028748548553,0.102147079716225,0.436606245901721,0.513059174411752,0.154106447467843,0.203982915290216,0.182760395143143,0.413506517606357,0.355140933466323,-0.121518915128867,0.269886561908076,0.131524737683988,-0.149803700186769,0.161068031664836,-0.200226875111153,-0.0135615838948344,0.0082038542951269,-0.42197181698096,-0.235160376341332,0.139532643493048,-0.135582278710399,0.385888606954076,-0.0327374708214091,0.150249726574944,0.192372155549488,-0.0843525754870087,-0.0293473454947807,0.312182746308111,-0.42455216624362,-0.138711500251711
progressive,0.239100382078899,-0.241885657044871,-0.0545294943338105,-0.0791637040328532,-0.148795578182157,0.305513716267524,-0.0350944645712492,-0.086343523945137,0.0190017647678545,0.119271663542852,0.186984792715598,0.1889654326914,-0.034104144583348,-0.232910882154516,0.195464407612002,0.416367659913216,-0.245351777002525,0.248632211962448,-0.140934913278191,0.262929956787772,-0.002475799969753,0.279951081579824,-0.178257597822218,-0.224059897262649,-0.0432027094721904,-0.129546233417327,-0.110111203654766,0.0475353594192582,-0.159874783046802,-0.0008046349901697,0.0219727247315582,0.0131836348389349,0.294434511402879,0.265900916751476,-0.261073106810457,0.0077368749054782,0.214404277380613,-0.0873338439330382,0.0674036541765263,0.26645797174467,0.314302806160147,-0.15758466807478,-0.193793242632419,-0.116610178575368
stable,0.487665621189739,0.673075289040241,-0.419094666376545,0.644051888071163,-0.639277482520445,0.0999983332927471,-0.0556359039091582,-0.169290777236325,-0.639589507638208,0.46909415898937,0.614459399825266,0.516512097598311,0.591460460676668,0.596993716128057,0.548437352222053,0.593325991756828,0.534813709724961,0.607985204598149,0.390928757771436,-0.382074054618402,0.330575768258459,0.597833054668074,-0.570293101948519,-0.588551937246905,0.546783097551589,-0.629230394085342,0.281318877372381,0.603281508693212,0.0733256017820413,-0.60678755370416,-0.399737474580371,0.123806070432228,0.32096522412585,0.57169144787968,-0.565646174354945,-0.619156626549844,0.610984095958192,0.021181600954675,0.406284034359871,-0.595136359283543,0.512312847315292,-0.412955915703062,0.562763427349248,-0.608335743905954
stable,0.476281748770805,0.3103753650649,-0.494266047634873,0.265661053404497,-0.213223579993463,0.608386363254848,-0.502970634378863,-0.418875131980658,-0.278989345981826,0.474745819812537,0.376739151977463,0.303959909140588,-0.0962693813964313,0.505073054701808,0.191497978971061,0.440188921494574,0.320844180988494,-0.0254923426786389,0.430207503223993,-0.264755831270766,0.516623588912012,0.507485335818156,-0.37332293576658,-0.464782479003346,0.42912239300433,-0.346010859549275,0.50105226496878,0.552084591567586,0.0067504478580676,-0.305181930112605,-0.472922848519593,-0.189012038944875,-0.4144185944843,0.276829879512068,-0.276090052659403,-0.467854683822125,0.289331157139373,0.0421701306018956,0.370772317744209,-0.409030470283655,0.436676189370434,-0.292519882567489,0.354896991801031,-0.441064695482247
stable,0.433605138844032,0.564672940824167,-0.436189626647481,0.169351890987726,-0.578186641509325,0.471621674205446,-0.249694844697808,-0.481644259673056,-0.381464853677975,0.479407143298982,0.538124561697037,-0.0132963162362388,-0.21047020456282,0.539506606382061,0.413151612365404,0.311330488138738,0.531540403390896,0.58269281061427,0.359585768650465,-0.488750769215867,-0.467288936618427,0.555817857974636,-0.430296952859783,-0.610748969388321,-0.244120956758184,-0.47449247999785,0.220931672294049,0.602876426349475,0.277730205554987,-0.110931305081046,-0.617652075304112,0.635805929896471,0.620792214120025,0.496153048245412,-0.450421849143016,-0.527879854477221,0.473344319442464,-0.350643195897287,0.223743319567347,-0.500593727021003,0.662094566150651,-0.464935837194591,0.491190803932233,-0.511604167322499
stable,0.0135371000087047,0.284870357799285,-0.614512261824934,-0.597625717896026,0.0701967122066265,0.578207825084749,-0.409632789941616,-0.603838059060126,-0.62483771838149,0.644761968046945,0.606601143484745,0.605896684851846,0.222247773214761,0.646027860182392,0.60221242715618,0.606853886523309,-0.578244180026558,0.637855399880276,0.626531053201021,-0.498939248731192,0.662738180605944,0.635612822436888,0.654523161075543,-0.53472252540736,0.633631913496819,-0.468032650072601,0.490212647684316,0.063256292582165,0.627140597135544,-0.597417166792714,0.45159716865524,-0.560731112010665,-0.529560341364737,0.640412001297075,-0.61736764861678,-0.630288020780305,0.721034309420929,0.635157406040094,0.630284537672108,-0.600615639741992,-0.0024651698266205,-0.610435392527156,-0.610376615076327,-0.52872700772854
stable,0.255239711470463,0.0355457466478928,-0.350968558961261,-0.178574842343635,0.445505610406037,0.276541270388713,-0.316823448036216,-0.399447033039133,-0.239550564660401,0.336341234136749,0.196835801308906,0.510031607228845,-0.262622326223274,0.405002168442706,0.361530735764247,0.360366080064412,0.396527507227909,0.152220685016301,0.446164997453163,-0.0845462317998234,0.110479625643257,0.361999964152052,-0.296306668089195,-0.161874012694062,-0.218433789203039,-0.462354742661558,-0.364476696977601,0.0481369286823545,0.442818099307506,0.211462068717333,-0.127246455680147,-0.184914844836444,0.353062859635997,0.253366058285504,-0.496286167419386,-0.0758800901555992,0.45762095520216,-0.138916628304403,-0.188948446611428,-0.391414459865955,0.442315738549031,-0.0740342822608839,-0.318677715259613,-0.348512621985388
