group,ARNTL,ASCL1,ASCL2,ATF2,ATF3,BATF,CEBPA,CLOCK,CTCF,DUX4,E2F1,E2F6,E2F7,ELF1,ETV6,FOS,FOXA1,FOXG1,FOXM1,FOXP1,GATA3,GLIS1,GMEB1,GMEB2,HEY1,HNF1B,HOXA4,HSF1,IRF1,JUND,KLF1,KLF4,KLF5,KMT2A,MAFF,MEF2A,MXI1,MYC,MYOD1,NANOG,NFAT5,NKX2-1,NR2F2,PBX3,POU2F1,RBPJ,RFX2,RUNX1,RXRG,SOX17,SP4,SREBF1,STAT2,STAT5A,TBX21,TCF12,TEAD4,TFDP1,TP63,ZBTB33,ZNF384,ZNF76
progressive,0.0863472044053304,0.224859229907697,-0.104880945032967,0.0217788730816468,0.117777895409877,-0.0636344918210684,-0.0855451632490395,-0.183183628421792,0.0003198520843725,-0.0981929826054586,-0.131076670013386,0.0575974846406503,-0.196294349287253,-0.169026557270268,0.189614423344277,0.225989159632893,0.361381421839948,0.0041420041277788,0.0237751358393888,-0.108090716955037,-0.391788264715121,0.028476479290593,0.3327152815144,-0.161798543082212,0.0364309916803399,0.305744839425099,-0.111898403326285,0.324183749535258,-0.115498748396609,0.127063249638118,-0.37899418134022,0.363822905840761,-0.0780873056033686,0.0119341795299799,-0.214093555228666,-0.318079235884771,-0.0228863006501526,0.329815717895264,-0.333560719687164,0.205798295894764,-0.135321541143174,-0.0342209584340473,0.268682180060546,0.0665099459866083,0.0239149706702452,0.176211174441852,0.118033455617993,-0.231720780401096,0.03081831088321,-0.193822326645218,0.176604962183919,0.101422042090405,-0.119553958491443,0.164649887794156,-0.215249201704364,-0.111568907460474,0.310404393156737,-0.0383002779824768,0.242107133010218,-0.135700863213083,-0.0081939996287996,-0.413350152714404
progressive,-0.091292701004148,0.0291865473817769,0.0547803989178281,-0.284677095679231,0.0253400035336516,-0.12864419472193,-0.0081111902884381,-0.315291164768619,0.193005115895027,-0.0650716955798155,-0.0105929278177799,0.0556315363376384,-0.191099762653486,-0.193049912601333,0.345284052863901,-0.339845732718376,0.171425049243976,-0.0992635282794946,0.0107900333255254,0.405078696440892,0.130660046505691,-0.470908949580819,0.0128148444505479,0.171454913714846,-0.371125779508177,-0.155208641561274,0.141650171786049,0.245584503309696,0.357919710489225,-0.0899756778387573,-0.177054502003072,0.180865208486153,0.070372639159336,0.247427141162408,-0.368921781557932,-0.238243816369718,0.123146145634664,0.208716814020017,-0.144929290687634,-0.30256890017777,0.300600831547402,0.0448564352475483,0.213581736324828,-0.0221893018568098,0.380867569906147,0.269723955114352,-0.274588877419163,-0.111137641897621,0.159425504848194,0.11557848871607,-0.243927025176381,-0.0726333796042358,0.31411450461632,0.128909988512678,-0.307299432363663,-0.217864301447663,-0.201017753429592,0.354046288617317,0.276309070941306,-0.337417751236601,-0.0808192310698503,0.0882136740573955
progressive,-0.0522464259862997,0.0057948242183806,-0.159499493589165,0.144472716374367,-0.20721940058447,0.25564902438636,-0.108167016129976,-0.196577507739668,0.209230149092176,0.0750505261880646,0.003564638529476,-0.208185526225365,-0.229102914342282,-0.0153556628388182,0.243042462526351,0.16235186820443,0.0293285549772583,-0.0036282390350362,0.104866582127845,0.0477128831530644,-0.0265874812467236,-0.0783312779949065,0.0909288092006065,-0.0280928218534484,-0.324977203145754,0.0278855027297412,0.0086385541047346,0.0934403345045197,-0.0078016362870287,0.102715588330573,-0.133974001852154,0.0287397100052692,-0.0308925562444513,-0.15607618094037,-0.112136181661444,-0.0653452742837639,-0.13469244057273,0.108451829073565,-0.216372933540052,-0.0448474642593531,0.0257059504530301,-0.0081695003762279,-0.0662552091867367,0.122631422855076,-0.0347518874077003,0.131701518739649,-0.103867807198295,-0.0994130703312939,0.161391454259423,0.113284309719949,-0.0064176306253776,0.0173377756820061,-0.114418004168576,0.267990609868228,-0.149516066658118,0.118677076858884,0.166564321106682,0.0274651527864389,-0.164933477560587,0.143869823717897,0.128622297175547,-0.0669041813357057
progressive,0.32061779794299,-0.0519080599001474,0.0346931644070882,0.366795027056557,-0.0580334044002964,0.328967609656351,0.12595533328045,-0.0196950862768394,-0.217045926937661,-0.0319594357242831,-0.249614072186758,0.36087513568148,-0.51539555677944,0.0175482104034152,-0.0329107492635123,-0.186097910720048,-0.0582000618554744,-0.0614381342469002,0.210716222148212,0.0936778823466139,0.124576174536616,0.147698940211264,-0.212140733576569,-0.016789235959998,-0.038357442749461,0.170863233645235,0.102167577038747,0.0201442417789913,0.0789098461462993,0.319005865179793,0.280315653937862,0.0278673121773058,-0.0676099242673447,-0.0668531354954708,0.201480667041921,-0.0378886162034193,-0.116283190283381,0.0010906501001157,-0.0934817183256011,0.23575964669155,0.0980224509568444,-0.308806975340785,0.108958458523837,-0.221966966417442,-0.0032462686597132,-0.11502424347443,-0.155855319993041,-0.046428581341049,0.0966416529593532,-0.199288438483973,0.329665931714441,0.0118004406623744,0.096331287600202,-0.0750264542317088,-0.162893182362526,0.0899835510205204,0.0443838856122749,-0.115345537191298,0.0682705434913126,0.0208212535395341,-0.113724861741928,-0.0240817290642789
progressive,-0.119001417138472,0.152484705610893,-0.102259772902261,0.0621832500202117,-0.249508674717274,-0.0239166346231584,-0.346726562482761,0.252546733709945,-0.138005445730927,0.407552381889225,-0.0785370569382092,-0.107560216251177,0.24679381348978,0.308977063509992,0.237550357405694,-0.131282932215229,-0.182412818666359,-0.339810130307955,0.406518149040656,0.0782138591730314,-0.0321904974117104,-0.411495394624395,-0.148670971981795,-0.385316375644992,-0.215120432502354,0.0917881653104996,0.0069164321748052,-0.0782784987260669,0.0089202583189077,0.0367799056772354,-0.0453769662309653,0.0965068526820957,-0.0107301658039035,-0.191914832962587,-0.224687086351617,-0.0816397554839162,0.069681438172337,0.262048748006173,-0.32196961367014,0.394301273516935,0.0186808308272777,-0.269417657052227,0.30419373658536,-0.142788772655559,-0.036392068359022,0.333992570534755,0.0979935624019137,-0.244014312709251,0.401864101222096,0.274459542189001,0.0748526024151821,0.307231795578031,0.343623863937054,0.457324837726609,-0.238584590254263,0.199994777092032,-0.0687118448768036,-0.0920467235226419,0.340779723603489,-0.0101484098265834,-0.32720541746602,-0.0049772455837383
stable,0.0532658408531764,-0.0392557628484708,-0.183463958789755,-0.0291689906433852,-0.0952178177800994,-0.132177095513915,0.0452112816386895,-0.195749755144984,0.11442169509803,0.0355390145711016,-0.239883302832209,-0.12107421681353,0.0818083629196056,0.0156345303830845,0.21173973745569,0.0350534602360201,0.0804316560041057,0.0027377109286352,-0.0675096604209474,0.144617449616352,-0.0953401459637654,-0.035969428550667,0.210920457831668,-0.0531871204016506,0.199727480511159,-0.144412436641875,0.265713599008267,0.0460831273719384,0.162172573670932,0.133998529218349,-0.0312760627160758,0.142850075083993,-0.176987772945069,-0.108268989042053,-0.132302358338351,-0.116270982147313,-0.235209655724194,0.136397932699649,-0.193424850351295,0.0081654062597026,0.11801395282485,-0.024614479653637,0.108774056164007,0.102395640193388,0.0280801874328769,0.283821465226079,-0.123600427667039,-0.221162096693516,0.115149588978783,-0.147359124884272,0.121465193339944,-0.133641378288176,-0.0548920952039578,0.0049689131573943,-0.0326172450327838,0.110861203570419,-0.175518032768675,-0.0621648558203943,0.166513576673449,-0.143046747500493,0.0070908128887111,-0.179459100867691
stable,0.034803195740775,0.20750615448352,-0.0887381640316911,0.0032436445872888,-0.0364635888075349,0.146805242861233,0.0261151290965025,-0.061624445490814,0.108057004831443,-0.059490891368549,-0.0019073640884945,0.0488603140027288,-0.175376503688628,0.0533065401946553,0.218966003471324,0.205673452391557,-0.0065954447710281,-0.0239786231293564,-0.154824067234019,0.0299848009462154,-0.0845636650005704,-0.202015014561549,0.125673142787802,-0.167158921760501,0.160564618369494,-0.158888639561761,0.236302896901914,-0.0300332112022686,-0.0532534463447238,0.0876234293307207,-0.103496443847781,0.130270621511446,0.0056878902227924,0.0523089740565062,-0.0351406506476041,0.0590932975420051,-0.0894677420125509,0.0796625791914029,-0.16001931422509,-0.0119794524027747,0.0027355336883893,0.102000094640557,0.0780516984027851,0.042451780049584,0.0283064213046455,0.0326096601305223,-0.0777045614447454,-0.0981760779916748,-0.050465920828492,-0.0292610872971865,-0.101684011090669,-0.136160575355846,0.0351635569638829,0.130553211461415,0.0301854476822797,-0.0144618358741446,0.131013463115306,0.140025012600636,0.105702219774808,-0.0821684199900961,-0.0489938161072266,-0.190256163366236
stable,0.206858479318487,0.319629697861705,-0.0342926229196927,0.133736819173886,-0.178417320295539,-0.0089293965121272,0.0235845505314739,-0.103096069405588,0.201891957289725,0.203218886877564,-0.0416819570530406,-0.0584052911442692,-0.0135743336407778,0.285953703321908,0.272313157558839,0.0028665676810352,0.167846433578995,0.0660083002112469,0.147350281373938,0.0548286579695038,-0.153831903646376,-0.0951188875976902,0.108267073513692,-0.110401206422231,0.0295164872603656,-0.0671229220078879,0.332309166066154,-0.126495937851569,-0.062542099145037,0.164698258128288,-0.157359720407733,0.289667097882765,-0.267750555404614,-0.189957864568039,-0.204430080787065,-0.108010215736333,-0.218084439402986,0.230674949063638,-0.196703911044057,0.172626246380037,-0.148882235183808,-0.212729955351873,0.1271249176562,0.115173759225528,0.0217038339727918,0.119071435157717,-0.163423350667148,-0.282034813110595,0.0827736857179852,-0.222904747905736,0.151047435225554,-0.0599290185281225,0.0826552393262048,0.079684085249084,-0.0895240221926712,0.114952777151311,-0.0744445825908275,-0.0278532642055558,0.162821265854163,0.0515223182822103,0.190213567345757,-0.134756660285681
stable,-0.22590652259756,0.167023428286257,-0.329039615237611,0.0823197547487225,-0.158112337852161,0.250887576339602,-0.300010491925781,-0.234590663162354,0.329092989043228,-0.0753876093533172,-0.414980893892896,-0.20266501013693,0.0806467083334765,-0.0777933224460893,0.349862738326635,-0.270054109936779,0.229768895801971,0.151245575368637,0.108225732063941,-0.178986610838236,-0.174329190320983,-0.190178430703616,0.104417844619431,-0.200272418104705,0.234589884794355,0.140698577792371,0.22949213038076,0.112808095667044,-0.0060061098679449,0.256517400877945,0.198091875754381,0.085914925338762,-0.315542602946704,0.157190638946407,-0.243661430231588,0.0006397072994091,-0.345354319683398,0.0526364687317957,-0.0605556959448361,0.0612039652922297,0.227427453666797,-0.149350694073794,0.0150739858560413,-0.193102870469731,-0.208860152233102,0.235660807964981,-0.329171604211085,-0.38726087435926,0.0432959415533375,-0.305198648222641,0.196807234970429,-0.161418511523869,-0.0540252996321295,-0.0593193139767967,0.0871300689799829,0.337173560822833,-0.196518460442954,0.0700247650384893,-0.0784676115237213,-0.133749864278139,0.0216404094875396,-0.0124534431956596
stable,0.0376707910719949,0.0984655823411163,0.0942703353051,0.124892625681081,-0.304071810966149,0.140850573721671,-0.244689615901287,-0.254180075055332,0.131070598001886,0.183911913214797,-0.102249174415532,0.135325025497753,-0.156932279076477,-0.115545170981689,0.190800590693252,0.0053400021925049,-0.061367978306543,-0.0782300023082445,0.0109635849167831,0.087238653371992,-0.135909455023748,0.115796822845913,0.0617359224725703,0.0909859996632476,0.10941639579088,0.174573722325989,0.262242648220658,-0.0195055377948753,0.303751175192038,0.154276353575918,-0.102932627780881,-0.320406247464082,0.171120389595902,-0.3201697055045,-0.12871678065427,0.100904123082621,-0.102032059476205,0.207533191166498,-0.143724873320278,0.0866782378015896,0.170403748404285,-0.069689218648964,0.185210915314511,0.300805193486288,0.0328691691722886,0.164849149589893,-0.0986050791393339,-0.170685440197978,0.12765926720911,-0.102285779958327,0.0341337242870145,-0.0908041411680857,-0.0160655161712597,-0.163665450452986,0.115629444676034,0.0973564433884278,0.0501013858377321,0.0306124869259453,0.260182394734668,-0.1983082346226,-0.0141059953828861,0.0517082522445381
