group,ARID3A,ATF2,BACH1,BACH2,BARX2,CEBPD,CLOCK,DUX4,E2F1,E2F4,E2F7,EBF1,EHF,ESR2,ESRRA,ETV6,FOS,FOSL2,FOXG1,FOXM1,FOXP1,GATA3,GATA4,GLIS1,GTF2B,HEY1,HNF1B,IRF3,JUND,KLF1,KLF4,KLF5,MAFF,MYC,MYOD1,NANOG,NFE2,NFYB,NKX2-1,POU2F1,PPARG,RBPJ,REST,RFX5,RXRG,SP2,SRF,STAT1,STAT2,STAT4,STAT5A,TBX21,TCF3,TEAD4,YY1,ZBTB33,ZNF263,ZNF384,ZNF76
progressive,-0.403030854684821,0.13460183120579,0.0074755033183881,-0.112761448868299,0.153443457920964,0.034288465633929,-0.281420462918341,-0.33097200854224,-0.127598398238933,-0.0501440097563589,-0.143720075982361,0.11482081617364,0.003440727528616,0.356192921517883,-0.168262981875938,0.137538805808945,0.432372086399842,-0.199573285560604,0.0597374931418555,0.0030019238797087,-0.22559735178533,-0.441553696324271,0.23044636972506,-0.105344558311678,0.291069390808212,-0.182580337034148,0.451429154617729,0.0916085783850534,0.249197701104539,-0.415996948064988,0.27704034707275,-0.236629224027172,-0.0954405857016842,0.137400986612357,-0.416632183672251,0.260592338817861,0.35832040635717,-0.200590296183703,-0.0011817600075265,-0.184684059942988,-0.283860021110822,0.0194879512233123,0.250937074413204,-0.405402295343356,-0.163741878576366,-0.217093748942968,0.0278901698291039,0.0585002886299545,-0.105059415146324,0.084421386489413,0.230292709241508,-0.339906494390028,0.197147984526391,0.451768158158762,0.242948313397177,0.0399533098523134,0.254617005374979,0.142810786110618,-0.475534840991095
progressive,-0.214690322409903,-0.428332830895785,0.458088398295564,-0.418746947770151,-0.145575694166661,-0.293153094485093,-0.491873793475959,-0.096081895284982,0.190414498976921,-0.195932398632828,-0.163365050450944,0.563744436494146,0.48163045847643,-0.347122849204675,-0.413860084511064,0.405615520610296,-0.483036348867483,-0.179067584046211,0.115259531642267,0.0959938436947282,0.434957245535882,0.357160730493612,-0.0318746756718874,-0.502052557309302,0.277036718415633,-0.32283528555966,-0.0701154813191268,-0.241155695387197,0.0610344273109482,-0.257759290256061,0.409674698920998,0.250941162117406,-0.466573636543025,0.15458043679662,-0.0684248907862532,-0.419915098867519,-0.0618709174183596,0.183716708011613,0.051510180298492,0.208286036745441,-0.490914031142192,0.481636328582447,0.437522481865277,0.190549511415311,0.443815235515417,-0.384204308913573,0.352150595008169,-0.367069469450177,0.426762577536259,0.0927241946433026,0.187902093601679,-0.402222599332515,0.0196531149446554,-0.356817329291622,0.0437029392959855,-0.188489104203371,-0.257985289337712,-0.0148777836998892,0.296449159013595
progressive,-0.074059779039977,0.148337721938463,0.356291116037677,-0.0578101492856774,0.0258911630127415,-0.155843822285969,-0.256274937967254,0.0951869619686641,-0.0669682356964613,-0.0673880450752731,-0.345000717692301,0.282394312859901,0.113850628863537,-0.209969468695376,0.0558660855095259,0.333751501010377,0.299159055953533,-0.162639634090648,0.0069447813340235,0.122593549299336,0.0453133032803213,-0.198012779961471,0.216720977860261,0.0282264145309988,0.120461617971615,-0.430176272645199,-0.0937120342218177,-0.0301589078582692,0.0894904950504402,-0.143725451753225,0.057235052303461,-0.0172134024732727,-0.250879911690933,0.181049892930749,-0.28573390978959,-0.0589460324317572,0.120139167830428,-0.21631616439217,0.0344770450535292,-0.0036241386265152,-0.376505070839872,0.137596463186694,0.0492835657954054,0.167324904673761,0.329899911717698,-0.0317027254487829,-0.241658035568555,0.222657074864523,-0.168626504051513,0.143764806503695,0.319140079350621,-0.132180122925592,0.159468874368975,0.317074373618469,-0.0086238666065224,0.152323513213887,-0.041971727194903,0.0922217299573792,-0.188935686692855
progressive,-0.355034515413006,0.365235163044922,0.410925293178388,-0.20690313613403,0.238915518896081,0.022871866131371,-0.237185631996719,0.0676004065517646,-0.377023300000447,0.408264136962313,-0.544144993241303,0.0394766146226449,-0.163901233999103,-0.312817694969495,0.0411182475111783,0.123189604660513,-0.362283255885198,-0.260025011989135,0.0042757173221465,0.195673219332885,0.243785191125458,0.135408182957193,-0.091556226852939,0.279185336744881,0.170717908823191,-0.128864391700328,0.138487868930141,-0.0902735657998599,0.324697334549743,0.473102680267241,0.0014115227376011,-0.0110203812048842,0.0312949805267912,0.116967426179304,-0.155660041981831,0.385734999596918,-0.429796491297433,-0.0741458221155774,-0.335443749316105,0.0527466609501731,0.109127437978129,-0.103769390793126,0.0989728123763989,0.0971790360704256,0.198109138318872,-0.0713070750065468,0.0130366875627003,-0.144234125475657,0.0663713476279616,0.189099649115311,-0.0794177810323484,0.0282055487121568,0.129791870967497,0.19404024941474,0.281212471815682,0.0433153933758447,0.0916477294776626,-0.0854509984719684,-0.0309208484931578
progressive,-0.389767660654728,0.294475995722472,-0.260443258246666,-0.311244853642369,0.113731220873693,-0.415756296545344,0.0934353337972122,0.647550177607832,0.02660741293563,-0.149682167189044,0.1858187466179,0.146278893441463,0.180002242394762,-0.423738520426033,-0.141390554785848,0.519215818471793,-0.201845072083779,-0.441744932435959,-0.407340928733144,0.518720796835781,0.143556274443399,-0.306294637282252,-0.412971799842778,-0.431163844966208,0.159396966795774,-0.311925508391885,0.291629621315405,0.420273368973951,0.0379929105638995,-0.246582652438338,0.248129595050875,-0.18414804859636,-0.596686704507627,0.49161836226414,-0.308212846121797,0.0796366056933855,-0.228885628950919,0.212921181189541,-0.525156078103934,-0.0438094147870372,0.221831570637752,0.317494501797017,0.192996560340069,0.0988186940888397,0.533509568211632,-0.0559374448693244,0.258339416293617,0.006125892745645,0.505293334958964,0.4561624375848,0.425285463038569,-0.0894751607091184,0.427698693514126,-0.0882994843235906,0.259700725792649,0.270529324080405,-0.199617474721726,-0.422067822404493,0.161129542521815
stable,-0.0494066042837869,-0.115479393626838,-0.0033315695445457,0.0578621702781253,-0.0626641245480132,-0.158348119769238,-0.183698796003128,-0.10250991327243,-0.412643865358939,0.298620944154912,0.154677331122528,0.146492628115748,0.123788704657376,-0.0330017394774932,-0.0167905921833475,0.290781437015644,0.186554434216298,-0.152759191245306,-0.140781301464488,-0.246729060209829,0.140836398200508,0.0445454850594499,0.0242471343161003,-0.265364765238336,0.107652141367778,0.319993204113908,-0.110599992532026,0.315225854813133,0.118181594712808,0.0447469372091065,0.0368343025879389,-0.148614229139382,-0.0975326238107064,0.191390692105786,-0.228737389316213,-0.0537310200248951,0.0803332510125358,-0.0804296828567993,0.0224396399351872,0.243091219109909,-0.171986445368467,0.143119874137715,0.150164320810998,0.313174267326428,0.113731717124319,-0.185155569775452,0.0784127505641265,0.173316049646168,-0.0127465821643866,-0.0075497093572885,0.154331532555989,-0.0294711788043163,0.318879566987422,-0.0700741584058764,0.220953882961504,-0.132089829026137,-0.0304842656431904,-0.053560054401003,-0.198492596086276
stable,-0.0054584802460168,-0.0187529013237692,0.0415068195195011,-0.0005704376516993,-0.0669145179133518,-0.123270553412235,-0.116557148940781,-0.049238517937728,-0.0506491494423059,-0.1289473636021,-0.26553318657479,0.0905221042591158,0.145616150213424,-0.249479970719384,-0.0235455814138771,0.387059146676207,0.29245645383615,-0.172901640557576,-0.135416840825945,-0.299718636702274,0.0370538924808283,-0.161472116257491,-0.0838934064007127,-0.187869306805345,0.0306813220932458,0.0751960371503841,-0.218848453334815,0.0038639187940484,0.119114833076965,-0.112103179477973,0.200692552174039,-0.0919013086064359,0.0449722234275367,0.121165088309171,-0.197441926246132,-0.0537343774074458,-0.0254927910899146,-0.0529271936521783,-0.0090534922215147,0.0568092969561389,0.0993375763031194,0.180009274393599,-0.0012792088469545,0.383184649207602,-0.16378452185552,-0.0895373995344734,-0.104985468875311,-0.0684468813919268,-0.107314591867803,-0.0069121600065435,0.117600074983783,0.0935218148368775,0.211393769478411,0.196605322965274,0.259838809607833,-0.307269416620612,-0.182428586377926,-0.172143759603068,-0.331614305696292
stable,0.117760087995931,0.0086516916481197,0.0915743580660954,-0.0335692126880198,-0.0086256723583088,-0.0383631742403314,-0.0016772256440883,0.121522815275561,0.007830046921655,-0.108113667786902,-0.123802581928979,0.151286637382241,0.133639378151713,0.153762081132431,-0.0172493539168636,0.349219101935705,0.130145732922582,-0.0366096500382212,-0.060984029977737,0.0469382663955828,0.148864505397563,-0.173660309866444,0.0324884862074955,0.0224561517809961,0.115916445381691,0.028760875709576,0.0117529178373277,0.111699584269757,0.0822344515727118,-0.0875773877316643,0.215606946813189,-0.217313687221075,-0.0931211631774486,0.142028909250805,-0.145690013147633,0.0847751981846064,-0.0444271271428236,-0.2033894781681,-0.197230545598264,0.101686648566444,-0.0007746294438972,0.11239550767686,0.148005822536136,0.3326578239711,-0.0270342273041476,-0.102295578654055,-0.251285712775642,0.323263540865825,-0.0155776608441852,0.057722081431628,-0.0934412652588582,-0.165660466244822,0.156808583477232,0.059409099032647,0.287945456891399,0.0548389404108436,0.0642849148632248,0.0808571653753132,-0.0660903619007849
stable,0.204891357603719,-0.0781579443556055,0.205048159021873,-0.0065920796066751,0.0516440323844978,-0.22296454368569,-0.168984376917875,-0.0185078992433362,-0.303180601867093,-0.110058926284087,-0.108884275826781,0.0927232835832758,0.0384646610007095,0.0057351669293907,0.0992375609595689,0.239819335958448,0.0185690528845596,-0.0190999578943971,-0.0336911949274254,-0.0389051413204108,-0.111810836646535,-0.0493785184872202,0.0758965654020404,-0.050439240363813,0.0531085641589195,-0.0203151960886717,-0.0100791429281045,0.102958792672302,0.0812965842620933,0.0469550062143975,0.0591306744191037,-0.18102021873651,-0.159447020430431,0.0395390934801389,0.120138613283733,-0.113217914466213,0.153452113747303,0.100787511965949,-0.0821668810992895,-0.0303318796038541,0.161606440377188,0.34966933877074,0.158377484594872,0.0930362335337355,-0.112154689860531,-0.0099425809712801,-0.171003861664253,-0.0416577080613106,0.186906311111411,-0.0128450938289162,-0.0272164171450185,-0.103339642751095,-0.133678595284984,0.0592132644790477,0.253150829745137,-0.189442555007557,0.0417981873332311,-0.226663142022312,-0.240523473346982
stable,0.0893412976161877,0.186425907722678,0.300521627527467,0.0176970266405934,0.221838173524011,-0.0443462547898486,-0.298320640068714,0.261095568638978,-0.311749250272869,-0.163944443241521,-0.262374052359922,-0.0453676516322161,0.0907313440209224,-0.0560437957482816,-0.112086711664672,0.296991566014032,0.0006382300537974,0.0167439927361636,-0.058689274278414,-0.0562213458239038,0.14262374097428,-0.283962487471622,-0.0918833958991169,0.0655042761404267,0.223791224355854,0.0836021541906011,0.211355944356742,0.150509322281372,0.205363057413764,-0.122202402866113,-0.311754265314648,0.203520337501063,-0.24669650385895,0.173562941441306,-0.207655723355569,0.025330536110888,0.34993474619492,-0.119197864941226,-0.0494925674872181,0.181096941924718,-0.210881802950633,0.233432862134375,-0.167620908781634,-0.0208639815325755,0.206194762500413,0.0660727355252606,-0.0569742179731103,0.210636417836207,0.0629370146654123,-0.277649869619422,-0.226960906726699,0.0696252327519187,0.113966736449555,0.115888729215644,0.0299844948820029,-0.18968278143393,-0.18463325024458,-0.0081860438978997,-0.0097076251703525
