group,BACH2,CLOCK,CTCFL,DUX4,E2F1,E2F7,EHF,ELK4,EPAS1,ESR2,FOS,FOXM1,FOXP1,GLIS1,GTF2B,HEY1,HNF1B,HNF4G,HOXA4,HOXA6,IRF1,IRF2,JUN,JUND,KLF1,KLF3,KLF4,KLF5,KLF9,MAFK,MITF,MNT,MXI1,MYOD1,NFYB,NR2F2,POU2F1,RBPJ,RFX2,RUNX1,SPDEF,SPI1,STAT1,STAT5A,TFDP1,YY1,ZNF263,ZNF76
progressive,-0.273417865655239,-0.344132523894104,-0.0061723828497506,-0.195797299602703,0.090190300531469,-0.309929347984642,0.0834650014562145,0.309292464538646,-0.291944519927565,0.453422990656732,0.417016071281149,0.174634391464364,-0.383951997853455,-0.150950882424086,0.344942094642621,-0.286719540810913,0.47264514700068,0.288413143805365,0.0332557721763643,-0.0062420914856307,-0.0541968801096301,0.0074002054135485,0.0417158657127268,0.33320886379425,-0.40384589196134,0.392988771923008,0.384438374017437,-0.184247846067107,0.401021107921015,-0.426501198622386,-0.112744212813053,-0.284038926903886,0.0178786808160769,-0.444356115130776,-0.396363303614479,0.415054723753431,-0.0257985324243683,-0.0359252960731378,-0.199027661160876,-0.415491987014861,-0.460797847475415,0.436320610558411,0.0489655638442614,0.321770310361191,-0.153268694567101,0.292731910655575,0.382236214838496,-0.505260867156691
progressive,-0.522359430017274,-0.348195587352828,0.0865388518750695,-0.0320557755249579,0.0479779849065853,-0.155253283513184,0.42029759819935,0.07333198977921,-0.410158344658763,-0.194688932634273,-0.429705909605713,0.0858313938254802,0.400494643832008,-0.419411074004429,0.323443362148941,-0.0861924616267229,-0.174281263087615,0.000437391076302,0.442390250818474,0.155220992896813,0.143156044416266,0.206284199422147,-0.0468067161854811,0.083970280118262,-0.1671391658484,-0.174049357751857,0.355114585788023,0.128921753617683,0.0099631229058339,-0.125249429883093,0.0277317684417836,0.152059448003005,0.0839438605230491,-0.004855334498011,0.08494193411998,0.149916525280183,0.190896252965935,0.461488682646805,-0.240259798865907,-0.362374103450405,0.0718172663203384,0.233966064184084,-0.195234937602006,0.0618394658616084,0.205670677711092,0.252295392240662,-0.270897722781107,0.290888549825518
progressive,-0.062788068686886,-0.255450096192218,-0.135559962729248,0.0709886873030379,0.0202034315379844,-0.378111949034974,0.144578198580223,0.254234636890077,-0.125333883235921,-0.202793215877703,0.297625087001131,0.0907568077275489,0.0530806917817085,-0.0393571205308119,0.14552025569598,-0.466283087951353,-0.0789218439474405,0.256940328499504,0.180765757663931,0.267932619524087,0.139877889515762,-0.0559376303945216,0.0561807984115475,0.101479275925849,-0.159279925174271,0.166609540780487,0.0292318723730753,-0.0331100709634386,-0.178015133661757,0.231843150138447,-0.0276680727922387,-0.173694617550915,-0.342442940226221,-0.284271332189532,-0.220346397809516,0.0031084838556056,-0.0340129074312879,0.139995932242474,-0.203047274288225,-0.152554688328819,0.0559535471234782,0.238264217531972,0.25222143722516,0.300160111674712,0.207084030915372,-0.0224822654163019,-0.0458459672964493,-0.230766372001043
progressive,-0.111964165533518,-0.217389736016966,-0.0726340261699716,0.173910489001752,-0.266206335323943,-0.527713309325144,-0.220068431545638,0.266495543454212,0.0969881669975668,-0.233175409000019,-0.197777200396309,0.0941562019916183,0.144067351169894,0.151694538620415,0.157544233405125,0.0555312105411993,0.169964476947183,0.193981749877723,0.122862004479722,0.164784726838769,0.0699103788158092,0.251498964564421,-0.179576585366684,0.275879101628445,0.395237030072885,0.244475648022608,-0.068989678775627,0.0439428465648594,-0.186159590653987,-0.114946150487191,0.0211825999832971,-0.0761446012643603,-0.122557090289944,-0.183820470963665,-0.0760178696117705,0.0653388323221752,-0.05477623650825,-0.047493499190409,-0.210091834227875,-0.0812804827238,0.246507687170116,0.0112368731962939,-0.0995330902262821,-0.0750830882768562,-0.0555880773083871,0.179133566170879,0.138501990221122,0.0135131686485796
progressive,-0.242143805243405,-0.0954898292307755,-0.180535458389435,0.472475717548108,-0.0224425965835351,0.0304622502103385,-0.0132417536628614,-0.143172575988591,0.0386684074098583,-0.391160159843776,-0.003170560736178,0.410245692118416,0.415654295727191,-0.421995417199547,0.0869728327433951,-0.23319163375302,0.287899348416485,-0.255882901766844,0.0348140002403869,0.101271439984983,0.0970440256700785,-0.348264338119013,-0.207267637145446,0.0083926607722361,-0.0641572290144273,-0.0396630931310122,-0.0383575681219977,-0.150570551039673,-0.133723061637629,-0.348823848837162,0.20502959427285,0.232507787319727,0.0141742715264432,-0.120916482977772,0.498834889158687,0.0963601792367852,0.0034192321664665,0.236610865919487,-0.0765286326712791,-0.111839975772243,0.0069628000480773,-0.215473794344966,-0.15517097250001,0.422554927917696,-0.231823940886433,0.0126822429447124,-0.0570700932512057,0.0247428073137035
stable,-0.0816422354780972,-0.348606057185419,-0.269178348799389,-0.0048889167194232,-0.409308112876301,0.23264500944265,0.186422190563681,0.104665416646467,-0.118958497083439,0.118301220336281,-0.0032322556537713,-0.0918581193931813,0.304237715649577,-0.159866259960284,0.224334363653277,0.24152834742761,-0.310645334674065,0.16555970995456,0.358242011724033,0.102523160846831,0.182715296463652,0.32356390358343,0.342992618246463,0.276297272136657,-0.106193718267843,0.101110503344985,0.183172696347112,-0.309985494758677,0.219172293613712,0.28640173362106,-0.22413463756418,-0.195427555459644,-0.400131065967163,-0.283180434255015,0.101037528437746,0.0484655408215605,0.121565993045826,0.117276254593693,-0.0937576280840259,-0.307987379478298,-0.077331489098123,-0.236754270696507,0.0241226798224142,0.110064856167361,-0.150537232252599,0.407488112658771,-0.213599061235219,-0.263589536378717
stable,-0.0587747132730132,-0.191566961760122,0.0188064398455862,0.0149109244970967,-0.105740732657918,-0.19349107043731,0.21672006594324,0.0719153635002458,-0.0450141656425421,-0.255870169085243,0.225206114387049,-0.223422160795358,0.112408513279012,-0.249042912302625,0.11079334860749,0.152018883094122,-0.289345363061008,0.0091538621155933,0.332852368847017,-0.134795303080942,-0.0805440787694354,0.0866212140963959,0.179713597544239,0.198436454414934,-0.217016412607336,0.001541705940469,0.140617091067134,-0.079934421536491,0.124237880718469,-0.0289027454076066,-0.200385912343869,-0.159399572778447,-0.232320907423096,-0.263443760392618,0.0354072629362762,0.258900254796348,0.0083636687482562,0.2618286730054,-0.0972274414969112,-0.185183703304595,-0.134059827000912,-0.205221668536119,-0.0636392578685423,0.143484300107334,0.176190553899391,0.282762788385191,-0.210918024096747,-0.332864231987697
stable,-0.0958468310718535,-0.0607109475033948,-0.0024604631451596,0.148747031961207,0.0359078321888184,-0.115050787738825,0.166229435934987,0.0886054947415119,-0.0061185019734548,0.0767704860679257,0.071745278714542,0.0669589841188386,0.141366314409938,-0.0006117621573455,0.15084090118038,0.012846426093731,-0.0925953980326671,0.173945863907008,0.355515783291382,0.236468720945618,-0.0129805249146632,0.2568746321273,-0.0240495392520951,0.12137924194367,-0.0781578574561539,0.0735314017971491,0.191856258122509,-0.219797397055321,-0.0837164481985324,0.0248644652934688,-0.0581300780741327,-0.0479518663569539,-0.28366026922957,-0.189476814945697,-0.202151609376424,0.12767905998012,0.105893283978624,0.155550299786679,-0.237284666397517,-0.157975894458186,-0.249924916712486,-0.0275998449225922,0.217146165131385,-0.0332630410859294,-0.0848589525448752,0.267149780518076,0.0325115270129198,-0.0894235253513039
stable,-0.0740551143978538,-0.220538958206822,-0.312388829874404,-0.109288302673062,-0.354776631481062,-0.119239853998641,0.0838638303862216,0.0839356835284164,-0.24981846044081,-0.0069086796220276,0.0069369854053165,-0.0129577343792524,-0.167544435259846,-0.048360430749002,0.111927381491158,-0.0250686903645791,-0.0776204455398792,0.0420838410414938,0.360649537171512,0.132658537171913,0.184928976408681,0.114155373241183,0.0742541258280539,0.123217578629506,0.101542316207671,-0.0107372545486393,0.0314757044120106,-0.21452245510038,0.0540919163914053,-0.186518455008747,0.0859772925823234,0.169165703431914,-0.403883246224917,0.105996666681761,0.0030415652827843,-0.0545350107682731,-0.0593752997106666,0.350527497935816,-0.403463667421858,-0.317567264058702,-0.0206878260586431,0.0210460030856443,0.0050702189974168,0.0071754071953264,0.221350027766445,0.294103402738204,0.0554259897314883,-0.214648960178002
stable,-0.0117686907820536,-0.318430804380081,-0.437010776347335,0.388154019074694,-0.310979308652207,-0.235758467420211,0.0992837874840417,0.164665354072885,-0.074257144709643,-0.109956313054197,-0.0056899084466437,-0.0933963194911033,0.20371028041495,0.136707423729355,0.231973082257793,0.0862454731529155,0.208889225636115,0.414328284022069,0.251143395097752,0.269241468013699,0.465816735001563,0.0800627213679419,0.403875220191899,0.207943033276591,-0.136258120896553,0.0962658587069405,-0.407314392364906,0.228989546082028,0.117404730160468,-0.123106865132906,-0.314696876178741,0.116585728853456,-0.222422846202853,-0.225883656687699,-0.0904512221050671,0.294944264052731,0.178763241999143,0.254614145132345,-0.225124820442871,-0.269321072372291,-0.257083551500411,0.0962297948538769,0.152690219722197,-0.303183183226033,0.161678123551197,0.0169853711080094,-0.155493172750793,0.0265126494418527
