group,CEBPA,CEBPD,CTCFL,E2F1,E2F4,EGR1,ELF1,ELK4,FOSL2,FOXD2,FOXO3,GATA1,GLIS1,HIF1A,IRF3,JUN,KLF3,KLF5,KMT2A,MEF2C,MXI1,MYB,NFAT5,NFYB,PBX3,PRDM14,RFX2,RFX5,SP1,TCF4,ZEB1,ZNF143
progressive,-0.182763749800871,-0.0459113213226799,-0.224248333447498,0.170503258906916,0.141769966994538,0.175328672993693,0.0914160244734654,0.43733055069024,-0.0280566538607098,-0.115425556842039,-0.239328149556735,0.0645998737074801,-0.0846512323090201,0.190905643352161,0.0436193290490723,0.0456651267264157,0.469801235409131,-0.345112408338624,0.135038530227006,-0.0191332910103097,0.215777650983777,0.289399365380163,-0.243284734971535,-0.227803065747105,0.117452294292575,0.399896265240217,-0.0371833257970571,-0.15979776485001,-0.509735587275411,0.256544299420653,-0.293560848233144,-0.228401874539309
progressive,0.0127053636954554,-0.346346978236016,-0.0775330324746527,0.230171039733722,-0.202767833486702,-0.26974396543423,-0.108214852378549,-0.0442377395659925,-0.0112632445824664,-0.0566635087395418,0.0943587364929336,-0.189373784337289,-0.268981702474507,-0.167076856990342,-0.163400924802335,-0.0221703740370316,-0.182077838865657,0.119716488079694,-0.0437109246247169,-0.0740366294007123,-0.0383721408064274,0.1315801251092,0.274014403868815,0.0039879008124489,-0.11854807728815,0.0754816916139318,-0.131871492032029,0.246678888927099,0.0649630513898045,0.0548858762002657,-0.0444614151835173,0.0928312674732576
progressive,0.0648456932706466,-0.116608052106723,0.078819754792654,0.364773221415579,-0.291954150363003,0.0540932469759117,0.140264621591256,0.21103326934076,-0.0296002314649105,0.273056271310474,-0.318130031025098,-0.233384885576938,-0.203980690201784,-0.171085986601679,0.274990214917497,-0.478727896498503,0.227768889355905,-0.250692245799489,-0.293406187776566,0.204661753836332,-0.300647570605872,0.146011562307194,0.462362270811986,-0.294302396261465,-0.119619927750586,-0.0320670125834701,0.164071092070248,-0.108266735520213,-0.152966694380195,-0.147831766916899,-0.249084369210884,-0.0287385862362253
progressive,0.278902632368305,-0.0341115678588292,-0.0522806224704978,-0.21050980893526,0.219280441074294,-0.317668414401544,0.0107152642000248,0.210250669229335,0.0104355234296118,-0.128151632312606,0.194826435394025,-0.0295489742080622,0.251714648577197,-0.154633216445093,-0.121930652970573,-0.0719318694587344,0.0374380976403294,0.0374039432439418,0.0738938497845574,0.237466843950794,-0.165016152946933,-0.190832539549776,0.152544919065964,-0.0200914592083439,-0.14321534751938,-0.135348451551428,-0.112775648338859,0.0141442571706879,0.21615341633836,0.096243294087417,-0.196841002647619,-0.194430678102549
progressive,-0.0804684978365365,-0.297857239684164,0.140138983924553,0.0596704860880163,-0.290862670256834,-0.132711122585796,0.183653871600772,-0.0486524917688597,-0.0724835468973725,0.0305161303333942,-0.388477148017002,-0.140324680458022,-0.395719312822291,0.462570064871105,0.300580788841709,-0.17015992350203,0.0704408850292142,0.010770398941198,-0.246233603379802,0.292348242524586,-0.153880527401254,-0.184396657734648,-0.092353075978548,0.197147819699514,0.277987710602989,0.0787972290353161,0.142986330771076,0.193248192496667,-0.089753324509983,0.0035282341359096,0.0443195726545847,0.384577520814155
stable,0.0269719573941951,-0.112972791565598,0.0124674878880882,-0.261407074490607,-0.0292029252492735,-0.063747358655231,0.03730781654314,0.0316732352912467,-0.17537480899913,-0.0947215371712637,-0.338370723044444,-0.1305284198906,-0.259423621974674,0.242895187352281,0.285346590593592,0.2740298018199,0.300919825885361,-0.114134640474114,-0.179359977494667,0.31871494775193,-0.349286623745398,-0.300231868452709,0.11034724208242,-0.0289575288755263,0.260641169402232,0.0546596205774481,-0.112904732415066,0.430094277337998,-0.11218272018137,-0.186390250622247,-0.0260734656137543,-0.0512733625162766
stable,-0.434991344612582,0.0096067384862811,0.459967883388276,0.275110296105501,-0.0912327225568476,0.0958338072605527,0.571080045654659,0.160157084227911,-0.176599154836657,-0.230791824266026,-0.476641908996024,-0.35411925292218,-0.0293752616731422,0.332045976341679,0.127815008398656,0.136594373757254,0.232792223648651,-0.303597955163378,-0.455740345134495,0.472164412573765,-0.342035224229211,-0.202282298697583,0.407146236444676,-0.0886755770898441,0.376599957453958,-0.303812100159958,-0.122794751186763,0.513499419257034,0.0826532464662096,-0.466402162072262,-0.334678109259226,0.174509937242389
stable,-0.457462012409987,0.382647936254668,0.415424059367693,0.455693290005708,-0.152530753685189,0.487239196941105,0.0769378494647148,-0.190396001541003,-0.32097952257433,-0.402710605585204,-0.455530172281685,-0.320146213837931,0.463550551711238,0.195566777800006,0.47065439576673,0.283636520132578,0.505691582554143,-0.0529570886969815,-0.245369153036629,0.200265040788298,-0.517733038567302,-0.537191440350751,0.281983291192084,-0.54581673590681,0.291296868493615,-0.487139663163751,-0.453543411374675,0.170790673355469,0.264556216987189,-0.353114988202121,-0.195011084218735,0.473389570996827
stable,-0.277205658121256,-0.507119007213936,0.0547940401440738,-0.241149541213189,-0.455558462464442,0.134856868518648,-0.0531893369855027,0.133170633097979,-0.113550897027246,-0.0395367160970021,-0.347296698439947,-0.208302939622614,-0.246024145883373,-0.176682591974025,0.274501250427512,0.165081139679329,0.0419891149806247,-0.167273899728301,-0.0137484321965011,-0.106955176824265,-0.338476717086728,-0.201268820010328,0.0983188610614671,0.0121933241973615,-0.0440509656087683,0.123088427687141,-0.296872046341959,0.283827974409735,-0.0702069076911645,0.333647238561608,-0.45049583218982,-0.0064336366819386
stable,-0.2765454969113,0.0584716891769823,-0.220473130682776,-0.02192805317531,-0.112260381624114,0.219948207058832,-0.12314340965392,0.165497754187033,0.186631535945488,0.123161242578918,-0.0491736727086083,-0.127946557922988,0.190967408610532,0.0129806037622133,0.198810011210031,0.213085885643367,0.250559658762743,-0.043949420220534,-0.163938079504186,0.0111626165123204,-0.294371182800869,-0.155113871493549,0.206805606180922,-0.394837115020539,0.206498473774649,-0.0100071842233582,-0.0232138776930923,0.158014635105309,0.362553782457187,-0.137350247714245,0.192850106424897,-0.0503561192304879
