group,ATF2,BACH1,CEBPD,CLOCK,DUX4,E2F7,EBF1,EHF,ESR2,ETV6,FOS,FOXM1,GLIS1,KLF5,MAFF,MAFK,MECOM,MYOD1,NFYB,NKX2-1,PAX6,REST,SRF,STAT5A,TAL1,TBX21,TCF7L2,TFDP1,TP63,TP73,ZBTB7A
progressive,0.225067266698993,-0.0518781470690549,0.062272510787414,-0.404113237979615,-0.0469627736045613,-0.228059992467911,0.122501712256739,0.0326548454191554,0.400007567508303,0.0705457701942216,0.238962405123169,0.154951750448207,-0.026753539486493,-0.261305444776211,-0.15504383431802,-0.278874412075335,-0.347526112326681,-0.412894546323321,-0.378001110275956,0.007881109133639,-0.143398400092548,0.247437296451808,0.198080342232112,0.0900834271238272,0.15693472895504,-0.152862399195212,0.401993721320991,-0.100114218321718,0.137881306168415,-0.11018787614866,0.119193043555187
progressive,-0.297541318268288,0.439710086247265,-0.308269759311793,-0.407268693330527,0.0400322432462853,-0.221880054766412,0.408610852210044,0.42937016487941,-0.315180700208953,0.373343861652218,-0.427015500178503,0.146701497528222,-0.414568153903337,0.15616430629499,-0.492572308782614,-0.233629831623935,-0.306309500948288,0.0064635546039881,0.205991954697046,0.139569806815352,-0.162795630758918,0.483942462653792,0.408422479033971,0.0941659847201239,0.247787253138135,-0.488057239218626,0.0821719113998819,0.407901509468896,0.406247357516509,0.405005271886781,-0.120779582502119
progressive,0.0830410193202139,0.250700123366357,-0.0518370758895462,-0.154885958101142,0.11740405480766,-0.317548095833213,0.240621086298789,0.106799278386952,-0.203274663166721,0.282915321252562,0.322851285475507,0.0417117084231172,0.0373684052653002,0.0042000376575494,-0.159964899453726,0.0796759210912347,0.0845992319936083,-0.193305689419018,-0.180080612186279,-0.0192107052543045,0.147501258891562,0.0828770692431896,-0.149002913367994,0.227112149505318,-0.0560158946823783,-0.0559365147568172,0.0532467565099195,0.200303640472042,-0.21551329217066,0.10001092086815,0.021171084108258
progressive,0.388204901559012,0.357621643850555,-0.0766674477971794,-0.111243197376623,0.0323639643911031,-0.518832533526956,0.133769353806935,-0.159623219406369,-0.181705283640247,0.123577465010648,-0.312609998773487,0.143760614871012,0.261852266998492,-0.0521648370860384,0.105581699668492,-0.124473782960226,0.079881829409458,-0.180217384999206,-0.0675540686208019,-0.368412162420788,-0.227649034316422,0.169151409975019,0.0626348935218493,-0.0919981177236221,0.152201620025927,0.0171119188462023,0.177600006449532,-0.226315673252894,0.0390079957499508,0.0845212101575443,-0.409203576038955
progressive,0.430362391199501,-0.0920123596801699,-0.509044119254848,0.145706903806199,0.565094775016892,-0.0008680411290582,-0.0874861452215092,-0.0843859983320156,-0.438484776049974,0.405871230772501,-0.0099824729841693,0.476678585728535,-0.255080086067533,-0.327499517406103,-0.260598347530831,-0.445677116833599,-0.0156867432608376,-0.340768146093136,0.247825742346118,-0.477980647422122,0.105342991304992,0.211678029614623,0.286887593153737,0.435880652662799,-0.429866367697182,-0.0114705434911263,0.107265082376478,-0.331901725989184,-0.0722954254629906,-0.0370777567983434,-0.264194517922644
stable,0.0186035451396494,0.115240197705327,-0.258120991724798,-0.238706609617612,-0.0373672599658496,0.247213915318572,0.0290953910923327,0.155071195356773,0.105063949094081,0.374260308902061,0.123197377286024,-0.115492080302161,-0.197980175135843,-0.30071820814548,-0.227822385768238,0.393646642396421,-0.0246197708022232,-0.25706215659062,0.05279414836153,-0.0594311765950309,0.267863293991569,0.0461466775689374,0.0673358911445426,0.164196831718537,0.145813891945592,0.022415482785267,-0.030953409903467,-0.137547572258066,0.336620937034084,-0.116092199543487,0.355007660342931
stable,0.0222145548829893,0.0978783611129164,-0.150420943354446,-0.119727336107171,-0.04313784597042,-0.214341076559025,0.103706300930264,0.131317302927181,-0.136115655146871,0.312807153815102,0.174361778864578,-0.234316609530249,-0.20394528573997,-0.165655826863842,-0.0182334131306809,-0.0411618556904637,0.0685860788946517,-0.199894978131594,0.0145904715021349,-0.0375773139000758,0.210211301796869,0.0440416880279596,-0.0344433570678897,0.0770469297178668,0.0965259866113808,0.0404556358969296,0.183321158279708,0.137609962942073,0.266576014029781,0.0005123152911089,0.153332609025474
stable,0.004404177889493,0.0796423891088039,-0.0792970827197718,0.0054041402228598,0.131104027884888,-0.118305555274588,0.0636853362890755,0.114020466975877,0.0784233874071758,0.289038682742985,0.117500057160848,0.0375728936453759,-0.0094240584867805,-0.158979818740842,-0.0734153995094164,0.106462098955493,0.077948840822491,-0.13772765759588,-0.146358993329742,-0.152556367319953,-0.235255389258832,0.120622425029331,-0.193716117725341,-0.132868816228726,-0.252969170331117,-0.110650814577754,0.0131503989590306,-0.0001409006158932,0.157962389005043,0.116510338344067,0.0259697999331489
stable,-0.0412276290447285,0.15333778323549,-0.24048744066727,-0.201596964191403,-0.033813741207952,-0.087333344671668,0.105089195420045,0.0784115178287312,0.0386472710756124,0.259748172608064,-0.014850163238462,0.0174038745449548,-0.0369651458936971,-0.177688682983144,-0.151362107934183,-0.162699498426979,0.18197016826244,0.124651449637491,0.0204924848413211,-0.0845494236733309,0.226693752077244,0.1938495562413,-0.12325883389252,0.0297726219304349,-0.221105488253067,-0.112180374699232,-0.179409358459756,0.212752305558818,-0.133983023522078,0.0360898467095737,-0.0113265789370598
stable,0.18357245582285,0.354397610886321,-0.0452551173034872,-0.333754778571089,0.236011898195698,-0.263677044315077,-0.041376829093767,0.0840324341282194,0.0594500956061072,0.219914126734583,-0.0279808649099297,-0.0053229622725806,0.169144442777792,0.0965129551597134,-0.139573146668906,-0.0292181221512421,0.415258017206233,-0.232170358451805,-0.267308958795965,-0.14791080820425,0.429374993356627,-0.156963121394758,-0.0735493158871949,-0.147330606464929,-0.288237386760287,0.0889198034080175,0.172338820837417,-0.012883959116677,0.323838169732359,0.0276716831060889,-0.0884517021570026
stable,0.189464311763965,0.264716536919291,-0.257126102829633,-0.303063730258619,-0.0814511510259474,-0.288738319862252,0.127204385850813,0.246707738490722,-0.0219640380075562,0.313356281264383,0.169190600029553,0.0993257546393637,-0.187703380615232,-0.402595013413247,-0.168429707228362,-0.169275599189456,0.123448844190912,-0.236203099548994,-0.401586229171438,-0.108786625762217,0.221369789563709,0.0368254988400114,-0.372274273433991,0.284902060886516,-0.067743054999895,-0.104528924006511,0.182616003244052,0.336248112888717,0.289964020502484,0.0264913137334158,-0.0244741096620594
stable,-0.0397298128419324,0.0469983221185203,-0.0248328972274885,0.005913602692991,0.0224265266805792,-0.329842128249513,-0.145934729941592,0.155221485483329,-0.0023005184700657,0.0526014253861037,0.0975038763831225,0.0766863012705647,-0.143641268276649,-0.172341294711487,-0.138094619450049,-0.173830280592419,0.079085615012351,-0.159977772136165,-0.0334492562825505,0.010761627812424,0.10798323199063,0.200208618141823,0.0677876700105865,0.0691849174249209,0.016957502710331,0.10739751716543,-6.35112461061086e-05,-0.0763334610144196,-0.0639699384390971,0.0751126337281577,0.0962054242405087
