group,AR,ARID3A,ASCL1,BARX2,E2F3,E2F6,E2F7,ETV6,FOS,FOXM1,GATA1,GLIS1,GMEB2,HNF1B,HOXA4,HOXB13,JUN,KLF1,MAF,MAX,MYB,MZF1,NFE2,RBPJ,RELA,RXRG,STAT2,STAT4,STAT5A,TFAP4,YY1,ZBTB33,ZFX
progressive,-0.0716200074733161,-0.266818281383449,0.196581305902167,0.133512744752959,-0.0437094022785532,0.0569888117145484,0.0248090613933652,0.0670416946721012,0.2362156151055,-0.115378745019124,-0.0951035946864445,-0.082450743144581,-0.12695608773484,0.32384820582071,-0.0556008461957892,-0.066028677184476,0.108142905821801,-0.28598667722072,0.0234013617677043,-0.0915646115153904,0.356465395511549,-0.202144679539563,0.284146471752128,0.0106449061646064,0.0780467482876652,-0.252613013431978,-0.0711496779254901,0.0698982066461351,0.162993855955323,0.0827533327837418,0.111913764748951,0.019882112703552,-0.396930181713666
progressive,-0.0303837741576462,-0.101545290532482,-0.104902310697083,-0.0471201342160088,0.215001605423938,-0.129702221005625,-0.170635324410106,0.406443143739871,-0.358576666565308,0.0458985688022113,-0.10122847556232,-0.362469835140952,0.144750932088317,-0.213557660271469,0.235283856109882,0.503967321189529,-0.0453289111154778,-0.147803322473916,-0.375946656563994,-0.182409265368528,0.068681829973761,-0.0520063958711988,-0.0962416860800599,0.301738842399139,-0.19251688143581,0.0425141319575006,0.248520020007513,0.153588241977161,0.2496837057633,0.0851988565912422,0.102078392645736,-0.206197804810784,0.0873190798530952
progressive,0.10566780187997,-0.121357783516775,0.0603058270522602,-0.0157546398854295,0.0429720610484936,-0.124259056624023,-0.16618051957673,0.197422897027752,0.228413493210992,-0.0072202235999714,-0.0243344193270475,0.0720580347168524,0.0450537258811646,-0.0318603716982217,0.11710427882747,0.0350118509636637,0.039341512201592,-0.0285550042259455,-0.284925117530065,-0.029688531841587,-0.0119562631118323,0.0292529352847807,0.165655929328152,0.212749579637882,-0.0396618107364919,0.177148243910578,0.0046097157228321,0.108064488630418,0.21164022995443,-0.120430595257278,0.0105196844112893,0.0033043436510433,-0.130546657836415
progressive,-0.0271585002291216,-0.237660393492727,0.0033996541585046,0.190320320001376,-0.0376020341789289,0.391945154074732,-0.376757929516061,-0.0426367759087846,-0.0230013384952601,0.160370827653846,-0.0582544905285425,0.0942496569216157,-0.0239530645943206,0.245271988968702,-0.0397046848628998,-0.113819801498112,-0.179992985168314,0.367138855966021,-0.108852565921794,-0.121902833390598,0.0357882212994403,-0.41525082359004,-0.354667924093564,-0.0332722337573308,0.0913197791922404,0.225738917443739,-0.0256357384706247,0.119196500628676,-0.101639920746646,-0.0166037471247148,0.0897483244705358,0.0802487700120059,-0.0362408445256214
progressive,-0.374364479615277,-0.49029461984847,0.45143571617856,0.431456679183548,0.429904909319857,-0.0721572986615974,0.0852826854253109,0.489454077838971,-0.0879982826867688,0.661700532708591,-0.43578870338635,-0.332014093752063,-0.547774761882664,0.492105018022776,0.368480685548784,0.529218180596034,-0.354126814309649,-0.193066033874131,0.30136663894418,-0.351928473669422,0.0092459621044878,0.209359617442878,0.0098925328810254,0.499863867341227,0.35723035403703,0.514541023968631,0.436176645852272,0.353350929377804,0.457836766866282,0.421499489224869,0.499281953642343,0.394666801998558,0.175220680441693
stable,-0.136708045214649,-0.0195834415859177,-0.111764784905638,-0.110310545361879,-0.155877956735186,-0.151229709179159,0.132933608308234,0.204300447947159,-0.0957058508006233,-0.0397935914149899,-0.145170622057117,-0.205335398683014,0.0191998046294533,-0.037122791337071,0.194075957653571,0.0196575199556499,0.183109427209747,-0.0980362044910028,0.183982557280696,-0.0506739501297827,0.0085527273390607,0.133810350681311,0.025197377910905,0.050013160601331,0.0945887594555035,0.136233524830726,0.146878560385133,0.0148084493421726,0.0379450350649955,-0.129294030681273,0.164482355700343,-0.237833239195176,0.0902671373049601
stable,-0.0160507363965432,-0.0103774475484564,0.114309430765775,-0.0299412405908892,0.0047387991624918,0.0402596829489403,-0.0398900375078234,0.143279132833829,0.188844947844028,-0.143096738558181,-0.108172329009435,-0.0850538144315609,-0.0892575529218745,-0.184544472953118,0.133068866658187,0.0664420520735033,0.0339170665158144,-0.124490676021238,-0.0616263856051434,-0.100670682050492,0.143072895644507,0.0372700464954891,0.0258016050183152,0.102546725988696,-0.0084318818484955,0.0059835277029454,0.0029660343772892,0.0822810120179525,0.0805264304648952,0.068150151986772,0.210048964760971,-0.12000507736288,0.0525383820951757
stable,-0.0800651012986502,0.0259125949177812,0.0254148610011007,0.106192111339869,0.0260995641350077,-0.0434138622192208,0.0144189716571109,0.186662304584058,0.0185765690163771,0.0698598948071137,0.0614209527570664,-0.0186664904722541,-0.0276653290090152,0.146353224391974,0.189098899171728,0.0986280436633469,-0.0548726243639313,0.0012000120607053,-0.0440690730416287,0.0026939601467929,-0.0528231615059812,0.0588150602637135,-0.095088749605241,0.0557292255420048,0.0688361384300699,0.0539074914795409,0.0859676323337009,-0.0481338117515461,-0.105185207712254,0.0358793109295538,-0.0082586898572357,-0.151899608680897,0.0068472961679894
stable,-0.0102299302052929,0.117568754396747,0.0040683777757969,0.0185294480138128,-0.257864843119713,-0.0562269512009966,-0.0534368057153462,0.158261693893988,-0.0830820449464356,-0.0334588980335733,-0.0144314359702503,0.016329951941413,-0.0613933803946099,-0.0520934232792723,0.167488922634618,0.0605717646654156,0.0179503356055701,0.0677808092848989,-0.0882017605805559,0.0713072871489985,-0.0349659475897111,0.0655124305061281,0.0345247137021028,0.240938360154654,-0.0052055645243265,-0.118833866171395,0.0671381302412203,-0.0117413909692278,-0.0806343901584724,0.107775646871266,0.198676727300007,-0.176264172237878,-0.08692002194575
stable,-0.0232278132221751,0.0207325320259583,0.0084054383758488,0.0749749252481713,-0.213224076743993,0.112408464422678,-0.111550654048297,0.122376441631603,-0.0097386761292143,0.135339491804713,-0.157637320896463,0.0072419238755494,0.108474397101199,0.156620636317695,0.224621370145858,0.101070105259824,0.298966406983002,-0.231864581196675,-0.0014454058837776,-0.0556999353299369,-0.12433285609639,0.057358368720407,0.008069393690065,0.192249279944562,0.145542838205323,0.0277584862799192,0.0019406925383104,-0.225449667430188,0.0827380631657751,0.0230425519248142,-0.120445862613248,-0.138606618455692,0.222084347694554
stable,-0.0331309280902039,-0.108714471698582,-0.0648818075228925,0.0281362127675121,-0.0112519612289056,0.047917698903804,-0.10855633496143,0.226823882443404,0.240475006701359,0.0351581148665884,-0.132089625045553,0.0718343029742412,0.0758864089802803,-0.008787137933682,0.0585809852838724,-0.0127208385648337,0.0798470244052241,-0.0626010498687305,0.0404048236432457,0.074222128269642,-0.143438203482943,0.0517996403161247,-0.0299834746403413,0.259677085353709,0.130050903357544,0.0641158696731828,-0.0556860182329166,0.0424823893926256,0.214378698689715,-0.118079242514417,0.177266550076024,-0.0609768948763097,-0.109355398711191
stable,-0.101413657640838,0.0482351085808314,-0.0223186099740293,0.0660271066367991,0.0308965029948473,0.0161027454661902,-0.0517598693958649,-0.0509481506189588,0.0966896006148806,0.0316497195175619,-0.0781151349091026,-0.118525566991831,-0.0585534436638443,-0.007034896066519,-0.172625526555353,-0.0470870018423246,-0.160325427611605,-0.0288928007887909,-0.110964150637589,0.0822834205202418,-0.146328763296306,-0.055723397117334,0.0575515925608161,-0.0532004874053287,0.142394486701933,0.172252574684882,0.0669119532314444,-0.073793280880711,-0.0206220446024779,0.230930335638883,0.214476576647545,-0.0004753308153053,0.0824296761557204
