group,ATF2,BACH1,BCL11A,CEBPA,CLOCK,CTCF,DUX4,E2F1,E2F6,E2F7,EBF1,ESR1,ESR2,ETV6,FOS,FOXA2,FOXH1,FOXM1,FOXP1,GLIS1,GTF2I,HEY1,HIF1A,HINFP,HOXA4,IRF2,IRF3,JUNB,KLF1,KLF5,MECOM,MXI1,MYBL2,MYC,NFE2,NFYA,NKX2-1,NR2C2,RBPJ,RFX2,RFX5,RUNX1,SETDB1,SP2,SPDEF,SPIB,STAT2,STAT3,STAT5A,THAP1,TP63,YY1,ZNF143,ZNF76
progressive,0.0863535452612611,0.0462947410453222,0.192808984997824,-0.221018871942397,-0.250923965015347,-0.111821468157963,-0.0694460946650895,0.0292407124756444,0.0478943528431508,-0.128771936202881,0.145145651786829,-0.0406020986612173,0.259871594354595,0.305611888282741,0.367746609899788,-0.3134904543587,-0.0353938008852199,0.110137414701485,-0.234504045504968,-0.0832801875341583,-0.479427873039615,-0.102346476761861,0.392198046415002,0.0911619400878015,0.0885044176985804,-0.0426302917076672,0.0912097372530752,0.19151686829659,-0.191547139834596,-0.101057546538312,-0.0309438847982327,-0.0180418366520022,-0.175210068744025,0.262216841930694,0.296089099721366,-0.0196446349275157,-0.0432851128719178,0.143522141406364,-0.05332411081825,-0.110338162795634,-0.276661145276425,-0.0952262923749136,-0.151203145865857,-0.194548801813788,-0.362844213981543,-0.0568722537204055,0.0279485957744104,-0.068287810026622,0.271499051426858,0.161038209240355,0.113618641572257,0.0697089790740952,0.0283851432172441,-0.352735113526142
progressive,-0.304444102294697,0.305218402144839,0.170401905043273,-0.0043719972527041,-0.456439457288202,0.211813698549358,-0.0547986430064521,0.0370427403592747,-0.121111684164639,-0.0867245273218213,0.381141004941293,-0.0393185342153961,-0.159120091257171,0.381464856589641,-0.433881717927785,0.186032163234927,-0.202268907240761,0.10315263821077,0.448319613232338,-0.474283683112202,-0.108022189359573,-0.185988001646516,-0.184677874523652,0.196825255442613,0.316653309437434,0.324758432963827,-0.184701427370804,-0.202904834113881,-0.0604601586407619,0.0659774130862619,-0.227193707740015,0.0509271437557411,-0.0392684844151968,0.116080207191661,-0.0201906782215789,-0.0097479346152884,-0.0820316225266628,0.0698253594898203,0.412648826219703,-0.183267647800389,0.274611477270017,-0.389578812433717,0.405668351144847,-0.322344266130684,-0.0630421395098673,0.162252619928468,0.412672379066856,0.106017253245707,0.112241093105785,-0.273748854243052,0.238796429068572,0.0669636885607776,0.104854331417546,0.125898800348408
progressive,0.0895120767578287,0.276682252637896,0.165426939226814,-0.263518507359295,-0.192191185545703,0.0379444753189158,0.0729303392854326,-0.0053466273668576,-0.0005089114213003,-0.349050633862439,0.214021482894189,-0.0004008308040401,-0.212200393285826,0.249022022588085,0.248488804493313,0.123078828461224,-0.0577941609598723,0.0406623130190024,-0.0222116369521013,-0.0182277120212518,-0.219981509803843,-0.345140316876725,-0.0570646550114057,0.186060400433107,0.19614308375899,0.0101559855266982,0.079761049583496,-0.0649918408784918,-0.1436835497014,0.0356625525836348,0.0638225981612146,-0.27833426563708,-0.310802019380809,0.165464851522543,0.0865617205020803,0.141066836935285,0.0018294211410938,-0.0513216301331537,0.084313429642043,-0.20357190638383,0.243227403355766,-0.152090754151509,-0.101329782665883,-0.114731473461833,0.0471366783116434,-0.161634104496212,-0.0743050421860164,0.0618375531610389,0.21323625504333,-0.230960406168888,-0.182035200019004,0.0126755480350075,-0.074129009893548,-0.157171995448262
progressive,0.385609337864478,0.361590657703014,-0.417592806710066,0.199284202583663,-0.193335039607293,-0.379365403878329,0.070171243162197,-0.269142760475818,0.475101382148309,-0.532434614978526,0.286269878999814,-0.12310408224422,-0.24408831035734,0.042350939830414,-0.173080525526506,0.0327570391751181,-0.174996808518256,0.0883216459466602,0.096646348405154,0.044908336197024,0.0469049619317707,0.0768342622672217,-0.13705440528161,0.0720468119260768,0.193620039202383,0.1851020798756,-0.104246880463933,0.246017621902008,0.357337378031524,0.0240371372780991,0.0917237268274806,-0.0565547767933414,-0.167710590298634,-0.0969780336482019,-0.353006469898895,-0.345666508898484,-0.403062170211435,-0.144344966352205,-0.0840775948334874,-0.200492600866846,0.181141399788402,0.009321929613124,-0.165179793894232,0.120900085375522,0.329160418063599,0.065685620963662,-0.0131181242197264,0.382093800001993,-0.137808975638134,-0.322152142306237,0.0919354408124048,0.172792811649558,-0.350155931091621,-0.0774113185902331
progressive,0.232608851472328,-0.147830853539043,-0.217376280415096,-0.102944711776132,-0.118052425693551,0.19390313813018,0.435002275109818,0.0618042842076234,0.0494434273660987,0.0483197131077783,0.0190407138215405,-0.286110135882362,-0.365956276793019,0.309832992446904,-0.0361461419759737,-0.107064997389974,-0.389991276207094,0.367329705330966,0.292914850002191,-0.257829993714631,-0.0332744277602659,-0.27275042192233,0.193091566721393,0.1231715684259,0.0880242835684333,-0.265446279243247,0.370763276675834,-0.139839996590986,-0.122921854146273,-0.252523565272562,-0.116741425725511,0.0566227129053681,-0.119550711371312,0.532827844153602,-0.149329139216803,0.0578088557335952,-0.46590441721363,0.409219275738355,0.18503828120343,-0.0515659987429262,0.010487999744324,-0.225991423062219,0.0103007140346039,-0.102382854646972,0.143460853645574,-0.0465092845804843,0.288856992958256,0.0830299979758981,0.433066989442711,-0.0284674278774508,-0.0078659998082429,0.0389554276217748,0.371512419514714,0.195338995238034
stable,-0.0266728927408408,0.0729627289286356,-0.107417182770181,0.106069372963829,-0.272711138708126,0.159583949957303,-0.0621871615468917,-0.367556834607233,-0.14791957873627,0.177560296408891,0.0771871072875593,0.0917671425248929,0.0991238998835779,0.301411143854777,0.151073346738123,-0.0257871660928908,-0.134579096705078,-0.141609823119139,0.19894944983814,-0.219079729335301,-0.169536343433064,0.327313074050874,0.28919555181804,0.199334855441872,0.391309926779481,0.376298681188652,0.373275113692457,-0.12213665008719,-0.0675927778138002,-0.21832425363877,0.001630860963753,-0.380060925943414,-0.353950049410843,0.242997678250088,-0.0301753418334008,-0.386608432425779,-0.109887763849083,-0.286121689899473,0.181180485904476,-0.206075518737941,0.301388947720531,-0.308027407907547,0.0171264867387501,-0.225237895444681,-0.0435599134585282,-0.349270801637148,0.0080051367074776,0.0465740475976678,0.109659395895143,-0.275133140520484,0.387883297663676,0.361556916845877,-0.1524725103278,-0.247770553353696
stable,0.0477792437160092,0.132040998216012,-0.0268924494948155,0.0576352646972108,-0.200947904576539,0.17938190095813,0.0390761025429854,-0.108167683743615,-0.0093098302109387,-0.0485155386580862,0.0382642235472843,0.0185872395553665,-0.141828454493874,0.335199959351467,0.19597793310799,-0.159837974374105,-0.118502920810313,-0.149141105034423,0.162145983285028,-0.188560496465393,-0.134146803301589,0.0717236824338382,0.0934644717524446,0.0788304449596663,0.244166121844762,0.0649296494146417,-0.0044099359024197,-0.0764094283872455,-0.157538962641449,-0.133297927288363,-0.0154185652252136,-0.16616706269402,-0.0394703108062432,0.142246086445377,-0.108268514189701,0.0907740827652093,0.0691793036887245,-0.259747411897583,0.23116039041346,-0.0005050441920714,0.272984122612305,-0.185248836806501,-0.0737332720052848,-0.111243245034901,-0.0756000313717558,-0.104617753984432,-0.0906543272200111,0.163310070785097,0.130590784934701,0.0737990056999451,0.217547233106368,0.29465863530308,-0.0713463438798295,-0.272031158553964
stable,0.0472367944453573,0.129992896733393,-0.0423978132527582,0.0126102556901607,-0.0379198600663307,0.152728861239156,0.133190071174171,-0.0066731748055891,0.0043583166811582,-0.0522108235786193,0.0307702577300282,0.0333778632865979,0.122013148815967,0.254099486510604,0.0412595553643293,-0.0373671436024071,-0.0039357593339811,0.0878703009870165,0.0763114218002555,-0.0013517132526659,-0.153316707394936,0.0105765515011524,-0.0314514804226123,-0.0448107504969983,0.274075965996793,0.1993655176286,0.0691170983651746,-0.0474037128619326,-0.0876923245163444,-0.192168540260536,0.0186163621124096,-0.212463561545051,0.0214750902574867,0.106345632169494,-0.0750671229930678,-0.116679395362911,-0.104976295870615,0.053930176389801,0.130096865722016,-0.142405294735622,0.232087347305841,-0.108883653465653,-0.0964594524456834,-0.132684403820415,-0.204980215496054,0.143457532603235,0.0456948593821143,0.0422898400845466,-0.0210099303018951,-0.070437802506142,0.188372647850793,0.123886965182794,-0.0055115436828169,-0.0430966822716692
stable,-0.1635777563697,0.209687187613745,-0.0226820970315548,-0.141121976045521,-0.138482307228504,0.123483274097101,-0.0975493921081335,-0.161744251947735,0.0201751117167357,-0.194844027516663,0.147293454358802,0.0416022393989769,-0.0343478536893559,0.161067598901901,0.0151623443175379,0.117234023343537,-0.0776502577005861,-0.0778108342720838,-0.0285255309729551,0.0438154177171729,-0.0799407709207228,-0.059535185882362,-0.119682597289705,-0.0770016071086372,0.321778166516767,0.0866317166304907,0.145794885537605,0.0269412046367345,0.0742821969287988,-0.115312245561083,0.158441821927241,-0.260118294445869,-0.0531368439387769,-0.100557577593663,0.14826292993999,-0.0488543280323026,0.0200108160693315,0.0339256291893689,0.385337830068435,-0.430630705381806,0.131447128228203,-0.175384837911952,0.0498392268400443,0.0055553149432225,-0.0210142008720207,0.159321930302085,0.175681379523213,-0.240523249185981,-0.116325474976467,-0.0068042681403343,0.0786712534215391,0.110284711242845,0.0992315082637811,-0.27024894783092
stable,0.208072853065596,0.272478562104737,-0.132123951520686,-0.388763427633489,-0.330746952254537,0.182588903903875,0.0876865747278577,-0.163937579605468,0.208488057382752,-0.330652848701063,-0.147813090348071,0.111988265161436,0.116108940481837,0.297591840461932,-0.0830741752055047,-0.198846463538296,0.214171646932107,0.047451518028585,0.190858353070503,0.031959952483422,-0.230397308554505,0.0237580104668913,0.10522942101845,0.137532034140717,0.347502156220565,-0.0680911222896739,0.21540683338657,-0.207434185943995,-0.218740926704136,-0.0361939055085674,0.357391158468519,-0.228603774349434,-0.259753906112121,0.196313620007487,0.20293320856336,-0.243368047548458,-0.192846456312896,-0.0555516691591051,0.212293286988693,-0.0355335017915163,-0.0061028584331395,-0.183480369397764,-0.113527410511625,-0.0754931399216095,-0.237605375670128,0.120971045771434,0.0582855320177565,0.187320412900483,-0.0221055874119579,0.0564747675845845,0.329578654429162,-0.102085390370857,0.188055304219016,-0.0461306222343387
