group,ATF2,BACH2,BATF,BCL11A,CEBPA,CLOCK,CTCF,E2F1,E2F2,E2F7,E2F8,EBF1,EHF,ELF1,EPAS1,ETV1,FOS,FOXA1,FOXA2,FOXH1,FOXP1,FOXP2,GATA4,GLIS1,HEY1,HIF1A,HINFP,HNF1B,KLF1,KLF5,MAFF,MEF2A,MXI1,MYOD1,MZF1,NFYB,NKX2-1,PRDM14,REST,RXRA,RXRG,SP2,SPDEF,SPI1,SRF,TCF21,TCF3,TCF7L2,TEAD4,TFDP1,TP73,ZBTB33,ZNF76
progressive,0.347569601307475,-0.182878686375807,0.0047088647916011,0.162216334076331,-0.373859039076063,-0.355087234722657,-0.121136700507426,-0.0607489707855975,-0.146081430351409,-0.224392764043432,-0.135524279615525,0.0315520994332803,0.127311217368329,-0.0856873351482814,-0.402807656657684,0.37243794537586,0.391074483251643,0.386607506749438,-0.407093216942842,0.0390235831090381,-0.272864312771847,0.37438259991298,0.417241385505208,0.0520553147002588,-0.166260006072093,0.402354116115066,-0.167218011007728,0.395151574024229,-0.402037433420396,-0.18971203055125,-0.132511815590347,-0.391796965379182,0.165384752393357,-0.467310670039898,-0.271626226659016,-0.242262261422576,0.0097375950185223,0.121359492352922,0.194032600983558,-0.118674850614689,-0.0293289550892901,-0.210087936192231,-0.42090790273395,0.366607164505152,0.0935916715524325,0.103688916264399,0.365642794088217,0.358693279879051,0.424867232102488,-0.0222696363277008,-0.125853522150652,0.170746079018198,-0.446910893844042
progressive,-0.231858629901318,-0.466838860021618,0.104156802761177,0.186619075212598,-0.074241467329274,-0.399819049259551,0.281097734870608,0.147640457326721,-0.19530989400408,-0.0760949174592941,-0.367846295501501,0.386510863477493,0.371783768504989,-0.0106033901377705,-0.323656142401548,0.345128968150298,-0.451366837724129,0.0442433621945946,0.114248794378225,-0.358185888763214,0.252267273757233,0.0063407504448056,0.107701119676479,-0.423999626713402,-0.167848089047323,-0.199436554899627,0.129150296938721,-0.181422320302589,-0.112936303377062,0.191981369528158,-0.332305576341642,-0.236189258992992,0.0320909961905872,0.127190428619418,-0.225712979470199,-0.0173934618262173,0.0518759112148688,0.0798638949964163,0.354549933962697,0.272803028228126,0.262285363853945,-0.194290053023447,-0.0069644792764391,0.198830562432874,0.447866861721029,0.0004907060950292,-0.0081764642099451,0.0343228221047263,-0.212126923971678,0.25853116662089,0.397903521852449,-0.187304881321314,0.455585136504893
progressive,0.137185942442797,-0.0179134510815897,0.220454629628811,0.202120300132994,-0.244930663521816,-0.208907050604249,0.1060885113643,0.0244293800982243,0.0037169307746774,-0.296734042985243,0.077987171690302,0.137728426649978,0.0654641459466671,-0.0206182239544157,-0.0687087261695964,0.260845573109279,0.220825259611611,0.0233162664437323,0.100909787180367,-0.0469887843236762,0.0657394033358739,-0.147047101508478,0.002378961125668,-0.0706394284572146,-0.359709629629322,-0.125144062638451,0.203125039316659,0.0463440441761313,-0.105467939412084,-0.0112008877921987,-0.15189871375753,-0.0678219981422376,-0.253068079592792,-0.258818503966867,0.0109977525808251,-0.17060879750541,-0.0381619628327751,0.138815230623479,-0.016870318119269,-0.147928399340051,0.179835541443702,-0.0162381974408042,0.0884929179402664,0.13784605539813,-0.1387795137019,0.153894501912949,0.123890452228201,0.0973130090476581,0.263619179449814,0.208497185544855,0.202400528828202,0.105005837398862,-0.152992859967586
progressive,0.436832428279487,-0.117880051076289,0.284480971657708,-0.368655068535466,0.291742430209801,-0.123754672706439,-0.400151651800725,-0.180006104752828,-0.369866851953346,-0.487615884723798,0.0638015657868598,0.260558442487512,-0.268351585284866,0.124260262019417,0.118074675779564,0.105048411770677,-0.27900864690025,0.111005667353056,0.0719355736371567,-0.191621067840757,0.127869517340773,0.254813208229931,-0.0081514044718187,0.0877322496233937,0.0096094588131164,-0.0511928206944967,0.0758775393451171,0.108587536961523,0.269346454578145,0.0538577656538708,0.131237938182935,-0.0945973913914427,-0.0687193732333099,-0.171873184191376,-0.209778791554159,-0.0448544703719054,-0.383525918070089,-0.165531028357827,0.0998984681557955,-0.37026969247046,0.156537518675468,0.0204307010441123,0.167490322856722,0.0853179247428183,0.0159369362472567,0.191235080300742,0.0168883139867313,0.0806599793303505,-0.0308284442699363,-0.125130636739931,0.151140760492745,0.0527378581434035,0.0617547445359329
progressive,0.383441867636867,-0.194996881426397,0.416950131741179,-0.255149519408812,-0.0238988177876192,-0.0157245485182247,0.0988400192574122,-0.0303259149994333,-0.0574694808939878,-0.192126527331801,0.0596534459659634,-0.141583335666078,0.119556487940153,0.454389532975048,0.10433113143838,-0.0372522042276989,0.277613160149133,0.0597158449680199,-0.161239021313859,-0.263510985684376,0.0683269072518096,0.0321978850611267,-0.282979474325988,-0.193998497393494,0.0368778102153602,0.207351883833574,0.365533354046667,0.0283915459356834,-0.0920385280332595,0.17914753490406,-0.405281518356624,-0.0693876902867692,-0.104268732436323,-0.290529753574818,0.0705108723237852,0.354363932678563,-0.428369149117509,0.450895188859887,0.102271964370517,-0.0310747030241106,0.463062994260894,-0.0104206333434267,0.0594662489597941,0.0133533864400797,0.12417401409233,-0.525773991327623,0.205230317763654,0.0921633260373723,0.130289116293862,-0.270749269922924,-0.0841762537741471,0.43186349323267,0.112443001705718
stable,-0.188797617858726,0.094126588922327,-0.0991278060866332,0.0537589350524793,-0.0070589969925653,-0.118405557115621,0.135509495139264,-0.231886358528155,0.0493891448326467,-0.0318061461515805,-0.102065828878438,0.177320909399621,0.015524510407766,0.107372740077971,0.0322852574122212,-0.0077732108004111,0.171219477086513,-0.0084464360023086,-0.0210125305217304,-0.0785244025761281,0.0510066260678729,-0.022469447748717,0.123810537350127,-0.20722422277407,0.319043518152397,0.0578064839850537,0.151925533028015,-0.107830446177728,0.0922953090943455,-0.138689401309381,-0.0343790667311412,-0.0289886602231945,-0.302614272823951,-0.21938640241364,0.0572947336493058,-0.101635650928849,0.0851708315386972,-0.047489601264635,0.138149971013813,-0.163584817894851,0.0293677795266082,-0.0955720192190047,0.0691050185163268,0.0342124303368351,0.0111742024265631,0.0508861398076717,0.18626229546956,-0.138823044406059,-0.143797998500628,0.0958700215652144,-0.0318620121033915,-0.119171487411466,-0.048316002405058
stable,0.0385065642085021,-0.0042482581295535,0.126848199632387,-0.0640117340105296,-0.0047391158014234,-0.124446603087719,0.17613979907776,-0.0289887748863739,-0.0333155267221637,-0.118417703574714,0.0981081565349334,-0.033482150985699,0.153597183812097,0.111650885506546,0.0135567179489614,0.103525349155081,0.183768843308144,0.064886045094845,-0.0299179927067843,-0.135042631697296,0.0912789320844807,-0.0621971304987357,-0.0509516247574593,-0.218631473208571,0.0961899180159453,0.0681593880779812,-0.0056997311043283,-0.230756769050292,-0.150539815095922,-0.132037449638287,-0.0573298212632165,0.0507699623432738,-0.190935901561576,-0.197104185690557,-0.0014963931353734,-0.0317665194886496,0.11213937282392,-0.0998721665786482,0.021185023872208,0.0047075628858472,-0.0725908240942664,-0.117352598382665,-0.152408509320132,-0.0895859161008123,-0.0614520620218173,-0.064968074903689,0.12435843367215,0.230651191129577,0.150630588015609,0.0956558499473751,0.116964365402959,-0.102703574452366,-0.209697607115955
stable,0.0231234740288091,-0.0693705852445897,0.034312884116549,-0.0519108671248217,0.0042756528797067,-0.0272777372356681,0.189791984323216,0.0326607212554766,-0.111138492118878,-0.0891224424634062,-0.0329290698160557,0.0827810673974855,0.149009016658898,0.070391885416473,0.0016632809244265,-0.0285789235810452,0.0613048847931848,0.0553559983411433,-0.0943789089824048,-0.0293350684306714,0.127996249852516,0.0803150716222136,0.0516476930088225,0.0145582532089711,0.046061297377082,-0.0525545726922248,0.0450172249873853,0.0102667273708908,-0.0873834561516123,-0.182043509956192,-0.140739694820781,-0.0262753634106266,-0.266863961150814,-0.147864415532836,-0.0637744001231034,-0.155190007251151,-0.168985262967673,0.0024007558186089,0.0892810788139057,-0.19440563099055,-0.0223004110242778,-0.121090021228263,-0.143921745154339,-0.0378435568266016,-0.177117881573983,-0.0312792144775662,0.144809605257664,0.025113094586404,0.046106795196091,-0.0381224407428118,0.0844289182214079,-0.0591895159089744,-0.063265230114778
stable,-0.134609367202763,-0.0541761982630965,0.331764549716833,-0.187719023713672,-0.263462895735914,-0.216726064677751,0.168590679075623,-0.378370242301096,-0.153252082826682,-0.087765300837348,-0.0003757621655952,-0.0246787037925373,0.0860232205084955,-0.071132205572644,-0.268863147389761,-0.0191612389040768,-0.0877443581546434,0.0424902909614777,0.053266342864757,-0.0369709620646089,-0.144457033271173,0.155953688895576,0.0293692068330493,-0.0472682927496247,0.0215666869311644,-0.223394938524751,-0.0828137269721256,0.0074941909816474,0.14847649328471,-0.248039980518387,-0.189558800012628,0.193765538047419,-0.400412032081261,0.128196410745462,0.0089793670928199,0.0700039322478773,-0.0874631121801024,0.12845485002889,0.133748633908358,-0.147053596983884,-0.158696961034773,0.0782073236050924,0.0552942743653945,-0.0281351236192253,-0.252342440867319,-0.0781686180187325,-0.107702954067243,-0.149618362906102,0.0538444047664256,0.158773385379512,0.0947592796802602,-0.0433876465387266,-0.165277787896372
stable,0.205858219749713,-0.0618764734746511,0.103908123078487,-0.0500520167660099,-0.321612624389409,-0.214529517575687,0.16962027003259,-0.224364807538647,-0.233839455120749,-0.0933680500716089,0.144883130429922,-0.207586730329353,0.184725463420619,-0.122845441189453,-0.0739611427547691,0.108081372021447,-0.0769162810238877,0.119972988947139,-0.178042001556633,0.0709069941788765,0.215008954580891,-0.236696647710049,-0.15392820103586,0.0350168226002431,0.0195315573894361,-0.0932318665403381,0.188876887511011,0.167320143497264,-0.192527848213847,0.164541733302602,-0.212673429199326,-0.0172308098217201,-0.117081639576381,-0.177592817700722,0.0954182554293519,-0.127201096217295,-0.172438515019135,0.032570487296491,-0.0476171262020194,0.0177621473909582,0.154117704633772,-0.0109813608795429,-0.141722962753138,0.141250002228575,-0.0055166307217888,-0.0432525105639769,0.106124853835706,0.0173431279654262,0.0564654182591894,0.0134469481873898,0.0119164582212976,-0.12988998902886,-0.0630187294779805
