group,FOXK1,DUX4,KLF5,ETS2,HOXA6,ARID3A,EBF1,KMT2A,XBP1,FOS,HNF1B,KLF1,STAT5A,RELA,ELF1,EHF,SP4,TEAD4,NFE2,PAX5,E2F2,SP1,HINFP,FOXP1,ASCL1,KLF4,FOSL2,NFYA,TAL1,TCF12,MAFK,NR5A2,HOXA1,AHR,FOSL1,USF1,HOXC6,GLIS1,MYC,RBPJ,SPIB,ELK4,MECOM,ASCL2
healthy,0.478448827713049,0.565848246984464,0.645836748850163,-0.600728964907369,-0.340852794546915,-0.605373139814952,0.302414836269266,0.496679684531111,-0.472075438744133,-0.197476245804322,-0.569306675107132,0.389913067772758,-0.311851404432545,-0.452905865721347,0.63467096662555,-0.380476499609479,-0.0249994947152832,0.375190045193401,-0.506857344434962,0.104740966000791,-0.603199270709275,-0.440702555059934,-0.463429368437464,0.251180693937747,0.573555601086409,0.614068616237659,0.441097803988239,0.421137733108843,0.402758657942666,0.555324744268347,0.441443646800505,0.227811601051721,0.288828154358786,0.647714181259611,-0.0364123075200865,-0.549346604227736,-0.564563687967473,0.169907633055057,0.504337632517018,0.496383247834883,-0.0683780645967431,-0.45438804920249,-0.262544100626512,0.620096162394308
healthy,-0.187732008182133,-0.056852175527497,0.240190455858559,0.016243478722142,0.02676179691107,-0.172953105410348,-0.113038634713923,0.218088673334988,0.0924014281407093,-0.0974608723328519,-0.185868002427133,0.436044203401762,0.122092376952493,0.231136713619988,0.186001145695347,-0.0448692813882119,-0.0294246622753556,-0.0364812554907123,-0.0322206709078554,-0.0109177479935708,-0.115168927005351,-0.334189603217839,-0.279201433445342,0.342977058919982,-0.369738855831052,0.205972635927489,-0.270014547938557,0.251241347120344,-0.176547973652133,-0.135406703773921,0.0718973648357104,0.0994580213560661,-0.0959962963824949,-0.0320875276396411,-0.168293091022848,-0.074560230199996,-0.0824156830246384,-0.0896054195082095,0.0328863872489268,-0.0230337854010702,-0.160837068002849,-0.354959953059267,-0.0017308624867856,0.0547218832360685
healthy,0.303442871134372,0.129239793389963,0.0662559204324826,-0.0476757995474785,-0.154412664206012,-0.0975714826049493,-0.0930161600049925,0.0248566134392837,-0.220644257147975,0.176550680579634,-0.145977106868042,-0.0767532325920626,0.0968599035072258,0.0205384838719014,0.0745637584452209,0.114296632337768,-0.141634649810139,0.0519878472422307,-0.0143593012797036,0.0615303053988825,-0.0443855064545858,-0.0825735846990835,-0.0539827014649087,0.0636346333289026,0.254204030320954,0.218740631014748,0.100630664537898,-0.157179916252715,-0.11964259837964,0.271464384845223,0.0640421187951204,-0.0411317045974738,0.0638414169983266,0.0423602428687572,-0.0288463218846397,-0.188890800146139,-0.110160958949289,0.0531129936788021,0.0577899537313612,0.140381784048335,0.175170095492598,0.13226856595976,-0.137413830204839,-0.217700630794998
healthy,0.180213326830121,-0.0723321786432915,0.110220462694539,-0.20290324239263,0.065615619197843,-0.115918056924973,0.311803355794474,0.0315879216654533,0.0903291135676342,0.117726361391056,-0.275149311299441,0.079321418920927,0.344309781315715,-0.155686403556037,-0.123122571543809,0.117798119504789,0.296475822701015,0.124385514345517,-0.386388739208995,0.110421385412993,-0.0989257355928984,-0.211944764723041,-0.242413259814253,0.0901999489629141,-0.146989320171546,-0.0088693028574512,-0.169593125997574,0.439618907976449,0.141463945414072,-0.107464951127176,-0.0271245669912343,0.138765840337695,-0.359120655990294,-0.0293347168942238,-0.373515333605219,-0.170181542530189,-0.222478855819108,-0.0094720710128119,-0.0784459699333792,0.37139129343871,0.15584427140625,-0.187920148245091,0.116635638062308,0.19485198203174
healthy,-0.145590368590673,-0.0247314750507404,0.310960153580224,-0.0759764808608502,-0.23673379473742,0.192928559962635,0.181413738460725,0.106910101719201,0.445251447798048,-0.283254172082258,-0.593702607742653,0.213940928366215,0.311084772860548,0.0093550135997998,-0.0106868821582594,-0.328534587587874,-0.302640258877613,-0.228058735085886,-0.498487246611329,0.408995025928871,0.372210529859323,0.19746937498943,-0.0057753247725015,-0.378633096019006,-0.15065146911282,-0.149093728108773,-0.0370142628676452,-0.371632607946822,-0.300839510276936,0.228097678610988,-0.10135052407576,-0.0066492174757714,0.322468744118118,0.454794169188836,-0.451407640246039,-0.0068252422092286,0.0393446434096984,-0.233504597636032,0.287101792362252,0.30470270796697,0.0100559970516206,0.248985427734244,-0.210630728732617,0.158091240148145
healthy,0.220858041969574,0.148630455449754,0.256727077295097,-0.0280079863740641,0.253482834870685,-0.320911246206463,0.206047787351623,-0.106416910530928,-0.215214211953141,0.131459006641255,-0.22022455084528,-0.112828608576807,0.327822058471483,-0.456891075871085,0.109421194196138,0.0735713555713508,-0.164736487367396,0.37092824997454,-0.156846643364833,0.221270771035401,-0.0362913627417192,-0.365226829855899,-0.023554351803274,0.017958513538682,-0.560111735729442,-0.146873957332395,-0.108557342663011,0.10911404698436,-0.307703916099982,-0.0976440182945012,-0.141575667929214,-0.333619462093804,0.0902052967592374,-0.327668484865593,-0.0004511224672998,-0.0908963779857394,-0.113692460109935,-0.140500652687989,-0.244815524488307,0.0480109485411476,0.0133513053620025,0.158727920036977,0.0160772368665378,0.263503512654963
healthy,-0.607227961274254,0.630331041699606,-0.522072860510217,-0.63199734883139,-0.608310868704586,-0.498291182215075,0.603661082634443,0.539235665680856,-0.627964428802163,-0.607394840723739,-0.614050119798604,0.606254497818923,0.61167491419238,-0.607491169511653,0.477508133160616,0.632170785874419,0.610028505965141,0.654581474871148,-0.624056555298092,0.600728933824855,0.478502852263984,-0.413006738571491,-0.650263186460822,0.631606606705766,0.447603471487205,0.550714393992809,0.654522682653172,-0.608110296791722,-0.652008184715128,0.638629563266895,0.602308183249253,-0.614640755465346,0.647839138088895,0.6012013066839,-0.634976983663189,-0.652226394293385,-0.639721515653839,-0.633646922793443,0.638823351462301,0.60668639449713,0.676139224459396,-0.618010454051023,0.611449016401004,0.580924096827948
healthy,-0.0029525546772167,0.0581349737753297,-0.197262661442057,0.0501095438470893,-0.136006257899561,-0.0014867630468078,0.0722299731129215,-0.0463942918682064,0.144628821315792,-0.0654142627832716,-0.0434605010898729,0.0003752779776649,0.135028327640117,-0.0394704131802884,-0.0440212105388546,-0.209953679639679,-0.174053926040997,0.116716969847584,-0.149050478899691,-0.056763001639337,0.163585877981661,-0.0233765067322519,0.018523279474038,0.208875307333271,-0.0571151006830873,0.21141836751133,-0.215422804284766,-0.0218731873040765,-0.160024048470117,0.0092903374647228,0.210264939609389,-0.136553722243449,0.0954508498603182,0.165535115948003,-0.0483645012509473,-0.140180673521705,0.0573888328550312,-0.11757679791994,-0.0940921228294196,0.188089322405665,-0.0753436765687826,-0.0038377692010028,-0.0878901023691276,0.146642077290089
healthy,0.0182630971365711,-0.0690398368966861,0.360903076647467,-0.0882456136630487,0.100681236724545,-0.206397533140467,0.0748731807079365,0.0277028068540724,-0.0245108443218145,0.252641662625831,-0.062641824465349,0.0810340557977819,0.205605118756769,-0.218916506455656,0.0809471837023839,-0.245012179544866,-0.147378509842661,0.275823598677504,-0.0737473653094682,-0.102991564883237,-0.103384837206998,-0.0599088753020181,-0.334685313045806,0.267191564657757,0.0767491483896387,-0.204750485169611,-0.137874233027228,-0.126405942487461,-0.177870615327349,0.151973339320872,0.218808503310026,-0.168032937497146,0.0042473410966198,-0.136197836375495,0.0866513933177724,-0.0555946192129972,-0.356267159016026,-0.244272592786748,0.172746335646104,0.157951078642041,0.182785932400745,-0.257809378354775,-0.294178263698413,0.387758293597792
healthy,-0.154236953927823,0.142108675877184,-0.123127008529128,0.0602328838309508,0.119708246043958,-0.25979025413701,0.217900498489252,0.0176966568547904,0.0921757064012068,-0.0658845503522588,-0.104506254622082,-0.0267789841065767,0.0925842128234487,-0.121140001562689,-0.122369486911184,0.0408189135700366,0.10355836107921,-0.0654165527034768,0.20663286018256,-0.0603597984475696,-0.105489842900878,-0.119149028514481,-0.0087848711190858,0.106996953973226,-0.144190868806087,0.149124674527145,0.0712863537220985,0.0885665719911083,-0.151877135275066,0.0860441439858087,-0.10307449910335,-0.0065242045105625,-0.160503363123378,0.10361388622398,-0.0404540340472574,-0.082946634123955,0.141125087598388,-0.0705486625130014,-0.0841919837995275,0.187480651318422,0.16709102494225,-0.0011858584490323,0.0094273763657187,-0.128667624760895
