group,TFAP2C,RUNX1,NR2F2,ZNF76,ARNT,TFAP2A,ETS2,ARID3A,STAT1,EBF1,KLF10,MEF2A,E2F6,FOXD2,BCL11A,FOXM1,RUNX3,SRF,CLOCK,E2F1,TFDP1,ESRRA,GMEB1,AR,STAT3,PPARG,PBX3,RXRA,ZBTB33,TFAP4,RELA,RUNX2,MNT,SPDEF,TCF7L2,MEIS1,E2F2,GATA3,SP1,ASCL1,NR3C1,CTCF,HSF2,FOSL2,NANOG,IRF3,ARNTL,ELK1,FOXA1,TCF12,PAX6,FOXP2,ZKSCAN1,GTF2B,YY1,TCF4,EGR2,USF1,JUND,NRF1,NR2C2,MYB,ETV7
healthy,-0.0077098143534401,-0.164184710522652,0.196771942040836,-0.113493461494365,0.0808438023295946,0.139494576297667,-0.125729280225331,-0.179042490410253,-0.162842516121041,0.143302662739447,0.0514403807873251,-0.0161063328193324,-0.0650183939199018,-0.0865871458155581,0.113493461494365,-0.255110577775976,0.119736226153021,-9.36414698798393e-05,0.121889979960257,0.253674741904485,-0.13400094339805,-0.171395103703399,0.004026583204833,-0.092829910474214,-0.183724563904245,-0.211629721928437,0.0700438194701198,-0.0092080778715175,-0.119673798506435,0.243436607864289,-0.214095613968606,-0.0601490374861501,-0.205012391390262,-0.145643699486443,0.056902799863649,0.0314323200563327,-0.240440080828134,0.193525704418335,-0.124043733767494,0.245403078731766,-0.16730609285198,-0.0358334691406852,-0.356118509953029,0.141648330104904,-0.165558118747556,-0.0671097200805515,0.0960449342734218,-0.195211250876172,0.216343009245722,0.18472340624963,-0.0195398533815931,-0.0434808558475387,0.120329288795594,-0.0023410367469959,-0.0191652875020738,0.203701410811944,-0.162811302297747,-0.0328993697511169,-0.186408952707467,0.0333987909238093,0.177138447189363,0.240096728771908,-0.0581513527953802
healthy,0.1430419932389,0.101267392997932,0.139008583560462,0.160904236100555,-0.0309708243165795,0.136991878721243,0.098962587467396,0.023480206342337,-0.0151252862941435,0.164937645778993,-0.0505616713261368,-0.0508497720174538,0.17588547204904,0.164073343705042,0.098674486776079,-0.0574760879177453,0.131517965586219,0.0888790632713004,-0.205559843254693,0.0900314660365684,-0.134687073190706,-0.023480206342337,-0.143618194621534,0.192883412836744,-0.0741859280141324,-0.0347161333037008,0.0963696812455428,0.103572198528468,0.0626619003614516,0.0505616713261368,-0.104148399911102,-0.0254969111815562,0.129789361438317,0.236962818608248,-0.0969458826281769,-0.18654519762777,-0.241284328978003,-0.169259156148749,-0.0122442793809733,0.0900314660365684,-0.0131085814549244,0.0900314660365684,-0.037885240908188,-0.177037874814308,-0.136415677338608,-0.235522315151663,0.0592046920656474,0.194035815602012,0.108758010972175,-0.201814534267572,-0.0390376436734561,-0.109910413737443,0.0030250572588287,-0.0476806644129666,0.4291259797167,-0.0747621293967664,0.0782193376925707,0.0122442793809733,0.0027369565675116,-0.0404781471300412,0.0266493139468243,0.165801947852944,-0.164361444396359
healthy,-0.080375818136358,0.0443869366580905,0.0211023057070729,-0.0829673293635424,-0.0498622348147734,0.0956131247503294,-0.0350730842776835,-0.103524053759629,-0.0563507554061448,-0.04062632262165,0.0076965934942694,-0.110071029491463,-0.0658984283484031,0.0052999327352943,0.104225515445183,0.0078524738688369,-0.115858088397281,0.0802394228086114,0.0173806617642743,0.133940211847109,0.180938144779205,0.0498817198615943,0.0087877561162418,-0.0172637514833486,-0.11063609584927,-0.0052414775948315,-0.0308253440707196,-0.0567599413893844,0.176417613916748,0.124217173483462,-0.0269673048001744,-0.039125974016438,0.0556103236269493,0.0247849795562297,-0.173767647549101,0.0461600759187957,0.0624300900142766,0.131270760432641,0.031312470241243,0.0876242555537459,-0.0150034860521202,0.0094307626613326,0.0278636169539374,0.0242588832920644,0.0108531710792609,-0.0557467189546958,-0.0491023179887569,-0.114864351009413,0.151340358658204,0.0845066480623963,-0.0104829551896632,-0.0074043177919554,-0.187894306494279,-0.0516353740754785,-0.0245316739475575,-0.0014418934647492,-0.0345469880135182,-0.0338650113747855,-0.0645539601177585,0.0146332701625224,0.138226922147715,0.0497842946274896,-0.165077316666964
healthy,-0.290577436398484,0.136761036606744,-0.254593271170863,0.273292311844156,-0.167584408000148,0.242168483275472,-0.194943684902091,-0.270941676296379,-0.245243750834217,0.131246763742786,0.0088546496950088,0.0768816889686398,0.187927126161735,-0.283154376773926,0.256130904950236,0.263129789739106,0.175679077781214,0.325200707361603,0.0609574586788135,0.302666419215622,0.307208624747792,0.080999719665121,0.116718775620436,0.123947421778637,-0.140472566419023,0.163872878187869,0.12704036328887,0.283949704590843,-0.182041700316549,0.0053198593976001,-0.278223344309041,-0.0779244521063754,0.285505012321703,0.171366633618375,-0.11783223456412,0.0705367403847911,0.0071226024492785,-0.299396738190519,-0.124477640323248,-0.142027874149883,-0.188899193493522,0.176757188821923,0.0764044922784896,-0.148655605957524,0.165569577530625,-0.286865906586205,-0.328594106047115,-0.217212863775766,-0.038900367222983,-0.271860721773705,-0.160832958532097,-0.0366027535296674,0.0967648843915639,0.0061151872145171,-0.0081830395385012,-0.140737675691328,-0.178489236067654,-0.048214539656655,-0.226774471530257,-0.141179524478505,0.219970000207745,0.243299616170643,0.26926265090511
healthy,-0.108997123224304,-0.208947610067301,0.196276234187279,-0.015889053461081,-0.352120099187591,0.0602462129417349,-0.120556422731349,0.0222509696174359,-0.098914996861743,0.18390490910223,0.137674005845974,-0.0256123778240588,-0.0190826010831035,0.0518384959105627,0.0986023565229247,-0.0130710938971019,0.106850605998727,0.198384982781321,0.146518160397107,-0.178233319600044,-0.0358015153093026,0.146897944969765,0.0819149161563382,0.155223829965945,-0.292930358800185,-0.206801092841723,0.179435621037244,0.117658729389684,0.112274601138627,-0.019944984836488,-0.133282353301366,-0.259406501798179,-0.0030078518503083,0.0152889518711346,0.0260718961744023,-0.000110158508644,0.135676464889229,-0.110938011233746,0.148511504839237,-0.033176595417614,0.204641986072301,0.0655002492397272,-0.0423543728806405,-0.0894182842879757,-0.0543186360480335,0.146337710268662,0.165618596667324,-0.267900247378959,-0.0585235436922734,0.0188161224050503,-0.209226678289199,-0.0765601635075856,-0.0636307019787403,0.041284261653813,-0.28441563064633,-0.208194335693906,0.078880836089686,0.0018726946469481,-0.0898463287787067,-0.0661108421162111,-0.0157463719641706,0.137193504922555,-0.0640734342706239
healthy,-0.0310348365347783,0.110032602259668,0.141067438794447,0.138246090018558,-0.0394988828624451,0.141067438794447,0.135424741242669,0.141067438794447,-0.160816880225669,-0.143888787570336,0.084640463276668,0.0931045096043348,0.143888787570336,0.138246090018558,-0.152352833898002,0.0282134877588893,-0.042320231638334,-0.087461812052557,0.152352833898002,0.152352833898002,0.160816880225669,-0.138246090018558,0.143888787570336,-0.110032602259668,0.0112853951035557,0.152352833898002,-0.141067438794447,-0.155174182673891,0.135424741242669,0.0987472071561127,-0.084640463276668,-0.10721125348378,0.0592483242936676,-0.0536056267418898,0.141067438794447,0.15799553144978,0.0959258583802238,0.0197494414312225,-0.149531485122114,0.0282134877588893,0.15799553144978,-0.146710136346225,-0.10721125348378,0.138246090018558,-0.143888787570336,-0.135424741242669,0.0197494414312225,0.138246090018558,-0.13260339246678,0.112853951035557,-0.138246090018558,-0.0789977657248902,0.160816880225669,-0.124139346139113,-0.141067438794447,0.10721125348378,0.0197494414312225,0.138246090018558,-0.118496648587335,0.0959258583802238,0.149531485122114,-0.138246090018558,-0.10721125348378
healthy,-0.222328301842328,0.274566553716238,-0.337109795347656,0.226160726556804,-0.274251827394714,0.250960356647587,-0.287554757660173,-0.176392042534272,-0.213065699445344,0.365246213628324,-0.342685275510721,-0.190125137060355,-0.281886812282208,-0.332977576582385,-0.135796941602452,0.278966404718427,-0.303789007533408,-0.314338656803633,-0.170226737677401,0.0924577487650784,0.196040613541563,-0.233238622882475,-0.325794580043504,-0.241385899519604,-0.233257575379939,-0.321036928861918,0.27535681542868,-0.256142428908746,-0.258430512238954,0.314688990847666,-0.284009491998183,0.156579216548958,-0.0014237345822248,-0.253431073135175,-0.23891805462254,-0.107789170577298,0.269440764629366,-0.285719236996684,-0.267882639610578,0.222467861141836,0.269417217587062,0.294863529864043,-0.104539678739368,0.358168891620758,-0.335402347621575,-0.0214823687164663,0.29279770764046,0.31126777789635,-0.244017999394689,0.323076906770778,-0.263179548648965,0.200896473119099,-0.239656627705534,-0.189800647331046,-0.177499902158762,-0.18363706542849,0.0792277568989504,-0.270835208988237,-0.278543132275062,0.0208310919854284,0.32343528126828,-0.263344377945092,0.29167376710903
healthy,0.0953312387045105,0.208940220406645,0.132678613583565,0.0614458395867163,0.0756152359820228,0.141947774492747,-0.1435010949956,0.230869451035158,-0.0377365510399005,0.18798562225051,0.110221457032514,0.0787929439388399,-0.0048088636918391,-0.0945562705233486,-0.0901365829923549,0.0322643958043594,0.168997209741777,0.0642039141179259,0.144533257856973,-0.153535071664357,0.0757539857437156,0.0024602701646496,-0.17308186736039,-0.171545467560183,0.0093774534061128,-0.161294905897564,-0.194347806445202,0.205464708083268,0.126868044295115,-0.107510760468711,-0.10282034169539,0.153765193220335,0.0897643275341548,-0.150645015652513,0.121071011568781,0.0055195332029484,0.133663398477531,-0.12070214025111,0.195271676809644,0.0517671976735143,0.172276441914466,-0.0579770955443974,-0.0135771718027155,0.197491672996728,-0.0003587188960837,0.23898462002392,0.149345505689342,0.11727400589514,-0.0721972540476403,0.164499686978614,-0.194757287449222,0.0697335997424616,0.0748368836603318,-0.185721632236547,-0.163728102937981,0.195203993999062,-0.088109482815429,-0.176564147964825,-0.142171127767667,0.13437406798864,-0.0072217558890814,-0.144316672863112,0.198056824465086
healthy,-0.109198923225434,0.0090164248534762,-0.0170310247232329,0.0170310247232329,0.0390711743650636,-0.0520948991534182,-0.012021899804635,0.0260474495767091,0.109198923225434,-0.0851551236161643,0.0090164248534762,0.105191623290556,-0.088160598567323,0.0040072999348783,0.081147823681286,-0.0641167989580531,-0.0020036499674391,-0.093169723485921,-0.0240437996092699,0.0841532986324447,-0.0480875992185398,-0.0100182498371958,-0.0140255497720741,-0.0731332238115294,-0.0821496486650056,0.0050091249185979,-0.0661204489254923,-0.0170310247232329,-0.0951733734533601,0.112204398176593,0.0571040240720161,0.0270492745604287,-0.112204398176593,-0.0611113240068944,-0.0821496486650056,-0.050091249185979,-0.093169723485921,0.0551003741045769,0.0320583994790266,-0.0020036499674391,-0.0551003741045769,0.038069349381344,-0.108197098241715,-0.0200364996743916,-0.0540985491208573,-0.0060109499023174,0.069125923876651,-0.031056574495307,-0.110200748209154,-0.0701277488603706,0.0220401496418308,0.0400729993487832,0.0270492745604287,-0.0941715484696405,-0.0110200748209154,0.038069349381344,-0.0661204489254923,0.0200364996743916,-0.0340620494464657,-0.0530967241371377,0.0180328497069524,-0.0090164248534762,0.0721313988278098
healthy,-0.134787685972352,0.0506526972762342,-0.126202483044177,-0.0815594278176652,0.0643890219613146,0.0025755608784525,-0.102163914845286,-0.0815594278176652,-0.0283311696629784,0.121051361287271,-0.109032077187826,-0.115900239530366,0.105597996016556,-0.119334320701636,0.107315036602191,0.134787685972352,0.127919523629812,0.0867105495745704,0.109032077187826,0.112466158359096,0.0935787119171106,0.0781253466463951,0.0832764684033002,-0.131353604801082,-0.134787685972352,-0.0918616713314755,-0.110749117773461,0.112466158359096,0.105597996016556,0.074691265475125,-0.0317652508342485,0.0987298336740157,0.0317652508342485,-0.103880955430921,-0.0472186161049641,-0.0111607638066279,-0.131353604801082,-0.107315036602191,-0.127919523629812,-0.0901446307458405,-0.136504726557987,0.0180289261491681,-0.0678231031325847,-0.0111607638066279,-0.117617280116001,-0.0197459667348031,-0.126202483044177,0.109032077187826,-0.105597996016556,0.0300482102486135,-0.112466158359096,0.129636564215447,-0.102163914845286,-0.0609549407900445,-0.129636564215447,-0.0781253466463951,0.0952957525027456,-0.122768401872907,-0.124485442458542,-0.115900239530366,0.110749117773461,-0.103880955430921,-0.0661060625469497
