group,CD155,CD19,CD33,HLA,CD45RA,CD123,CD49f,CD4,CD16,CD31,CD32,CD69,CD95,HLA-DR,CD1c,CD64,CD66b,CD35,CD58,CD21,CD11a,CD66,CD244,CD169,CD62P,CD41,CD2,CD29,CD98,CD18,CD38,CD71,CD36,CD305,CLEC12A,Ig-light-chain-2,Ig-light-chain-1,CD101,CD224
progressive,-0.228249884217177,0.728328903566123,-0.73631347230744,-0.611761250292624,0.440216708283446,-0.329966946832297,-0.682058933082518,-0.51199826104509,-0.289256161801874,-0.598643809479249,0.624376024774836,-0.514073116357801,-0.586390495990665,-0.0012000327818721,-0.226792873473281,-0.711669140019982,-0.212826320286326,-0.0631801042996456,-0.63024249580219,0.566766854667565,-0.621037288893214,-0.216051044367985,-0.532457477169612,-0.612399764194132,-0.5111380035899,-0.532806348697956,-0.508630719673194,-0.649415607912131,-0.116425178060105,-0.581909300500628,-0.450232685099701,-0.502487546233626,-0.752132682773862,-0.559838222003991,-0.709466456959715,-0.638947020369476,-0.609052296255505,-0.598067077355596,-0.534955663873131
stable,0.0779272258808535,-0.316770469695467,0.0872112337075418,0.178645231997479,0.229925943598851,0.153685269309828,0.0769642746777141,0.333621950106124,-0.54268867192751,0.0643186040678872,-0.243654578864647,0.0717673895101242,-0.0116484486852969,0.566817114287389,0.0887642602468298,-0.0445107042092112,-0.536893854490029,-0.639574023706083,-0.121989195109311,0.254850089166403,0.274697897732674,-0.553058024793948,-0.370274520867171,-0.0490637838000258,0.109610235651379,-0.0363832021896175,0.452458605625681,0.0766237442234641,0.189079385426496,-0.287060099519068,0.297909096819237,0.440350713217892,-0.136625874007657,0.0041821359120411,-0.0922054329121902,-0.245965603727001,-0.27297592308917,-0.24789131080525,-0.221239272833184
stable,-0.511019784868239,-0.017415360297303,-0.295802376852632,0.116620367650154,-0.225171004179353,-0.220026922932236,-0.01528322612738,0.022941513581128,-0.0383860861759238,-0.161372264643439,-0.116770520066954,0.0476316553047009,-0.264634235772413,0.459500710681378,0.564846807938877,-0.485166270131345,0.0577851425714981,-0.481471474601118,-0.0822575818595784,-0.0352802585071456,0.0194284721541506,-0.0130374942870437,0.0196452685040835,0.0860310255598901,-0.104210153891027,0.0409268074913764,0.158954882532867,-0.0229163954368026,-0.0174830408025239,-0.169214692933857,0.300924877949341,0.243209435766755,-0.440575404193515,-0.409335356618046,-0.438535476169424,-0.387772321783827,-0.133223081008696,0.0754914560197734,-0.211632484190879
stable,-0.146014406206521,-0.0847926155965831,0.554122989893299,-0.324488775749435,-0.556967983479147,-0.680385797719804,-0.339516165462422,-0.464974720824889,-0.292361478025271,-0.39886893693134,0.156632656192101,-0.271308815000543,0.0511669099107969,0.170952057718975,0.510288775472219,0.0125367738962005,-0.212685057235875,-0.210485459430651,-0.219459293881438,0.183515691080439,0.267764787028953,-0.286607999338788,-0.176045579138304,0.284060608186622,-0.388077735266844,-0.34703467276392,-0.135322014654374,-0.19379283751697,-0.538576564061438,0.080000834481518,-0.506634566310264,-0.0329302081166403,-0.3820351924473,-0.43753983476419,0.328136908872539,0.0061970548844787,-0.133263291542634,0.304826715662439,-0.175022290518473
stable,-0.17437581114731,-0.0297815278012573,-0.381280007367244,-0.165329759473022,0.123622374035324,0.286526719341038,-0.241599409203519,0.238290442715715,-0.262237756871091,-0.104068795951443,-0.146629487718767,-0.143638942860032,-0.193738255997272,0.169713913242862,-0.111445408929329,-0.309930709218418,-0.349502200777256,-0.231463453435034,-0.261767366187781,0.0016682586568331,-0.0068738423776853,-0.256888253406605,-0.225219637150625,0.0577973015808358,-0.188043042328932,-0.236089745933076,0.0588030666838713,-0.208670243329531,-0.224722009419348,-0.0609724161047182,-0.208369498741678,0.104945924524754,-0.331272283236209,0.0300227299706444,-0.437456550858904,-0.330373081474346,-0.119199490010244,-0.265885946401527,-0.377988858449346
stable,0.100270466810235,0.0938307522636154,0.511365497541409,0.0174482352358289,-0.201553125326587,-0.597785502425329,-0.21008486217989,-0.161120224417761,0.056304605837526,-0.0993896264724136,0.457565288839461,-0.0160618993761464,0.153552633351995,0.170562962148463,0.597842005228249,0.108240373020198,0.122181542589839,0.124033554361412,0.152996154264105,0.0172637724634469,0.163858050003397,0.105589798140633,0.251245324623596,0.0820889079325298,-0.0701316998720396,-0.168243767896971,0.143679510992351,0.108168959342268,0.0062470752108838,0.134175877357877,0.0355636821711193,0.367805419624009,-0.0774980705314643,-0.443199064287496,0.345336211313379,0.13802735158394,0.166809482595666,0.499499097425438,0.172497408162824
stable,-0.0188981781036404,-0.0563737327200369,0.290827929777082,0.0763184570980171,-0.416303544187903,-0.476316358712989,-0.105366309737065,-0.228115861224017,-0.117633747399291,-0.0386456948643045,0.339043011105889,0.0293627681851426,0.168312553198363,0.225115025924375,0.633097151310807,0.0994277070804785,-0.18705719514588,-0.179898175540383,0.0353839262599818,0.213495159756543,0.0923301869953985,-0.266207128051341,0.154227513396346,0.0065601460264411,-0.0288380106055534,-0.110650691354347,0.315490407709537,0.0628591465694692,-0.132007687992127,0.0327715678407516,0.0478363879258415,0.195406731933764,0.0176686609331456,-0.478163444025848,0.140416123016697,0.160864274751476,0.271650224034279,0.226150749802596,-0.102958113540087
