group,CD155,CD19,CD33,HLA,CD45RA,CD123,CD49f,CD31,CD32,CD62L,CD95,CD64,CD1d,CD35,CD58,CD21,CD11a,CD244,CD169,CD54,CD62P,CD41,CD2,CD29,CD49b,CD18,CD38,CD71,CD304,CD36,CD305,CLEC12A,Ig-light-chain-2,Ig-light-chain-1,CD328,CD101
progressive,-0.188654379485605,0.671818384173359,-0.745578343813295,-0.643621111757799,0.4672974643576,-0.208209920479927,-0.648486252602638,-0.554456260991229,0.550178292415289,0.228069285051597,-0.578142162901278,-0.677022522302613,-0.462327859950837,0.0487148442803222,-0.514774260247881,0.647752608147606,-0.584765002955977,-0.575237511939438,-0.565879600700927,-0.304636071315489,-0.529008593481904,-0.519199033202669,-0.581268407276322,-0.674578962969794,-0.400776230662627,-0.396515270315656,-0.585955001767437,-0.517865794444281,-0.0231224078815544,-0.771662618670333,-0.536067972363852,-0.638269713213174,-0.644782745134368,-0.550711839092864,-0.476007857535571,-0.517077137979441
stable,-0.0655862603518295,-0.0891328701124999,-0.798172378062502,-0.0792127650145668,0.289199510688196,0.671695479079915,0.0818881702033553,0.0862385056900799,-0.0890494961635956,-0.399921261319964,-0.0951552328413777,-0.590082509525305,-0.511145098232342,-0.0876024448858976,-0.212894968526169,0.0044238128685488,-0.436480382457279,-0.111896990946991,-0.643642433926405,0.517239251131126,0.240580024852021,0.144850623717415,-0.16181759412484,-0.167831692229106,0.285860641879883,-0.290159263886345,0.303982676774777,0.284612310089791,0.59727796696109,-0.191077661692094,0.238381746986347,-0.720851333595712,-0.593522409485068,-0.300833698934099,-0.273897463768056,-0.449019242465919
stable,-0.632155184314348,-0.0022327384996542,-0.76587794890963,-0.310231127716054,0.366058632486039,0.468353128556721,-0.397625877474064,-0.607786074081615,-0.448695080466227,0.639542244260804,-0.449957511772874,-0.762994273733733,-0.280218429084244,-0.509968152291744,-0.270150298005424,0.134619522975775,-0.25997560945285,-0.218553612107929,-0.0399701667424268,-0.242762602384593,-0.281070171778233,-0.340067737300414,-0.0655962573097066,-0.428527881209867,-0.131787628235244,-0.572908843727849,-0.156393075255424,0.0693499369378392,0.549024859887353,-0.731877192145517,-0.263743404413592,-0.7525722127822,-0.588635942356961,-0.404470861280005,-0.54705790226746,-0.337619410120765
stable,0.14244893814799,0.154034332522488,-0.523968881012466,0.361769621038228,0.695824453177631,0.664398663252137,0.545179534743313,0.481203659275284,-0.105895287779411,0.511257790836112,-0.047199961573429,-0.211991511787347,-0.114101122485556,0.127506885342485,0.289314235937478,-0.0465876994475602,-0.149431726619504,0.229044982955751,-0.30428390806457,0.271298432378279,0.579175117766664,0.581758466842256,0.132176547449253,0.338890364960821,0.591224709473191,-0.0885675342953062,0.605183587694375,0.0314093350510124,0.428004734050762,0.378384117628082,0.425304231194226,-0.351933096920548,-0.129478891416131,0.133593478092541,-0.0979787437959626,-0.210339005616089
stable,-0.0837228019359399,0.0054202042364014,-0.392845179669265,-0.048091867262238,0.159511910183587,0.440411159415858,-0.161036028196664,-0.0396140854652745,-0.310041818977633,0.325179398113017,-0.211601608624931,-0.151908788359843,-0.182247478393512,-0.194823804953509,-0.265312227065832,-0.156863174940542,-0.209162379799076,-0.15960910912245,-0.0477218864406035,0.0769894742450972,-0.0764325313840835,-0.17500745219053,-0.0743219339418663,-0.225673125879959,-0.264888128931375,-0.245586860878788,-0.179405049652502,0.132836026262066,0.19616738117891,-0.188865853440328,0.217543395303186,-0.433487234439522,-0.263435498181184,-0.0902471538441686,-0.285738432659284,-0.401464389272979
stable,-0.160986460316525,-0.0077025075257946,-0.689761155698584,-0.142095263613036,0.347993699110466,0.618530724236467,-0.0497951073983498,-0.0758677469475356,-0.472859569925791,0.56552639842229,-0.16964483127018,-0.175646843929196,-0.291628534297489,-0.15094903386703,-0.0910806298239062,-0.0466819067335883,-0.353523602552383,-0.272631266143998,-0.0446441426167962,-0.0411713329861695,-0.158012246066208,-0.114016446855816,-0.189786091523937,-0.3058455169784,-0.0034202636810551,-0.329195591394266,0.0823247688524391,-0.139068395496819,0.517904356896349,-0.323283461148739,0.190569631634591,-0.542893740593651,-0.110914993406858,-0.0952999997643359,-0.498203901016196,-0.619856996376604
stable,-0.359048469063727,0.0389839392009196,-0.744209996763179,-0.516311023739385,0.394959774872544,0.462009318091371,-0.615653908307816,-0.585916245686317,-0.29710777375771,0.367607547901441,-0.48496559667785,-0.681885468461923,-0.323309567031667,-0.507860392389998,-0.495379019389002,-0.108957976138615,-0.283689724404795,-0.390899321260619,-0.154361385411262,0.115881145722071,-0.576078040077593,-0.605997412979999,-0.0798618170122025,-0.611702905918439,-0.372129449858284,-0.597700474386497,-0.232595446396574,0.0178880565280433,0.276433964604593,-0.757080019951988,-0.20862163991044,-0.560696300577522,-0.558463791873665,-0.306645519869455,-0.493001621084401,-0.441041368926484
