group,AHR,ASCL1,ATF1,ATF3,BACH1,BATF,E2F1,E2F3,EBF1,EGR2,ELK1,ELK3,ETV6,FOS,FOXG1,FOXH1,GLI2,GMEB2,GTF2I,HES1,HIF1A,HOXA1,HOXA6,HOXC6,IRF1,IRF2,IRF4,JUNB,MAF,MECOM,MEF2A,MEF2C,MNT,MXI1,MYB,NFE2,NFYB,PAX5,PBX3,PPARG,PRDM14,RARG,RBPJ,REST,RFX2,RUNX2,SETDB1,SMAD3,SPIB,SRF,STAT1,STAT5A,STAT5B,TCF4,TFAP2C,TP63,USF2,VEZF1,ZBTB33,ZBTB7A,ZBTB7B,ZFX,ZNF384
healthy,-0.337125290848893,0.0383272232020827,-0.346843903082022,-0.0589786297815922,0.145925365808483,-0.0971338808007842,-0.208591801598836,-0.461523274629998,0.390015519012147,0.305801695348619,-0.151232963685339,0.392297072228674,0.0034586222688355,0.457471048540307,-0.359765700721245,-0.362363284093308,0.252388131995232,-0.227589380562671,0.0494314338295851,0.4313905398402,-0.497028131609096,-0.207971329192491,0.221056197968426,-0.0521785084522949,-0.319049330838869,-0.283675759327492,0.196856410838062,0.448803600226743,-0.233947579839444,0.46797513011905,0.465584679716751,0.527585992276547,0.217800076154615,0.0058384377408673,-0.492271518417491,0.347154089651108,-0.352860765437025,0.353233398304801,0.413026761689404,0.465182782591578,-0.209904126845785,0.362644034340162,-0.29829559862664,0.401162454661305,0.40346996319613,0.235232930614852,-0.211471114663727,0.472764184149588,0.0021340208578263,0.0300056847641248,0.402079083734953,-0.0906420136201387,-0.436255845063353,-0.407498960533341,0.0269053345673724,0.335088843987239,0.328856159388397,0.47307118751926,-0.149303554385683,0.147271879014211,0.358557262926271,-0.431707304580217,-0.490267843288681
healthy,-0.306595073565139,0.15393295499995,-0.400301942361198,-0.506097191353836,0.504461245859301,0.32174850860061,-0.0043983484508149,-0.40851830526098,0.238395047439763,-0.473112265007628,-0.28508621114456,0.275809976818705,0.342327591406935,0.451796017113467,-0.378711944594003,0.237311713611357,0.236556394653561,-0.492664572793407,-0.436361819699237,0.475406992815722,-0.326035508946496,-0.0541202909151176,-0.202019214119465,0.323490034905645,-0.379521331937065,-0.0174169014862666,0.216218096389616,0.39331820757059,-0.0765908496816141,0.516530489124368,0.516353996807375,0.188087855665862,0.453516702513636,-0.181438951639278,0.419275554581047,0.484866338739676,-0.40812881627476,0.355425510278213,0.368877003620407,0.37929031247275,-0.401518120573764,-0.494064911203059,-0.304181657459207,-0.52710731388124,0.141759245060807,0.419154638010363,-0.436694880952471,0.394625613895022,0.230702525271405,0.102374653559729,-0.139239330620262,0.314093670458345,-0.260462026671152,-0.414137747232113,0.258684979075434,0.239548244175675,0.292474180844642,0.350504959531891,0.425846862282595,0.214935266603941,0.396660944528717,-0.251772680090813,-0.467691663619398
healthy,-0.351739113328611,-0.009076637583172,0.276899674928218,-0.357872107852848,-0.408646015787358,-0.0304810556527166,-0.526439539068443,-0.365432426298756,0.14472448594504,-0.15248941566173,0.351784971125291,-0.151809904157531,0.263652115286821,0.406391502711161,-0.359963981200987,0.308036050154258,0.295487530443187,-0.103214921659775,-0.167174694954131,0.182563871994305,0.246829590631344,-0.367707342208221,0.403795290755887,0.465269318863669,-0.287677908806004,0.283638827913235,-0.385303037088235,0.409668877828564,0.182752452467517,0.471807261050115,0.382590626139679,0.114106634153074,0.353569830410911,-0.39912517937702,-0.216792636649443,0.412632049313628,-0.416037185029833,0.161041020335453,0.417374250703379,0.180101152862418,-0.400592531714439,-0.253682416544571,-0.157493356255413,0.331516407930723,-0.0006472555963637,0.131093935976284,-0.311154477484862,-0.0300606601310316,0.429323801523488,0.154722651497517,0.0723256150289852,-0.004179763285975,-0.127835409190567,-0.36807274723643,-0.0429206630966716,-0.345724163768287,-0.352304660435551,0.246219060134864,-0.0856029045131456,0.220994162957572,0.352454961307297,-0.251238351431673,-0.460301326119078
healthy,-0.216348554141159,-0.0265027660631131,-0.310472496527135,-0.416828447127491,-0.188422303551995,-0.120064981231522,0.105649380081026,-0.363088320526763,0.350528278953269,-0.341394421038791,0.36930661827642,-0.216472145024164,0.21059818196975,0.230469103866002,-0.310759286954193,-0.165892498578357,0.201591362767407,0.179931424396369,-0.303648801356147,0.466768210965006,-0.291064121595687,0.294181076355667,0.337513903143958,0.321093037675622,0.35160511873856,0.0351330340548191,0.350394544556963,0.345270863599593,0.412864002175968,0.29441654929395,0.32639262687522,0.0323824042442756,0.263364496815258,-0.0822376686854653,-0.290682584824129,0.267492224058733,-0.286638743263393,0.248913886407772,0.339261876660778,0.261881054540631,-0.318332195395194,0.12449371774939,-0.275722447332109,-0.184241548696495,-0.195626246006447,0.216111295227387,-0.299797486574048,0.238300923587713,-0.0365941412923401,-0.370764594885091,0.223019213968369,0.183221963561742,-0.008612856454598,-0.285767649233623,0.0168209515606158,-0.0787254065243807,0.265445882304636,0.439957760630305,0.345081253684401,0.292428944756916,0.288138535143756,-0.26549335891176,-0.303906781722993
healthy,-0.0477656421011618,-0.273196489818531,-0.315375788912471,-0.23429705456276,0.401855493668307,0.389114865304506,-0.326391924119288,-0.457170649706103,0.337263095658422,-0.346585993774823,-0.203001639323016,-0.0039570353378322,0.251818497918455,0.34687900452278,-0.207477975435917,-0.0555795721911049,-0.0400835414231692,-0.44215327276201,-0.442797197500661,0.427800809400161,-0.469783192029028,-0.220659672446941,-0.115386351576852,0.0840898111619879,0.107989623438787,0.22489787173699,0.215803265161137,0.38054116071447,0.0416928880531619,0.484045684657206,0.428356223969,0.0231400053197312,-0.0925568080384365,-0.251158409606438,-0.163179041156871,0.248113793920378,-0.441361625512831,0.0664219111177767,0.300145039817168,0.330671679155854,-0.280016187042654,0.267258724328012,-0.301646423730554,0.276799419563163,0.0021132844370705,0.197035300875833,-0.211929903903898,0.326561500992732,0.304788399521508,-0.258340218477503,0.446678597268617,-0.0869031817228094,-0.137352636961066,-0.322062044694904,-0.0415616536857463,0.359268286136225,0.4847806403907,0.298448773409119,0.0458897155195514,0.372392555940138,0.427670040249381,-0.221069495846586,-0.295513245614787
healthy,-0.283859297919317,0.130075126939553,-0.559680265337881,-0.276123466054608,-0.105307337673185,0.491907015500381,0.0487283209698003,-0.487598193537187,0.335861595872162,-0.110958140613739,0.331202831500996,-0.0003713456133524,0.165400047259876,-0.104984862712118,-0.463054067767045,0.0542100385878479,0.136263863775338,-0.252699084645959,-0.441229932680681,0.319524172485101,0.0997728254818654,-0.362727969426093,-0.102835624171822,0.0445850171282162,0.222978593654532,-0.144704931257336,0.0293145435293757,0.317882189912324,-0.249355190525338,0.215624095565687,0.135861840234274,0.156576219121656,-0.36223605242243,-0.461581883956953,0.184712872914923,0.143922644100677,-0.0359099412673911,0.191922899367449,0.37571365085056,0.265679771989171,0.0035265348065347,-0.0200251956741289,-0.185304671543695,0.145161176252031,0.0349079145354918,0.101183296716443,-0.0728618619167251,0.157621408984406,-0.507128975167025,0.417635395789257,-0.205251388798095,0.479230967113752,-0.120236786866296,-0.417394253008636,0.561900847896112,-0.404568025464254,0.159343653577361,0.163639633617326,0.221471094555563,-0.156899050802813,0.320165198486248,0.103851206267129,-0.115916549860232
healthy,-0.275223009737694,0.200905500348724,-0.0677528236740788,-0.0648565746795807,0.181769546134115,0.256482305762229,0.106045660963173,-0.331234743020527,0.105865367555687,0.207924080712207,0.519010653930511,0.175134443526095,0.29701671114778,0.208973575831478,-0.154437327170004,-0.134734331658091,0.251003086644523,-0.0769676262709511,-0.16770491627856,-0.0112516602826529,-0.237284437003817,0.270385608989563,0.333870471311343,-0.0799822541291311,-0.237594227731794,0.311280165172171,-0.161801233721465,0.299454269296631,-0.0307776325214356,0.292199803241612,0.110509394358909,0.1145438681182,0.221949686964449,0.0496173125634038,-0.109603131124424,0.221468323187268,-0.15632048854106,0.0614124691759991,0.170249516825326,-0.0004028805526407,-0.0093203189320877,-0.109836182699517,-0.309342937579765,0.0681618084775172,-0.107305534726003,0.0318051087360438,-0.471476852969699,0.143974205285025,0.0710321144061256,-0.1013490940013,0.135526576208035,-0.303216667877515,0.0122414209476903,-0.174796093624743,-0.0330641104630462,0.13885709904499,-0.282998953217992,-0.0329836651578923,0.0855364683280644,0.49151994245462,0.097013549872314,-0.162852908930306,0.119095241114672
healthy,-0.213790319866352,0.314398566966531,-0.130729007103384,-0.273062344298965,-0.349408610492913,0.175600373625845,-0.164120605137561,-0.242207419271499,-0.218399206130937,-0.216361046839454,0.319279189983341,0.0214256116113085,0.299090106225462,0.131528713984467,-0.0972810623179099,0.151364962297788,0.314894407685967,0.0555201006189782,-0.371625215019023,0.009499933964985,-0.041522744313939,-0.0497790937166035,-0.182409402726915,-0.095323574039433,0.033447089426821,0.0439288682061633,-0.200137619638747,0.222783346909321,0.0989265585275318,0.118397835995398,0.171310643058838,0.308490177067654,-0.0618207793803045,-0.0504993591627451,-0.131267562295578,0.392649823801599,-0.0849011357666755,0.119749516507552,0.23638456523797,0.137707076458347,0.100803161953339,0.164995850879729,-0.0291795981848041,0.029942417723956,0.381739563796782,0.0910583281138815,-0.0499940560382049,0.0505033151965174,-0.182060309476465,-0.224599968309554,0.0961716621443532,0.12556157163808,-0.223055137121463,-0.0985321847283641,0.157227323209125,-0.304218515952202,0.349034016862607,0.141266009975792,0.217738495031043,0.395622997021161,0.110546980054396,-0.345777773388661,-0.195660191307218
healthy,0.118683605190158,0.306438094527954,-0.476276186657658,-0.253741841691383,0.468185170006006,-0.288859036800321,0.100082837360178,0.173500811519204,0.235114374285586,-0.263731695435505,-0.226619633443022,-0.14659701403577,0.290830244629139,-0.112251509513759,-0.297738150183945,0.155415792079026,0.514663620558796,-0.215644999258952,0.192885622053037,0.406634064610336,-0.0361003919441509,0.0066654239979211,-0.212940297389394,-0.417004521916252,-0.365885222673898,0.167711881069512,0.439546691896839,0.475524797883422,0.196973666002021,0.208138396098372,0.160801821812267,0.376303188121837,-0.142664543415864,-0.176488946964072,0.335970929246751,0.45703035327529,0.0475447232923546,0.001167971835588,0.259577646841204,-0.0966677620789972,-0.439330529850634,-0.0143149316497067,-0.23065149109604,-0.11882087204851,-0.0969866050561609,0.108209421774159,-0.35233827597604,0.15510755925358,0.172956684932567,-0.218685266971667,0.362116813504445,-0.175604503720077,0.136552905993457,-0.430137387648237,0.451417678032504,0.0132154982270105,0.263455673130352,0.467931476527603,-0.0765654519122385,0.37306449473594,0.0135752298784086,-0.441118102874486,-0.423396077311458
healthy,-0.109647621236216,0.20789831111445,-0.262487866961273,-0.135601256808865,0.175680900065238,0.0565378488572186,-0.128543803621777,-0.208083163739793,0.149659443665602,-0.260897393417053,0.113389250379172,0.016049876494665,0.175558601077849,0.25398587234962,-0.177994560641235,0.166142501960629,0.0180126130734822,-0.248977527093914,-0.176875503811502,0.2174178158977,-0.0514515834834154,-0.202629394918978,0.156573951011673,0.0294569029871666,-0.164689219243627,0.176871680320089,0.203172825116553,0.263025884940831,-0.0758625853000875,0.230983945778549,0.229954899210449,0.272182382175593,0.13377397070945,-0.0355409677751125,0.0940420608125944,0.220757840005581,-0.251154774725428,0.186931905895792,0.265211142127632,0.194006723007674,-0.163404189925457,0.165521415334021,-0.22975697419981,0.037596747039786,0.170839582054221,0.206768218897433,-0.244807245010252,0.252281755411502,0.247484631687433,-0.108072336182021,0.255725297253265,0.0051657544418246,0.0195971602060127,-0.220796747326817,0.0996447216627946,0.210070950779589,0.196169770983149,0.240157760792519,-0.137059074977749,-0.0331374881120541,0.221988410940029,-0.173201642757719,-0.219353194736237
