group,KMT2A,MEF2A,E2F6,RUNX3,XBP1,ZNF263,CEBPA,E2F4,PAX5,ASCL1,KLF9,EGR2,MYC,ESR1
healthy,0.0936629850872235,0.0464322637676878,0.137662848215948,0.0447142434842034,-0.0857945960716557,0.0915605035506875,-0.013794544229177,0.113840960588446,0.124162849987719,0.0995244619983225,0.1163928574942,-0.122313657325974,-0.148021650676284,0.115846194826503
healthy,0.0099542875487905,0.0453288336644828,0.145519955240711,-0.099740697264768,-0.115867370370327,-0.0873720610551345,-0.0200087999550453,-0.0862317495879477,0.0179803095175666,0.0598548361035846,0.138815358812181,-0.132775267503423,-0.0088036352521404,0.0066358213664581
healthy,0.0056405470661981,-0.0503673480428278,0.0682833768546836,-0.0697110589983444,-0.0101104450324522,-0.0847214656651687,-0.0980744399816581,0.177905098122252,0.0083684717857551,-0.0467882706044828,0.0308674787437124,-0.0345108144429866,-0.104035380890757,0.140210807378037
healthy,-0.0809312453645111,0.007568553801127,0.149342603860686,0.0658675781365784,-0.164350672294323,-0.030806893606317,0.140343117631391,0.0697807292241731,0.0241466105706653,0.0791217980417347,0.0054735704915395,-0.126548300208324,-0.0711882106984097,0.0792010599091424
healthy,0.185379783707885,-0.0464063624998932,0.234525325360101,-0.0294676716879947,-0.065126133926531,0.144083280075105,-0.0221959494540252,0.125732008086,-0.0356707455531207,0.0012160481438563,0.0966328358355373,-0.0048273426316723,-0.130313684425984,0.0092002026237215
healthy,0.0632347420905161,-0.0373322665283937,0.0442929104102164,0.0345054519441707,0.0792832226512848,0.0577227501011909,-0.0533194807744729,0.0647084275309512,0.0132539460778336,0.0743226274941653,0.0352162729500846,-0.0759787943235143,0.0703844551370258,-0.0395141378644335
healthy,0.0186391194113605,-0.0497559410241338,-0.0285990851386576,-0.0565408650026663,-0.0934377356077092,0.0513348861581715,-0.0036396450933168,0.0407312354497139,0.0491546302893821,-0.118572726102457,0.0803562003949727,0.0199850061901504,-0.049636889569938,0.145732600229163
healthy,0.0286562760236066,0.0827239513091128,0.0354993294384778,4.81218817673864e-05,0.102022044173322,-0.158491549582991,-0.188295441116088,0.0999838692822633,-0.0586453454308467,-0.0870201998167758,0.0312085631705098,-0.0611824041341526,-0.149922199801933,0.0026594953898279
healthy,0.0587912564614787,0.001271207748771,0.147185612940991,-0.0100357985882743,-0.135324689078869,0.0580718231045034,-0.0576755083038231,0.159980118631838,0.0207977896461812,0.142914348310865,0.119595409643551,-0.142462971470489,-0.151389286444546,0.050328352845455
healthy,-0.022392185822041,-0.0452370425985015,-0.0491983830253508,0.173051159677418,-0.161140842158854,0.0918759251236215,-0.132709287005789,-0.0028146366190771,0.229495721528459,0.106788709532806,-0.0760117803890698,-0.221057133528921,0.0759638836698262,0.0126675865633364
healthy,0.0477980587399678,-0.071721462998635,0.0348446719503304,0.0636276823942332,-0.0378632054624067,-0.0310764459160492,-0.0964960120188916,-0.0470865755027259,-0.0431567285849231,0.0963515194355258,0.0220300683106735,-0.0892744571608863,-0.0217494277004281,-0.103981079186986
