group,ASCL1,ASCL2,ATF3,BACH1,BARX2,E2F1,EBF1,ELK1,EPAS1,ETV6,FOXO3,GATA1,HES1,HEY1,HINFP,HOXA6,HSF1,IRF3,JUN,KLF4,KLF5,MAF,MEIS1,MITF,MYC,NFIC,NFYB,NR2C2,NR2F2,POU2F1,PPARG,RARG,RFX5,SIX5,STAT2,STAT5B,TCF12,TEAD4,TP63,USF2,ZBTB33,ZBTB7B,ZFX,ZNF143,ZNF384
healthy,0.155570229227466,0.0092876689768413,-0.0756787791013619,0.233444917101232,0.298359559264086,-0.454316555173283,0.150760232766188,-0.0539947212563837,0.127137359616898,0.204036073051792,-0.0247044941480474,-0.35859702189599,0.0056421758935579,-0.1685321267167,-0.0221878174786212,0.0024963524390407,-0.147445116654837,0.0071859119127114,-0.138164394679906,-0.420587091849023,-0.477034532026086,-0.0015591520170308,0.0094144262629238,0.315698719592495,0.0303360670807775,-0.133082608384994,0.0080494140506692,-0.160654313812733,0.15399330512496,0.0115747523328832,-0.0020000611157713,0.0254888378624416,0.224330776979127,-0.0370243923320166,0.362239338397486,0.404691159268082,0.320610206878583,0.232363313101663,0.153050041658869,0.274457535632319,-0.140053771809448,-0.0774718807572817,0.0611598680930747,-0.136998994878011,0.014829322999362
healthy,0.0763280508318445,0.0033387868360361,-0.0355643756186912,0.234291540128446,-0.0134499722679399,-0.107522392787648,-0.0217185961546142,-0.0656889307700409,-0.069005895340278,0.220257582292716,-0.0524431763581033,-0.174012377606925,0.0140919680973759,-0.203916869763801,-0.0058375076623861,0.0126562042060313,-0.0355823070006755,-0.0931693467829259,0.0464518022872464,-0.148647115048363,-0.203671176910805,0.222801958535571,-0.0344591940668744,0.0111091753160573,0.0462445899182163,0.071042636181943,-0.0125643182678696,-0.074300241968111,-0.225477899005766,0.0098961397340927,0.0595192701361284,0.0390206385889878,0.0815829452463182,-0.0515493796623432,-0.0448115230717179,0.110162819523207,0.1849486961458,0.164466536403433,0.106228525185149,0.043766679965848,-0.0367491398246806,-0.0774311064777238,0.0230990150992195,-0.297960634182019,0.0371541962981428
healthy,-0.0879995102147834,-0.0484071170130708,-0.223869382398578,0.0922383398870314,0.079875187451763,-0.268580626487123,0.0834037588519539,-0.227886828908083,-0.0671512713731698,0.145379695141692,-0.0208039814723378,0.0226780464238008,0.136795418933114,-0.147192492183808,0.0458125039913259,0.133983933565009,-0.200240035299895,0.18871412891176,-0.17282983213815,-0.0417882778799741,-0.40372074703696,0.000594689337029,-0.0797284334184229,0.136262992774527,0.138762017155873,-0.0291217824070753,0.0014317213477974,-0.0014601721315526,0.145834051536317,-0.0376760988755278,-0.0624942842064482,0.292983463550854,0.158446203176261,0.0262108503931002,-0.0929873066356138,-0.0191125162943647,0.242337916781162,0.080414596546743,0.169318528121667,0.309434962041378,0.141302484328301,0.0599982937905697,-0.0027757038388648,-0.0878578127905553,-0.0617857756816711
healthy,-0.185806320812029,-0.344190923485762,-0.0401663297514753,-0.0804296329848046,0.10917834143474,-0.164349819027027,0.0375041493166321,0.449901120422367,0.175781502516867,-0.020043563769294,0.0904020957461867,-0.0403612237145024,-0.132841547045609,-0.419585214531937,0.157667137951564,0.0856792523090309,0.313324450229337,0.118925764088107,-0.410111767800603,0.0369941601198712,0.143419751157119,-0.149783928552887,-0.0541819910736635,0.0528170305988519,0.0971961694955163,-0.187769431610681,-0.123587251740018,-0.249036165097672,0.305196294947276,-0.045033282434209,-0.183695970408939,0.130674429294451,0.402995657913801,0.305984074368883,-0.121839188703392,0.0688198046429091,-0.0167389194551742,0.350790471549577,-0.345597108494421,0.303494939269921,0.388287717541808,0.158605230967461,0.405791027038583,-0.119464245938982,0.335404528518309
healthy,0.0588509271607797,-0.113736359153314,-0.280624613976525,0.134013847428439,-0.0816728462575377,0.0286799280248459,0.0614584711998866,0.028297101058195,0.0472330137053103,0.188891742653692,-0.0196209444633209,0.0150831584679478,0.112799302541398,0.0146096574038249,-0.0772017111911788,0.184760556159319,0.0733042398945452,0.0285736724705911,-0.0648301942016533,-0.0378449786105437,-0.0426726883841254,-0.0437140819794612,-0.109651981351317,0.114185278112736,0.218351331287938,0.0062735203569669,-0.0559833335984689,0.163707810006711,0.069072187588263,0.108391970490813,0.0926776820661243,0.01601062666169,0.0937209365642702,0.0068959601859252,-0.124726886637672,-0.0599714745565725,-0.0703621813858186,0.0010249449001754,0.177066927414155,-0.0248681425415128,-0.0332508842246586,0.107300345827611,-0.0036643039451319,0.0607311909012895,-0.0679839498125352
moderate,0.236325843824279,-0.231449317176524,-0.226290722530323,0.215477452713976,0.0142541524879279,-0.135313309223682,0.209716919143257,-0.254024450110555,-0.166785241286844,0.175771165536844,-0.144745522287284,-0.178904727242132,0.192086317313832,0.054739098348417,-0.0114394413867793,-0.142798646006457,-0.119072283835145,0.219883253837829,0.143928499499237,0.17546843601925,-0.208750980369053,0.165798538961299,0.208672313548,0.132572418414404,0.0976399624824457,-0.0274915031532797,-0.257432631464176,-0.235520605754561,0.190738165943434,0.210161218329089,0.168454028824765,-0.11598453458466,0.131306811088406,-0.189209519623045,0.198457462545502,0.186677947858372,0.171902359846459,-0.124856437858619,0.204690558219605,0.133190886554241,-0.107276239932696,-0.174232469045412,-0.139456173385337,-0.255335818875259,0.0668346067382734
moderate,0.212559410627629,-0.104492657940275,-0.215651848044029,0.127758457087181,-0.112278924137398,-0.173991567380536,0.170802940990688,-0.0757139673007082,-0.184040973162648,0.211256052227144,-0.129467755152003,-0.0532837916351304,0.214615122944262,-0.0822971369689923,-0.0533197747774445,0.0510932506861286,-0.0809312441462179,0.148469494788065,0.0716303928312903,0.145878867697447,-0.151992575230107,0.204406150987321,-0.0091450375899741,-0.0554350488240797,0.118236017892455,0.0723526459681932,-0.152789913681992,0.22546017627927,0.0877421745971843,-0.0254779895846846,0.0840780402799974,-0.118666523125317,0.0498813834866592,0.0419896801774552,-0.0636434405303894,0.0246746234998223,0.0782657998490484,-0.110030531584284,0.194815509707614,0.179301073526368,-0.205576845917948,-0.0063430053991365,-0.0051257717583994,-0.311645012611408,-0.032605427913534
moderate,0.20292235017618,0.0004394720018503,-0.191811657532126,0.144486211063462,-0.082314567923963,-0.154685684355924,0.0574115486071862,-0.132177975189498,-0.0003212755236213,0.249250720074495,0.0621034894283955,-0.0314408783578649,0.118945569880048,0.123375145676484,0.0864055002249176,-0.123891503309053,-0.215750386919084,0.0865183840530606,-0.205154549985469,-0.203171237846524,-0.0599817927408947,-0.0004512876551995,0.0381258219113338,0.0629939774612304,-0.0650802751223686,0.0712175523580254,-0.0378698480445589,-0.121619366751222,-0.020662174416027,0.0802507192052933,0.0793659113141293,0.0950503722680057,-0.0807972111478233,-0.0997374957538737,0.0793624041661778,0.0050911085829335,0.134882130061163,0.0281349719938275,0.255288686703807,0.006367271045169,-0.212823108732754,-0.0285957585076018,-0.0679941558437447,-0.121118387842587,-0.231010363136616
severe,0.308656304079758,-0.0768839424725143,-0.416895467235401,0.328382407917855,0.151724862615515,-0.396925960606201,0.321109858806978,-0.410871552877915,-0.160293395635989,0.198497742084611,-0.131074184461909,-0.236229815860359,0.340853449016624,-0.117049669116463,0.435479800084035,-0.301399413006674,-0.467607421457881,0.475870036736957,0.0298187171241204,0.23277562459472,-0.271268378973016,0.225430012454195,0.435987045500007,0.437908178912559,-0.303970776910865,0.318959738311772,-0.305703802908298,-0.397820015812116,0.0105768404488299,0.333116831294591,0.0505333400787781,0.51479380907777,0.0676238304893405,0.0605826124787505,0.0463538394366875,0.0485269078645291,0.318377835934161,-0.135598912021118,0.011563906274457,0.105988343662886,-0.162581227167185,-0.402861599259595,0.0182146109472424,-0.260214976299041,0.173008495850797
severe,0.201098935330514,0.138767988878529,-0.0975061330561886,-0.0955114033323075,-0.0004260587759746,-0.0695663605062538,-0.152551313053108,-0.0056996658299603,0.0694822784523588,0.155235483341748,0.0204454955120814,-0.0578368332949529,0.0537013196076994,-0.0173165456830679,-0.0733153549630304,-0.0479120846032444,-0.0736127891767126,0.0277740292306447,0.220061133035784,0.0907174351730932,-0.0852411274287196,0.0175008483808569,-0.107705560549681,0.0405656370497823,0.0107082772361618,0.120086925411043,-0.0668584664903152,0.0417978183962088,-0.0648087041745374,-0.0044100311031371,0.315011236207925,0.0075199373959518,-0.0895709497395615,-0.0304168847288871,0.0437108868546948,-0.0751864630875188,-0.0203139660035893,-0.0049059699738076,0.0827541707098678,-0.130124644232745,-0.145823780426109,0.0850463346474312,0.0014210028494153,-0.118679156205427,-0.0864687899699464
