group,ARID3A,ATF1,ATF3,CDX2,E2F1,E2F3,EPAS1,ESR1,FOS,FOSL2,FOXD2,GATA1,GATA2,GATA3,HIF1A,HOXA4,HSF1,IRF1,IRF3,JUNB,KLF4,KLF5,MYB,MZF1,NANOG,NFE2,NFIC,NR2C2,POU2F2,RXRA,SETDB1,SIX5,SP2,SP4,SRF,STAT2,TBP,TCF12,TCF3,THAP1,USF1,VDR,ZBTB7A,ZFP42
healthy,-0.0497147717973736,-0.0174391681748899,0.0234580236221111,-0.330226801623407,-0.428629268332906,0.156012253893016,0.329422258025335,-0.110347413454221,0.0906101289468938,-0.0366134937789612,-0.156532804082716,-0.357880903187501,-0.129306282431232,-0.0758470110690186,-0.0496186811390925,0.0558446558737052,-0.126331956718361,-0.173382888703071,0.244099914516369,-0.0458929152496469,-0.35938129406865,-0.499478659805234,0.0077221007151933,0.398423371417384,0.0924168888749642,-0.047581739573454,-0.227903515590615,-0.401864593845861,-0.361798974525461,-0.0052826083383321,0.181684168609584,0.0436176540011901,-0.226886705215013,0.188929270090361,-0.0416799303079744,0.28311975857971,-0.104440183380543,0.436704400320893,0.298209122560453,-0.356363298962669,-0.0497720900111278,-0.224552474456187,0.0076489346092333,0.400844564011272
healthy,0.0135741415524372,-0.0347756683343976,-0.0293690262557895,0.0114003369637705,-0.0691672417992387,-0.017553113750008,0.0063981501076034,0.0170810126068161,0.0125439988863295,0.0176624164847065,-0.0183321534671049,-0.0589348652211801,0.0610059561469399,0.0397308399642844,0.164041624127451,-0.0198096751436016,-0.0382888661888801,-0.012952916762415,-0.0234761365026353,0.0088113643629465,-0.0243427951382592,-0.1026632179739,-0.0294322700471315,-0.0074471359857545,-0.0354285271249379,0.0068438989985779,0.0252854076547189,-0.0733078379157833,-0.0132562723015675,-0.21303797407462,-0.0573854649623837,-0.0543351362876765,-0.0300398002200926,-0.0406087561077457,-0.0473805989862659,-0.0177248089017998,0.0244051915903016,0.052849948207993,0.0344343116451329,-0.10820396965394,-0.152174007784598,-0.103684750058745,-0.0225120620922016,-0.0177578632043821
healthy,-0.0294411284682914,-0.0102773367066984,-0.106688129659596,-0.0110881066385301,-0.102972598852789,0.0066956469890062,0.0006373725249358,-0.0045068988618998,0.0046010298244724,-0.0387527164355565,-0.0090051679535964,-0.0795851635447171,0.0946345928854977,-0.0228983234437237,0.0017397748565679,0.0102389559273161,-0.0500182854268452,-0.0094030272764962,0.0459508676375773,0.0017823029793642,-0.0721384354100202,-0.213307825406276,-0.0286720187383826,-0.15080422905033,0.0544335691980712,-0.0161641418665728,0.017798046856097,0.0459260165361138,0.0343549284110504,-0.0148823875316729,-0.0025772910335423,-0.0011762580034218,-0.0537223410013456,0.0352012611260109,-0.140202251484791,0.0936840492408591,0.0420331387331195,0.0944805863690012,0.0459015169975358,-0.0495664392283523,0.0576183224454379,0.034116107348445,0.0155597832938464,0.0680138776655306
healthy,0.0507696500284124,-0.0559287090518462,0.016090868280352,-0.0729381818362967,-0.13226469263367,0.0037365324024677,0.0382613823396566,0.0644248384008407,-3.34216809229453e-06,0.0097900593298575,0.0218916274190789,-0.0212987882646662,0.0186664198437246,-0.142008895112358,-0.0315520067853829,0.0889641083332002,0.162557516461632,0.002694486648588,0.119235880343753,0.013792251838365,0.0114640821789826,0.0152788328395275,-0.0301563980630637,-0.0072974127430365,0.0001500748720615,-0.029711885865216,-0.0663533001226748,-0.188081289233096,-0.150581986525216,-0.0059239353200042,0.0261391542734233,0.0286633516953502,-0.0326959925076502,0.0028924159895297,0.0083338229100295,-0.195110633204123,0.124847311422411,0.0193255799061205,0.0254389009097823,0.0342452065071768,-0.0025783213371594,-0.0041144278912482,0.0599008105228054,0.0729021094703351
healthy,-0.0002526449045638,-0.0184971676521289,-0.131685771226423,0.0019665419940129,-0.0135795029882534,-0.0082904288814288,0.0108691783160336,0.0539234128698147,0.0559985210256888,-0.0641228235359764,0.0172620783607506,-0.0090679349104731,0.0596511695917477,-0.102633968609991,0.0153249449296229,0.116761815487157,0.113586253493975,0.0097466604353328,0.0519214849246065,0.103468812073938,0.0221467911766344,-0.0325127690727064,0.0297524327251294,-0.0565210652966384,-0.0249376194740717,0.0241987167272391,-0.0256850275121557,0.0379922472678838,-0.087139499413715,-0.0605665284058789,0.0348718043457979,0.148453344402933,-0.0023405661046612,-0.0002283390474307,-0.0347185402637426,-0.0386927226070135,-0.0026447610002869,-0.0484337761630019,-0.0123785591465339,-0.0257285036907613,-0.0366639655917176,0.0595994577961376,0.006308536560277,0.0044680074794103
moderate,-0.0822507709255179,-0.0477116238419333,-0.102972805585443,-0.0733891898463093,-0.0727241196517387,-0.0814524022939456,-0.0939816653774218,0.0073875563242481,0.0035539754355254,-0.0856273662204578,-0.0467921226915527,-0.105079932083271,0.0902433578480576,-0.0725194056949526,0.0252293756847849,0.11304539585486,-0.0469291604367437,0.0747987510347387,0.116931801055046,0.0961732159742281,0.0960433408475405,-0.114976932866729,0.0983902043999842,-0.0848562260724611,-0.0423800023597386,-0.0210758996137831,0.0259039784819226,-0.100656330495326,-0.0110373844485697,0.051184229824607,0.128736691676048,-0.0715460269068584,-0.0972617759878153,-0.036370144104842,-0.0778694603865312,0.161875494175895,0.0343353284541113,0.131580514553481,0.113134349256715,-0.0906806462409559,0.131636446177383,0.0901873208915306,0.0882531505640358,0.0870829577660343
moderate,-0.0073215062856535,-0.0016236702379115,-0.110203380410394,-0.0290012530058365,-0.042600120210348,-0.0377118805190518,-0.0371243146488611,0.020577783214105,0.0378600219071379,-0.141920608909134,0.0051436849223329,0.0114126648328199,0.11616898592224,0.0175384213468294,-0.0133561855692053,-0.0217086177043673,0.0196798506761722,0.0430238446527986,0.0760744394780493,-0.0087663724789307,0.0909047110654229,-0.0634132704441814,-0.0029546289011893,-0.0382709176222071,-0.0260327764533028,0.0213535089042125,-0.199354101635796,0.17778356855104,-0.0390125452371613,-0.0565100076069635,0.0967605443551415,0.0811751054969035,-0.013084014750994,-0.0159707698483525,-0.121299163202525,-0.0987903060209211,-0.0645476937988028,-0.0710172692588298,-0.0036222901431345,-0.139690729693897,-0.153328512507878,-0.044265123656298,-0.0111895624341402,0.0171783669569087
moderate,-0.106718469225327,0.0916488205120316,-0.0543184301393099,-0.0638945270914363,-0.0479259387356753,0.071338879927945,-0.164320802225253,-0.121983116470466,0.0118551504506098,-0.0940759338897381,-0.0511364316319313,-0.117961296223912,0.0155363432416897,-0.119466269832624,0.0650519637836441,0.273430165221468,-0.0401870323939882,0.113792329745876,0.113988380604133,-0.0811984197761313,0.0900632664357187,-0.0889018325346504,-0.121310573843321,0.118125679398911,0.086555038582334,-0.0961837600127453,-0.0973476330269754,0.0400059914628808,-0.000772195491309,-0.0422848247069984,0.023464660180384,0.122357377583351,-0.133497345793114,0.113840712288227,0.0224177993373702,0.192481530211277,-0.0102088959026,0.0576001141411295,0.0857829817696997,0.0067279224875891,0.0829563922330095,0.0301934963157127,-0.001216187504889,0.13602961839413
severe,-0.0729184618141427,-0.0609788629174599,-0.238231984328955,-0.047839321708417,-0.305952298698493,-0.0245331907474869,-0.185514264537619,-0.0715113372622428,0.0243681412473322,-0.134881156168814,0.0585707364752546,-0.226394792382864,-0.132115434317965,0.0013198276000316,0.0135606317690587,0.189906016454779,-0.295707861664785,-0.015197129890911,0.366985017630209,-0.0175152831589036,0.272272443112903,-0.255774882313111,-0.158353212915091,0.187141762973712,0.0099700176681903,-0.0223742845506723,0.169347939540548,-0.294308292112247,-0.0774322068401121,-0.0772097251347809,0.0560753841313318,0.127670584254824,-0.079505971272964,0.0613155932651711,-0.146706506423117,0.0550386676985909,0.0022206724611858,0.261448947350715,0.267198017664109,-0.0813251630157365,-0.0372132269483505,-0.0497590967812451,0.199889746802061,0.171024296796962
severe,-0.357906667520479,0.23567264876189,0.127470854082281,-0.431240040238486,-0.11480165090601,0.0476934550765513,0.375292181645442,-0.0478037800541454,0.411962469116474,-0.105982036487986,0.0113322084923112,0.131068528685457,0.0376106687711478,-0.395467739157782,-0.38827271732525,0.36183662655172,0.392923062449061,0.452941650816271,0.104431921446716,0.425386432636493,-0.0604317341290011,-0.0096079305783997,-0.104208979874782,-0.100403259208517,0.55891615770638,-0.486274198497805,-0.466720814931808,0.184738029172963,-0.165962649491988,-0.372451067942029,0.526052573023076,0.383059616603563,-0.408301611365892,0.413613415294537,0.487443741472449,-0.43530553203152,0.410847106509165,-0.319158702096031,0.232337691649868,-0.0888129164585409,-0.500597294216525,-0.177912121323331,0.250915992290749,-0.0059649147010488
