group,ATF3,BCL6,CEBPD,CTCFL,E2F7,ELF1,ELK1,ELK3,FOSL1,FOXD2,FOXO3,GTF2I,HES1,HOXA6,JUN,KLF1,KLF9,KMT2A,MAF,MITF,NANOG,NFAT5,NR2F2,PPARG,RFX2,RUNX2,SPI1,SPIB,STAT4,TAL1,TEAD4,TFAP2A,THAP1,TP73,ZBTB7A,ZNF143
healthy,-0.0579761518940696,0.0977444831805642,-0.0503689589060946,-0.0921522580575787,-0.068087011901237,0.0958721794956596,-0.102560317677838,-0.061023068543361,0.0286256850370749,0.0954883370134306,-0.0429799916915142,-0.174386789026203,0.0333601405269776,-0.0541721928062787,-0.10322721293154,-0.0352793733979613,-0.177689796926542,-0.0988023693567122,0.0388596950850918,0.0998812393704895,0.0125067332309129,-0.0333876771961943,0.0906749963431303,0.0177798758069437,-0.0262333115823594,0.0510699413872849,0.0734175159076329,-0.0335694060277957,0.0612153148685751,-0.0894706234070836,0.0240029198051833,0.0025015028229492,-0.178625332132197,0.0574936975372195,-0.153972599901746,-0.177850843134801
healthy,-0.0011853100640307,0.0299552470552378,0.0049439604889992,-0.0306338185677487,-0.030984684049477,-0.0087108709980789,-0.0022379025072369,-0.0494386364111383,0.0040547288177998,-0.0027540377048291,-0.0141713028508842,-0.0412748759260688,-0.0022845495713847,0.0068071417192621,0.0200536152980895,-0.0012903540018954,0.0158017770216016,-0.0159853998119491,0.0503890863510635,0.0097378467753955,0.0075752374960991,-0.0132085348204094,-0.0334207725476821,0.024264201177766,-0.0100442702832596,0.0034146203229213,0.0053554159287917,-0.0033723234096597,0.0074243869096213,0.0032957055267575,0.0318785420080954,-0.0033927815249585,-0.0656696936858229,0.0021516038377721,0.0425092822652338,-0.0520554062453199
healthy,-0.152097172673956,0.0411981936477831,-0.0532522914809732,-0.030766001618522,-0.0664743018009307,0.0906702223075993,-0.0117174019525755,0.0968741266823853,0.0848118532135506,-0.0492603093771493,-0.0844344950130803,-0.104886967343059,0.105966949924089,-0.0241641677409048,-0.130063769854536,0.0095790064378221,-0.0485774090548602,-0.0757431629372609,-0.0380648367662428,0.0633305621319449,-0.0522305690731559,0.0674024550031771,0.0621254950237833,0.051774174331663,0.0879557008117199,0.109007428346832,0.0549689752973275,0.0940778002619283,0.095094557927308,-0.0764214816657136,0.0821253123584743,0.0601855219162988,-0.0837802336996132,0.072229571542512,0.0766096993686896,-0.0378691827425288
healthy,-0.051003658082854,-0.111673064498792,-0.0799570167026041,-0.145265816723645,-0.160094618273365,0.0627121120818052,0.264861507422884,-0.157877688084196,0.0990966379476168,0.255780286072543,-0.0116214377070007,-0.183594304842327,-0.0437425491460385,0.068286555414489,-0.224572369614001,0.0158867226020542,0.0029193982885229,-0.0222510793670557,-0.0177723653851758,-0.066527114669254,0.0303158423391867,-0.0386450413530685,0.183822957358111,-0.101046776132977,0.0263305368138437,-0.104277236683612,0.0647209235075748,-0.0152216902129224,-0.124512060386955,0.0485505257614624,0.103504639196074,-0.105089016153568,-0.0696810741962968,0.0179074869599303,0.033644481775169,-0.144763206466415
healthy,-0.358270915297174,-0.0943336868725328,-0.0651394803899547,-0.127441093006179,-0.083973409779008,0.0696337698073366,0.230114860149133,-0.0430393834973138,0.135172508689587,0.0237223713412223,-0.0880626324565818,-0.0469937974126676,0.277026686184268,0.106432940020451,-0.27231478845496,0.0682435977879522,-0.050871076475984,-0.121293928730508,0.0306875731717351,-0.0348847519569661,-0.0100598802741883,-0.0387224289311614,0.121915393546639,0.0606493318334417,-0.0489701828235481,-0.189473547457461,0.0703128356544989,0.0205136436511498,0.0297690374757176,-0.118544383862768,0.12453335179403,-0.0215783638823665,-0.190567556273662,-0.0482341696492567,0.0612144632740818,0.0366293021622043
moderate,-0.206268469336763,0.206109625562378,-0.0826621462217099,-0.0662500687224187,-0.193421882853322,0.153993316784327,-0.16668218859291,0.173266635130775,0.146622811684757,-0.0467822886437757,-0.151953649811274,0.0496868458546096,0.195973955720869,-0.108706315173411,0.0787908745248304,-0.131675586853799,-0.0829448316851384,-0.146294192399657,0.143725490975438,0.152952030406785,-0.12101262753312,-0.104635192860229,0.17697018422517,0.151047804054282,0.131579151489641,0.110059438311263,0.116265585184834,-0.0382883295147122,-0.0308739435017014,-0.0213481413729592,-0.0424624564983912,0.13276660493324,-0.152818745339878,0.181475650597356,0.0614465713977768,-0.177597809594136
moderate,-0.122731643542024,0.0024340908832011,0.0619664242269823,-0.088827856165927,-0.129477237804156,0.107690107694384,0.0018329277816961,-0.0101269408329013,0.125647473013025,0.0340538731030582,-0.0037638233792711,-0.104107026938521,0.0692022773781582,-0.0513351312037134,0.101984528705958,0.023766642686544,-0.0838298021294737,-0.0302791853953986,0.0893026209492121,0.0541699244619035,-0.140652087195538,-0.0374746202663711,-0.018768818520156,0.0585473433518418,0.050987923801794,0.0717411015957311,0.0893007679590618,0.0385065156228431,-0.0048446961684694,-0.086059479168558,0.0063676684492409,0.0683451145681307,-0.0854046138871641,0.112850384165562,0.0877355600216088,-0.109580138222051
moderate,-0.226646381649799,0.115470289717537,0.0222157272813533,-0.0417656587663416,-0.0493708247778593,-0.0043250112243777,-0.105527884228419,-7.99464306717511e-05,0.12426253544615,0.115723738278489,0.0306545573072592,-0.0280770211506571,0.0895577361285114,-0.09787743690522,-0.222445402542142,0.0286352579557331,-0.0535012379002375,-0.003615242913048,0.0360397353964287,0.0335404124145489,-0.090889831593384,-0.151555354571645,0.0243157594481949,0.0633916376865366,0.0054683904234128,0.145639005752945,0.016688510471987,0.0679398938820795,0.0594893884515136,0.121072092703064,-0.0075766796290139,0.156797498923314,-0.0830286010883236,0.114893171656677,0.128580605622397,-0.134676900110857
severe,-0.17553794203928,0.0971153803156461,0.0153675100065127,-0.194048310530428,-0.101073656929273,-0.0558225450069769,-0.191334318159692,-0.0116485577891381,0.0338224649339678,0.0276661640809235,-0.104733096110131,-0.0211972195245643,0.140002015265751,-0.138238063941923,0.168424202240094,-0.062529871552043,-0.211307491643411,-0.109308225582854,0.100387796277638,0.176418221367612,0.0040629545317755,-0.0657413137458224,0.0710002070133907,0.106211780669849,-0.0943960633422768,-0.0275632767371122,0.146773119241478,0.0232554376045638,-0.114867204973189,-0.0108699877951859,0.0221114255245439,0.1354810977871,-0.113590219188459,0.0559384140147315,0.0430027395597457,-0.104719054237699
severe,-0.0175960430136131,0.0580571141050378,0.0199212095473363,-0.125057886322765,-0.186099619875101,0.0007055968076015,-0.0489313090422447,0.130729375669592,-0.0426068431178457,0.139123354763969,-0.0086292319997105,-0.0144226383718073,0.0673687900111367,-0.0143478366909647,0.0768669843941417,0.108757434326689,0.108667089439438,-0.0296175798120541,-0.0176664731676532,-0.0152906293047012,0.0839158285005529,0.0750579818399122,0.0389080457177409,0.2541051956238,-0.17488552026792,0.210918072800024,0.181698949560597,0.0484729463615839,0.128183527986544,-0.0444143884964743,0.0650666144702266,-0.0755836984150114,-0.0225522210488335,0.0481070333773756,0.0656451131837558,0.0028308064672108
