group,AR,ARNTL,ASCL1,ASCL2,ATF1,ATF3,BACH1,BCL11A,CDX2,E2F3,EBF1,EGR1,EGR2,EHF,EPAS1,ESR2,ETV1,ETV4,ETV6,ETV7,FOS,FOSL1,FOSL2,FOXA1,FOXD2,FOXH1,FOXP1,GATA1,GRHL2,HES1,HEY1,HIF1A,HINFP,HOXA4,HSF2,IRF1,IRF4,KLF5,KLF9,MEF2C,MYBL2,MZF1,NANOG,NFE2,NFIC,NFYB,NR2F2,NR3C1,NRF1,PAX5,POU2F1,POU2F2,RARA,RELA,RFX2,RXRA,SETDB1,SP4,SPIB,SRF,STAT5A,STAT5B,TCF4,TFDP1,THAP1,TP63,XBP1,ZBTB33,ZBTB7A,ZNF263,ZNF384
healthy,0.188947096683764,-0.179091740055606,0.273966560062219,-0.253542448559626,-0.218587949950084,-0.234852843856814,0.172381973422516,0.181942965190158,-0.0194923810660556,-0.193734187991931,0.269256091397632,0.142767975878391,-0.229186719575369,-0.209728775218232,-0.133117740130299,-0.15964379000575,0.225464300496546,0.195651250044634,0.0893388843091222,-0.293610850734014,0.173370332204319,0.18296740669509,0.108064501256555,-0.121283113934457,0.248417259339332,0.191958380785851,-0.15611118773978,-0.0024495817525229,0.237739360536394,0.208343941857313,0.13213494574046,-0.211727133094364,0.225184689516173,0.099443119877461,-0.175858137180495,-0.234244401751503,0.172327293467,-0.0030213534348792,-0.173111287307584,-0.198305221746879,0.183211909147209,-0.107714514074652,-0.219855395670443,0.177908931067355,0.17423528993729,-0.162589364265657,0.184647477940638,-0.273109716451789,0.0619295045448429,0.196102678536051,0.236870323007149,-0.0802763404291789,-0.172894327174749,-0.16636080001077,-0.29800423203942,-0.293467991932936,-0.210109738841608,-0.150918573321335,0.144285520271837,-0.190969148979936,-0.156380660045602,-0.0210174609762181,-0.206398808896509,0.203693104831876,-0.0854911282959683,0.22095805126916,-0.217216781462668,-0.290752237860264,0.0416689952599891,0.17833547837158,-0.145818122057715
healthy,0.0622512522352429,-0.0712193562061626,0.049330975393083,-0.0501371466988889,-0.0521118223517333,-0.052136395986465,-0.007633871669385,0.0602685921522211,0.0338005783203488,-0.0640021717365267,0.0650827713094206,0.0437659236126652,-0.0544263025458257,-0.0577097083502845,0.015777586226144,-0.0482819053143938,0.0511746623665894,0.0641489451740702,0.0439799663747317,-0.0607352390722237,0.073042379714503,0.0615532049222567,0.0575544862249692,-0.0493411890601572,0.0667030223090177,-0.0374892689979523,-0.026562994532109,-0.0032814487185656,0.0598314496027791,0.0573461786450804,0.0243871472587776,-0.032589646432302,0.0399964641203188,0.0353163313390264,-0.0524717700694642,-0.0356781881160028,0.0563695927844085,-0.0028084902966131,-0.0284864737785221,-0.0313187652812834,0.0405331098793211,-0.067231311431323,-0.0551404387857862,0.0606995992974214,0.0470909204940184,-0.0611320752575967,0.0074748594411234,-0.0310479310083304,-0.0552784993889956,0.0601152750839306,0.0554657152661098,-0.0042055694688631,-0.071511318201876,-0.0336866230920561,0.0713419762421416,-0.0154597418695495,-0.0407983410433776,-0.0609960157647075,0.0562155273008583,-0.0580985721121419,0.0033948876603956,-0.0478783574050069,-0.0643800053782994,0.067889912857678,0.0047845587222403,0.0292395356164305,-0.0647992499970378,-0.0527520495831284,0.0254005535493406,0.0209979587605738,-0.041287980720959
healthy,0.0719419797304064,-0.0685262195427569,-0.0095799293912039,-0.102104228294865,-0.124907907217838,-0.127601041215393,-0.0325151349536887,0.0329164862101126,-0.040119589812267,-0.131520859364452,0.170874760078849,0.104083333600551,-0.130259187273743,-0.105079253573507,0.0725040923524495,0.146366853382726,0.0928510038362105,0.0433833854479573,0.0327312144328871,-0.0860785454725274,0.063787268824718,0.0903251224231727,0.0047169128952078,-0.0541518597128254,0.0025029493642009,0.0733013487057075,0.0467209601160344,0.163846272958501,0.114373149154717,0.0586768264571857,-0.0623546541204914,-0.0514732218729918,0.0719535615732533,0.0124807392982637,-0.0743896648500646,-0.0174795704090771,0.0776986350597616,-0.0843359575584874,-0.0221148286187621,-0.0623327832916734,0.0334269222654438,-0.289902921218935,-0.0309774486937739,0.0735059702408429,0.0636624596540572,-0.102935104313801,0.132135391945911,-0.16813945201262,-0.0111549091850859,0.0625617105360765,0.0427440946573243,0.065475335886919,-0.0192027762437853,0.0041551611957092,-0.0597138215704717,-0.0580892553284938,-0.0984167365264117,-0.0446702844084584,0.114123137569429,-0.0950234989829218,0.0464851376349597,-0.0301652706174061,-0.0622266451290626,0.0614350935067697,-0.124334799925445,0.11824785198571,-0.0953568190331531,-0.123696882795243,0.116821863172973,-0.0165460038458661,-0.111853220270212
healthy,0.157418434441395,-0.135511668317717,-0.0440843878688552,-0.337539358925205,-0.316153607523006,-0.204852339081881,-0.0856738955991149,0.0167305454139198,-0.0991852202171166,-0.165039773408035,0.313943760405119,0.0374786258973231,-0.255739043843533,-0.194361988524784,0.204171891592359,-0.207853962553093,0.351148113217172,0.229703252124366,-0.0319377666906244,-0.236778394661782,0.206794447275151,0.193518732158895,0.0359728139121948,-0.236771924414092,0.177854597103837,-0.104642244413213,-0.168838335144297,0.0939193897724959,0.222020707095902,-0.133291087581494,-0.101452521329892,-0.257281053123701,0.302384206116683,0.144414420853511,-0.152190290087911,0.23254768730044,-0.0448827848533151,0.196950241743936,-0.145608976704834,-0.231857615270484,-0.158570709987357,-0.226990906246578,-0.255910014781339,0.179221018674459,-0.33159376899532,-0.154734793003534,0.328155789162588,-0.107351428479085,-0.238712306957338,-0.060788289096034,0.161842846957732,-0.305714853525643,-0.204349716255638,-0.233493114178376,0.126580478272608,0.0711438171357444,0.127715865757777,-0.256824383718445,0.19644620155373,-0.198549806527816,-0.104771728318328,-0.145797674091135,-0.169753110116702,0.275148294358755,-0.154116017764513,-0.294897264834199,-0.241267141215584,0.0072575952511932,-0.129907689419866,0.235131086893927,0.273650933923195
healthy,-0.344626801350833,-0.335962761686641,0.136208667074018,-0.369269719120896,-0.362979722440223,-0.418742237273774,0.203355906411628,0.354957347083981,-0.427807262587297,-0.171797237637251,0.26676912359755,0.0683455448910517,-0.406151503620921,-0.14918750422825,0.190015392321905,-0.148160837348621,0.353926254734681,0.254623205020378,0.0383649658201011,-0.428927081395096,0.10888795253678,0.43422372847081,0.11550448375965,-0.24825661316118,0.15632076551643,0.317810838430467,-0.353104196056418,0.324823610880227,0.176726796655149,0.412570368295051,-0.0271745300663579,-0.160426321130153,-0.116134971430983,0.31436121804616,-0.231994130669851,0.167583169418597,-0.449264610781806,0.157603332189603,-0.354605843412854,-0.395802015637209,0.109195606847007,-0.257330088508133,-0.309504329315768,0.252662385283752,-0.0102593284527011,0.2070983542323,-0.0766694435765157,-0.0180771465514225,-0.528658695098505,0.291807226063455,0.311943416514682,-0.030047680974696,-0.318606623374377,-0.39501530091267,-0.133779088654531,-0.472220795561473,0.0677292971318883,-0.217466407925112,0.351394708886879,0.0763575077683535,0.138604458649479,-0.213362830261546,-0.194431375362987,0.342016000169814,-0.0989199077004432,0.322337019653267,-0.351797656981719,-0.269189432452185,0.329034584814032,0.316932923148519,-0.372785176672621
moderate,0.162779277389638,-0.059069560679091,0.122598807867437,-0.0641092018093327,-0.223992099445542,-0.180584655470184,0.238371529280093,0.218383197892999,-0.195856948066087,-0.187293414225932,0.110523052389973,0.0844442720230165,-0.240056328302709,-0.146647232916772,-0.0169270141847182,0.136325840167794,0.0577758711247231,0.127424307951898,0.0955772413404594,-0.225238282078829,0.18584409323205,0.189479349568652,0.0535517654730358,-0.0743446296534985,0.102758755658262,0.163032441977735,0.0146988161914269,-0.0565758072232645,0.160607172525025,0.182644779735106,0.141106404052011,-0.105097288989908,0.137987142801954,-0.0367809482864166,-0.178393578685789,-0.101154163125782,0.051866555135085,-0.0957683487275345,-0.1518645108569,0.0030313940118246,0.0467447023524534,-0.183338565874787,-0.146548877137522,0.161129080269497,0.142075154492493,-0.0291310486319836,0.041469737436728,-0.0107900865721095,0.0488827708731747,0.268898170840451,0.176313505627167,0.0785443648716444,-0.164086026205861,-0.133272235127931,0.0261701951999456,0.038926317654317,-0.0402540949669929,-0.136069333642607,0.0831418934322171,-0.146183166391149,0.053768785726155,0.0874586992773122,-0.10704985429498,0.0828925335109595,0.0047700239287829,0.210854841919773,-0.164691636620809,-0.20308787163839,0.173476149624172,-0.0485121243427941,-0.102458444050001
moderate,0.219296656364649,-0.082812774726482,0.157722633829089,-0.211642891595015,-0.209063276822063,-0.0223419737659416,0.258251205907216,0.178935965340007,-0.144275131765889,-0.218000322192221,0.167362851618702,0.173511463800079,-0.137175423983544,-0.21429226959704,0.0720252661071471,-0.0776915643005273,-0.0259162971866425,0.177375483553925,0.146087731909617,-0.261520639334299,0.192412496860012,0.24177193322409,0.0518574932116817,-0.157845728194412,0.176887973745063,0.227508293483094,-0.118839537852016,0.17363259238269,0.225537079313995,-0.0334807086856895,0.0999204383128681,-0.154940963061955,0.170438296615248,-0.115882131274999,-0.15620522172894,-0.133744403647875,0.0721598377599331,0.0813365536824824,-0.203060751239607,-0.0810221478802664,0.12998593684963,-0.184110532725302,-0.187069108873095,0.200207416018412,-0.0983786825707539,-0.200833294550226,-0.1588034280506,0.0653542194638886,0.0205198395222595,0.271929731015603,0.203597258209478,0.140948796084425,-0.181038797645993,-0.220052450861347,0.149927760937058,-0.0516027936210156,0.198668819300953,-0.180898101617071,0.141327405619668,-0.260312858992636,-0.107900528392594,-0.151838210147924,-0.150446959980977,0.177300868811852,-0.0714566911635684,0.120224165472387,-0.174862450390187,-0.155872603116667,0.112150223524634,0.196053324420658,-0.176178029220303
moderate,0.192994538525853,-0.0829385295728725,0.21214997485586,-0.0623773687829398,-0.204648005613706,-0.157945815545765,0.16590936727138,0.174742542032911,-0.123529139332484,-0.168277819306124,0.0606609775401723,0.176751094708864,-0.159016630091319,-0.155640222315815,0.0710256906696544,0.119138548517291,0.166005553360269,0.150976304436753,0.231049570313194,-0.233312703957268,0.229921723018289,0.173284848516449,0.0776247015669284,-0.0953227332757842,0.170252731728062,0.0983704423861055,0.0288375941624419,0.0368587564280313,0.178717292122248,0.161029732868423,0.147570180568546,-0.111976978200423,0.148835469807752,-0.1093122238997,-0.16734745603103,-0.153838269911716,0.035951296131219,0.0087086849570149,-0.066253669770117,-0.0926518559994377,0.0889110790126899,-0.0657468029466255,-0.173365755253323,0.167694828568133,0.104964036496295,-0.0843121304791676,-0.0120048761344429,-0.0694998339094898,0.153807133417065,0.156489767127603,0.132466533077528,0.106206486956177,-0.075160167766603,-0.148355791242992,-0.0093953971365951,0.0130649453793939,-0.176915339718148,-0.106696862672321,0.0943756622218592,-0.138875274312901,-0.148713901055827,-0.0848619624553297,-0.0898014222623138,0.120609876287467,-0.106670155905775,0.24738498716245,-0.137220714691599,-0.261607423705625,0.100422859000141,0.0778547344584674,-0.218811130344519
severe,0.143662494750323,-0.193429949838281,0.336772407017517,-0.289163492687095,-0.265025954412625,-0.165294096228018,-0.0502131720936399,0.225473543890202,-0.231228922703889,-0.257683337104508,0.259974926660264,0.245839922165144,-0.229078434094468,-0.178641567675595,0.0877774789936033,0.30241937683595,0.209628446781184,0.240975953818527,0.357536942826825,-0.196312406964402,0.305697731244336,0.246238974382633,0.140384776037841,-0.0962796762629918,-0.156943500659521,0.161302585192824,-0.0421793649838327,0.0657409863138211,0.28798112185046,-0.0397231066447193,0.164734754465618,-0.22077982432432,0.0076359791955392,-0.0906609956128979,-0.25244030564493,-0.155372978612931,-0.156465386707042,0.0478574478844858,-0.249984730090306,-0.208878702323473,0.190694668086018,-0.128438613805,-0.203470295751755,0.206597896053787,0.274659619757765,0.107167169373204,0.229052370562415,-0.300541130883371,0.0879949576255553,0.3116154479564,0.280715541468158,-0.226572073500424,-0.188744235331927,-0.173718762141445,-0.297882721246874,-0.28368923272861,-0.198926529786274,-0.225635151915504,0.227621489716009,0.0236597539420892,-0.182411267928974,-0.17268987654912,-0.224363783652348,0.179840772681532,-0.300399158798206,0.226190467603847,-0.214805554221117,-0.313547539706454,0.170774689601247,0.157856595420197,-0.104151169018715
severe,0.159496911404079,-0.167391972322763,0.104466798276159,-0.083045838016601,-0.1791581233161,-0.154501564654606,-0.17864976236792,0.143445078419129,-0.142345438139378,-0.122394173835453,0.0787350537800156,0.0817528294755799,-0.0806493023966074,-0.0897538056730501,0.0204798689980505,-0.0273089752302366,-0.011416015163466,0.161431079866681,0.286278309860807,-0.210418029954997,0.00389716401943,-0.143547268848661,0.142697355418892,-0.127904359531808,0.0346043354190359,0.190484580147504,-0.0743562505570539,0.102570850005901,-0.0300771860257868,0.2714210198366,0.0097416144488346,-0.0027298286532377,0.0283924205132314,-0.112052534756798,-0.182600369876646,0.0557582401820826,-0.0139314220596506,-0.041533850631111,-0.0554187930500711,-0.216973764641938,-0.0118221856821133,-0.0197485029445371,-0.0965992688519601,0.119107723143702,0.0560196274297289,0.192244166545073,-0.0479776778904653,0.0713004166191124,-0.0807908466682572,-0.0262430205437386,-0.0594220342982547,0.0233156129300743,-0.028601497921355,-0.136225024965247,-0.145262642905086,-0.0218234059289511,-0.107535750161473,0.0971965403323315,0.139617390935784,-0.0072297704519363,-0.0520388972270364,-0.0827152981328054,-0.125689045925517,0.098763082368566,0.0299649546982658,0.188743779946172,-0.086713356982027,-0.31958510213973,0.194561832530863,0.114129705040758,-0.161444683663956
