group,AHR,ARID3A,ARNTL,ATF1,ATF3,BACH1,CEBPD,CLOCK,CTCF,CTCFL,E2F7,EGR1,ELF1,ELK1,ELK3,ETS2,ETV1,ETV6,FOSL1,FOXD2,FOXO3,GATA2,GTF2I,HES1,HEY1,HSF1,HSF2,IRF1,IRF2,JUNB,KLF1,KLF9,MYBL2,MZF1,NANOG,NFIC,NR2C2,NR2F2,PPARG,RXRA,SP4,SPIB,STAT4,STAT5B,TAL1,TFAP2A,TFDP1,THAP1,TP63,XBP1,ZBTB7A,ZEB1,ZFX,ZNF143,ZNF384
healthy,0.0079262824412302,-0.102422632465159,-0.0075028915753543,0.0184030549526587,-0.028254108500885,-0.0723944457643085,-0.0414368437863898,0.0262056037207173,0.0126864576218955,-0.198690620882926,0.0130124275168488,-0.0671213362240892,0.0133837113377805,-0.0475408995709871,-0.104802061614089,0.0007296143243496,0.0281338241305644,0.103813090567374,0.016984921894751,0.0840150529254985,-0.0587039075385519,0.143439565313706,-0.230184483400318,0.0277599734657156,-0.0047902842711557,0.025221821940869,0.0522791006167842,-0.0417455864496094,0.072585634235426,0.0454509441747754,-0.0272641336287753,-0.261300443654773,-0.0059827732602126,-0.0320015883275563,0.0625905277732276,0.0245129374616052,0.22832790890122,-0.0450073123324518,0.0278873333872315,-0.0825402655503249,-0.0108668431798189,-0.0552484864567719,-0.0177486538055713,-0.0953803594994739,-0.0913690902389792,-0.0430387891837345,0.0146517163531168,-0.248349115643573,-0.0152644751932093,-0.0102147332500151,-0.26530492887043,-0.229257844806374,-0.0346974799539791,-0.157121723582388,0.0139376811720291
healthy,0.081126471117998,0.0099082049967048,0.0035660262698169,-0.0260565764675784,-0.03019207287071,0.0946111809122752,0.0319523260855412,-0.0483872275191762,-0.0328675677136309,-0.0347110196419944,-0.0855720084315278,-0.0100563506611655,-0.042527104895582,-0.0238225663028051,-0.0069423593134112,-0.0296908326947385,-0.0048311431507001,0.0104825637815616,0.0256780665459718,0.013027443576799,0.0179341755596576,0.0354589873121808,-0.031158914275591,0.0010525541682283,-0.0578899055232821,-0.0097020847857156,-0.0125134737825087,-0.0489682240330218,-0.0178425063708372,0.0196032217564744,-0.0091211560037984,-0.0392823152255143,0.0315160886397335,0.0026433221769036,0.0206604454435352,0.0503375405094901,0.0013906759393188,-0.110008799735433,0.0220225464775072,0.0068927795417803,-0.0175555620480428,0.0255260840669755,0.0493700576434043,0.111159688711089,0.0681410532106912,0.009781809249741,-0.015017033117156,-0.072784192449149,0.0386707158326992,-0.0094062875014488,-0.0077576764258708,0.051161654804187,0.0086425821184737,-0.0927807295299445,-0.0182997287617734
healthy,0.0208916837550593,-0.111117132614176,0.0813666699792325,0.0148278120959732,-0.133823733545593,0.0812086527067029,-0.172694611013284,-0.107472869728769,0.162139129566966,-0.125676699279737,-0.196640321588622,0.130967785855646,0.0692642575917728,-0.130191188443099,0.0157127693010185,0.114902559684339,0.142107423079737,0.187519804157776,-0.0628914144567752,-0.155639075588711,-0.136061446689119,-0.0380218727965792,-0.11125575884595,0.0654105865859162,-0.170913691607075,-0.0784806664461086,0.0835659466348429,0.117521197970743,0.172015713990712,-0.0562059225139934,-0.147576036766732,0.118476397074468,-0.125317919126594,-0.103126943842558,0.0304874139819855,-0.0822314423582273,0.115788418672677,0.101287300524284,-0.110757412878441,-0.143756023337326,0.142933208181021,-0.0090977136533149,-0.028405617549905,0.0037254989804059,0.0108479130286516,-0.0874016899728323,-0.0584543706586396,-0.133111708136767,0.13005061824734,0.049992641022914,0.138597990296431,0.158438410727477,0.0207031516478557,-0.145053289903818,0.012744892484701
healthy,-0.108933304187825,0.12964329183499,0.0551028362302427,-0.131972347749578,-0.0316717346259479,-0.0572306758870762,-0.0944158079941203,-0.0537285578077096,-0.0758720800469001,-0.0692853169256829,-0.121437731885448,0.0647626001182079,0.0511451965347532,0.247763576566527,-0.097301859772478,-0.0125706090268197,0.156169697238163,0.0843279236829739,0.0832074843929507,0.202817982377192,0.0467917538280372,0.115716321862334,-0.141035672308045,-0.0644693743767816,-0.290028986122482,0.264874672049806,0.0558964474029331,0.0444243423080576,-0.0135605619332469,0.0878420575019484,0.0136531778895805,0.0055072000885854,-0.0297008046084851,-0.0880553615179391,-0.0349760023708321,-0.144842201758991,-0.2136606294966,0.227334165915339,-0.109961646813731,0.0829981072874439,-0.0836596362953475,-0.0204525475832275,-0.136984961801726,0.0526378243067421,0.089273928084608,-0.0394762758993741,0.124600331407038,-0.0371254779398681,-0.244357952078074,-0.0813215060335606,0.024394767711296,-0.008725310810982,0.165185341674067,-0.110964479683309,0.204956928064641
healthy,-0.0200358596815146,0.0042890112882278,-0.056208989569199,-0.0762975427868803,-0.202057484478937,0.16144757018039,0.0464704193445433,-0.0133047540484902,-0.0220204530811968,-0.0401354503191828,0.0264775509692625,0.0535774274486935,0.0612457616926223,0.12110669554426,-0.0047092719919074,-0.0172610445894227,0.0593283857046164,0.171115942051229,0.0845538321647522,0.0348554401177112,0.0075358330659342,0.0570625908519586,-0.0185434889689756,0.123933571714072,-0.0522393176583378,0.122668176510063,0.0103948467389614,0.0226997519897082,0.0701055547079678,0.137219120787798,0.0522491468333354,-0.0866737354019821,-0.0274678516846513,-0.069728954038987,-0.0630428277625822,-0.0316276986365811,0.0430768241365856,0.0673081524618917,0.0498088047838048,-0.116589906273345,0.0166838412490714,0.0294680865297864,0.0183681755679633,-0.0367515482736536,-0.0167002829018061,-0.0122297447050317,0.0829752362839975,-0.059569399977159,0.0951808160892427,-0.0897646754410562,-0.0146783857881569,0.024152898944179,0.0031549112840999,0.0276756403534255,-0.110279390041042
moderate,0.369709512387558,-0.074143329342963,0.0683064828852995,-0.256430457030128,-0.367420835231532,0.35892279799358,-0.0577949936848027,-0.157530233604883,-0.158083236154247,-0.0895740094876963,-0.319097120395233,-0.0813558423787979,0.176801050430095,-0.348626251910618,0.219270615147641,-0.218865842190612,-0.223211153897032,0.253665342196811,0.241085325369125,-0.0294317409981074,-0.103426687618992,0.411992718206477,0.0339547852942348,0.356705019909095,0.0959937698380806,-0.247208830707832,-0.149913304914755,-0.0142833300150855,0.350097012059905,0.24535019291662,-0.102651902156854,-0.332509856771593,-0.0663959341108214,-0.329329300942405,-0.243816904788473,0.0951441549743032,-0.341415474345217,0.168193168122341,0.184542677775207,0.0027807340672192,-0.198706413460113,-0.0155963154846527,0.0313447398484918,0.230060034833766,-0.0060380078982249,0.220465435497975,-0.0728009940057675,-0.137535929781823,0.333056938304184,-0.130435660848448,-0.0274405438917117,0.177304285812611,-0.101283994152386,-0.364765412338273,-0.0577491568480546
moderate,0.087519853414413,-0.0329816679364085,0.15412227165137,-0.0213484267540394,-0.219913019886458,0.0717410983911084,-0.0368553741882566,-0.154841451867916,0.0497837461491173,-0.178927686208896,-0.194933682994363,0.0123609857036361,0.0584664164485818,-0.0180202863911317,-0.136149997984531,0.0065750449587961,0.0053843445827865,0.255963257456654,0.0100555043901188,-0.0257251468773164,-0.0302850605586419,0.24449235840262,-0.138553453318463,0.123491044419858,-0.0769837458678286,0.0644615195885372,0.0371633864985871,0.10703796376346,0.0635781973279655,-0.060667747560396,-0.0882131396566959,-0.0747626274475797,-0.0862009889882733,-0.0985770060733844,-0.0496877987717409,-0.334239065797499,0.374625806123461,-0.0193569457056643,0.0718956932887498,-0.0787757474899873,0.0312314558006342,-0.0827960179995982,-0.0412026646740076,-0.006369032148771,-0.200593754768734,-0.031002249424615,-0.0035709557271353,-0.20840516427474,0.0101571734246201,0.0283014251320739,0.0386406456443803,-0.0370683545863507,0.0624706695266487,-0.0962819210643365,0.0166637328213023
moderate,0.0546365938340969,0.0729655510852681,0.0329389007879864,-0.111947494817782,-0.174645788891375,0.106925171639946,0.0058305987720761,-0.0021632365760421,-0.0443551712007921,-0.0315742069641118,-0.051053077020961,0.102132622232903,-0.0395708368906468,-0.102000112639646,-0.0322435807684855,-0.0722675649737145,0.0778095351898936,0.243574603575345,0.0707958098870492,0.0614590270321607,0.0228909298476448,0.230598637190124,0.0154730667476808,0.0572794057637136,0.0703776510154596,-0.166225772304316,-0.0533091128733915,-0.0755429955772073,0.0864834167409941,0.0082930238770554,0.007202391467561,-0.0542619275967163,-0.0212026511464713,0.0366911683794213,-0.0853762176209434,0.0103158168268641,-0.0337654776586959,0.0099756732694067,-0.0104754049213314,-0.0218985975369967,0.0117001048212465,0.0271560507609263,0.0852059731886631,0.0588029167638716,0.0834856291092776,0.0975917535217139,-0.0029701389722664,-0.0190020651904982,0.185775366074141,-0.0298650010464042,0.102793507906856,0.0892611634439884,-0.0240186145123534,-0.0838822906060929,-0.14266838368668
severe,0.0779678642520009,0.0193012225828977,-0.001527946632142,-0.113645348742702,-0.217295706206763,0.146223319287914,0.0591915713006544,-0.101429465153357,0.0966864509221205,-0.191815396615725,-0.13662027922993,0.142201304359325,-0.0584533353622536,-0.221936923171728,0.0038905650051752,-0.0186906741371871,0.0222283701708506,0.192482216915949,0.0754032268642897,0.0228354853985256,-0.0803567020641408,0.0644663345691292,-0.0232328451133468,0.149151642635468,-0.0365031734282388,-0.182621144655885,-0.0918624973999374,-0.0596034869193385,0.0463059750424668,0.0547415093316527,-0.0519048952329921,-0.229267102344635,-0.0012490329395456,0.0553542682054135,-0.0144224081177227,0.22730087956355,-0.185305004067158,0.039029598628911,0.132636993822604,-0.116722382164615,-0.0475173836747741,0.0492355446951981,-0.0490474466741983,0.0355461521432469,0.0279290876276477,0.173948389109562,-0.0268635672466571,-0.144113254077218,0.051972454379677,-0.0501019384301296,0.0424583487779273,0.118821606871788,-0.0504154900005774,-0.160737742352026,0.0756390842402902
severe,0.0432743758312673,0.0112299602364887,0.0207429063746025,-0.112580629975759,0.042542896492396,0.0359965682603073,-0.0451126840306562,-0.0473185892658745,0.163709081490393,0.123075719160831,-0.306302329736355,-0.157382407023123,-0.106835553454895,-0.0338001921222392,-0.134489316405113,0.0223954779346225,-0.42186459805941,0.233492436532881,0.198189715753207,0.141321840571951,-0.058324373454151,-0.0082471913183446,-0.226395843317896,-0.0043741786121992,-0.0459045681548527,-0.106892405017554,0.0472329889016436,0.0697549292611582,0.0085219200344895,-0.352565288850129,0.0490301120201291,0.184947662426929,-0.362235545846283,0.0732304655590541,0.0444064002706907,0.236248122220631,-0.0616513204405518,-0.176324475546453,0.0727297841833639,0.0989648422290455,-0.17803502923998,-0.167202868431984,0.343365187816761,-0.0407331755844577,0.07637765178057,-0.124570656842569,0.0885971845295922,0.0419514464285968,0.0492552571290685,0.0160174432488142,0.0093588654824981,-0.156307234146359,0.0583090299926379,-0.035598445811573,-0.14936875934002
