group,ARNTL,CEBPB,CEBPD,E2F4,EGR1,ETV7,FOXH1,FOXO3,GATA1,HNF4A,IRF2,KLF3,KLF4,KLF9,KMT2A,MAFK,MEF2C,MEIS1,MITF,MXI1,NANOG,NR2C2,POU2F2,REST,RUNX3,SETDB1,SP4,SRF,STAT1,STAT2,STAT3,TBX21,TFAP2A,TFDP1,TP73,USF1,VDR,ZBTB33
healthy,0.149371907017965,0.276684257921093,-0.158080951359264,-0.262145561698121,-0.118275315572685,0.26175336552044,-0.206572737247672,-0.251153309929824,-0.226541681055781,-0.223635643772311,-0.0973780146703983,0.345723857717389,0.207109305935155,-0.146014654669994,-0.229361287928266,-0.0905506721327604,0.209096576125628,-0.181140121128053,-0.163614580815487,-0.279212455064421,0.25316919224037,0.229640595150897,-0.0943314610957713,0.259943050899569,0.158007374253191,0.0250332163664921,0.102979669186529,-0.109994813547624,0.179850050725046,0.0068474766559552,0.202220523696874,0.316702850116723,-0.188747296709819,-0.133597559076889,-0.131855162745807,0.028092139372941,0.281216856179664,0.283315721589389
healthy,-0.147976627009221,0.0686792729289765,-0.01149860232948,0.0352140319799389,0.138812472113696,-0.0780067442907638,-0.250649283016175,-0.0555534243553493,-0.0729229623093307,0.0649625898194708,0.14823784647206,0.199337555307686,0.37019781312309,0.0996958987567008,-0.379733313905286,-0.0149016849835137,-0.221086710979137,0.120823604546073,-0.0108764749180125,-0.120982939530814,-0.17007418423389,-0.100382311750696,-0.235079892820711,0.176683710586202,0.104995342327826,-0.160145034891754,-0.0713487745872039,-0.0197715390533949,0.108246586660525,0.219856987168843,-0.0431569720371902,0.0585765286012143,0.0764503118240717,0.17261756578926,0.038111629884863,-0.0926840315409463,-0.18919256901531,-0.0986180292096096
healthy,-0.0557793694043142,-0.163395565393459,-0.182898099085817,-0.0330279414639007,0.161325196721589,0.191803904269622,0.0512048926630021,-0.309446130920217,0.0893885803804839,0.065885440368916,-0.171278118349673,0.371161479560783,0.101676942010225,-0.0847128393470013,-0.315062911470852,0.345804060875495,-0.0128590325906152,-0.0314035884416736,0.186290060334589,-0.238509069284635,0.0855786296869745,0.232344062396932,-0.211899354588567,0.0814534648469573,0.217287935583598,-0.128172288066203,0.0165268895648911,-0.102102212245723,0.154210611250465,0.0215341700630119,0.0399104718942096,-0.0512694895163286,-0.0416171720580202,0.085124069593817,0.0399930018621489,-0.223417081619321,-0.0414725241470502,0.364695551245805
healthy,0.741573203385987,0.141597871652308,-0.232098883002328,-0.229565662942349,0.664198901660898,0.260270442953901,-0.0885090869209378,-0.336246779442705,-0.768725922505996,-0.680968455519555,-0.613879284444326,0.688815371235095,-0.698362079710524,0.349277025439516,-0.340117828695303,-0.124020363670235,0.0786453322548275,-0.469975366675907,-0.69131864512756,-0.604804560863265,0.584923173897272,0.132897806983852,-0.158796236482843,0.372824045271531,0.519448801257234,0.331690976407037,0.416866252894798,-0.227404657209873,0.671527374117019,0.596071224341733,0.0797272036387994,0.646153326869477,-0.693192633322868,-0.308888977629486,-0.267447321138717,0.310944348790341,-0.459099834979358,0.557773915439917
healthy,0.416060876874266,-0.63477953506628,-0.703752865825847,-0.554222110600604,0.388479796688559,0.5946743574387,-0.721986650414115,-0.67137023572258,-0.634366562272522,-0.377344527518823,-0.321282756213881,0.547177562830661,-0.208752550400581,0.644603587000789,-0.61631294812434,0.0812271571627837,0.197168810400616,-0.595509178633799,-0.127549392529194,-0.535664238913438,0.672385721667594,-0.255266958049709,-0.472349356241929,0.561956991704367,0.58398688244396,-0.589952090423735,0.561536325252748,-0.15617990566199,-0.273362287553534,0.187311622132151,0.327164036975607,0.449185692313875,-0.333882076626959,-0.610423852873462,-0.578062170522252,0.669345375698963,0.139071262514115,0.652021826410134
moderate,0.348460889498786,0.06222655278737,-0.289974424072146,-0.483991979552936,-0.215818469021539,0.420224741686685,-0.0753317759861977,-0.401541419065053,-0.397226908233703,-0.342520735723769,-0.101665904278408,0.463281826908772,0.22032486303998,0.221381957530736,-0.405587058433768,-0.0680090006522299,0.591765041370631,-0.210660407821382,-0.103283679807055,-0.337162617398839,0.507256181200138,0.126515338964859,0.0261192048182774,0.514698653634041,0.198702345689146,0.399104614980646,0.157594642430052,0.0250206275937841,0.344727749985085,0.365617167300043,0.581582307415868,-0.271464235668047,-0.212926938566446,-0.400349505689651,-0.180490914707332,0.290027197057307,0.605259395090244,0.43554014654768
moderate,0.0550692379738924,0.115516756657325,-0.129181871705246,-0.138663657245187,0.0526684046509928,0.161003599575457,-0.0129470855617429,-0.342072321603666,-0.09964973815398,0.0778602572059745,0.0223314518268291,0.373922431247728,0.132181632542559,0.0565152581357567,-0.329725233048683,0.0511825032589427,0.0814640023148979,-0.140207935541501,-0.171945775306838,-0.216961631816669,0.065124436609505,0.0920495436477426,-0.146337764721554,0.181381192936327,0.33316136070901,0.170783352977842,0.0134522581802972,-0.0041875988956865,0.335760675506406,0.132818571552793,0.0708818142750104,-0.0006269681663323,-0.062942143374347,0.0158880629375205,-0.0019243685821824,0.0249286941475794,-0.016632286940884,0.301876101785577
moderate,0.0402657160213899,0.14775805970872,-0.0581588336577917,-0.269613925973107,0.0631131336230086,0.196713355825618,-0.014724947011089,-0.178826244116719,-0.211990919950887,0.0133956749373049,-0.012404784635464,0.30385749928582,-0.216786282177283,0.154154643682351,-0.186379826554417,0.163039013633708,0.279116427897212,-0.0168022721108487,-0.0739582993237876,-0.250400166294206,0.249744722596551,0.191927110166467,-0.141365846582727,0.23871264732727,0.187912845531308,-0.112537362669025,0.0642711450389927,-0.225915642924327,0.197776747961448,-0.342050141415097,0.0651473564223422,0.053768269349833,0.122105929795653,-0.0038310878343474,0.0036138216123619,-0.18129660253589,0.0702128816983369,0.0375440577910547
severe,-0.0142751014077989,0.171413731282288,0.009146279373395,0.0502050018812858,0.228161779940719,0.0447129123879399,-0.0278886605351996,-0.128455784704312,-0.0882139613349482,-0.0868218162183284,0.0422850000178451,0.185237152670745,0.214913980754016,-0.268466432661516,-0.0849078723974959,-0.0230648853481549,0.0219298655900392,-0.151883796427536,0.0557915940555488,-0.170145293208292,0.0018092831010609,-0.0053557554440905,-0.0108689604904257,0.295243093623874,0.392411554320881,-0.0245510863800941,-0.0530117244503291,-0.188277815815166,0.0608452889275915,0.0360506682687569,-0.0439082170044256,-0.261099714719941,0.0467700328258672,0.0105189314015649,0.039960337528792,-0.137823989009903,-0.0165960722021757,-0.125891209089258
severe,0.292079758220076,0.10535184391868,-0.21019259019088,-0.401825714372125,0.0227787333085097,-0.0078469759027125,-0.220692999867998,-0.19820227502103,-0.310921566420227,-0.351820063106809,-0.240134785222996,-0.0668229817748656,-0.0920770660541299,0.0385387376447437,-0.217813077146039,-0.295375261448374,0.394670185427954,-0.151468166752249,-0.250069053477961,-0.388193637646068,0.440681925087742,-0.110589582960983,-0.020977021015931,-0.143584117247685,0.369193983324499,0.101152003834748,0.142050824308246,-0.207803042752793,0.230879821917232,-0.0936977814608156,0.301575295204227,-0.0512791052048813,0.0800545340861654,-0.0985207494640694,-0.13011490534024,-0.213732390647096,0.285776274544647,0.238127792025845
