group,AHR,ATF1,ATF3,BACH2,BATF,CDX2,CEBPB,E2F2,E2F3,E2F4,E2F6,EBF1,EGR2,ELF1,EPAS1,ESR1,ESR2,ESRRA,ETV1,ETV4,FOSL1,FOXA1,FOXM1,FOXP3,GFI1B,GMEB1,GRHL2,HIF1A,HINFP,IRF1,JUNB,KLF10,KLF5,MAFK,MECOM,MEF2A,MEF2C,MZF1,NFATC1,NFIC,NFYA,NFYB,PAX6,PBX1,PBX3,PPARG,RARA,RELA,RUNX2,SMAD3,SPIB,SRF,STAT1,STAT3,TBP,TCF12,TCF4,TFAP2A,USF1,VEZF1,XBP1,ZBTB7A,ZBTB7B,ZNF263
healthy,-0.543953874057756,-0.564773440087636,-0.566602494153738,0.568276476432166,0.2878030175242,-0.227751491011862,-0.193718622987982,0.549568942166554,-0.613766912335191,0.518598482637551,0.619389706456681,0.607974361554662,-0.582519767813719,0.574761383717399,-0.45641013371064,0.538778883399646,-0.523536849403968,0.579939033313192,0.647607805739323,0.559128723064676,0.580938512440572,-0.472390880287181,-0.614894409722542,-0.553092382992315,0.556685018614191,-0.595401110006165,0.629002989538767,-0.568021508934543,0.566116988928651,-0.547046618046949,0.609824272904443,-0.442250042225473,0.17345829181284,0.478726215235022,0.596259199015822,0.580707113367099,-0.575286745771481,-0.457734073595526,-0.63162146438567,0.546422723229634,-0.470983379625763,-0.571053395820815,0.610605121079503,0.538253555390861,0.633705900167173,0.572547635954645,-0.529339280129636,-0.404859629298209,0.560436703649253,0.554869987805852,0.535592561372751,-0.324700983390353,0.58092734104384,-0.551172090935247,0.647014555093682,-0.312405732117626,-0.619900115816397,0.560484538426137,-0.322777335601861,0.620082868700077,-0.612897898189781,0.352424072001035,0.586709478502912,0.583153281562231
healthy,-0.208286825615391,-0.397841511472678,-0.391714506761336,0.394235679401224,0.179752282487758,0.274118529217684,-0.161234991779238,0.402953871433144,-0.404320469981749,0.32997657754232,0.258869651830599,0.411592294739144,-0.408278919990189,0.394408647669239,0.247121500476317,0.410555149270314,-0.27669007241928,0.389318280320187,0.429688305113536,0.407426489252374,0.409881776077314,-0.357807193070299,-0.333914999351244,-0.342645850037432,0.395901524695936,-0.338255593487727,0.407511163006781,0.01295354010039,0.393493959877354,-0.32447924886155,0.403381849171586,-0.407540369130725,-0.0654965493270901,0.385978327998442,0.381331185584867,0.399257788437862,-0.349856505968938,-0.368101339548603,-0.0122441393531263,0.390184782008401,-0.317803653121552,-0.394822246392686,0.371653104283209,0.339906915737244,0.341613329538367,0.359218356963374,-0.36541314788814,-0.298889383174361,0.377221495864459,0.419205038980592,0.39169339033364,-0.345835958939985,0.39518908731195,-0.31357596265873,0.320711834909581,-0.0909072494468143,-0.401253418881977,0.389706305681408,-0.1431670672939,0.402413162057114,-0.402326655918493,0.101416160957085,0.40621927212289,0.171621485620952
healthy,-0.0697724611200187,-0.428294339952878,-0.325998692927991,0.603370758357014,-0.161471058807654,-0.140932902633532,-0.152636893235105,0.390085928481192,-0.479387279434884,0.303611028505148,0.354631817644444,0.545452414728661,-0.439833853141786,0.242153179543759,0.237469109853508,0.577119454906419,0.603338209006935,0.318585691316867,0.223768037108711,0.305762548069963,0.423751018253134,-0.340648480332593,-0.235524361432497,-0.271070229618079,0.337461707619596,-0.335336653213266,0.50075483131707,-0.246791467304688,0.491365580006729,-0.233037668482568,0.477933824110304,-0.557876317837984,-0.201084434811911,0.397032457487739,0.286657665118448,0.439894630560988,-0.22519851547299,-0.371117853844885,-0.545172799902292,0.305836810680603,-0.432397277975601,-0.405809828314205,0.422323947466126,0.333177420914409,0.363244705683516,0.29391134905536,-0.24064560071269,-0.018525035843873,0.33622157523171,0.442441283971531,0.494002061238914,-0.166405010331435,0.37731151251431,-0.339831274506626,0.259094729279291,0.0470048625809754,-0.273656521644347,0.436322618875693,-0.500121731408804,0.437319759830777,-0.398072370524712,0.304322099586068,0.296315781800046,0.141398504532245
healthy,-0.820513584507543,-0.803875119578319,-0.810500407381059,0.678988635779516,0.806459032080018,-0.132862607339141,0.795743858145165,0.811274420307213,-0.80062982974409,0.766319537419743,0.790658809857536,0.804980201861116,-0.849580948930593,0.824377123017542,0.748207890741663,0.838966738584857,-0.76063511744821,0.794749183573385,0.796515744456102,0.786293802727147,0.714082508923172,-0.814231158086565,-0.772805413780471,-0.765754926705561,0.776591283951994,-0.829020521707882,0.822358500096611,-0.793884210025986,0.793274842875496,0.841091999819463,0.779816796639767,-0.776427939649839,0.776461181608692,-0.774456586096777,0.796745898982,0.817024484052169,-0.801291330847875,-0.813433201048336,-0.721774704952836,-0.770398584190344,-0.773962352468898,-0.800960287745741,0.353391577679419,0.794442257112955,0.841039487051112,-0.0438562292086978,-0.8038611259251,-0.771056480925128,-0.762627617132831,0.822370202106272,0.805659814825365,-0.781351755247955,0.366804698699856,-0.793230326480413,0.547848755545238,-0.815645938555798,-0.757103931015143,-0.032321948353412,0.759074841992199,0.826393420539118,-0.773167478460138,-0.639394454769416,0.796774475139565,0.835918263800927
healthy,-0.694643244733679,-0.783669935439912,-0.272166709502204,0.624554003934993,0.190231875308446,-0.770813532911918,0.404345224966457,0.707539600243941,-0.698345362518189,0.578818650408083,0.707537314956208,0.268900521339686,-0.765178622040433,0.691987681058581,0.752513063012048,0.679227065047472,-0.642940484154514,0.687662273018871,0.333583582200236,0.736628979452118,0.652376289977975,-0.688641758328109,-0.671059802667959,-0.68884785172855,0.658971645756578,-0.734990135894558,0.666289148063962,-0.806144268039319,-0.298591818967978,0.723508742652764,0.744361722935335,-0.458543937254328,0.672700885368019,-0.585628120068113,0.815865893041608,0.813567078163344,-0.388727744391871,-0.700442997364637,-0.610866459837716,0.436106127508197,-0.779649444113343,-0.342370430031951,0.799142952868905,0.61653223967273,0.817209446660601,0.760248135730839,-0.759801388347781,-0.615823651052903,-0.68527797739244,0.751045785233636,0.342693048935453,-0.704134123794108,0.813450271394101,-0.715065274684646,0.788160216002583,-0.681752951828086,-0.777038129321971,0.726929912876622,0.168256432008069,0.633022832004769,-0.624887003318543,0.790862294072612,0.614397238174459,0.748586105875511
moderate,0.270297608634598,-0.42153801800339,-0.512920520961997,0.386761944949281,0.354326939066861,-0.0185423985698407,-0.337233899076445,0.36823206463552,-0.619895865883433,0.230080232874526,0.327028556865898,0.329695507455043,-0.326595425205537,0.742638695213742,0.239120355371198,0.490280258490708,0.733448711308572,0.445078981773352,0.0394895285851472,0.431417374606636,0.680064378329166,-0.395421205891591,-0.543456073090271,-0.253755423006616,0.41648273743899,-0.439071853892582,0.360611359093528,0.345451444411368,-0.202457857768249,-0.362357987933656,0.725523633311611,-0.551457027047552,-0.467766966902513,0.657922189165083,0.608465318519673,0.6410890179519,0.321007582261057,-0.553537305733399,-0.689334325788478,0.586694027400011,-0.270376448100439,-0.406039292888312,0.651590761809463,0.409529944727508,0.165086469206725,0.680438597543567,-0.606879332116748,0.119609228811463,0.480380208443738,0.65729361942511,0.482033640144726,-0.578143854117825,0.630359850593067,-0.0338509483823514,0.719042804401798,0.47468246032037,-0.423699537616449,0.630987756099044,0.331780844538244,0.725258859421793,-0.328056688901969,0.526708179303198,0.483370794273738,-0.212549871440083
moderate,-0.107945876736139,-0.361630846456712,-0.0196229852929787,0.578448386463605,-0.529556131759368,-0.460170543746968,0.382336317022343,0.478911542437785,-0.573143845311189,0.506214479347256,0.208107265128938,0.347684436398549,-0.280252145756465,0.609408616658671,0.247499481854513,0.566696800775009,-0.286241884277586,0.407815994190842,-0.0929481683924492,0.474427409943644,0.607175930893553,-0.479136047708162,-0.283873156816056,-0.417010928019205,0.433674919131195,-0.601927588840185,0.551951562968095,-0.418094415581099,0.399591535246699,-0.363570171936478,0.50601563504486,-0.459881237737714,0.27519632703025,0.660209959505806,0.463019335527516,0.563582974928548,-0.191436842392412,-0.536010207359952,-0.511490579333879,-0.401877007170969,-0.388656762651433,-0.539549546348889,0.534920186118347,0.511262987700167,0.580851130526261,0.533696677782493,-0.528434987986538,-0.467118149578306,0.400827958396346,0.554213477335249,0.445735960817591,-0.657280774029951,0.281025838927084,-0.376977473922864,-0.515970407248178,-0.459688314783982,-0.480396515056969,0.458500980173368,-0.577729706403477,0.457883215492783,-0.460384340743855,0.440032430125473,0.481163069736684,0.565987637628489
moderate,-0.482123391242515,-0.628049293079434,-0.28552812747304,0.674716388179752,0.277926945037949,-0.633687339993812,-0.0888184831383888,0.641134337203693,-0.756032697989331,0.461754692598459,0.743119212747508,0.28005018463312,-0.748137120607704,0.748932623518837,0.457517809601708,0.591063792109634,0.465858728539456,0.66280113840112,0.698168536067664,0.699330018498309,0.760161494183785,-0.516385280285921,-0.61480493459241,-0.580304903600976,0.705374336182265,-0.512814594881837,0.766479913616857,-0.643849621261334,0.641126097080684,-0.553846610469287,0.635948037284716,-0.459475098065146,0.164794020635892,0.665223910057268,0.579527436428588,0.682986001735527,-0.386168833948114,-0.35274953537259,-0.755799350149657,0.391346853859653,-0.704790866872006,-0.571905737443275,0.121750122778738,0.524377266309066,0.641900509105819,0.693982481787094,-0.322298148827309,-0.557237369237754,0.685633338680108,0.730010381549858,0.620865006625778,-0.671774209583031,-0.498543539403165,-0.649069615545839,0.743330233283889,0.615984971259375,-0.646384180994781,0.756074943576414,-0.66920311571272,0.72727202036166,-0.581824085543695,0.197468174380201,0.525984138157146,0.712545724011617
severe,-0.469583221787088,-0.535705356654994,-0.122004600665669,0.505966770809554,0.311205371778944,-0.635399698212844,-0.220508412089764,0.464748932946379,-0.614995020994868,0.576975727589173,0.388576309203599,0.455833407666861,-0.564954425517847,0.484628961396594,0.322183795978304,0.48174267595875,0.681560841620925,0.513550345235076,0.554137104303917,0.568010914343305,0.546241976316292,-0.365189521899461,-0.569440359428449,-0.644224478138286,0.555426233885622,-0.347075512323685,0.627728623537901,-0.561551086738354,-0.130827311249012,-0.36449852624527,0.588596000567881,0.228174195833205,0.228328079636541,0.162402344145998,0.189586609353669,0.428910843688916,-0.517824477278831,-0.343398314929637,-0.574867115021152,0.400009330237631,-0.621812256901607,0.446661730756881,0.636328550632124,0.499004046044129,0.0928441137537882,0.634737226558263,-0.456968535868974,-0.465189561721885,0.462460640344542,0.573792632651679,0.558699509811164,0.252497478013238,-0.389112668566419,-0.579871607249475,0.613096611256618,-0.321573081391441,-0.583274546269699,0.562650730426526,-0.635007698976657,0.571879737518738,-0.467883445375057,0.36815771095696,0.3212974356178,0.487698101427155
severe,-0.246644853894484,-0.252626714590185,-0.19728722555867,0.313377824217557,0.287267749447375,-0.190599923196627,-0.299226942556645,0.189299659327442,-0.227931566261732,0.0009480282091002,0.150206352788824,-0.0029982079441331,0.0889019841196009,-0.111222048470087,0.139478528970596,0.159150195171606,0.102508016405478,0.219106267836178,-0.13009285563127,0.305525459552827,0.133917960237486,-0.230492956704538,-0.121786854131581,-0.133687341297504,0.401192373728153,-0.125392983951867,-0.0833619543804442,-0.0431197579753228,-0.110182807720909,0.201884563992667,-0.0202575935639529,-0.184011757868392,-0.0450688599842064,0.119033982044357,0.0136627975368822,0.260894063967395,-0.168126220702394,-0.13720468444314,0.279960557606403,0.105795549232941,0.12894348059168,-0.0739761193167562,-0.127026238282079,0.244812516874849,-0.0049696279149505,0.369977954649608,-0.138598910166554,-0.194387022577811,0.363462080111115,0.288560735720278,0.18774387096655,-0.27070879203868,0.0028279121911167,-0.226093730613794,-0.176350713123717,-0.167029082631679,-0.335474708948705,-0.238869955199075,-0.0056257436509313,0.260824845940528,-0.311318102745176,0.0354703573847,0.216551669816569,0.167418029721901
