group,AR,ATF3,BACH1,CDX2,E2F6,EPAS1,ESRRA,ETV6,FOSL1,FOSL2,FOXA1,FOXD2,FOXP3,GATA2,GTF2I,HES1,HIF1A,HINFP,IRF4,JUN,KLF9,MYC,NFIC,NRF1,PPARG,REST,RFX2,SRF,TAL1,TCF7L2,ZEB1,ZNF263
healthy,0.0479153557532363,-0.0716620293565628,0.0642329279929384,0.0159389082343658,-0.0803747214154742,0.0707103654306317,0.0252525862564777,0.326253960154636,-0.0387187591837032,-0.132407767725008,0.0952059290076122,0.0875086367711438,0.168271152615653,0.304311135463114,-0.0614563529793997,-0.0159402487403813,-0.119366639630217,0.0354639436095996,0.0279985725345287,-0.0817657217159581,-0.191667788430163,0.0299951830331895,-0.0648524494880886,0.174202064275262,-0.106058042560827,-0.0175787284714871,-0.259700956766962,-0.173904172283954,0.0557256398206291,0.0020235341249832,-0.0269477951579028,-0.0671657224674549
healthy,0.151489934499135,-0.148504738711096,0.172428212807303,0.0902048217854399,-0.0392326738503254,0.0823964023516602,0.113507437931616,0.257033403247128,0.145275958871715,0.141465634582315,-0.0981033190244746,0.118149591977861,-0.0174060621081897,0.337117581097801,-0.0019107039512753,0.0964009726320426,0.120407923058477,0.0654093662765385,0.18315710643357,-0.10915448357038,-0.182628525450063,-0.111104061987657,0.171673557247029,-0.134604650542724,0.0898235526772561,-0.0772571061482632,0.0446181563793789,-0.188009182596222,-0.0179467843776896,-0.0492361914935863,-0.0572458002581868,-0.0767547913722264
healthy,0.17547427267219,0.0576107300340422,0.366795321761903,0.185309640711234,-0.186316862464472,-0.158927009779683,0.0478233123939559,0.166695786036196,0.175281976576113,0.233036170806834,-0.0704784649631471,0.187747322679173,-0.06314938542632,0.50520589254096,0.141277032836227,-0.0396651333178859,0.170088697356396,-0.0193762826809698,0.336886828818726,0.0277623457458975,-0.385977518470902,-0.229535883057986,0.363662243446524,-0.201834968217781,0.216857821223648,-0.189895060877247,0.0085667921552253,-0.0740278372365195,-0.0561484498034433,0.294396706964392,-0.219576889957176,0.106471939321562
healthy,0.072753636529378,-0.123881688951013,-0.110819266750967,-0.0255716611072451,0.0635479298781979,0.148504286457108,0.0895696692603914,0.192833267650078,0.106749267770159,-0.117644249898604,-0.0805549443051923,0.380783698715711,-0.0649483907146856,0.291351167419732,-0.085740327792301,-0.108684585886991,-0.157617586743381,0.0965132081047781,-0.130394481711307,-0.261614568562822,-0.128500545034589,-0.0076286219446685,-0.111950546614193,-0.0333532975309605,0.0627628432011633,0.144540102015684,0.129382469783441,-0.0354797405451878,0.0757832244808995,-0.00604297153254,-0.0534850346381617,0.112639432088856
healthy,-0.391227792644672,-0.409861964434248,0.118592779697152,-0.077371648568061,-0.0036123623563606,0.0024823930900374,-0.0228219791044094,0.334695408129923,0.15479244199185,-0.157231055742132,-0.0900702514610994,-0.0165933111634127,0.0580237327730226,0.0607920075371871,0.0024176754208599,0.171596970625043,-0.0153277211883859,0.0242390410426986,-0.372483952625625,-0.339712676039333,-0.0014484241304959,0.377274262303199,0.0030944353755346,-0.384023378663953,0.0598062398273929,0.0109331183137646,-0.11246269316782,0.0002563580771793,-0.183163668423096,0.145010591479392,0.0607271948444566,0.0447399439023991
moderate,-0.108247439907025,-0.257391612447522,0.15590049148128,-0.371275396353432,-0.341315670807521,-0.39201789208609,-0.0043025078319337,0.273205850678287,-0.0323540314416762,-0.281158249940794,0.151755915081843,-0.112585497634502,0.47765534304088,0.262253877901943,0.526530779816462,0.394861679419749,-0.372211901144772,0.473657409960555,-0.274224283677171,0.173042130122045,-0.128764428759194,0.313145034616736,-0.13585954433379,-0.0143117443697314,0.0504626681031465,0.0100355924948379,0.0278201939015353,-0.0164306918073496,0.0311702097046224,0.124847453415127,0.437365665735745,-0.233180345872788
moderate,0.107766513028569,-0.109965980828287,0.239996774467435,-0.0382331633072889,-0.136474415456543,0.03960140061855,0.0282894056659347,0.152690767664268,0.113550203996148,-0.0914683834097173,-0.015451266869461,0.129368667602522,0.0392766159203051,0.187483464121365,-0.0420218519870081,-0.0167637901893467,-0.0235111252708727,0.101604488531199,-0.0455276961545871,0.245165004544476,-0.0974484143735417,0.103004497605832,-0.164323484021125,0.0191986427125058,0.141469965726196,0.0692183570361095,0.0469680303926889,-0.227737522625908,-0.0321750321651519,0.0392230199035023,-0.0539525914950436,0.0642622225413496
moderate,0.17859638973516,-0.134529286046626,0.140215473918173,-0.0324776634795781,0.0057152306377089,0.0558478388105721,0.0869926562037069,0.341591812187076,0.13951735912681,0.0721822939980019,-0.0966806235360983,0.145027465724976,0.013024460171286,0.473723873581805,-0.0006512814302212,0.102310246438994,-0.0614079799565601,0.134864858443414,0.0508643034125076,-0.108850735000063,-0.152915789929121,-0.0768355309543351,0.124094257778522,0.027813326408429,0.100708676736626,-0.127394321112988,-0.0235810855154625,-0.0823211484743926,0.23700634632356,-0.0847890233163356,0.0153255611901228,-0.0273445686397838
severe,-0.0552533208042579,-0.210953442162216,0.160545167151437,-0.0513577443720517,-0.103739303503281,-0.127461629877251,-0.0150155338939423,0.201662292029625,0.0351199608364299,-0.0804458403698543,0.122583131008907,0.0500727319593733,-0.0372965059339267,0.0846015786108783,-0.0525854792821644,0.172746169791068,-0.0036100364286634,0.111712882741464,0.084345207051922,0.162908187833736,-0.220839991110009,-0.201597787156206,0.199401137255096,-0.139082112198029,0.0777981742771478,-0.014105897469102,-0.125347211918788,-0.185822037432896,-0.0156670566574055,0.0513223844012939,0.0842738279365175,-0.0725228998114991
severe,0.0019598022364975,0.0254418492352187,0.0078584544044936,-0.211928724866953,-0.0432948422115323,0.0968337670492595,-0.0128069631379771,0.0934431700952925,-0.039910229139621,-0.098026176843755,-0.0193730607449916,0.0564501643210737,0.0774010292102534,-0.0442244463752052,0.0103865637097363,0.0950893845667654,-0.0780267492014243,-0.0055501314698897,0.0024629335087986,0.134444568214089,-0.108420018247883,-0.220120174221517,-0.068443481226024,0.0564533988519146,0.208699531001947,-0.211290713658587,-0.260332346815135,0.0323446615027703,-0.0700769193006754,0.361478552108017,-0.0324067644949154,-0.069894653487791
